experiment,station,depth,group,taxa,biovolume,category,AphiaID
3,016_02,9.9,centric,centric,288707,diatom,
3,016_02,9.9,centric,Proboscia,108731,diatom,149167.0
3,016_02,9.9,centric,Thalassiosira,7719487,diatom,148912.0
3,016_02,9.9,ciliate,ciliate,174,mixed_flagellate,
3,016_02,9.9,dinoflagellate,dinoflagellate,252,dinoflagellate,
3,016_02,9.9,pennate,Fragilariopsis,52801,diatom,149313.0
3,016_02,9.9,pennate,Navicula,20254,diatom,149142.0
3,016_02,9.9,pennate,pennate,274,diatom,
3,016_02,9.9,Phaeocystis,Phaeocystis antarctica,775145,phaeocystis,341585.0
3,016_02,9.9,unknown diatom,unknown diatom,47,diatom,
4,046_01,10.2,centric,Asteromphalus,90626,diatom,162254.0
4,046_01,10.2,centric,centric,122181,diatom,
4,046_01,10.2,centric,Chaetoceros,118523,diatom,148985.0
4,046_01,10.2,centric,Eucampia,107710,diatom,149130.0
4,046_01,10.2,centric,Guinardia,1961,diatom,149111.0
4,046_01,10.2,centric,Proboscia,148349,diatom,149167.0
4,046_01,10.2,centric,Thalassiosira,1160419,diatom,148912.0
4,046_01,10.2,dinoflagellate,dinoflagellate,506,dinoflagellate,
4,046_01,10.2,pennate,Banquisia,26844,diatom,291402.0
4,046_01,10.2,pennate,Fragilariopsis,1385217,diatom,149313.0
4,046_01,10.2,pennate,Navicula,10098,diatom,149142.0
4,046_01,10.2,pennate,Nitzschia longissima,4932,diatom,149150.0
4,046_01,10.2,pennate,pennate,17378,diatom,
4,046_01,10.2,pennate,Pseudo-nitzschia,22810,diatom,149151.0
4,046_01,10.2,Phaeocystis,Phaeocystis antarctica,2380262,phaeocystis,341585.0
4,046_01,10.2,silicoflagellate,silicoflagellate,2070,silicoflagellate,
4,046_01,10.2,unknown diatom,unknown diatom,505,diatom,
5,050_03,25.4,centric,Asteromphalus,597664,diatom,162254.0
5,050_03,25.4,centric,centric,7511144,diatom,
5,050_03,25.4,centric,Chaetoceros,635555,diatom,148985.0
5,050_03,25.4,centric,Corethron,200196,diatom,149109.0
5,050_03,25.4,centric,Guinardia,603307,diatom,149111.0
5,050_03,25.4,centric,Proboscia,482902,diatom,149167.0
5,050_03,25.4,centric,Thalassiosira,4954745,diatom,148912.0
