cruise,latitude,longitude,date_time,depth,hplc_alpha_beta_car,ABCRSDP1[ng/l],hplc_allo,ALLOSDP1[ng/l],ANTHHPP1[ng/l],ANTHSDP1[ng/l],ASTAXHP1[ng/l],ASTAXHSD[ng/l],BBCAHPP1[ng/l],BBCASDP1[ng/l],BECAHPP1[ng/l],BECASDP1[ng/l],hplc_but_fuco,BUTASDP1[ng/l],hplc_chl_c12,C1C2SDP1[ng/l],hplc_chl_c2_mgdg_14,C2MEHPCU[ng/l],hplc_chl_c2_mgdg_18,C2MEHUCU[ng/l],C2MEHUE1[ng/l],CANXHPP1[ng/l],CBDVHPP1[ng/l],CBDVSDP1[ng/l],hplc_tot_chl_b,CHLBSDP1[ng/l],CHLC1HP1[ng/l],CHLC1HSD[ng/l],hplc_tot_chl_c,CHLCSDP1[ng/l],CIDAHPP1[ng/l],CIDASDP1[ng/l],CIDBHPP1[ng/l],CIDBSDP1[ng/l],CLAAHPP1[ng/l],CLAASDP1[ng/l],CLAEHPP1[ng/l],CLAESDP1[ng/l],CLC2HPP1[ng/l],CLC2SDP1[ng/l],hplc_chl_c3,CLC3SDP1[ng/l],chl_a_fluor,CPHLHPP1[mg/m^3],hplc_diadino,DIADSDP1[ng/l],hplc_diato,DIATSDP1[ng/l],DINXHPP1[ng/l],DINXSDP1[ng/l],hplc_dv_chl_a,DVCASDP1[ng/l],hplc_dv_chl_b,DVCBSDP1[ng/l],FUCSHPP1[ng/l],hplc_fuco,FUCXSDP1[ng/l],hplc_gyro,GDIESDP1[ng/l],hplc_hex_fuco,HEXOSDP1[ng/l],HEXSHPP1[ng/l],K4HXHPP1[ng/l],hplc_lut,LUTNSDP1[ng/l],M320HPP1[ng/l],M335HPP1[ng/l],MAASHPP1[ng/l],MASTHPP1[ng/l],MDCAHPP1[ng/l],MDVPHPP1[ng/l],MDVPSDP1[ng/l],MEPAHPP1[ng/l],MM2GHPP1[ng/l],MMMSHPP1[ng/l],MMMTHPP1[ng/l],MMSEHPP1[ng/l],MMYGHPP1[ng/l],MMYTHPP1[ng/l],MPALHPP1[ng/l],MPASHPP1[ng/l],MPNEHPP1[ng/l],MPOLHPP1[ng/l],MPORHPP1[ng/l],MPSSHPP1[ng/l],MSHIHPP1[ng/l],MSMEHPP1[ng/l],MUSUHPP1[ng/l],hplc_mv_chl_a,MVACSDP1[ng/l],hplc_mv_chl_c3,MZPAHPP1[ng/l],hplc_neo,QV:BODC.92,NEOXSDP1[ng/l],hplc_phide_a,QV:BODC.94,PBAXSDP1[ng/l],hplc_phide_b,PBZZHPP1[ng/l],hplc_perid,QV:BODC.98,PERISDP1[ng/l],PRFUHPP1[ng/l],hplc_pras,QV:BODC.101,PRSXSDP1[ng/l],hplc_phytin_a,QV:BODC.103,PTAXSDP1[ng/l],hplc_phytin_b,PTBXSDP1[ng/l],PTZZHPP1[ng/l],hplc_pyrophaeo_a,SDCLHPP1[mg/m^3],hplc_viola,QV:BODC.110,VILXSDP1[ng/l],VINEHPP1[ng/l],QV:BODC.112,VINESDP1[ng/l],ZELUHPP1[ng/l],ZELUSDP1[ng/l],hplc_zea,QV:BODC.116,ZEOXSDP1[ng/l],BODC_stn_y,Orig_stn_y,ODV_type_y,Gear_y,W_depth[metres]_y,Site_y,Bot_press[db]_y,BODC_bot_y,Bot_Flag_y,Rosette_Pos_y,Firing_Seq_y,Bot_Ref_y,ALKYPOTK[umol/kg],QV:BODC_y,ALSDPOTK[umol/kg],QV:BODC.1,CCA17035[umol/l],QV:BODC.2_y,CINGFA04[umol/l],QV:BODC.3,poc,QV:BODC.4_y,CORGCOF1[umol/l],QV:BODC.5,CORGUVD2[umol/l],QV:BODC.6_y,DFEFICHL[nmol/l],QV:BODC.7,DFEFICSD[nmol/l],QV:BODC.8_y,DOKGWITX[umol/kg],QV:BODC.9,DOXYSC01[umol/l],QV:BODC.10_y,DOXYSU01[umol/l],QV:BODC.11,DOXYSU02[umol/l],QV:BODC.12_y,DOXYWITX[umol/l],QV:BODC.13,DWIRPP01[W/m^2],QV:BODC.14_y,FESDCLDX[nmol/l],QV:BODC.15,FEXXCLDX[nmol/l],QV:BODC.16,IRRDPP01[uE/m^2/s],QV:BODC.17_y,IRRDSD01[uE/m^2/s],QV:BODC.18_y,IRRDUV01[uE/m^2/s],QV:BODC.19,IRRUPP01[uE/m^2/s],QV:BODC.20,IRRUUV01[uE/m^2/s],QV:BODC.21,IRRUUVSD[uE/m^2/s],QV:BODC.22_y,MDMAP010[umol/l],QV:BODC.23,tot_alkalinity,QV:BODC.24_y,MDMASD14[umol/kg],QV:BODC.25,NTKGAATX[umol/kg],QV:BODC.26_y,NTRAMW04[umol/kg],QV:BODC.27,NTRIAAD5[umol/l],QV:BODC.28,NTRIAADZ[umol/l],QV:BODC.29,nitrite,QV:BODC.30_y,NTRIASD5[umol/l],QV:BODC.31,NTRIKGTX[umol/kg],QV:BODC.32,NTRILWTX[umol/l],QV:BODC.33,NTRZAAD1[umol/l],QV:BODC.34,NTRZAAD5[umol/l],QV:BODC.35,NTRZAADZ[umol/l],QV:BODC.36,nitrate_nitrite,QV:BODC.37,NTRZASD5[umol/l],QV:BODC.38_y,NTRZLWTX[umol/l],QV:BODC.39,NTSDAATX[umol/l],QV:BODC.40_y,OXSDSU01[umol/l],QV:BODC.41,OXSDSU02[umol/l],QV:BODC.42_y,PHKGAATX[umol/kg],QV:BODC.43_y,PHOSAAD1[umol/l],QV:BODC.44_y,PHOSAAD5[umol/l],QV:BODC.45,PHOSAADZ[umol/l],QV:BODC.46_y,phosphate,QV:BODC.47,PHOSASD5[umol/l],QV:BODC.48,PHOSLWTX[umol/l],QV:BODC.49,PSALBSTX[Dmnless],QV:BODC.50_y,PSALCC01[Dmnless],QV:BODC.51,PSALCC02[Dmnless],QV:BODC.52_y,PSALCU01[Dmnless],QV:BODC.53,PSALCU02[Dmnless],QV:BODC.54,PSALSG01[Dmnless],QV:BODC.55_y,PSALST01[Dmnless],QV:BODC.56,PSALST02[Dmnless],QV:BODC.57_y,PSSDBSTX[Dmnless],QV:BODC.58,PSSDCU01[Dmnless],QV:BODC.59_y,PSSDCU02[Dmnless],QV:BODC.60,SDCORGP1[umol/l],QV:BODC.61,SDNZAAD1[umol/l],QV:BODC.62,SDNZAATX[umol/l],QV:BODC.63_y,SDOXWITX[umol/l],QV:BODC.64,SDPHAAD1[umol/l],QV:BODC.65,SDPHAATX[umol/l],QV:BODC.66,SFEFICHL[nmol/l],QV:BODC.67,SFEFICSD[nmol/l],QV:BODC.68,SLCAAAD5[umol/l],QV:BODC.69,SLCAAADZ[umol/l],QV:BODC.70_y,silicate,QV:BODC.71,SLCAASD5[umol/l],QV:BODC.72,SLKGAATX[umol/kg],QV:BODC.73,SLSDAATX[umol/l],QV:BODC.74,TCO2CBSD[umol/l],QV:BODC.75,TCO2CBTX[umol/l],QV:BODC.76,TCO2KG01[umol/kg],QV:BODC.77,TCO2KG02[umol/kg],QV:BODC.78,TCO2MATX[umol/l],QV:BODC.79,TCO2MSSD[umol/kg],QV:BODC.80,TCO2MSXX[umol/kg],QV:BODC.81,TCO2SDK2[umol/kg],QV:BODC.82,TCO2SDKG[umol/kg],QV:BODC.83,temperature,QV:BODC.84,TEMPCU02[degC],QV:BODC.85,TEMPPR01[degC],QV:BODC.86,TEMPSD03[degC],QV:BODC.87,TEMPSD04[degC],QV:BODC.88_y,TEMPST01[degC],QV:BODC.89,TEMPST02[degC],QV:BODC.90,UWIRPP01[W/m^2],QV:BODC.91,nitrate,salinity,oxygen,id,source_name,hplc_present,chemtax_present,microscopy_present
AMT1,47.0132,-19.9849,1995-09-27 11:00:00,8.4,,,0.0,,,,,,,,,,0.02209,,,,,,,,,,,,0.017329999999999998,,,,0.02103,,0.0,,,,,,,,,,,,,0.1927,0.01132,,,,0.0,,0.05903,,,,,0.02011,,,,0.04962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10061,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.04708,,,1502343.0,CTD03,b,CTD, ,-,8.5,501659.0,0.0, , , ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.02,<,,N,,N,,N,,N,,N,,N,0.1,<,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.01,<,,N,,N,,N,,N,,N,,N,,N,,N,35.6, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,1.02, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,18.034, ,,N,,N,0.02,35.6,,1,AMT,1,0,1
AMT1,47.0132,-19.9849,1995-09-27 11:00:00,20.5,,,0.0,,,,,,,,,,0.01177,,,,,,,,,,,,0.00789,,,,0.01226,,0.0,,,,,,,,,,,,,0.1499,0.0128,,,,0.0,,0.04933,,,,,0.01713,,,,0.039439999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07298,,,,,,,,,,0.0,,0.0,,,,0.0047,,,,,,0.06423999999999999,,,,,,,,,,,,,0.039700000000000006,,,1502343.0,CTD03,b,CTD, ,-,20.7,501658.0,0.0, , , ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.02,<,,N,,N,,N,,N,,N,,N,0.1,<,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.01,<,,N,,N,,N,,N,,N,,N,,N,,N,35.597, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,1.02, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,18.023, ,,N,,N,0.02,35.597,,2,AMT,1,0,1
AMT1,47.0132,-19.9849,1995-09-27 11:00:00,30.5,,,0.0,,,,,,,,,,0.01618,,,,,,,,,,,,0.01122,,,,0.01577,,0.00911,,,,,,,,,,,,,0.1649,0.01849,,,,0.0,,0.046509999999999996,,,,,0.01871,,,,0.044719999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09237000000000001,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.05436,,,1502343.0,CTD03,b,CTD, ,-,30.8,501657.0,0.0, , , ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.02,<,,N,,N,,N,,N,,N,,N,0.1,<,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.01,<,,N,,N,,N,,N,,N,,N,,N,,N,35.59, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,1.02, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,17.982, ,,N,,N,0.02,35.59,,3,AMT,1,0,1
AMT1,47.0132,-19.9849,1995-09-27 11:00:00,41.3,,,0.00982,,,,,,,,,,0.08302,,,,,,,,,,,,0.07341,,,,0.06979,,0.06503,,,,,,,,,,,,,0.3605,0.0,,,,0.0,,0.11731,,,,,0.04733,,,,0.13549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17759,,,,,,,,,,0.0,,0.0,,,,0.013439999999999999,,,,,,0.0,,,,,,,,,,,,,0.03893,,,1502343.0,CTD03,b,CTD, ,-,41.6,501656.0,0.0, , , ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.23, ,,N,,N,,N,,N,,N,,N,1.73, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.16, ,,N,,N,,N,,N,,N,,N,,N,,N,35.538, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,1.75, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,17.436, ,,N,,N,0.23,35.538,,4,AMT,1,0,1
AMT1,47.0132,-19.9849,1995-09-27 11:00:00,50.9,,,0.00409,,,,,,,,,,0.07126,,,,,,,,,,,,0.0888,,,,0.08198,,0.0,,,,,,,,,,,,,0.3419,0.00993,,,,0.0,,0.12966,,,,,0.04686,,,,0.08567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13971,,,,,,,,,,0.0,,0.0,,,,0.009880000000000002,,,,,,0.0,,,,,,,,,,,,,0.03027,,,1502343.0,CTD03,b,CTD, ,-,51.3,501655.0,0.0, , , ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.45, ,,N,,N,,N,,N,,N,,N,4.46, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.26, ,,N,,N,,N,,N,,N,,N,,N,,N,35.606, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,2.29, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,16.344, ,,N,,N,0.45,35.606,,5,AMT,1,0,1
AMT1,42.2547,-20.0313,1995-09-28 13:39:00,8.0,,,0.0115,,,,,,,,,,0.00763,,,,,,,,,,,,0.00745,,,,0.0,,0.0,,,,,,,,,,,,,0.122,0.0,,,,0.0,,0.03385,,,,,0.0,,,,0.023370000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06919,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.05844,,,1502344.0,CTD04,b,CTD, ,-,8.1,501667.0,0.0, , , ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.02,<,,N,,N,,N,,N,,N,,N,0.01, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.05, ,,N,,N,,N,,N,,N,,N,,N,,N,35.938, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.83, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,19.409, ,,N,,N,0.02,35.938,,6,AMT,1,0,1
AMT1,42.2547,-20.0313,1995-09-28 13:39:00,30.6,,,0.0,,,,,,,,,,0.01757,,,,,,,,,,,,0.01069,,,,0.02921,,0.0,,,,,,,,,,,,,0.2326,0.01228,,,,0.0,,0.14066,,,,,0.019420000000000003,,,,0.04893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01329,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.06808,,,1502344.0,CTD04,b,CTD, ,-,30.8,501666.0,0.0, , , ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.02,<,,N,,N,,N,,N,,N,,N,0.01, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.05, ,,N,,N,,N,,N,,N,,N,,N,,N,35.936, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.89, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,19.358, ,,N,,N,0.02,35.936,,7,AMT,1,0,1
AMT1,42.2547,-20.0313,1995-09-28 13:39:00,51.4,,,0.00439,,,,,,,,,,0.05361,,,,,,,,,,,,0.037270000000000005,,,,0.14155,,0.0,,,,,,,,,,,,,0.2784,0.01294,,,,0.0,,0.03658,,,,,0.03447,,,,0.17508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22137,,,,,,,,,,0.0,,0.0,,,,0.01807,,,,,,0.14014,,,,,,,,,,,,,0.02586,,,1502344.0,CTD04,b,CTD, ,-,51.8,501665.0,0.0, , , ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.02,<,,N,,N,,N,,N,,N,,N,0.42, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.11, ,,N,,N,,N,,N,,N,,N,,N,,N,35.888, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.95, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,17.508, ,,N,,N,0.02,35.888,,8,AMT,1,0,1
AMT1,42.2547,-20.0313,1995-09-28 13:39:00,61.4,,,0.0034100000000000003,,,,,,,,,,0.04995,,,,,,,,,,,,0.05329,,,,0.08501,,0.0,,,,,,,,,,,,,0.2806,0.0114,,,,0.0,,0.05269,,,,,0.02743,,,,0.13904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19844,,,,,,,,,,0.0,,0.0,,,,0.01589,,,,,,0.0,,,,,,,,,,,,,0.038840000000000006,,,1502344.0,CTD04,b,CTD, ,-,61.9,501664.0,0.0, , , ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.09, ,,N,,N,,N,,N,,N,,N,1.36, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.19, ,,N,,N,,N,,N,,N,,N,,N,,N,35.832, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,1.11, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,15.998, ,,N,,N,0.09,35.832,,9,AMT,1,0,1
AMT1,42.2547,-20.0313,1995-09-28 13:39:00,70.9,,,0.00373,,,,,,,,,,0.04827,,,,,,,,,,,,0.07537999999999999,,,,0.07445,,0.0,,,,,,,,,,,,,0.2814,0.00813,,,,0.0,,0.0843,,,,,0.03556,,,,0.1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14992,,,,,,,,,,0.0,,0.0,,,,0.011529999999999999,,,,,,0.0,,,,,,,,,,,,,0.0421,,,1502344.0,CTD04,b,CTD, ,-,71.5,501663.0,0.0, , , ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.18, ,,N,,N,,N,,N,,N,,N,3.46, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.28, ,,N,,N,,N,,N,,N,,N,,N,,N,35.813, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,1.48, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,14.61, ,,N,,N,0.18,35.813,,10,AMT,1,0,1
