sample_id,taxa,count_per_L,biomass_per_L,measurement_method
6,Fragilariopsis kerguelensis,0.0,,microscopy
9,Fragilariopsis kerguelensis,0.0,,microscopy
11,Fragilariopsis kerguelensis,0.0,,microscopy
15,Fragilariopsis kerguelensis,0.0,,microscopy
16,Fragilariopsis kerguelensis,0.0,,microscopy
20,Fragilariopsis kerguelensis,0.0,,microscopy
21,Fragilariopsis kerguelensis,0.0,,microscopy
23,Fragilariopsis kerguelensis,0.0,,microscopy
26,Fragilariopsis kerguelensis,0.0,,microscopy
29,Fragilariopsis kerguelensis,0.0,,microscopy
31,Fragilariopsis kerguelensis,0.0,,microscopy
33,Fragilariopsis kerguelensis,0.0,,microscopy
36,Fragilariopsis kerguelensis,0.0,,microscopy
39,Fragilariopsis kerguelensis,0.0,,microscopy
41,Fragilariopsis kerguelensis,0.0,,microscopy
44,Fragilariopsis kerguelensis,0.0,,microscopy
46,Fragilariopsis kerguelensis,0.0,,microscopy
49,Fragilariopsis kerguelensis,0.0,,microscopy
51,Fragilariopsis kerguelensis,0.0,,microscopy
55,Fragilariopsis kerguelensis,0.0,,microscopy
58,Fragilariopsis kerguelensis,0.0,,microscopy
60,Fragilariopsis kerguelensis,0.0,,microscopy
63,Fragilariopsis kerguelensis,0.0,,microscopy
65,Fragilariopsis kerguelensis,0.0,,microscopy
69,Fragilariopsis kerguelensis,0.0,,microscopy
70,Fragilariopsis kerguelensis,0.0,,microscopy
73,Fragilariopsis kerguelensis,0.0,,microscopy
75,Fragilariopsis kerguelensis,0.0,,microscopy
78,Fragilariopsis kerguelensis,0.0,,microscopy
80,Fragilariopsis kerguelensis,0.0,,microscopy
84,Fragilariopsis kerguelensis,0.0,,microscopy
85,Fragilariopsis kerguelensis,0.0,,microscopy
87,Fragilariopsis kerguelensis,0.0,,microscopy
90,Fragilariopsis kerguelensis,0.0,,microscopy
93,Fragilariopsis kerguelensis,0.0,,microscopy
95,Fragilariopsis kerguelensis,0.0,,microscopy
97,Fragilariopsis kerguelensis,0.0,,microscopy
100,Fragilariopsis kerguelensis,0.0,,microscopy
102,Fragilariopsis kerguelensis,0.0,,microscopy
105,Fragilariopsis kerguelensis,0.0,,microscopy
108,Fragilariopsis kerguelensis,0.0,,microscopy
