experiment,station,depth,group,taxa,biovolume
3,016_02,9.9,centric,centric,288707
3,016_02,9.9,centric,Proboscia,108731
3,016_02,9.9,centric,Thalassiosira,7719487
3,016_02,9.9,ciliate,ciliate,174
3,016_02,9.9,dinoflagellate,dinoflagellate,252
3,016_02,9.9,pennate,Fragilariopsis,52801
3,016_02,9.9,pennate,Navicula,20254
3,016_02,9.9,pennate,pennate,274
3,016_02,9.9,Phaeocystis,Phaeocystis antarctica,775145
3,016_02,9.9,unknown diatom,unknown diatom,47
4,046_01,10.2,centric,Asteromphalus,90626
4,046_01,10.2,centric,centric,122181
4,046_01,10.2,centric,Chaetoceros,118523
4,046_01,10.2,centric,Eucampia,107710
4,046_01,10.2,centric,Guinardia,1961
4,046_01,10.2,centric,Proboscia,148349
4,046_01,10.2,centric,Thalassiosira,1160419
4,046_01,10.2,dinoflagellate,dinoflagellate,506
4,046_01,10.2,pennate,Banquisia,26844
4,046_01,10.2,pennate,Fragilariopsis,1385217
4,046_01,10.2,pennate,Navicula,10098
4,046_01,10.2,pennate,Nitzschia longissima,4932
4,046_01,10.2,pennate,pennate,17378
4,046_01,10.2,pennate,Pseudo-nitzschia,22810
4,046_01,10.2,Phaeocystis,Phaeocystis antarctica,2380262
4,046_01,10.2,silicoflagellate,silicoflagellate,2070
4,046_01,10.2,unknown diatom,unknown diatom,505
5,050_03,25.4,centric,Asteromphalus,597664
5,050_03,25.4,centric,centric,7511144
5,050_03,25.4,centric,Chaetoceros,635555
5,050_03,25.4,centric,Corethron,200196
5,050_03,25.4,centric,Guinardia,603307
5,050_03,25.4,centric,Proboscia,482902
5,050_03,25.4,centric,Thalassiosira,4954745
5,050_03,25.4,dinoflagellate,dinoflagellate,1076
5,050_03,25.4,pennate,Fragilariopsis,347996
5,050_03,25.4,pennate,pennate,51238
5,050_03,25.4,pennate,Pseudo-nitzschia,165508
5,050_03,25.4,Phaeocystis,Phaeocystis antarctica,263589832
5,050_03,25.4,silicoflagellate,silicoflagellate,304
5,050_03,25.4,unknown diatom,unknown diatom,848
6,052_01,10,centric,centric,2674957
6,052_01,10,centric,Chaetoceros,650025
6,052_01,10,centric,Corethron,48370
6,052_01,10,centric,Eucampia,210282
6,052_01,10,centric,Proboscia,519490
6,052_01,10,centric,Rhizosolenia,579035
6,052_01,10,centric,Thalassiosira,2983896
6,052_01,10,dinoflagellate,dinoflagellate,926
6,052_01,10,pennate,Amphiprora,90
6,052_01,10,pennate,Fragilariopsis,564416
6,052_01,10,pennate,Nitzschia longissima,25969
6,052_01,10,pennate,pennate,16477
6,052_01,10,pennate,Plagiotropidaceae,244
6,052_01,10,pennate,Pseudo-nitzschia,206199
6,052_01,10,Phaeocystis,Phaeocystis antarctica,43864459
6,052_01,10,radiolarian,radiolarian,991
6,052_01,10,silicoflagellate,silicoflagellate,124
6,052_01,10,unknown diatom,unknown diatom,784
7,,,centric,centric,23577
7,,,centric,Chaetoceros,352117
7,,,centric,Dactyliosolen,188477
7,,,centric,Rhizosolenia,257200
7,,,centric,Thalassiosira,7597650
7,,,ciliate,ciliate,378
7,,,pennate,Banquisia,251544
7,,,pennate,Fragilariopsis,5676285
7,,,pennate,Navicula,29170
7,,,pennate,Nitzschia longissima,9980
7,,,pennate,pennate,42750
7,,,pennate,Plagiotropidaceae,348
7,,,pennate,Pseudo-nitzschia,854967
7,,,Phaeocystis,Phaeocystis antarctica,45577238
7,,,silicoflagellate,silicoflagellate,156
7,,,unknown diatom,unknown diatom,1840
8,058_01,1.8,centric,Asteromphalus,100097
8,058_01,1.8,centric,centric,6026
8,058_01,1.8,centric,Proboscia,39235
8,058_01,1.8,centric,Thalassiosira,3187660
8,058_01,1.8,dinoflagellate,dinoflagellate,455
8,058_01,1.8,pennate,Banquisia,96678
8,058_01,1.8,pennate,Fragilariopsis,1018531
8,058_01,1.8,pennate,Navicula,43332
8,058_01,1.8,pennate,Nitzschia longissima,11423
8,058_01,1.8,pennate,pennate,613332
8,058_01,1.8,pennate,Pseudo-nitzschia,131660
8,058_01,1.8,Phaeocystis,Phaeocystis antarctica,39773639
8,058_01,1.8,unknown diatom,unknown diatom,1936
9,061_01,9.7,centric,Chaetoceros,1029442
9,061_01,9.7,centric,Corethron,94687
9,061_01,9.7,centric,Coscinodiscids,11529094
9,061_01,9.7,centric,Eucampia,182277
9,061_01,9.7,centric,Proboscia,1424508
9,061_01,9.7,centric,Thalassiosira,6306148
9,061_01,9.7,ciliate,ciliate,749
9,061_01,9.7,dinoflagellate,dinoflagellate,1588
9,061_01,9.7,pennate,Fragilariopsis,468098
9,061_01,9.7,pennate,Nitzschia longissima,2789
9,061_01,9.7,pennate,pennate,232032
