cruise_id,date_local,lat,lon,sta,sample_id,bot,depth,Fe_diss,Fe_TD,PO4,NO2,NO3_NO2,NH4,Si_acid
NBP0601,20051229,-77.665,179.938,1,NX1-1,1,6,0.340,1.034,1.40,0.096,16.7,0.27,79.77
NBP0601,20051229,-77.665,179.938,1,NX1-2,2,16,0.121,0.729,1.68,0.068,18.4,0.66,83.07
NBP0601,20051229,-77.665,179.938,1,NX1-3,3,36,0.071,0.732,1.60,0.112,20.1,1.09,71.57
NBP0601,20051229,-77.665,179.938,1,NX1-4,4,56,0.110,1.069,1.65,0.159,14.1,0.97,50.00
NBP0601,20051229,-77.665,179.938,1,NX1-5,5,76,0.296,2.007,1.98,0.055,22.9,1.42,80.00
NBP0601,20051229,-77.665,179.938,1,NX1-6,6,96,0.213,2.814,2.16,0.062,26.5,1.27,82.10
NBP0601,20051229,-77.665,179.938,1,NX1-9,9,296,0.175,3.616,1.97,0.142,24.3,0.19,70.00
NBP0601,20051230,-76.818,170.762,2,NX2-1,1,6,0.165,1.751,1.39,0.107,15.2,0.00,79.45
NBP0601,20051230,-76.818,170.762,2,NX2-2,2,16,0.089,1.845,1.44,0.100,16.4,0.00,79.65
NBP0601,20051230,-76.818,170.762,2,NX2-3,3,36,0.163,2.194,1.60,0.101,19.3,0.58,79.75
NBP0601,20051230,-76.818,170.762,2,NX2-4,4,56,0.168,2.266,1.59,0.139,17.2,0.31,69.15
NBP0601,20051230,-76.818,170.762,2,NX2-5,5,76,0.269,3.322,1.86,0.087,24.0,1.05,81.45
NBP0601,20051230,-76.818,170.762,2,NX2-6,6,96,0.212,3.471,1.90,0.091,25.3,0.99,81.55
NBP0601,20051230,-76.818,170.762,2,NX2-7,7,146,0.218,3.998,2.00,0.105,27.4,0.68,81.65
NBP0601,20051230,-76.818,170.762,2,NX2-8,8,196,0.362,3.864,2.16,0.121,30.3,0.00,81.85
NBP0601,20051230,-76.818,170.762,2,NX2-9,9,296,0.275,2.854,2.08,0.118,29.9,0.00,78.25
NBP0601,20060101,-76.492,166.327,3,NX3-1,1,6,0.305,0.906,1.54,0.215,20.0,0.46,68.91
NBP0601,20060101,-76.492,166.327,3,NX3-2,2,16,0.127,0.784,1.97,0.182,25.0,1.08,74.06
NBP0601,20060101,-76.492,166.327,3,NX3-3,3,36,0.173,1.329,2.32,0.141,30.1,0.31,78.11
NBP0601,20060101,-76.492,166.327,3,NX3-4,4,56,0.215,1.548,2.22,0.163,31.4,0.17,78.71
NBP0601,20060101,-76.492,166.327,3,NX3-5,5,76,0.384,2.215,2.20,0.154,31.0,0.17,78.91
NBP0601,20060101,-76.492,166.327,3,NX3-6,6,96,0.315,1.813,2.25,0.136,31.0,0.00,79.61
NBP0601,20060101,-76.492,166.327,3,NX3-7,7,146,0.451,1.909,2.25,0.155,31.6,0.00,79.71
NBP0601,20060101,-76.492,166.327,3,NX3-8,8,196,0.527,2.361,2.27,0.157,32.2,0.00,80.61
NBP0601,20060101,-76.492,166.327,3,NX3-9,9,296,0.505,3.620,2.25,0.106,32.1,0.09,81.61
NBP0601,20060103,-76.503,179.167,4,NX4-1,1,6,0.121,0.854,1.36,0.075,17.8,0.16,74.89
NBP0601,20060103,-76.503,179.167,4,NX4-2,2,16,0.057,0.759,1.44,0.067,18.8,0.64,79.69
NBP0601,20060103,-76.503,179.167,4,NX4-3,3,36,0.084,0.674,1.37,0.064,17.5,0.64,74.49
NBP0601,20060103,-76.503,179.167,4,NX4-4,4,56,0.060,0.778,1.35,0.074,17.6,0.19,74.09
NBP0601,20060103,-76.503,179.167,4,NX4-5,5,76,0.083,0.874,1.38,0.058,17.6,0.19,73.99
NBP0601,20060103,-76.503,179.167,4,NX4-6,6,96,0.142,1.347,1.90,0.067,24.4,1.15,77.39
NBP0601,20060103,-76.503,179.167,4,NX4-7,7,146,0.215,2.798,2.16,0.104,29.2,0.98,79.49
NBP0601,20060103,-76.503,179.167,4,NX4-8,8,196,0.312,11.101,2.24,0.073,30.9,0.23,80.19
NBP0601,20060103,-76.503,179.167,4,NX4-9,9,231,0.310,24.256,2.24,0.062,31.2,0.15,81.19
NBP0601,20060105,-76.500,-170.000,5,NX5-1,1,6,0.170,0.428,1.54,0.060,21.2,nd,81.02
NBP0601,20060105,-76.500,-170.000,5,NX5-2,2,16,0.136,0.403,1.63,0.044,22.5,0.00,82.22
NBP0601,20060105,-76.500,-170.000,5,NX5-3,3,36,0.115,0.471,1.79,0.034,24.1,0.00,81.92
NBP0601,20060105,-76.500,-170.000,5,NX5-4,4,56,0.131,0.495,1.99,0.048,26.3,0.08,82.82
NBP0601,20060105,-76.500,-170.000,5,NX5-5,5,76,0.153,0.936,2.01,0.054,28.2,0.00,84.52
NBP0601,20060105,-76.500,-170.000,5,NX5-6,6,96,0.131,0.791,2.08,0.057,28.8,0.00,83.77
NBP0601,20060105,-76.500,-170.000,5,NX5-7,7,146,0.183,1.700,2.15,0.045,30.0,0.00,85.82
NBP0601,20060105,-76.500,-170.000,5,NX5-8,8,196,0.287,2.814,2.18,0.046,30.7,0.00,87.42
NBP0601,20060105,-76.500,-170.000,5,NX5-9,9,296,0.304,4.896,2.16,0.000,30.7,0.00,87.32
NBP0601,20060107,-76.000,-176.617,6,NX6-1,1,6,0.219,0.278,1.44,0.069,20.6,0.08,71.22
NBP0601,20060107,-76.000,-176.617,6,NX6-2,2,16,0.100,0.307,1.49,0.072,20.5,0.11,71.12
NBP0601,20060107,-76.000,-176.617,6,NX6-3,3,36,0.108,0.645,2.02,0.046,27.7,0.40,82.32
