cruise_id,date_local,lat,lon,time_local,Fe_diss,PO4,NO3_NO2,Si_acid
NBP0601,20051227,-74.4695,-179.5171,1225,0.1403,nd,nd,nd
NBP0601,20051227,-74.4695,-179.5171,1225,0.0842,nd,nd,nd
NBP0601,20051227,-74.4916,-179.4563,1615,0.0929,nd,nd,nd
NBP0601,20051227,-74.4125,-179.4021,1815,0.0842,nd,nd,nd
NBP0601,20051227,-74.3590,-179.3770,1950,0.0654,nd,nd,nd
NBP0601,20051228,-74.5890,-179.5077,0325,0.0774,nd,nd,nd
NBP0601,20060101,-76.5028,167.2931,1810,0.4112,0.81,12.68,58.41
NBP0601,20060101,-76.5038,167.5574,1900,0.1391,0.60,3.48,66.21
NBP0601,20060101,-76.4788,167.9480,2000,0.1604,0.93,14.68,59.71
NBP0601,20060101,-76.4968,168.3896,2110,0.1852,0.82,13.08,54.21
NBP0601,20060101,-76.5007,168.6700,2310,0.1639,0.81,13.68,55.91
NBP0601,20060102,-76.5006,169.1872,0100,0.0869,1.12,13.78,75.31
NBP0601,20060102,-76.4997,169.7635,0300,0.0440,1.36,14.98,85.71
NBP0601,20060102,-76.4986,170.3385,0500,0.0787,1.50,16.08,88.61
NBP0601,20060102,-76.4995,171.5688,1200,0.0805,1.35,20.48,64.61
NBP0601,20060102,-76.5003,171.9923,1300,0.0778,1.40,15.28,79.61
NBP0601,20060102,-76.4999,172.4210,1400,0.0565,1.41,14.98,80.71
NBP0601,20060102,-76.4998,173.1377,1800,0.0510,1.17,18.68,58.71
NBP0601,20060102,-76.5001,173.5225,1900,0.0778,1.07,14.68,63.51
NBP0601,20060102,-76.4998,173.9152,2000,0.0676,1.15,14.98,67.91
NBP0601,20060102,-76.4996,174.2753,2100,0.0630,1.14,16.78,59.01
NBP0601,20060102,-76.4997,174.5437,2200,0.0713,1.14,18.38,59.81
NBP0601,20060102,-76.5014,174.8244,2300,0.0565,1.15,17.18,62.61
NBP0601,20060103,-76.5000,177.0333,1115,0.2147,1.42,16.30,71.72
NBP0601,20060103,-76.4982,177.3439,1215,0.1034,1.51,19.50,67.82
NBP0601,20060103,-76.4990,177.9324,1400,0.0562,0.80,12.50,62.12
NBP0601,20060103,-76.5007,178.7712,1600,0.0953,1.14,15.80,70.22
NBP0601,20060103,-76.4991,179.6823,2200,nd,1.63,20.60,69.92
NBP0601,20060104,-76.4999,-178.2807,1200,0.1301,nd,nd,nd
NBP0601,20060104,-76.5020,-177.6957,1300,0.1234,1.40,20.60,70.12
NBP0601,20060104,-76.5016,-176.9638,1500,0.1080,1.55,19.60,74.12
NBP0601,20060104,-76.5003,-176.6163,1730,0.0976,1.37,17.50,70.22
NBP0601,20060104,-76.5001,-175.7923,1930,0.0461,1.38,17.30,68.62
NBP0601,20060104,-76.5003,-174.7874,2200,0.0655,1.63,22.70,78.72
NBP0601,20060105,-76.5007,-173.6460,0100,0.0414,1.66,21.50,78.52
NBP0601,20060105,-76.5002,-173.0886,0200,0.0541,1.63,21.20,74.62
NBP0601,20060105,-76.5017,-172.3315,1110,0.0806,1.48,18.90,76.62
NBP0601,20060105,-76.5006,-172.0328,1200,0.0779,1.70,21.60,77.92
NBP0601,20060105,-76.4998,-171.6801,1300,0.0761,1.34,19.90,82.12
NBP0601,20060105,-76.5002,-171.2945,1400,0.0761,1.20,17.30,79.52
NBP0601,20060105,-76.5001,-170.8941,1500,0.0505,1.12,17.70,70.57
NBP0601,20060105,-76.5005,-170.5284,1600,0.0585,1.08,16.50,68.92
