cruise_id,sta_HPLC,date_local,depth,lat,lon,cast,yrday,time_local,bottle,sample_id,depth_bottom,mg_dvp_a5,chl_c2,chl_c1,peridinin,fucox_but,fucox,neox,prasinox,violax,fucox_hex,diadinox,cis_hex,allox,diatox,zeax,lutein,crocox,chl_a2,chl_a,carotene_a,carotene_b,chl_c3,chl_b,p_phorbide,p_phytin,monad,chlide,antherax
NBP0601,S02,20051224,150,-65.761,-179.514,nd,358,nd,nd,S02-01,200,0.00,0.00,0.00,0.00,0.00,8.53,0.00,0.00,0.00,3.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.89,0.00,0.00,20.70,1.76,2.94,2.08,0.00,0.00,nd
NBP0601,S02,20051224,100,-65.761,-179.514,nd,358,nd,nd,S02-02,200,0.00,10.79,0.00,5.25,11.62,26.00,0.00,0.00,0.00,13.01,3.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.41,0.00,0.00,29.95,9.08,9.39,8.93,0.00,6.53,nd
NBP0601,S02,20051224,80,-65.761,-179.514,nd,358,nd,nd,S02-03,200,1.48,20.65,0.00,8.39,17.95,46.93,3.81,0.00,0.00,25.46,6.87,3.15,0.00,0.00,0.00,0.00,0.00,0.00,199.25,0.00,3.11,42.86,15.86,16.29,12.79,0.00,20.51,nd
NBP0601,S02,20051224,60,-65.761,-179.514,nd,358,nd,nd,S02-04,200,4.26,63.54,0.00,27.82,30.69,129.29,0.00,0.00,0.00,61.81,15.96,11.10,4.65,13.61,0.00,5.02,0.00,0.00,550.18,0.00,7.55,105.07,32.00,38.96,27.81,0.00,36.19,nd
NBP0601,S02,20051224,50,-65.761,-179.514,nd,358,nd,nd,S02-05A,200,6.41,133.72,0.00,40.76,33.13,243.96,0.00,5.10,0.00,74.60,29.63,38.46,0.00,10.61,0.00,5.14,0.00,0.00,802.89,0.00,7.58,139.67,11.87,62.98,36.46,0.00,47.72,nd
NBP0601,S02,20051224,40,-65.761,-179.514,nd,358,nd,nd,S02-05B,200,3.31,114.33,0.00,30.88,40.94,218.30,0.00,0.00,0.00,69.50,23.57,33.90,7.51,18.73,0.00,4.64,0.00,0.00,830.08,0.00,9.32,149.42,25.48,55.44,46.77,0.00,57.78,nd
NBP0601,S02,20051224,30,-65.761,-179.514,nd,358,nd,nd,S02-07,200,7.09,240.99,0.00,45.44,32.96,371.87,0.00,0.00,0.00,76.53,46.46,45.96,5.67,9.92,0.00,4.40,0.00,0.00,1110.63,0.00,6.60,156.12,8.63,120.23,59.63,0.00,92.72,nd
NBP0601,S02,20051224,20,-65.761,-179.514,nd,358,nd,nd,S02-08,200,8.61,333.51,0.00,54.64,27.20,506.31,0.00,0.00,0.00,95.34,100.86,75.02,0.00,16.97,0.00,5.69,0.00,0.00,1509.93,0.00,9.94,160.43,5.18,145.60,77.04,0.00,91.41,nd
NBP0601,S02,20051224,15,-65.761,-179.514,nd,358,nd,nd,S02-09,200,1.96,59.27,0.00,12.00,6.73,88.59,0.00,0.00,0.00,28.83,40.61,11.32,0.00,14.18,0.00,0.00,0.00,0.00,273.39,0.00,3.36,30.81,0.00,26.78,12.68,0.00,23.46,nd
NBP0601,S02,20051224,10,-65.761,-179.514,nd,358,nd,nd,S02-10,200,6.89,190.69,0.00,43.94,16.28,272.29,5.67,0.00,0.00,56.93,188.62,45.37,0.00,63.73,3.51,4.96,0.00,0.00,625.14,0.00,12.10,81.31,2.54,188.29,80.52,6.81,101.96,nd
NBP0601,S02,20051224,5,-65.761,-179.514,nd,358,nd,nd,S02-11,200,5.26,177.75,0.00,42.84,15.18,260.60,4.65,0.00,0.00,54.22,174.46,39.12,3.46,64.01,4.09,0.00,0.00,0.00,642.32,0.00,11.72,75.03,2.70,152.98,69.17,6.97,84.57,nd
NBP0601,S02,20051224,0,-65.761,-179.514,nd,358,nd,nd,S02-12,200,6.67,138.65,0.00,20.27,13.31,271.24,4.11,0.00,0.00,54.19,163.33,39.47,0.00,15.99,5.88,0.00,0.00,0.00,879.46,0.00,10.25,77.49,2.70,47.61,106.77,0.00,81.32,nd
NBP0601,S03,20051227,150,-74.486,-179.521,nd,361,nd,nd,S03-01,nd,0.00,30.79,0.00,15.98,5.76,63.12,0.00,0.00,0.00,24.08,0.00,6.20,5.28,8.08,6.34,0.00,0.00,0.00,267.62,0.00,2.72,54.52,8.20,52.16,18.53,0.00,20.58,nd
NBP0601,S03,20051227,100,-74.486,-179.521,nd,361,nd,nd,S03-02,nd,0.00,67.40,0.00,48.05,7.53,102.60,6.44,3.64,0.00,45.74,14.05,19.24,0.00,53.53,0.00,4.36,0.00,0.00,563.10,0.00,5.60,86.19,4.12,63.78,113.92,0.00,102.37,nd
NBP0601,S03,20051227,75,-74.486,-179.521,nd,361,nd,nd,S03-03,nd,0.00,155.60,0.00,93.46,7.12,140.42,10.90,0.00,0.00,145.15,20.50,25.98,2.98,66.61,32.63,10.03,0.00,0.00,1163.25,0.00,8.04,191.03,7.01,136.86,218.44,0.00,169.54,nd
NBP0601,S03,20051227,50,-74.486,-179.521,nd,361,nd,nd,S03-04,nd,8.65,515.91,0.00,260.99,11.48,783.96,32.12,6.17,0.00,340.55,100.19,162.51,8.71,113.32,0.00,21.56,0.00,0.00,3196.89,0.00,18.93,342.78,7.88,680.29,308.19,0.00,310.31,nd
NBP0601,S03,20051227,40,-74.486,-179.521,nd,361,nd,nd,S03-05,nd,0.00,900.64,0.00,284.72,15.32,1600.14,11.02,0.00,0.00,280.71,212.61,268.49,0.00,158.74,0.00,21.28,0.00,0.00,5229.37,0.00,30.18,308.48,7.02,1134.99,319.19,0.00,369.01,nd
NBP0601,S03,20051227,30,-74.486,-179.521,nd,361,nd,nd,S03-06,nd,0.00,1073.20,0.00,134.99,13.76,1884.74,13.26,0.00,0.00,292.34,293.71,333.48,0.00,164.83,0.00,20.36,0.00,0.00,5911.62,0.00,26.83,312.64,5.92,1203.27,329.84,0.00,554.65,nd
NBP0601,S03,20051227,20,-74.486,-179.521,nd,361,nd,nd,S03-07,nd,0.00,1001.51,0.00,33.19,17.24,1399.05,16.52,0.00,0.00,872.47,472.21,290.63,0.00,141.48,0.00,55.84,0.00,0.00,5680.83,0.00,33.26,551.58,20.56,924.62,503.64,0.00,469.71,nd
NBP0601,S03,20051227,13,-74.486,-179.521,nd,361,nd,nd,S03-08,nd,26.30,746.90,0.00,117.64,10.48,899.75,12.40,0.00,0.00,542.08,352.97,175.92,0.00,94.98,0.00,35.55,0.00,0.00,3662.76,0.00,22.18,454.11,9.35,147.44,184.43,27.68,429.98,nd
NBP0601,S03,20051227,8,-74.486,-179.521,nd,361,nd,nd,S03-09,nd,14.37,476.69,0.00,55.29,7.47,530.32,10.75,0.00,0.00,347.23,215.89,106.06,0.00,39.06,0.00,22.68,0.00,0.00,2504.53,0.00,17.27,279.80,3.21,97.54,130.13,14.33,377.03,nd
NBP0601,S03,20051227,6,-74.486,-179.521,nd,361,nd,nd,S03-10,nd,17.50,696.51,0.00,105.21,9.89,740.62,13.81,0.00,0.00,496.41,335.02,172.71,0.00,73.42,0.00,40.55,0.00,0.00,3187.75,0.00,22.17,396.65,5.52,158.46,156.17,33.04,540.52,nd
NBP0601,S03,20051227,3,-74.486,-179.521,nd,361,nd,nd,S03-11,nd,19.27,530.38,0.00,87.60,7.90,601.58,10.72,0.00,0.00,366.21,249.43,114.50,0.00,33.67,0.00,26.01,0.00,0.00,2495.86,0.00,17.33,340.78,4.32,101.05,108.34,14.28,334.69,nd
