date,time,lat,lon,temp,sal,fluor,sample,mg_dvp_a5,chl_c2,chl_c1,peridinin,fucox_but,fucox,neox,prasinox,violax,fucox_hex,diadinox,cis_fucox,allox,diatox,monad,zeax,lutein,crocox,chl_a2,chl_a_tot,carotene_a,carotene_b,chl_c3,chl_b,chl_c_MVP,chlide,p_phorbide,p_phytin
20051220,0205,-52.2436,175.3571,9.885,34.09,2.553,U001,0.00,11.58,0.00,3.75,5.39,5.31,0.00,0.00,0.00,34.51,12.08,1.58,3.24,19.49,0.00,0.96,1.30,0.00,0.00,53.55,0.00,1.55,19.19,0.73,3.63,5.66,10.81,1.66
20051220,0308,-52.4202,175.4084,9.952,34.16,2.455,U002,0.00,13.54,0.00,5.16,5.19,6.39,0.00,0.00,0.00,38.15,17.32,2.25,4.06,21.11,0.00,1.24,1.37,0.00,0.00,50.33,0.00,1.93,40.10,0.48,4.24,23.04,13.30,1.54
20051220,0407,-52.5900,175.4575,9.846,34.18,2.624,U003,0.00,2.43,0.00,1.41,1.75,2.36,0.00,0.00,0.00,13.21,5.85,1.38,0.43,6.22,0.00,0.62,0.00,0.00,0.00,12.48,0.00,0.56,7.20,0.07,0.92,5.14,7.05,0.49
20051220,0523,-52.8096,175.5137,9.639,34.10,N/A,U004,0.00,13.18,0.00,5.16,8.64,6.21,0.00,0.00,0.00,38.19,20.18,2.94,4.46,10.99,0.00,1.60,1.49,0.00,0.00,53.84,0.00,1.61,27.85,0.62,3.77,13.69,16.89,1.76
20051220,0758,-52.9224,175.5447,9.266,34.18,N/A,U005,0.00,39.39,0.00,9.61,10.11,18.93,0.00,0.00,0.00,44.75,28.53,5.64,5.76,9.94,0.00,2.17,1.63,0.00,0.00,93.88,0.00,2.31,45.25,0.96,5.64,20.94,34.21,3.04
20051220,0915,-53.1261,175.6004,9.342,34.01,3.529,U006,0.00,21.38,0.00,6.22,12.83,6.92,0.00,0.00,0.00,70.76,26.21,3.82,7.64,8.75,0.00,1.42,2.62,0.00,0.00,84.28,0.00,2.06,50.00,1.18,8.06,20.16,23.41,3.32
20051220,1018,-53.2902,175.6459,9.411,34.05,3.557,U007,0.00,9.47,0.00,6.11,10.25,5.51,0.00,0.00,0.00,52.04,16.66,3.93,1.60,8.79,0.00,1.34,1.33,0.00,0.00,41.30,0.00,2.06,27.26,0.63,4.84,10.75,26.63,3.16
20051220,1137,-53.5021,175.7100,9.039,34.17,4.041,U008,0.00,32.25,0.00,10.64,8.61,20.13,0.00,0.00,0.00,46.13,29.26,6.13,1.73,9.29,0.00,1.82,1.65,0.00,0.00,78.15,0.00,2.89,58.24,1.27,6.99,5.44,61.60,4.35
20051220,1337,-53.8391,175.8033,8.615,34.13,N/A,U010,0.00,16.72,0.00,5.30,9.64,12.37,0.00,0.00,0.00,38.77,17.73,4.96,2.04,10.63,0.00,1.65,1.13,0.00,0.00,61.47,0.00,2.33,33.19,0.93,4.87,6.64,37.67,3.76
20051220,1441,-54.0129,175.8495,8.756,34.12,3.076,U011,0.00,15.46,0.00,4.87,7.25,7.02,0.00,0.00,0.00,42.60,14.66,2.46,0.88,6.42,0.00,2.06,1.53,0.00,0.00,60.33,0.00,2.09,34.19,1.07,5.96,7.49,19.65,4.10
20051220,1558,-54.2195,175.9035,8.793,34.12,2.973,U012,0.00,10.67,0.00,3.37,5.65,4.52,0.00,0.00,0.00,35.75,8.97,2.13,4.40,5.07,0.00,1.30,1.18,0.00,0.00,46.56,0.00,0.00,28.50,0.73,4.00,4.06,6.64,0.56
20051220,1627,-54.2955,175.9261,8.702,34.13,2.955,U013,0.00,11.47,0.00,6.50,10.78,8.05,0.00,0.00,0.00,41.37,18.17,0.82,3.59,7.88,0.00,2.15,2.19,0.00,0.00,66.41,0.00,1.81,30.41,1.14,5.25,12.02,16.02,2.15
