sta,date,lat,lon,depth_n,press,cast,bottle,time,sal,sal2,density,density2,temp,temp2,cond,cond2,fluor,trans,alt,par,cpar,spar,O2_v,O2_v2,potemp,potemp2,O2_ml_L1,O2_ml_L2,bottle_nuts,PO4,NO2,NO2_NO3,NH4,SiO4,Fo,Fa,Fo_Fa,chl_a,phaeo,dFe,cast_tmctd,lat_tmctd,lon_tmctd,bottle_tmctd,depth_tmctd,date_tmctd,time_tmctd,Bsi,PON,POC,filter_code_0_4micron,filter_id_0_4micron,vol_filt_0_4micron,Mg_0_4micron,Mg_3sd_0_4micron,Al_0_4micron,Al_3sd_0_4micron,Si_0_4micron,Si_3sd_0_4micron,P_0_4micron,P_3sd_0_4micron,S_0_4micron,S_3sd_0_4micron,Cl_0_4micron,Cl_3sd_0_4micron,K_0_4micron,K_3sd_0_4micron,Ca_0_4micron,Ca_3sd_0_4micron,Ti_0_4micron,Ti_3sd_0_4micron,V_0_4micron,V_3sd_0_4micron,Cr_0_4micron,Cr_3sd_0_4micron,Mn_0_4micron,Mn_3sd_0_4micron,Fe_P_0_4micron,Fe_P_3sd_0_4micron,Ni_0_4micron,Ni_3sd_0_4micron,Cu_0_4micron,Cu_3sd_0_4micron,Zn_0_4micron,Zn_3sd_0_4micron,Br_0_4micron,Br_3sd_0_4micron,Sr_0_4micron,Sr_3sd_0_4micron,Pb_0_4micron,Pb_3sd_0_4micron,prim_prod,prim_prod2,prim_prod3,filter_code_2micron,filter_id_2micron,vol_filt_2micron,Mg_2micron,Mg_err_2micron,Al_2micron,Al_err_2micron,Si_2micron,Si_err_2micron,P_2micron,P_err_2micron,S_2micron,S_err_2micron,Cl_2micron,Cl_err_2micron,K_2micron,K_err_2micron,Ca_2micron,Ca_err_2micron,Ti_2micron,Ti_err_2micron,V_2micron,V_err_2micron,Cr_2micron,Cr_err_2micron,Mn_2micron,Mn_err_2micron,Fe_P_2micron,Fe_P_err_2micron,Ni_2micron,Ni_err_2micron,Cu_2micron,Cu_err_2micron,Zn_2micron,Zn_err_2micron,Br_2micron,Br_err_2micron,Sr_2micron,Sr_err_2micron,Pb_2micron,Pb_err_2micron,hplc_sample_num,hplc_tot_vol_mL,hplc_tot_vol_L,hplc_vol_90pcnt_acetone,hplc_vol_CTX,hplc_vol_extract_uL,hplc_vol_extract_mL,hplc_inject_vol_sample,hplc_buff_vol,hplc_samp_buff_vol,hplc_vol_inj_samp_bot,hplc_buff_dil_factor,hplc_chl_c3,hplc_peri,hplc_but19,hplc_fuco,hplc_hex19,hplc_allo,hplc_cantha,hplc_chla_allo,hplc_chla,hplc_chla_epi,hplc_chla_sum,hplc_chl_c3_slope,hplc_peri_slope,hplc_but19_slope,hplc_fuco_slope,hplc_hex19_slope,hplc_allo_slope,hplc_cantha_slope,hplc_chla_slope,hplc_jeff_chl_c3,hplc_jeff_peri,hplc_jeff_19but,hplc_jeff_fuco,hplc_jeff_19hex,hplc_jeff_allo,hplc_jeff_cantha,hplc_jeff_chla,hplc_fluor_chl_a,hplc_fluor_phaeo_a
1,20120106,-72.181833,-159.01633,1,0.849,2,23,2253,33.8919,33.9026,27.2355,27.2442,-0.508,-0.5075,2.777813,2.778661,0.1067,93.4146,57.78,1303.1,59.235,2199.9,2.3367,2.3215,-0.508,-0.5075,7.40634,7.53611,1,1.76,0.134,28,0.133,51.1,4.61,2.36,1.953,0.99,0.19,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.41,7.34,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.986827,0.18583
1,20120106,-72.181833,-159.01633,10,10.32,2,21,2253,33.9167,33.9278,27.2571,27.266,-0.5413,-0.5409,2.777322,2.778178,0.3416,93.3862,9.55,451.93,20.381,2217.4,2.3301,2.3157,-0.5416,-0.5412,7.39866,7.52759,2,1.68,0.129,27.4,0.124,50.8,4.71,2.44,1.93,1,0.22,0.045,2,-72.182,-159.0165,12,10,20120106,2342,nd,1.27,5.55,1,6,3.5,4.56,1.21,2.58,0.55,9.81,0.37,11.47,0.35,3.94,0.25,6.85,0.42,nd,nd,5.17,0.28,0.34,0.21,nd,nd,nd,nd,nd,nd,1.28,0.13,nd,nd,0.31,0.09,0.1,0.1,0.62,0.08,0.1,0.12,nd,nd,nd,nd,nd,6,6,3.5,19.62,2.66,7.96,1.53,944.58,4.94,40.69,0.87,15.97,0.5,10.55,0.58,26.71,0.5,6.54,0.43,0.4,0.31,nd,nd,0.11,0.17,nd,nd,1.19,0.15,0.15,0.09,0.33,0.13,0.79,0.18,0.49,0.15,0.15,0.2,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.995598,0.216809
1,20120106,-72.181833,-159.01633,20,20.562,2,19,2253,33.9148,33.9262,27.2558,27.2651,-0.5486,-0.5476,2.777036,2.77797,0.4527,93.3049,98.61,225.96,10.155,2225.1,2.3266,2.3122,-0.5492,-0.5482,7.3977,7.52433,3,1.72,0.132,27.7,0.156,53.3,4.59,2.35,1.953,0.98,0.19,0.0467,2,-72.182,-159.0165,11,20,20120106,2342,nd,1.47,7.19,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.982441,0.185247
1,20120106,-72.181833,-159.01633,30,30.743,2,18,2253,33.9244,33.9302,27.265,27.2683,-0.5783,-0.5483,2.775747,2.778669,0.7474,93.4028,98.61,108.89,4.9831,2185.3,2.3134,2.3054,-0.5792,-0.5493,7.39243,7.52288,4,1.8,0.224,28.1,0.294,48.6,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
1,20120106,-72.181833,-159.01633,40,39.59,2,17,2253,34.021,34.0822,27.3649,27.4214,-1.1355,-1.3397,2.736974,2.724495,1.6072,93.8554,64.83,64.652,3.0845,2099.7,2.2063,2.1911,-1.1364,-1.3407,7.02521,7.12387,5,1.78,0.0948,27.8,0.0949,48.7,5.68,2.92,1.945,1.21,0.24,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.47,11.95,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.210507,0.240407
1,20120106,-72.181833,-159.01633,50,50.098,2,16,2253,34.0765,34.0837,27.4206,27.4254,-1.4591,-1.4295,2.714683,2.717646,1.7585,95.4198,35.2,34.376,1.6057,2140.9,2.0687,2.0721,-1.4602,-1.4306,6.61063,6.77183,6,1.88,0.066,28.8,0.117,50.7,5.05,2.65,1.906,1.05,0.26,0.0668,2,-72.182,-159.0165,10,50,20120106,2342,nd,1.07,8.28,1,3,3.8,2.76,1.14,1.83,0.51,7.68,0.34,9.31,0.32,1.5,0.23,11.24,0.47,0.29,0.14,2.91,0.24,nd,nd,nd,nd,nd,nd,nd,nd,0.44,0.09,0.05,0.05,0.23,0.08,nd,nd,0.58,0.08,nd,nd,nd,nd,nd,nd,nd,3,6,3.8,16.82,2.15,7.57,1.28,947.81,4.83,24.03,0.66,15.79,0.4,5.54,0.45,14.59,0.37,6.29,0.38,nd,nd,nd,nd,0.11,0.15,nd,nd,0.74,0.13,0.07,0.09,0.4,0.12,0.62,0.16,0.48,0.13,0.27,0.18,0.04,0.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.052615,0.264139
1,20120106,-72.181833,-159.01633,60,60.291,2,14,2253,34.1191,34.1246,27.4587,27.4629,-1.5782,-1.5674,2.70837,2.709662,1.2052,96.3251,98.58,18.264,0.8544,2137.7,2.018,2.0107,-1.5794,-1.5687,6.37079,6.46196,7,1.94,0.0637,29.2,0.121,52.1,nd,nd,nd,nd,nd,0.0484,2,-72.182,-159.0165,9,60,20120106,2342,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
1,20120106,-72.181833,-159.01633,70,70.596,2,12,2253,34.1366,34.1479,27.473,27.4822,-1.5819,-1.5816,2.709796,2.710632,0.8621,97.187,91.17,10.15,0.47629,2131.1,1.9924,1.989,-1.5834,-1.5831,6.2953,6.4123,8,1.99,0.0719,29.7,0.04,53.8,3.61,2.09,1.727,0.67,0.37,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.67,5,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.666656,0.371841
1,20120106,-72.181833,-159.01633,80,80.688,2,11,2253,34.1427,34.1557,27.4778,27.488,-1.5734,-1.562,2.711406,2.713286,0.6635,97.5428,98.58,6.3273,0.28478,2221.8,1.974,1.9679,-1.5751,-1.5637,6.24763,6.33564,9,1.98,0.069,30.1,0.024,53.8,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
1,20120106,-72.181833,-159.01633,100,101.35,2,10,2253,34.1943,34.1997,27.5107,27.5153,-1.2861,-1.2932,2.739915,2.739719,0.3801,98.0227,20.23,2.5558,0.11519,2218.9,1.9249,1.9167,-1.2886,-1.2957,5.99474,6.08429,10,2.05,0.0443,30.6,-0.0226,55.8,nd,nd,nd,nd,nd,0.0651,2,-72.182,-159.0165,8,100,20120106,2342,nd,nd,nd,1,8,4.3,2.09,1,1.92,0.46,11.72,0.33,6.17,0.27,0.92,0.2,9.56,0.41,0.36,0.12,1.98,0.2,0.16,0.17,nd,nd,0.15,0.09,nd,nd,0.42,0.08,nd,nd,0.25,0.07,0.09,0.09,0.58,0.07,nd,nd,nd,nd,nd,nd,nd,8,6,4.3,3.99,1.32,2.62,0.68,139.42,1,0.9,0.31,nd,nd,16.18,0.54,1.2,0.18,1.96,0.28,0.23,0.24,nd,nd,nd,nd,0.07,0.1,0.5,0.1,nd,nd,0.29,0.1,0.11,0.13,0.25,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
