STATION,DATE,BOTTLE,LATITUDE,LONGITUDE,DEPTH,SALINITY_CTD,TEMP_CTD,DOC,DOC_FLAG,TDN,TDN_FLAG,PHOSPHATE,PHOSPHATE_FLAG,SILICATE,SILICATE_FLAG,NITRATE,NITRATE_FLAG
2,20130212,1,-77.16650,168.33310,896.952,34.75,-1.88,44.02,2,33.31,2,2.20,2,87.48,2,30.49,2
2,20130212,3,-77.16650,168.33310,801.258,34.73,-1.88,45.33,2,34.68,2,2.10,2,81.78,2,30.11,2
2,20130212,4,-77.16650,168.33309,801.293,34.73,-1.88,45.53,2,32.20,2,-999,5,-999,5,-999,5
2,20130212,6,-77.16650,168.33308,701.163,34.72,-1.88,45.36,2,32.30,2,2.10,2,81.78,2,30.63,2
2,20130212,7,-77.16648,168.33306,600.292,34.71,-1.88,45.44,2,32.05,2,2.10,2,82.18,2,30.38,2
2,20130212,9,-77.16648,168.33309,449.223,34.66,-1.87,46.89,2,33.64,2,2.10,2,80.98,2,30.24,2
2,20130212,11,-77.16648,168.33307,299.959,34.54,-1.81,47.25,2,33.29,2,2.20,2,82.48,2,29.83,2
2,20130212,13,-77.16648,168.33308,198.296,34.42,-1.61,-999,5,-999,5,2.20,2,81.08,2,28.83,2
2,20130212,15,-77.16650,168.33306,99.368,34.24,-0.42,48.33,2,23.44,2,1.70,2,71.29,2,22.05,2
2,20130212,17,-77.16648,168.33308,50.233,34.05,-1.00,50.39,2,20.54,2,1.30,2,67.39,2,18.31,2
2,20130212,20,-77.16648,168.33306,5.076,33.92,-1.12,52.39,2,20.76,2,1.30,2,66.89,2,16.36,2
3,20130213,2,-76.41746,167.94026,716.753,34.76,-1.89,46.28,2,32.30,2,2.20,2,85.17,2,30.21,2
3,20130213,4,-76.41746,167.94029,600.282,34.73,-1.89,46.22,2,34.89,2,2.20,2,78.35,2,30.48,2
3,20130213,6,-76.41744,167.94032,500.577,34.72,-1.89,46.15,2,33.08,2,2.20,2,84.39,2,30.44,2
3,20130213,8,-76.41746,167.94026,400.242,34.72,-1.89,47.12,2,32.85,2,2.10,2,77.86,2,30.43,2
3,20130213,10,-76.41746,167.94030,299.847,34.70,-1.89,47.23,2,33.39,2,2.10,2,74.75,2,30.38,2
3,20130213,12,-76.41746,167.94028,200.940,34.67,-1.89,48.25,2,32.72,2,2.10,2,78.45,2,30.38,2
3,20130213,14,-76.41746,167.94027,100.283,34.63,-1.86,48.34,2,32.09,2,2.20,2,76.11,2,30.56,2
3,20130213,16,-76.41746,167.94030,39.051,34.51,-1.59,50.62,2,29.06,2,1.90,2,70.65,2,26.01,2
