Cast,Date,Time,ISO_Date_Time,Latitude,Longitude,Depth,Niskin,Sample_Num,Filt_vol,Chl_C3,Chl_lide,MgDvp,Chl_C2,Chl_C1,Peridinin,Ph_ide,But19,Fuco,Neo,Prasino,Viola,Hex19,DD,cis_Fuco,Allo,Diato,Monad,Zeax,Lutein,Croco,Chl_b,Chlorophyll_c2_MGDG,Chlorophyll_a_allomer,DV_Chl_a,Chl_a,Ph_tin,a_Car,b_Car,Total_Chl_a
CTD_2,20130212,2311,2013-02-12T23:11:00.00Z,-77.166500,168.332917,5.0,18,1,1.075,207,103,30,420,0,10,16,22,218,0,63,0,2168,95,55,6,11,15,0,0,4,0,273,17,0,1246,26,0,6,1366
CTD_2,20130212,2311,2013-02-12T23:11:00.00Z,-77.166500,168.332917,50.0,17,2,1.875,114,72,22,247,0,13,14,22,188,0,31,0,1090,45,38,3,5,9,0,0,3,0,163,5,0,733,19,0,6,809
CTD_2,20130212,2311,2013-02-12T23:11:00.00Z,-77.166500,168.332917,99.5,16,3,2.120,59,42,9,98,0,4,7,13,84,0,0,0,533,15,15,1,3,7,0,3,0,0,77,0,0,333,12,0,0,375
CTD_3,20130213,0600,2013-02-13T06:00:00.00Z,-76.416667,167.933333,2.0,20,1,1.060,428,842,178,1465,29,117,397,72,2412,3,23,3,472,402,696,2,93,20,0,0,7,0,39,109,0,2018,204,0,87,2969
CTD_3,20130213,0600,2013-02-13T06:00:00.00Z,-76.416667,167.933333,20.0,18,2,1.060,394,588,173,1294,25,92,278,64,2057,2,24,2,447,331,598,2,80,17,0,0,8,0,55,106,0,2370,155,0,70,3064
CTD_3,20130213,0600,2013-02-13T06:00:00.00Z,-76.416667,167.933333,40.0,16,3,1.060,154,189,43,454,8,48,68,36,876,1,9,0,231,87,230,2,21,6,0,0,3,0,18,47,0,1274,56,0,19,1510
CTD_4,20130213,2022,2013-02-13T20:22:00.00Z,-74.999200,167.118000,4.9,20,1,1.060,485,573,0,1937,0,69,432,79,3811,8,18,5,341,784,1010,25,148,322,0,0,9,0,11,69,0,3674,285,0,111,4316
CTD_4,20130213,2022,2013-02-13T20:22:00.00Z,-74.999200,167.118000,15.0,18,2,1.060,363,648,104,1744,44,124,0,43,2376,0,31,3,203,487,640,18,62,194,0,0,9,0,11,41,0,1325,218,0,71,2014
CTD_4,20130213,2022,2013-02-13T20:22:00.00Z,-74.999200,167.118000,25.0,16,3,1.060,154,135,31,470,0,72,64,49,920,3,12,0,188,93,239,4,23,9,0,0,0,0,11,40,0,1394,68,0,18,1569
CTD_5,20130214,0055,2013-02-14T00:55:00.00Z,-74.907500,165.811667,1.8,20,1,1.060,283,236,107,1085,20,137,639,64,1918,7,6,5,76,437,411,3,39,109,0,0,5,0,24,14,0,1657,129,0,85,1907
CTD_5,20130214,0055,2013-02-14T00:55:00.00Z,-74.907500,165.811667,14.0,18,2,1.060,253,236,112,1084,0,190,652,55,1744,9,8,0,72,382,386,4,33,106,0,0,4,0,26,13,0,1407,113,56,0,1655
CTD_5,20130214,0055,2013-02-14T00:55:00.00Z,-74.907500,165.811667,60.0,16,3,1.060,108,142,35,392,0,233,167,29,811,16,0,0,49,93,153,0,6,43,0,0,0,0,22,13,0,987,58,9,0,1142
CTD_5,20130214,0055,2013-02-14T00:55:00.00Z,-74.907500,165.811667,100.0,14,4,1.060,13,62,0,98,0,110,37,17,187,7,7,0,67,20,30,0,0,0,0,0,0,0,28,1,0,312,22,0,0,375
CTD_6,20130214,0841,2013-02-14T08:41:00.00Z,-74.099333,165.095167,0.0,20,1,1.060,292,453,91,849,18,171,0,54,1384,0,24,2,101,272,386,1,28,110,0,0,6,0,13,25,0,775,69,0,37,1253
CTD_6,20130214,0841,2013-02-14T08:41:00.00Z,-74.099333,165.095167,30.0,18,2,1.060,77,160,43,303,0,179,105,18,671,0,26,0,59,85,171,0,27,0,0,0,0,0,17,19,0,897,43,0,10,1075
CTD_6,20130214,0841,2013-02-14T08:41:00.00Z,-74.099333,165.095167,60.0,16,3,1.060,46,105,18,149,0,117,40,16,327,0,20,0,81,44,73,3,15,0,0,0,0,0,2,15,0,456,27,0,1,576
CTD_6,20130214,0841,2013-02-14T08:41:00.00Z,-74.099333,165.095167,75.0,14,4,1.060,94,74,0,75,0,51,19,38,127,0,17,0,124,11,24,2,5,0,0,0,0,0,0,29,0,283,18,0,0,385
CTD_6,20130214,0841,2013-02-14T08:41:00.00Z,-74.099333,165.095167,139.0,12,5,2.120,34,32,0,40,0,0,3,31,63,0,13,0,209,6,16,1,2,0,0,0,0,0,0,39,0,195,9,0,0,266
CTD_7,20130214,1712,2013-02-14T17:12:00.00Z,-75.696533,165.862517,5.0,20,1,1.060,112,0,73,532,0,247,216,0,1082,0,36,0,35,137,0,2,39,0,0,0,5,0,0,0,0,1207,57,0,27,1207
CTD_7,20130214,1712,2013-02-14T17:12:00.00Z,-75.696533,165.862517,15.0,18,2,1.060,21,0,24,167,0,48,39,0,391,0,0,0,13,28,0,0,12,0,0,0,0,0,0,0,0,465,17,0,0,465
