Sample_Num,Date,Time,ISO_Date_Time,Latitude,Longitude,Filt_vol,Chl_C3,Chl_lide,MgDvp,Chl_C2,Chl_C1,Peridinin,Ph_ide,But19,Fuco,Neo,Prasino,Viola,Hex19,DD,cis_Fuco,Allo,Diato,Monad,Zeax,Lutein,Croco,Chl_b,Chlorophyll_c2_MGDG,Chlorophyll_a_allomer,DV_Chl_a,Chl_a,Ph_tin,a_Car,b_Car,Total_Chl_a
1,20130216,0329,2013-02-16T03:29:00.00Z,-76.500950,172.163867,1.06,37,0,26,198,4,8,17,0,317,0,6,0,662,53,85,0,28,27,0,0,0,0,88,5,0,612,16,0,3,617
2,20130216,0425,2013-02-16T04:25:00.00Z,-76.500150,172.000467,1.06,14,0,16,166,5,9,11,0,317,0,7,0,767,70,81,0,36,38,2,0,10,0,114,16,0,679,20,0,11,695
3,20130216,0601,2013-02-16T06:01:00.00Z,-76.520950,171.957667,1.06,30,0,30,240,0,9,23,0,444,0,4,0,630,76,130,0,28,0,9,0,14,0,105,41,0,814,28,0,12,855
4,20130216,2008,2013-02-16T20:08:00.00Z,-75.994150,177.695017,1.06,0,0,23,116,0,3,8,10,233,0,8,0,557,44,73,0,28,12,0,0,17,0,91,36,0,544,10,0,8,580
5,20130216,2103,2013-02-16T21:03:00.00Z,-75.955050,177.443133,1.06,5,0,45,178,3,11,22,0,399,0,4,0,481,56,118,0,22,15,5,0,13,0,83,44,0,715,33,0,7,758
6,20130216,2159,2013-02-16T21:59:00.00Z,-75.937183,177.133583,1.06,80,86,21,239,0,1,17,18,283,0,0,0,713,53,43,0,5,7,0,0,0,0,108,2,0,658,22,0,0,746
7,20130216,2305,2013-02-16T23:05:00.00Z,-75.998867,176.974350,1.06,54,0,26,213,0,0,12,27,228,0,8,0,780,44,70,0,34,0,0,1,10,0,125,14,0,637,16,0,0,652
8,20130217,0000,2013-02-17T00:00:00.00Z,-76.013500,176.818350,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20130218,2227,2013-02-18T22:27:00.00Z,-75.682783,169.012667,1.06,263,0,51,1585,39,59,446,86,1864,7,8,2,278,547,553,4,105,297,0,0,15,0,69,32,0,1608,70,0,62,1640
10,20130218,0206,2013-02-18T02:06:00.00Z,-75.607100,169.000000,1.06,241,629,77,1607,28,54,472,73,1899,10,6,2,175,567,561,14,79,304,0,0,5,0,41,23,0,1160,60,0,54,1813
