STATION,DATE,BOTTLE,LATITUDE,LONGITUDE,DEPTH,SAL,TEMP,TCO2,TALK,POC,d13C_POM,PON,d15N_POM
2,02/12/13,1,-77.1665,168.3331,897,34.75,-1.88,2238.5,2358.6,20.60,-27.18,2.67,-1.08
2,02/12/13,3,-77.1665,168.3331,801,34.73,-1.88,2231.4,2354.3,nd,nd,nd,nd
2,02/12/13,5,-77.1665,168.33308,701,34.72,-1.88,2230.8,2351.1,nd,nd,nd,nd
2,02/12/13,6,-77.1665,168.33308,701,34.72,-1.88,nd,nd,27.61,-28.61,2.18,1.96
2,02/12/13,7,-77.16648,168.33306,600,34.71,-1.88,2229.9,2352.2,nd,nd,nd,nd
2,02/12/13,9,-77.16648,168.33309,449,34.66,-1.87,2231.3,2350.2,26.51,-28.51,4.21,3.36
2,02/12/13,11,-77.16648,168.33307,300,34.54,-1.81,nd,2334.6,nd,nd,nd,nd
2,02/12/13,13,-77.16648,168.33308,198,34.42,-1.61,2215.6,2334.2,49.63,-29.38,8.23,0.17
2,02/12/13,15,-77.1665,168.33306,99,34.24,-0.42,2170.7,2333.0,nd,nd,nd,nd
2,02/12/13,17,-77.16648,168.33308,50,34.05,-1.00,2134.7,2315.5,139.42,-28.95,27.69,0.93
2,02/12/13,19,-77.16648,168.33306,5,33.92,-1.12,2109.4,2307.6,173.06,-28.68,31.41,1.79
3,02/13/13,1,-76.41746,167.94028,716,34.76,-1.89,2242.0,2356.3,18.37,-26.14,3.47,-4.83
3,02/13/13,3,-76.41745,167.9403,601,34.73,-1.89,2235.6,2354.9,28.27,-28.23,3.65,1.86
3,02/13/13,5,-76.41744,167.9403,500,34.72,-1.89,2235.6,2348.6,13.97,-27.49,2.41,5.69
3,02/13/13,7,-76.41746,167.94028,400,34.72,-1.89,2232.9,2349.7,17.33,-27.97,2.83,6.26
3,02/13/13,9,-76.41746,167.9403,300,34.70,-1.89,nd,2350.6,23.56,-28.04,3.55,4.37
3,02/13/13,11,-76.41746,167.94028,200,34.67,-1.89,2229.7,2345.6,24.28,-27.57,4.38,3.69
3,02/13/13,13,-76.41746,167.94028,99,34.63,-1.86,2227.0,2344.8,30.41,-25.76,6.95,5.05
3,02/13/13,15,-76.41746,167.94032,39,34.52,-1.62,2195.8,2336.7,172.23,-28.62,36.40,0.87
3,02/13/13,17,-76.41744,167.94032,20,34.27,-0.95,2149.2,2330.4,342.53,-29.46,74.15,0.90
3,02/13/13,19,-76.41746,167.9403,2,34.27,-0.95,2154.0,nd,403.65,-29.17,86.63,1.22
4,02/13/13,1,-74.99922,167.11801,588,34.79,-1.90,2246.4,2359.8,16.59,-26.44,3.41,-8.52
4,02/13/13,3,-74.99922,167.118,500,34.77,-1.90,2234.2,2356.8,12.62,-26.94,1.94,3.02
4,02/13/13,5,-74.99922,167.11804,401,34.73,-1.90,2230.0,2355.1,18.26,-27.62,2.04,2.26
4,02/13/13,7,-74.99922,167.11802,301,34.70,-1.89,nd,nd,nd,-30.65,nd,1.68
4,02/13/13,11,-74.99922,167.11807,100,34.64,-1.88,2243.1,2343.7,23.53,-28.41,3.46,5.70
4,02/13/13,13,-74.99922,167.11802,51,34.59,-1.58,2227.3,2336.0,33.58,-29.45,6.43,4.03
4,02/13/13,15,-74.99922,167.11806,25,34.51,-1.49,2197.5,2331.4,148.37,-27.60,29.33,2.08
4,02/13/13,17,-74.9992,167.11806,15,33.74,-1.01,2102.9,2301.0,432.41,-30.20,91.85,2.45
4,02/13/13,19,-74.9992,167.11805,5,33.55,-1.46,2086.3,2273.6,467.16,-30.23,97.49,2.37
5,02/14/13,1,-74.98525,165.83502,1092,34.79,-1.88,2216.3,2359.6,12.11,-26.81,2.33,-2.66
5,02/14/13,3,-74.9846,165.84037,901,34.78,-1.89,2216.2,2356.9,10.90,-27.55,1.53,5.66
5,02/14/13,5,-74.98365,165.8463,701,34.77,-1.90,2203.1,2357.2,10.86,-27.04,2.12,5.08
5,02/14/13,7,-74.98262,165.85154,501,34.74,-1.89,2228.7,2356.0,18.81,-27.63,2.88,5.82
5,02/14/13,10,-74.98144,165.85729,303,34.72,-1.89,nd,nd,19.95,-27.81,3.13,7.33
5,02/14/13,11,-74.98076,165.8602,201,34.69,-1.83,2206.3,2350.1,30.16,-26.61,5.88,5.81
5,02/14/13,13,-74.98008,165.86329,100,34.63,-1.83,2225.0,2347.4,44.89,-25.04,9.27,4.14
5,02/14/13,15,-74.97958,165.86577,59,34.30,-1.60,2187.3,2335.5,122.66,-25.46,26.86,2.65
5,02/14/13,17,-74.97904,165.86838,14,33.63,-1.78,2097.3,2307.0,256.12,-27.10,52.72,2.29
5,02/14/13,19,-74.97874,165.86964,2,33.62,-1.78,2065.4,2294.5,388.38,-28.32,79.94,2.16
6,02/14/13,1,-74.99334,165.96159,1038,34.79,-1.88,nd,2357.5,11.72,-26.41,2.41,3.04
6,02/14/13,3,-74.99324,165.96274,999,34.79,-1.88,nd,2356.3,16.00,-27.63,2.07,5.51
6,02/14/13,5,-74.99314,165.96416,900,34.78,-1.89,nd,2358.7,10.39,-26.90,2.34,4.01
6,02/14/13,7,-74.99296,165.96541,800,34.78,-1.89,nd,2357.4,6.90,-26.71,2.30,7.78
6,02/14/13,10,-74.99279,165.9668,700,34.77,-1.90,nd,nd,14.20,-26.54,2.37,5.70
6,02/14/13,11,-74.99234,165.97284,139,34.66,-1.89,2223.8,2347.6,25.05,-29.55,5.02,4.16
6,02/14/13,13,-74.99224,165.97439,75,34.61,-1.79,2219.1,2345.7,40.93,-27.10,9.61,3.82
6,02/14/13,15,-74.99218,165.97494,60,34.52,-1.54,2202.2,nd,77.07,-25.22,17.29,2.58
6,02/14/13,17,-74.99208,165.9758,30,34.19,-1.68,2183.0,2338.2,123.09,-25.43,26.99,2.80
6,02/14/13,19,-74.99197,165.97674,1,33.72,-1.76,2098.5,2302.7,337.23,-27.35,71.01,2.08
7,02/14/13,1,-75.69604,165.86336,613,34.77,-1.90,2227.3,2358.1,13.35,-26.92,2.66,1.36
7,02/14/13,3,-75.69596,165.86393,500,34.73,-1.89,2230.8,2357.2,15.18,-27.08,2.48,6.04
7,02/14/13,5,-75.69598,165.86424,400,34.72,-1.89,2221.7,2346.0,17.21,-27.52,2.94,5.18
7,02/14/13,7,-75.69586,165.8644,300,34.70,-1.89,2224.2,2353.3,25.44,-29.19,4.01,1.91
