Event_Num,Event_Name,Event_Type,Station,Operator,Start_Date_UTC,Start_Time_UTC,Latitude,Longitude,Notes
1,CTD-1,CTD,1,Rob,2017-12-26,19:07,-64.721933,-87.279883,nd
2,TMR-1,TMR,2,Mak,2017-12-27,18:02,-66.603117,-94.728233,No samples taken
3,CTD-2,CTD,3,Rob,2017-12-29,22:17,-70.173067,-113.613583,nd
4,TMR-2,TMR,4,Mak,2017-12-30,01:23,-72.750667,-116.000983,nd
5,CTD-3,CTD,4,Rob,2017-12-31,02:34,-72.750667,-116.000983,nd
6,Tow Fish,Tow Fish,4,Mak,2017-12-31,03:35,-72.750667,-116.000983,Incubation experiment 1
7,McLane Pump-1,McLane Pump,4,Mak,2017-12-31,08:50,-72.750667,-116.000983,nd
8,CTD-4,CTD,5,Rob,2017-12-31,16:10,-73.303383,-116.988817,nd
9,CTD-5,CTD,6,Rob,2017-12-31,21:27,-73.985683,-117.960467,nd
10,CTD-6,CTD,7,Rob,2018-01-01,15:50,-72.508533,-122.166733,nd
11,Test Net Tow-1,Net Tow,7,Dawn,2018-01-01,16:00,-72.508533,-122.166733,nd
12,Metal Pole Sample 1,Pole Sample,7,Mak,2018-01-01,16:40,-72.508533,-122.166733,nd
13,Slush Pole Sample 1,Pole Sample,nd,Mak,2018-01-01,21:40,-72.440933,-123.723183,nd
14,CTD-7,CTD,8,Rob,2018-01-01,22:57,-72.448133,-123.820250,nd
15,Slush Pole Sample 2,Pole Sample,nd,Mak,2018-01-02,16:27,-72.368683,-128.530233,nd
16,CTD-8,CTD,9,Rob,2018-01-02,18:03,-72.411550,-128.929917,nd
17,Slush Pole Sample 3,Pole Sample,nd,Mak,2018-01-02,23:00,-72.645667,-129.867167,nd
18,CTD-9,CTD,10,Rob,2018-01-03,02:10,-73.054267,-129.988167,nd
19,TMR-3,TMR,10,Mak,2018-01-03,03:39,-73.051708,-129.974600,Hydraulic leak - possible contamination
20,CTD-10,CTD,11,Rob,2018-01-03,15:20,-74.047317,-133.764167,nd
21,McLane Pump-2,McLane Pump,11,Mak,2018-01-03,16:45,-74.004585,-133.766500,nd
22,Net Tow-2,Net Tow,11,Dawn,2018-01-03,18:00,-74.004585,-133.766500,nd
23,TMR-4,TMR,11,Mak,2018-01-03,19:58,-74.049000,-133.739467,nd
24,CTD-11,CTD,12,Rob,2018-01-03,23:46,-74.472517,-133.944000,nd
25,CTD-12,CTD,13,Rob,2018-01-04,14:14,-74.812783,-141.012100,nd
26,CTD-13,CTD,14,Rob,2018-01-05,01:48,-74.967250,-145.061800,nd
27,Tow Fish,Tow Fish,14,Mak,2018-01-05,02:45,-74.965167,-145.224117,nd
28,TMR-5,TMR,15,Mak,2018-01-05,14:51,-75.864000,-151.917917,nd
29,CTD-14,CTD,15,Rob,2018-01-05,16:30,-75.867650,-151.947417,nd
29.5,Bucket Sample 1,Bucket Sample,15,Corie,2018-01-05,nd,-75.867650,-151.947417,nd
30,McLane Pump-3,McLane Pump,15,Mak,2018-01-05,17:30,-75.867650,-151.947417,nd
31,Tow Fish,Tow Fish,15,Mak,2018-01-05,nd,-75.867650,-151.947417,nd
32,CTD-15,CTD,16,Rob,2018-01-06,03:52,-76.589783,-154.051300,nd
32.5,Net Tow-3,Net Tow,16,Dawn,2018-01-06,nd,-76.589783,-154.051300,nd
33,CTD-16,CTD,17,Rob,2018-01-06,17:12,-77.463350,-161.041217,nd
34,Net Tow-4,Net Tow,17,Dawn,2018-01-06,nd,-77.463350,-161.041217,nd
35,CTD-17,CTD,18,Rob,2018-01-07,02:07,-78.629683,-163.586817,nd
36,CTD-18,CTD,19,Rob,2018-01-07,15:37,-77.434800,-173.536900,nd
37,CTD-19,CTD,20,Rob,2018-01-08,01:00,-76.713583,-179.818617,nd
38,Net Tow-5,Net Tow,20,Dawn,2018-01-08,00:57,-76.713583,-179.818617,nd
39,TMR-6,TMR,20,Mak,2018-01-08,02:00,-76.713583,-179.818617,nd
40,CTD-20,CTD,21,Rob,2018-01-08,15:55,-75.539783,-169.875600,nd
41,CTD-21,CTD,22,Rob,2018-01-09,05:07,-75.013333,-165.358133,Terra Nova Bay
42,Net Tow-6,Net Tow,22,Dawn,2018-01-09,06:00,-75.013333,-165.358133,nd
43,Glider Deployment,Glider,22,Corie,2018-01-09,04:00,-75.001550,-165.355217,nd
44,TMR-7,TMR,22,Mak,2018-01-09,15:56,-75.001117,-165.363033,nd
45,Sediment Trap Deployment,Sediment Trap,22,Rob,2018-01-09,nd,-75.001117,-165.363033,nd
46,McLane Pump-4,McLane Pump,22,Mak/Dawn,2018-01-09,21:15,-75.003833,-165.348833,nd
47,Plankton Tow 1,Net Tow,22,Corie,2018-01-09,nd,-75.004250,-165.361000,nd
48,IKM Trawl - 1,IKM Trawl,nd,Corie,2018-01-10,01:14,-75.016883,-165.324083,nd
49,CTD-22,CTD,23,Rob,2018-01-10,03:51,-75.002650,-165.781150,nd
