Date_sampled,Cruise,Station,Latitude,Longitude,Bottle_Number,Depth,Bottom_depth,Temperature,Conductivity,dO2,Fluorescence,Transmisson_pct,PAR,Salinity,PO4,NO3_NO2,Silicate,NO2,NH4
2017-12-31,NBP18-01,4,-72.751,-116.001,1,653.7,685,0.7258,29.686417,4.4168,0.0235,98.3352,nd,34.6397,2.40,32.5,106.2,0.04,0.70
2017-12-31,NBP18-01,4,-72.751,-116.001,2,649.9,685,0.7251,29.684185,4.4158,0.0276,98.339,nd,34.6398,nd,nd,nd,nd,nd
2017-12-31,NBP18-01,4,-72.751,-116.001,3,599.9,685,0.1888,29.110466,4.6622,0.0197,98.6998,nd,34.5192,2.45,33.5,101.9,0.01,0.00
2017-12-31,NBP18-01,4,-72.751,-116.001,4,500,685,-0.7427,28.114146,5.1594,0.0305,98.6786,nd,34.3017,2.40,31.5,93.2,-0.01,0.08
2017-12-31,NBP18-01,4,-72.751,-116.001,5,450,685,-1.4005,27.478972,5.8206,0.0396,98.7241,nd,34.2147,2.35,31.3,87.2,0.01,0.04
2017-12-31,NBP18-01,4,-72.751,-116.001,6,400,685,-1.7316,27.154639,6.2354,0.0471,98.6873,nd,34.1772,2.34,31.0,84.7,0.02,-0.01
2017-12-31,NBP18-01,4,-72.751,-116.001,7,300,685,-1.793,27.049936,6.2572,0.0532,98.6707,nd,34.1654,2.31,31.0,87.1,0.01,0.00
2017-12-31,NBP18-01,4,-72.751,-116.001,8,200,685,-1.7866,27.001773,6.327,0.1797,98.4893,nd,34.1546,2.33,30.7,86.0,0.10,0.02
2017-12-31,NBP18-01,4,-72.751,-116.001,9,100,685,-1.7745,26.925121,6.4562,0.1917,98.419,nd,34.0981,2.28,32.1,83.2,0.13,0.02
2017-12-31,NBP18-01,4,-72.751,-116.001,10,50,685,-1.7404,26.899278,6.8391,2.108,94.6203,nd,34.0554,2.29,29.9,87.4,0.08,0.26
2017-12-31,NBP18-01,4,-72.751,-116.001,11,30,685,-1.4518,27.123164,7.6025,3.8445,93.323,nd,34.0482,2.17,28.7,85.1,0.07,0.08
2017-12-31,NBP18-01,4,-72.751,-116.001,12,10,685,0.487,28.724077,8.0213,2.1493,90.1394,nd,34.0343,2.04,26.8,81.5,0.16,0.20
2018-01-03,NBP18-01,10,-73.054,-129.988,1,459.9,489,1.0728,29.955026,4.3047,0.0235,98.2791,nd,34.7136,2.38,31.9,105.9,0.11,0.09
2018-01-03,NBP18-01,10,-73.054,-129.988,2,399.6,489,0.0471,28.871076,4.814,0.0527,98.0928,nd,34.4822,2.38,31.5,93.9,0.04,0.06
2018-01-03,NBP18-01,10,-73.054,-129.988,3,350,489,-0.7494,28.069911,5.3886,0.0336,97.3748,nd,34.3414,2.39,31.5,85.4,0.03,0.03
2018-01-03,NBP18-01,10,-73.054,-129.988,4,300.2,489,-1.2068,27.606044,5.7348,0.043,98.3842,nd,34.2617,2.35,32.1,82.8,0.00,0.02
2018-01-03,NBP18-01,10,-73.054,-129.988,5,250.2,489,-1.5997,27.207533,6.0919,0.0514,98.3707,nd,34.1936,2.35,32.3,84.3,0.01,0.02
2018-01-03,NBP18-01,10,-73.054,-129.988,6,200,489,-1.7787,27.011369,6.4053,0.0715,98.3303,nd,34.1589,2.28,32.4,87.7,0.04,0.04
2018-01-03,NBP18-01,10,-73.054,-129.988,7,150,489,-1.8139,26.948066,6.4876,0.1356,98.1337,nd,34.1436,2.27,30.5,83.7,0.11,0.11
2018-01-03,NBP18-01,10,-73.054,-129.988,8,100.1,489,-1.8054,26.927274,6.6058,0.1999,98.0713,nd,34.1367,2.28,31.8,87.3,0.20,0.19
2018-01-03,NBP18-01,10,-73.054,-129.988,9,50.2,489,-1.7556,26.937872,6.6461,0.3793,97.4068,nd,34.1267,2.27,31.5,85.2,0.15,0.40
2018-01-03,NBP18-01,10,-73.054,-129.988,10,20.1,489,-1.3644,27.185446,7.1499,7.7872,88.26,nd,34.0408,2.08,27.0,78.9,0.11,0.53
2018-01-03,NBP18-01,10,-73.054,-129.988,12,9.9,489,-0.8135,27.524217,7.6352,5.7674,88.8854,nd,33.8861,1.94,26.1,79.9,0.14,0.44
2018-01-03,NBP18-01,11,-74.047,-133.764,1,342.2,370,-1.1229,27.704168,5.6663,0.0409,97.9709,nd,34.2736,2.38,31.8,85.6,0.08,0.60
2018-01-03,NBP18-01,11,-74.047,-133.764,2,300,370,-1.1313,27.676865,5.6763,0.0617,97.9908,nd,34.2725,2.38,31.7,85.8,0.03,0.27
2018-01-03,NBP18-01,11,-74.047,-133.764,3,250,370,-1.3758,27.418377,5.8926,0.0679,98.3985,nd,34.2288,2.36,31.2,85.4,0.00,0.40
2018-01-03,NBP18-01,11,-74.047,-133.764,4,200,370,-1.567,27.206156,6.1339,0.0465,98.4314,nd,34.1863,2.34,30.9,84.0,0.01,0.42
2018-01-03,NBP18-01,11,-74.047,-133.764,5,150,370,-1.6635,27.087111,6.2847,0.0616,98.463,nd,34.1642,2.33,32.0,85.4,0.04,0.11
2018-01-03,NBP18-01,11,-74.047,-133.764,6,100,370,-1.7765,26.940928,6.538,0.3262,97.9955,nd,34.1225,1.87,22.3,76.7,0.05,0.58
2018-01-03,NBP18-01,11,-74.047,-133.764,7,74.9,370,-1.7661,26.920704,6.6011,0.7556,96.6018,nd,34.0989,2.19,29.5,81.9,0.13,0.67
2018-01-03,NBP18-01,11,-74.047,-133.764,8,50,370,-1.6286,26.988207,6.8256,4.0245,92.1852,nd,34.0508,2.18,28.0,80.5,0.10,0.46
