Date,Station,Latitude,Longitude,Depth,Niskin,Sample,Fltr_Vol,Chl_C3,Chl_lide,MgDVP,Chl_C2,Chl_C1,Peridinin,Ph_ide,But_19,Fuco,Neo,Prasino,Viola,Hex_19,Diadino,cis_fuco,Allo,Diato,Monad,Zea,Lutein,Croco,Chl_b,Chl_a_allomer,Chl_C2_MGDG,DV_Chl_a,Chl_a,Ph_tin,a_Car,b_Car
2017-12-31,5,-73.30348,-116.9882,5,UW,1,1.06,20.1,241.8,23,616.8,435.2,10,156.9,8.4,58.2,8,3.7,26.7,16.2,137.3,11.7,37.8,44.8,0,53,16.9,13,97.7,0,38.2,25.8,466.6,42.6,0,44.4
2017-12-31,5,-73.30348,-116.9882,10,24,2,1.06,55.1,270,41.7,1104.6,0,28.8,199.9,17,109.6,9.7,6.3,34.3,24.5,167,18.2,23.2,13.9,0,39,10.9,11.4,97.1,13.9,39.4,0,758.9,51.1,0,32.1
2017-12-31,5,-73.30348,-116.9882,20,21,3,1.06,122.4,261.6,57,1372.4,227.7,12.8,125.3,10.4,162.3,7.8,8.2,11.1,32.3,80,27.9,14.7,7.2,0,33.6,12,7,92.2,16.2,50.8,34.7,1159.2,59.5,0,27.3
2017-12-31,5,-73.30348,-116.9882,30,18,4,1.06,119.3,200.9,41.1,1195.8,0,9.4,111.8,11.4,130.6,0,0,13.4,33.6,46.9,24.1,0,0,0,0,0,0,71.5,15.8,53.1,31.4,953.7,51.4,0,19.7
2017-12-31,5,-73.30348,-116.9882,50,15,5,1.06,57.6,54.3,30.3,553.9,298.4,4.6,52.6,16,66.7,6.6,8.1,10.7,39.6,22,12.9,0,0,0,0,0,0,92.6,13.8,55.7,28,594.0,46.4,0,10.6
2017-12-31,5,-73.30348,-116.9882,100,11,6,1.06,17.3,0,0,93.4,0,0,29.1,10.3,13.1,0,0,0,18.8,6.7,0,0,0,0,0,0,0,20.1,0,34.9,0,70.1,0,0,0
2017-12-31,6,-73.98582,-117.9601,5,UW,1,1.06,11.5,21.4,17.3,276.1,127.4,5.5,46.3,8.7,30.7,6,5,13.5,11.7,64.4,8,0,12.6,0,40.9,10.1,10.1,66.7,13,30.9,0,410.3,60.5,0,19.4
2017-12-31,6,-73.98582,-117.9601,20,23,2,1.06,11.1,49.6,18,315.7,165.8,6.9,58.1,9,34.1,6.9,5.4,32.5,10.3,97.1,8.7,0,28.7,0,44.6,12.6,0,81.9,13.6,33,0,502.1,49.5,0,24.7
2017-12-31,6,-73.98582,-117.9601,60,21,3,1.06,25.8,19.4,25.7,310.4,84,4.9,52.6,9.2,37.1,6.2,7,17.9,15.5,24.3,9.6,0,5.9,0,34.8,8.1,0,76.7,12.9,32.6,0,393.8,42.9,0,9.9
2017-12-31,6,-73.98582,-117.9601,100,19,4,1.06,27.9,0,25.6,199.5,0,0,43.3,8.9,25.6,5.7,6.6,12.4,18,13.7,7.7,0,0,0,31.6,0,0,68.3,0,39.7,0,267.6,41,0,5.5
2017-12-31,6,-73.98582,-117.9601,150,17,5,1.06,37.4,0,22.2,236.7,0,0,40.3,13.1,28.2,5,5.8,9.5,21.6,13.9,7.2,0,0,0,30.4,0,0,62.8,0,39.9,0,315.0,37.1,0,5
2018-01-01,8,-72.44818,-123.8206,5,UW,1,1.06,60.5,71.6,30,770,199.8,5.8,69.7,10.7,57,7.3,4.3,17.1,67,56,14.6,0,17,0,34.6,10.1,14.3,110.7,13.6,83.3,51.6,769.4,57.7,0,13.2
2018-01-01,8,-72.44818,-123.8206,10,24,2,1.06,114.8,86.2,36.2,1040.4,171.8,6.3,65.1,12.6,60.3,11.2,4.7,25.4,159.6,56.4,15.1,0,21.2,0,33.5,10.3,21.8,168.5,14.6,153,56.8,1004.6,67.6,0,19.6
2018-01-01,8,-72.44818,-123.8206,20,19,3,1.06,135.7,22.8,29.8,919.7,0,0,55.2,14.7,39.1,6.3,6.4,10.1,165,26.7,10.9,0,16.5,0,0,0,8.5,88.1,13.9,163.5,54.1,805.7,52.1,0,7.6
2018-01-01,8,-72.44818,-123.8206,30,17,4,1.06,97.4,0,26.2,569.5,0,0,41.3,12.8,29.5,5.6,5.5,9.2,95.6,18.6,9.2,0,11.1,0,0,0,0,72.7,13.2,105.1,39.8,517.9,39,0,4.2
2018-01-01,8,-72.44818,-123.8206,50,13,5,1.06,49.6,0,12.6,238.2,0,0,29.5,14.8,16.8,4.2,3.9,0,47.8,11,0,0,0,0,0,0,0,47.2,0,65.2,27,240.3,33.9,0,0.5
2018-01-03,10,-73.05435,-129.9882,5,UW,1,1.06,83.8,48.4,25.7,813.1,181.2,0,51.8,7.3,28.4,4.5,8.3,8.2,146.4,48.8,9.4,0,32.1,0,33.6,8.9,0,48,12.7,144.4,52.8,649.7,50.1,0,0
2018-01-03,10,-73.05435,-129.9882,10,24,2,1.06,245.7,42.4,32.7,1860.5,0,4.7,57.3,17.4,56.1,5.1,0,0,391.2,78.9,16,0,51.5,0,36.3,8.7,0,48.4,17.4,374.8,80.7,1415.7,88.8,0,14.8
2018-01-03,10,-73.05435,-129.9882,20,20,3,1.06,181.8,29.6,27.4,1192.8,0,0,48.5,16.5,38.4,0,0,0,222.2,34.3,12.5,0,20.8,0,0,0,0,35.2,13.8,251.1,53.7,874.2,68.9,0,8
2018-01-03,11,-74.04732,-133.7641,5,UW,1,0.28,981.1,460.3,142.6,9016.2,0,26.4,368.4,37.7,260.6,0,0,0,1803,373.1,63.6,0,0,0,0,0,0,104.2,72.8,1654.2,311.1,5822.9,313.3,0,50.6
2018-01-03,11,-74.04732,-133.7641,10,23,2,0.28,916.8,334.6,139.2,8005.6,631.9,24.8,375.4,35.7,268.6,0,0,0,1729.6,414.1,63.5,0,0,0,0,0,0,88.7,62.6,1447.4,254.3,5346.4,285.2,0,47.1
2018-01-03,11,-74.04732,-133.7641,20,19,3,0.28,402.7,84.8,0,3317,0,19.5,186.2,22.4,131,0,0,0,530.4,112.2,39.2,0,44,0,0,0,0,87.1,0,546.1,158.8,2341.3,199.7,0,17
2018-01-03,11,-74.04732,-133.7641,30,15,4,0.28,180.2,0,0,1539.7,0,0,146.8,21.7,78.7,0,0,0,230.1,56.1,26.9,0,22.8,0,0,0,0,76.2,0,279.9,106.8,1037.3,159.1,0,1.4
2018-01-03,11,-74.04732,-133.7641,50,11,5,0.28,57.3,0,0,398.7,0,0,0,0,41.4,0,0,0,77.1,26.6,0,0,0,0,0,0,0,0,0,139.8,0,216.4,120.6,0,0
2018-01-03,12,-74.47272,-133.9445,5,UW,1,0.43,665,305.4,103.5,6086.1,0,16.7,285.7,20.8,199.1,0,0,0,963.3,244.2,49.9,0,0,0,0,0,0,75.7,44.2,959.5,272.4,3888.3,250.2,0,30.4
2018-01-03,12,-74.47272,-133.9445,10,24,2,0.415,710.3,276.5,128.6,6498.6,0,18.8,314.8,20.8,210.4,0,0,0,974.5,237.9,56.4,0,0,0,0,0,0,78.1,51.3,1046,285.4,4279.1,254.2,0,37.7
2018-01-03,12,-74.47272,-133.9445,20,19,3,0.41,674.7,242.6,108.2,6170.2,0,20.3,257.9,28.2,214,0,0,0,900.8,191.9,44.3,0,0,0,0,0,0,85.4,43.3,919.2,248.5,4141.2,251.9,0,35.5
2018-01-03,12,-74.47272,-133.9445,50,16,4,0.485,549.8,162.3,80.6,4427.8,0,24.7,203.6,20.8,143.3,0,0,0,504.3,113.7,33.4,0,0,0,0,0,0,65.5,42.1,663.5,242.6,3322.0,199.5,0,27.6
2018-01-03,12,-74.47272,-133.9445,100,14,5,0.49,437.1,84.7,64.3,3002.8,0,11.8,157.8,19.7,99.9,0,0,0,314.4,80,27,0,0,0,0,0,0,62.4,34.5,461.7,179.8,2490.9,200.5,0,20.2
2018-01-03,12,-74.47272,-133.9445,150,12,6,0.715,214.7,34.6,37.8,1441.5,0,7.1,90.6,15,55.4,0,0,0,161.8,44,15.1,0,0,0,0,0,0,37.1,22.5,240,89.4,1216.0,98.1,0,9.6
2018-01-04,13,-74.81275,-141.0121,5,UW,1,0.775,302.3,147.2,63.2,2839.7,0,0,248.1,16,131.2,0,0,0,305.5,97,25.4,0,0,0,0,0,0,63.9,22.7,326.8,145.7,2106.6,127.7,0,18.5
2018-01-04,13,-74.81275,-141.0121,10,22,2,0.735,306.7,172.4,63.6,2994.9,0,0,258.3,16.7,140.7,0,0,0,300.2,102.7,26.9,0,0,0,0,0,0,67.5,27,330.6,155.2,2206.2,140.5,0,20.6
2018-01-04,13,-74.81275,-141.0121,20,19,3,0.825,281.5,160.8,57.4,2632.5,0,0,238,15.1,127,0,0,0,258.5,83.2,23.5,0,0,0,0,0,0,54,0,270,127.1,1942.3,122.5,0,17.8
2018-01-05,14,-74.96723,-145.0618,5,UW,1,0.905,219.8,124,40.7,1931.6,0,0,89.1,15.7,70.1,0,0,0,463.4,133,18,0,0,0,0,0,0,41.3,16.7,324.3,53.2,1424.0,75.2,0,14.5
2018-01-05,14,-74.96723,-145.0618,10,22,2,1.06,9.4,15.6,0,75.8,0,0,0,0,10.4,0,0,0,12.1,6.6,0,0,0,0,0,0,0,0,0,0,0,35.3,0,0,0
2018-01-05,14,-74.96723,-145.0618,20,19,3,1.06,7.6,15.2,0,66.6,0,0,0,0,10.2,0,0,0,11.2,6.4,0,0,0,0,0,0,0,0,0,0,0,29.2,0,0,0
2018-01-05,14,-74.96723,-145.0618,50,16,4,1.06,0,0,0,0,0,0,0,0,8.5,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0
2018-01-05,14,-74.96723,-145.0618,100,14,5,1.06,0,0,0,0,0,0,0,0,8.2,0,0,0,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
2018-01-05,15,-75.86768,-151.9467,5,UW,1,0.2,1367,398.5,125.5,9524.1,0,0,239.1,0,188.2,0,0,0,2832,454.2,53.1,0,0,0,0,0,0,102.8,80.7,2170.1,241.2,6177.9,305.5,0,45.2
2018-01-05,15,-75.86768,-151.9467,10,23,2,0.15,1761.3,438,136.1,12410.3,0,0,344,114.9,223.3,0,0,0,4020.9,566.6,78.8,0,0,0,0,0,0,141.4,99.1,3003.4,271.2,8178.7,415.4,0,63
2018-01-05,15,-75.86768,-151.9467,30,20,3,0.15,1239.2,302.1,90.3,7548,0,0,457.6,88.5,158.2,0,0,0,1903.7,203.1,55.6,0,0,0,0,0,0,0,0,1670,290.5,5082.5,386.2,0,25.8
2018-01-05,15,-75.86768,-151.9467,50,17,4,1.06,83.5,21.6,0,665.3,0,0,125.3,0,32,0,0,0,96.5,26.8,8.1,0,0,0,0,0,0,23.1,0,119.9,32.7,483.9,94.9,0,6.3
2018-01-05,15,-75.86768,-151.9467,100,13,5,1.06,22.7,23.8,0,143.9,0,0,79.4,8.9,21.2,0,0,0,26,14.9,0,0,0,0,0,0,0,19,0,41.8,0,122.1,47.2,0,0.5
2018-01-06,16,-76.58977,-154.0518,5,UW,1,0.15,1430,478.7,169.7,11648.1,0,0,0,75.7,244.2,0,0,0,3453,825.6,82.3,0,0,0,0,0,0,137.2,100.9,2625.8,252.2,7163.0,477,0,61.5
2018-01-06,16,-76.58977,-154.0518,10,23,2,0.15,1422.3,250.3,82.3,10254.9,0,0,0,69.6,227.5,0,0,0,2423.2,392.2,71.6,0,0,0,0,0,0,137.3,92.4,2172,316.7,6304.1,379,0,44
2018-01-06,16,-76.58977,-154.0518,20,20,3,0.2,916.1,119.6,51.2,5835.6,0,0,253.5,39.8,150.4,0,0,0,1051.6,132.7,45.7,0,0,0,0,0,0,99.1,0,1217.9,267,3941.4,272.3,0,19.6
2018-01-06,16,-76.58977,-154.0518,30,17,4,0.2,504.7,0,0,3053.4,0,0,250.8,26.9,112.3,0,0,0,545,82.3,38.1,0,0,0,0,0,0,0,0,734.8,184.9,2255.2,217.7,0,9.3
2018-01-06,16,-76.58977,-154.0518,50,14,5,1.06,282,30.6,16.1,1452.2,0,0,141.4,10.9,49.7,0,0,0,255.2,40,11.2,0,0,0,0,0,0,20.2,16.4,349.8,86.2,1209.2,83,0,6.6
2018-01-06,17,-77.46335,-161.0412,5,UW,1,0.388,906.6,390.6,104,6600.2,0,0,125.4,75.1,153,0,0,0,1739.7,400.5,43.8,0,0,0,0,0,0,52.7,51.5,1398,186.7,4270.8,185.5,0,39.1
2018-01-06,17,-77.46335,-161.0412,10,22,2,0.272,1027.7,309.3,110.4,7117.5,0,0,193.2,41.1,140.8,0,0,0,1909,347,45.5,0,0,0,0,0,0,71.5,55.9,1602.9,205,4669.9,252.3,0,38.9
2018-01-06,17,-77.46335,-161.0412,20,19,3,0.317,763.1,236.5,57.2,4567.8,0,0,188.1,34.5,111.4,0,0,0,1054.2,148.7,34,0,25.7,0,0,0,31.4,65.9,46,987.7,181.4,3133.7,232.6,0,23.9
2018-01-06,17,-77.46335,-161.0412,30,16,4,0.865,283.4,96.3,26.4,1730.6,0,0,210.1,22.3,54.9,0,0,0,440.4,69,14.6,0,0,0,0,0,0,23.2,18.4,418.1,68.6,1287.1,141.1,0,10.1
2018-01-06,17,-77.46335,-161.0412,50,13,5,1.06,48.6,23.5,8.3,269.8,0,0,84.1,9.1,20.3,0,0,0,70.4,15.9,0,0,0,0,0,0,0,0,0,80.2,0,210.0,49.8,0,1.6
2018-01-07,18,-78.6294,-163.5889,5,UW,1,0.25,765.5,363.2,83.6,5791,0,0,169.5,34.7,129.2,0,0,0,1490.8,331.5,48,0,80.2,0,0,0,0,0,56.6,1257.9,164.1,3437.4,193,0,24.7
2018-01-07,18,-78.6294,-163.5889,10,24,2,0.25,1003.1,308.7,92.3,6712.9,0,0,225.7,35.3,156.7,0,0,0,1715.8,294.1,49.5,0,0,0,0,0,0,0,54.9,1541.1,180.3,4251.6,211.8,0,26.2
2018-01-07,18,-78.6294,-163.5889,20,20,3,0.25,1106.7,267.3,92.8,7033,0,0,244.8,33.8,152.8,0,0,0,1829.7,285.4,50.3,0,30.8,0,0,0,0,0,65.9,1672.7,240.9,4596.6,197.8,0,29
2018-01-07,18,-78.6294,-163.5889,30,17,4,0.25,925.6,205.9,64.1,5625.7,0,0,206.1,27,127.7,0,0,0,1436,190.8,43.1,0,0,0,0,0,0,0,0,1281.5,186.7,3701.7,212.6,0,25.7
2018-01-07,18,-78.6294,-163.5889,50,15,5,0.25,844.6,112,46.3,4759.3,0,0,236.5,30,119.2,0,0,0,1290.5,165.2,40.3,0,0,0,0,0,0,0,0,1083.9,181.8,3460.4,218.2,0,20.9
2018-01-07,18,-78.6294,-163.5889,75,11,6,0.25,686,71.8,32.1,3454.1,0,0,245.9,34.1,87.7,0,0,0,1198.8,146.1,33.2,0,0,0,0,0,0,0,0,962.2,148.8,2648.2,234,0,20.4
2018-01-07,19,-77.4348,-173.5369,5,UW,1,1.06,22.3,54,13.1,285,160.6,0,0,5.7,14.1,0,0,0,63.9,40,0,26.5,11.6,0,0,0,0,0,0,55,0,179.3,33.3,0,3.2
2018-01-07,19,-77.4348,-173.5369,10,23,2,1.06,16.7,63.5,13.6,241.5,125.6,0,30,6,12.7,0,0,0,59.2,51.2,0,29.6,10.4,0,0,0,0,0,0,48.5,0,142.7,31.7,0,4.1
2018-01-07,19,-77.4348,-173.5369,20,20,3,1.06,24,52.8,0,335.4,0,0,35.1,10.2,15.8,0,0,0,82.5,45.9,7.1,21.8,9.4,0,0,0,0,0,0,58.6,0,166.3,31.9,0,2.2
2018-01-07,19,-77.4348,-173.5369,50,17,4,1.06,36.2,0,30.4,322.9,0,0,36.1,8.2,33.5,7.7,8.1,17.1,36,13.9,8.5,16.6,0,0,0,0,6.8,97.4,0,43.1,0,333.0,48.3,0,4.4
2018-01-07,19,-77.4348,-173.5369,100,13,5,1.06,18,0,0,91.2,0,0,0,10.4,11,0,0,0,32.3,6.8,7.2,0,0,0,0,0,0,24.8,0,38.7,0,67.6,35.3,0,0
2018-01-08,20,-76.71358,178.1814,5,UW,1,1.06,22.2,38.2,0,240,0,0,34.4,8.1,13.4,0,0,0,68.3,47.4,0,34.2,25.9,0,0,0,0,0,0,57.1,0,183.1,33,0,5.4
2018-01-08,20,-76.71358,178.1814,10,23,2,1.06,42.8,0,0,287.8,0,5,47.6,11.3,11.1,0,0,0,101.9,66.1,7.3,34.7,24.7,0,34.1,0,0,0,0,63.3,0,227.2,37,0,9.6
2018-01-08,20,-76.71358,178.1814,30,20,3,1.06,87.4,34,0,622.7,0,11.4,62,21.8,30.3,0,0,0,211.2,59.2,10,0,12,0,44.2,0,0,18.5,0,138.8,0,477.6,48.6,0,7.8
2018-01-08,20,-76.71358,178.1814,50,17,4,1.06,113.6,0,12,506,0,8.2,54.5,37.1,35.1,0,0,0,156.6,26.6,9.2,0,0,0,0,0,0,21.1,14.2,132.5,26.3,494.8,64.2,0,0
2018-01-08,20,-76.71358,178.1814,100,13,5,1.06,29.9,0,0,125.4,0,0,38.2,11.5,11.9,0,0,0,50,10.4,0,0,0,0,0,0,0,0,0,50.8,0,111.6,59.6,0,0.1
2018-01-08,21,-75.53978,168.1244,5,UW,1,1.06,13,22.8,6.8,239.1,0,0,42.5,5.4,20.2,0,0,0,21.5,29.2,7.8,0,0,0,0,0,0,20.2,0,36.3,0,164.1,32.2,0,2.3
2018-01-08,21,-75.53978,168.1244,15,23,2,1.06,11.5,27.1,0,167.8,0,0,30.4,8.8,16.8,0,0,0,28.6,38,0,0,0,0,0,0,0,0,0,33.3,0,110.4,30.7,0,2.5
2018-01-08,21,-75.53978,168.1244,40,20,3,1.06,204.2,49.7,16.5,901.5,0,0,40.4,23.1,17.7,0,0,0,468.8,65.1,8.7,0,16.9,0,0,0,0,0,0,301.7,0,650.2,47.1,0,6.9
2018-01-08,21,-75.53978,168.1244,60,17,4,1.06,232.6,41.4,12.6,908.1,0,0,76.6,35.9,28,0,0,0,422.6,33.4,9.2,0,0,0,0,0,0,0,0,298.3,0,701.6,119.7,0,0.6
2018-01-08,21,-75.53978,168.1244,100,14,5,1.06,41,0,0,148.9,0,0,40.7,8.7,12.8,0,0,0,72.4,11.8,0,0,0,0,0,0,0,0,0,64.8,0,128.9,57.4,0,0.9
2018-01-09,22,-75.00133,164.6416,5,UW,1,0.54,360.2,501.5,70.4,4203.4,0,0,278.6,20.2,214.6,0,0,0,599.2,313.1,41.1,0,33.3,0,0,0,0,41.1,29.1,546.5,87.5,2427.3,132.2,0,27.6
2018-01-09,22,-75.00133,164.6416,10,24,2,0.46,549.9,829.6,102.6,5929,0,0,301.7,30.2,287.8,0,0,0,930.9,367.6,56.9,0,35.3,0,0,0,0,47.4,36.7,878.9,106.2,3181.7,163.7,0,35.6
2018-01-09,22,-75.00133,164.6416,25,20,3,0.51,543.8,356.1,40.9,4605.4,0,0,209.9,20.9,196,0,0,0,684.4,138.4,43.2,0,0,0,0,0,0,41.3,31.7,716.7,145.8,3048.7,167.8,0,27.7
2018-01-09,22,-75.00133,164.6416,40,18,4,1.06,209.4,98.4,29,1364.1,0,0,109.2,10.7,64.8,0,0,0,224.5,64.8,15.1,0,6.6,0,0,0,0,18.5,13.9,249.9,64.8,1023.6,81.6,0,15.9
2018-01-09,22,-75.00133,164.6416,75,14,5,1.06,46.4,32.3,6,356.9,0,0,66.4,6.2,31.7,0,0,0,53.2,28.8,8,0,0,0,0,0,0,0,0,70.4,24.6,258.7,43.1,0,3
