Station,Lat_deg_N,Lon_deg_E,Collection_datetime,Bottle,Depth_m,Fe_D_CONC_BOTTLE,Fe_D_CONC_BOTTLE_FLAG,Mn_D_CONC_BOTTLE,Mn_D_CONC_BOTTLE_FLAG,Ni_D_CONC_BOTTLE,Ni_D_CONC_BOTTLE_FLAG,Cu_D_CONC_BOTTLE,Cu_D_CONC_BOTTLE_FLAG,Zn_D_CONC_BOTTLE,Zn_D_CONC_BOTTLE_FLAG,Cd_D_CONC_BOTTLE,Cd_D_CONC_BOTTLE_FLAG
4,-72.750667,-116.000983,2017-12-30 01:23,S4-01,653.7,0.58,1,1.04,1,6.59,1,2.35,1,6.3,1,0.74,1
4,-72.750667,-116.000983,2017-12-30 01:23,S4-02,649.9,0.61,1,1.06,1,6.62,1,2.30,1,6.3,1,0.75,1
4,-72.750667,-116.000983,2017-12-30 01:23,S4-03,599.9,0.61,1,1.34,1,6.59,1,2.12,1,6.0,1,0.75,1
4,-72.750667,-116.000983,2017-12-30 01:23,S4-04,500,0.47,1,0.74,1,6.51,1,2.76,1,5.9,1,0.78,1
4,-72.750667,-116.000983,2017-12-30 01:23,S4-05,450,0.00,6,0.90,1,6.35,1,1.93,1,4.7,1,0.71,1
4,-72.750667,-116.000983,2017-12-30 01:23,S4-06,400,0.08,1,1.19,1,6.55,1,1.95,1,4.7,1,0.71,1
4,-72.750667,-116.000983,2017-12-30 01:23,S4-07,300,0.20,1,1.28,1,6.24,1,2.00,1,4.8,1,0.67,1
4,-72.750667,-116.000983,2017-12-30 01:23,S4-08,200,0.22,1,1.51,1,6.40,1,2.06,1,5.0,1,0.68,1
4,-72.750667,-116.000983,2017-12-30 01:23,S4-09,100,1.12,4,2.58,1,6.68,1,2.33,1,5.6,1,0.72,1
4,-72.750667,-116.000983,2017-12-30 01:23,S4-10,50,0.08,1,2.82,1,6.40,1,2.10,1,4.8,1,0.67,1
4,-72.750667,-116.000983,2017-12-30 01:23,S4-11,30,0.06,1,2.87,1,6.22,1,2.09,1,4.1,1,0.64,1
4,-72.750667,-116.000983,2017-12-30 01:23,S4-12,10,0.01,1,2.64,1,6.28,1,2.00,1,3.5,1,0.64,1
10,-73.054267,-129.988167,2018-01-03 03:39,S10-1,459.9,0.95,1,0.27,1,6.89,1,2.62,1,6.6,1,0.77,1
10,-73.054267,-129.988167,2018-01-03 03:39,S10-2,399.6,2.18,3,0.75,1,6.63,1,2.35,1,6.2,1,0.78,1
10,-73.054267,-129.988167,2018-01-03 03:39,S10-3,350,1.09,1,0.66,1,6.62,1,2.27,1,6.1,1,0.79,1
10,-73.054267,-129.988167,2018-01-03 03:39,S10-4,300.2,0.34,1,0.73,1,6.48,1,2.22,1,5.6,1,0.76,1
10,-73.054267,-129.988167,2018-01-03 03:39,S10-5,250.2,0.26,1,0.90,1,6.49,1,2.25,1,5.3,1,0.75,1
10,-73.054267,-129.988167,2018-01-03 03:39,S10-6,200,0.66,1,1.01,1,6.47,1,2.22,1,5.3,1,0.73,1
10,-73.054267,-129.988167,2018-01-03 03:39,S10-7,150,8.14,4,1.05,1,6.42,1,2.24,1,5.3,1,0.69,1
10,-73.054267,-129.988167,2018-01-03 03:39,S10-8,100.1,0.34,1,1.33,1,6.42,1,2.19,1,5.0,1,0.69,1
10,-73.054267,-129.988167,2018-01-03 03:39,S10-9,50.2,0.33,1,1.59,1,6.39,1,2.20,1,4.9,1,0.66,1
10,-73.054267,-129.988167,2018-01-03 03:39,S10-10,20.1,0.34,1,1.27,1,6.40,1,2.17,1,4.1,1,0.61,1
10,-73.054267,-129.988167,2018-01-03 03:39,S10-12,9.9,0.75,1,1.26,1,6.24,1,2.18,1,3.7,1,0.55,1
11,-74.047317,-133.764167,2018-01-03 19:58,S11-1,342.2,0.49,1,1.44,1,6.34,1,1.96,1,5.3,1,0.77,1
