Cruise,BODC_stn,Orig_stn,ODV_type,Gear,Latitude[deg+veN],Longitude[deg+veE],W_depth[metres],yyyy-mm-ddThh24:mi:ss[GMT],Site,Bot_depth[metres],Bot_press[db],BODC_bot,Bot_Flag,Rosette_Pos,Firing_Seq,Bot_Ref,ABCRHPP1[ng/l],QV:BODC,ABCRSDP1[ng/l],QV:BODC,ALLOHPP1[ng/l],QV:BODC,ALLOSDP1[ng/l],QV:BODC,ANTHHPP1[ng/l],QV:BODC,ANTHSDP1[ng/l],QV:BODC,ASTAXHP1[ng/l],QV:BODC,ASTAXHSD[ng/l],QV:BODC,BBCAHPP1[ng/l],QV:BODC,BBCASDP1[ng/l],QV:BODC,BECAHPP1[ng/l],QV:BODC,BECASDP1[ng/l],QV:BODC,BUTAHPP1[ng/l],QV:BODC,BUTASDP1[ng/l],QV:BODC,C1C2HPP1[ng/l],QV:BODC,C1C2SDP1[ng/l],QV:BODC,C2MEHPC1[ng/l],QV:BODC,C2MEHPCU[ng/l],QV:BODC,C2MEHPE1[ng/l],QV:BODC,C2MEHUCU[ng/l],QV:BODC,C2MEHUE1[ng/l],QV:BODC,CANXHPP1[ng/l],QV:BODC,CBDVHPP1[ng/l],QV:BODC,CBDVSDP1[ng/l],QV:BODC,CHLBHPP1[ng/l],QV:BODC,CHLBSDP1[ng/l],QV:BODC,CHLC1HP1[ng/l],QV:BODC,CHLC1HSD[ng/l],QV:BODC,CHLCHPP1[ng/l],QV:BODC,CHLCSDP1[ng/l],QV:BODC,CIDAHPP1[ng/l],QV:BODC,CIDASDP1[ng/l],QV:BODC,CIDBHPP1[ng/l],QV:BODC,CIDBSDP1[ng/l],QV:BODC,CLAAHPP1[ng/l],QV:BODC,CLAASDP1[ng/l],QV:BODC,CLAEHPP1[ng/l],QV:BODC,CLAESDP1[ng/l],QV:BODC,CLC2HPP1[ng/l],QV:BODC,CLC2SDP1[ng/l],QV:BODC,CLC3HPP1[ng/l],QV:BODC,CLC3SDP1[ng/l],QV:BODC,CPHLFLP1[mg/m^3],QV:BODC,CPHLHPP1[mg/m^3],QV:BODC,DIADHPP1[ng/l],QV:BODC,DIADSDP1[ng/l],QV:BODC,DIATHPP1[ng/l],QV:BODC,DIATSDP1[ng/l],QV:BODC,DINXHPP1[ng/l],QV:BODC,DINXSDP1[ng/l],QV:BODC,DVCAHPP1[ng/l],QV:BODC,DVCASDP1[ng/l],QV:BODC,DVCBHPP1[ng/l],QV:BODC,DVCBSDP1[ng/l],QV:BODC,FUCSHPP1[ng/l],QV:BODC,FUCXHPP1[ng/l],QV:BODC,FUCXSDP1[ng/l],QV:BODC,GDHPLC01[ng/l],QV:BODC,GDIESDP1[ng/l],QV:BODC,HEXOHPP1[ng/l],QV:BODC,HEXOSDP1[ng/l],QV:BODC,HEXSHPP1[ng/l],QV:BODC,K4HXHPP1[ng/l],QV:BODC,LUTNHPP1[ng/l],QV:BODC,LUTNSDP1[ng/l],QV:BODC,M320HPP1[ng/l],QV:BODC,M335HPP1[ng/l],QV:BODC,MAASHPP1[ng/l],QV:BODC,MASTHPP1[ng/l],QV:BODC,MDCAHPP1[ng/l],QV:BODC,MDVPHPP1[ng/l],QV:BODC,MDVPSDP1[ng/l],QV:BODC,MEPAHPP1[ng/l],QV:BODC,MM2GHPP1[ng/l],QV:BODC,MMMSHPP1[ng/l],QV:BODC,MMMTHPP1[ng/l],QV:BODC,MMSEHPP1[ng/l],QV:BODC,MMYGHPP1[ng/l],QV:BODC,MMYTHPP1[ng/l],QV:BODC,MPALHPP1[ng/l],QV:BODC,MPASHPP1[ng/l],QV:BODC,MPNEHPP1[ng/l],QV:BODC,MPOLHPP1[ng/l],QV:BODC,MPORHPP1[ng/l],QV:BODC,MPSSHPP1[ng/l],QV:BODC,MSHIHPP1[ng/l],QV:BODC,MSMEHPP1[ng/l],QV:BODC,MUSUHPP1[ng/l],QV:BODC,MVACHPP1[ng/l],QV:BODC,MVACSDP1[ng/l],QV:BODC,MVC3HPP1[ng/l],QV:BODC,MZPAHPP1[ng/l],QV:BODC,NEOXHPP1[ng/l],QV:BODC,NEOXSDP1[ng/l],QV:BODC,PBAXHPP1[ng/l],QV:BODC,PBAXSDP1[ng/l],QV:BODC,PBBXHPP1[ng/l],QV:BODC,PBZZHPP1[ng/l],QV:BODC,PERIHPP1[ng/l],QV:BODC,PERISDP1[ng/l],QV:BODC,PRFUHPP1[ng/l],QV:BODC,PRSXHPP1[ng/l],QV:BODC,PRSXSDP1[ng/l],QV:BODC,PTAXHPP1[ng/l],QV:BODC,PTAXSDP1[ng/l],QV:BODC,PTBXHPP1[ng/l],QV:BODC,PTBXSDP1[ng/l],QV:BODC,PTZZHPP1[ng/l],QV:BODC,PYPTHPP1[ng/l],QV:BODC,SDCLHPP1[mg/m^3],QV:BODC,VILXHPP1[ng/l],QV:BODC,VILXSDP1[ng/l],QV:BODC,VINEHPP1[ng/l],QV:BODC,VINESDP1[ng/l],QV:BODC,ZELUHPP1[ng/l],QV:BODC,ZELUSDP1[ng/l],QV:BODC,ZEOXHPP1[ng/l],QV:BODC,ZEOXSDP1[ng/l],QV:BODC
AMT1,1502343,CTD03,b,CTD,47.0132,-19.9849, ,27/09/1995 11:00,-,8.4,8.5,501659,0, , , ,,N,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,22.09, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,17.33, ,,N,,N,,N,21.03, ,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.1927, ,11.32, ,,N,,N,,N,0, ,,N,59.03, ,,N,,N,,N,,N,20.11, ,,N,,N,,N,49.62, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,100.61, ,,N,,N,,N,,N,,N,,N,,N,0, ,,N,0, ,,N,,N,0, ,,N,,N,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,47.08, ,,N
AMT1,1502343,CTD03,b,CTD,47.0132,-19.9849, ,27/09/1995 11:00,-,20.5,20.7,501658,0, , , ,,N,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,11.77, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,7.89, ,,N,,N,,N,12.26, ,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.1499, ,12.8, ,,N,,N,,N,0, ,,N,49.33, ,,N,,N,,N,,N,17.13, ,,N,,N,,N,39.44, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,72.98, ,,N,,N,,N,,N,,N,,N,,N,0, ,,N,0, ,,N,,N,4.7, ,,N,,N,,N,64.24, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,39.7, ,,N
AMT1,1502343,CTD03,b,CTD,47.0132,-19.9849, ,27/09/1995 11:00,-,30.5,30.8,501657,0, , , ,,N,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,16.18, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,11.22, ,,N,,N,,N,15.77, ,,N,9.11, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.1649, ,18.49, ,,N,,N,,N,0, ,,N,46.51, ,,N,,N,,N,,N,18.71, ,,N,,N,,N,44.72, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,92.37, ,,N,,N,,N,,N,,N,,N,,N,0, ,,N,0, ,,N,,N,0, ,,N,,N,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,54.36, ,,N
AMT1,1502343,CTD03,b,CTD,47.0132,-19.9849, ,27/09/1995 11:00,-,41.3,41.6,501656,0, , , ,,N,,N,9.82, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,83.02, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,73.41, ,,N,,N,,N,69.79, ,,N,65.03, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.3605, ,0, ,,N,,N,,N,0, ,,N,117.31, ,,N,,N,,N,,N,47.33, ,,N,,N,,N,135.49, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,177.59, ,,N,,N,,N,,N,,N,,N,,N,0, ,,N,0, ,,N,,N,13.44, ,,N,,N,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,38.93, ,,N
AMT1,1502343,CTD03,b,CTD,47.0132,-19.9849, ,27/09/1995 11:00,-,50.9,51.3,501655,0, , , ,,N,,N,4.09, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,71.26, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,88.8, ,,N,,N,,N,81.98, ,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.3419, ,9.93, ,,N,,N,,N,0, ,,N,129.66, ,,N,,N,,N,,N,46.86, ,,N,,N,,N,85.67, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,139.71, ,,N,,N,,N,,N,,N,,N,,N,0, ,,N,0, ,,N,,N,9.88, ,,N,,N,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,30.27, ,,N
AMT1,1502344,CTD04,b,CTD,42.2547,-20.0313, ,28/09/1995 13:39,-,8,8.1,501667,0, , , ,,N,,N,11.5, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,7.63, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,7.45, ,,N,,N,,N,0, ,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.122, ,0, ,,N,,N,,N,0, ,,N,33.85, ,,N,,N,,N,,N,0, ,,N,,N,,N,23.37, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,69.19, ,,N,,N,,N,,N,,N,,N,,N,0, ,,N,0, ,,N,,N,0, ,,N,,N,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,58.44, ,,N
AMT1,1502344,CTD04,b,CTD,42.2547,-20.0313, ,28/09/1995 13:39,-,30.6,30.8,501666,0, , , ,,N,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,17.57, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,10.69, ,,N,,N,,N,29.21, ,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.2326, ,12.28, ,,N,,N,,N,0, ,,N,140.66, ,,N,,N,,N,,N,19.42, ,,N,,N,,N,48.93, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,13.29, ,,N,,N,,N,,N,,N,,N,,N,0, ,,N,0, ,,N,,N,0, ,,N,,N,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,68.08, ,,N
AMT1,1502344,CTD04,b,CTD,42.2547,-20.0313, ,28/09/1995 13:39,-,51.4,51.8,501665,0, , , ,,N,,N,4.39, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,53.61, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,37.27, ,,N,,N,,N,141.55, ,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.2784, ,12.94, ,,N,,N,,N,0, ,,N,36.58, ,,N,,N,,N,,N,34.47, ,,N,,N,,N,175.08, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,221.37, ,,N,,N,,N,,N,,N,,N,,N,0, ,,N,0, ,,N,,N,18.07, ,,N,,N,,N,140.14, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,25.86, ,,N
AMT1,1502344,CTD04,b,CTD,42.2547,-20.0313, ,28/09/1995 13:39,-,61.4,61.9,501664,0, , , ,,N,,N,3.41, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,49.95, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,53.29, ,,N,,N,,N,85.01, ,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.2806, ,11.4, ,,N,,N,,N,0, ,,N,52.69, ,,N,,N,,N,,N,27.43, ,,N,,N,,N,139.04, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,198.44, ,,N,,N,,N,,N,,N,,N,,N,0, ,,N,0, ,,N,,N,15.89, ,,N,,N,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,38.84, ,,N
AMT1,1502344,CTD04,b,CTD,42.2547,-20.0313, ,28/09/1995 13:39,-,70.9,71.5,501663,0, , , ,,N,,N,3.73, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,48.27, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,75.38, ,,N,,N,,N,74.45, ,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,0.2814, ,8.13, ,,N,,N,,N,0, ,,N,84.3, ,,N,,N,,N,,N,35.56, ,,N,,N,,N,106.1, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,149.92, ,,N,,N,,N,,N,,N,,N,,N,0, ,,N,0, ,,N,,N,11.53, ,,N,,N,,N,0, ,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,42.1, ,,N
