,,,,,,PRIMARY PIGMENTS,,,,,,,,,,,,SECONDARY PIGMENTS,,,,,,,TERTIARY PIGMENTS,,,,,,ANCILLARY PIGMENT
Sample ID,lat (deg N),lon (deg E),Date,Time (GMT),yearday,[Tot_Chl_a],[Tot_Chl_b],[Tot_Chl_c],[Alpha_beta_Car],[But fuco],[Hex fuco],[Allo],[Diadino],[Diato],[Fuco],[Perid],[Zea],[MV_Chl_a],[DV_Chl_a],[Chlide_a],[MV_Chl _b],[DV_Chl_b],[Chl c12],[Chl_c3],[Lut],[Neo],[Viola],[Phytin_a],[Phide_a],[Pras],[Gyro]
F1,49.53025,-9.25313,11/Oct,18:25,284.76737,0.757,0.048,0.29,0.023,0.078,0.371,0.015,0.047,0.006,0.156,0.02,0.003,0.75,0.0009999,0.007,0.048,0.0009999,0.119,0.171,0.0009999,0.005,0.005,0.005,0.01,0.012,0.0009999
F2,49.29405,-12.4685,12/Oct,9:28,285.39446,0.38,0.047,0.118,0.017,0.065,0.155,0.003,0.025,0.004,0.028,0.027,0.048,0.323,0.045,0.012,0.041,0.006,0.058,0.06,0.003,0.004,0.004,0.003,0.005,0.003,0.0009999
F3,49.22002,-13.49963,12/Oct,15:21,285.63959,0.4785,0.0555,0.165,0.019,0.107,0.2155,0.003,0.031,0.0045,0.0365,0.027,0.0495,0.421,0.048,0.0095,0.0475,0.008,0.081,0.084,0.003,0.0045,0.004,0.0035,0.006,0.003,0.0009999
F4,49.11407,-14.94767,12/Oct,21:20,285.8889,0.396,0.025,0.161,0.01,0.075,0.225,0.003,0.036,0.004,0.038,0.053,0.016,0.378,0.0009999,0.018,0.025,0.0009999,0.076,0.085,0.003,0.003,0.003,0.003,0.005,0.003,0.0009999
F5,48.65042,-16.73993,13/Oct,7:42,286.32084,,,,,,,,,,,,,,,,,,,,,,,,,,
F6,47.88177,-17.26663,13/Oct,13:22,286.55696,0.371,0.048,0.097,0.026,0.055,0.135,0.002,0.041,0.006,0.021,0.009,0.09,0.245,0.113,0.013,0.035,0.013,0.046,0.051,0.001,0.003,0.002,0.003,0.0009999,0.002,0.0009999
F7,47.15168,-17.75642,13/Oct,18:40,286.77779,0.47,0.045,0.158,0.024,0.092,0.227,0.002,0.032,0.004,0.035,0.021,0.07,0.376,0.083,0.011,0.034,0.011,0.076,0.082,0.002,0.003,0.003,0.004,0.004,0.003,0.0009999
F8,46.10377,-18.45417,14/Oct,1:32,287.0639,0.258,0.043,0.06,0.021,0.036,0.073,0.001,0.012,0.001,0.013,0.007,0.067,0.159,0.093,0.006,0.03,0.013,0.029,0.031,0.001,0.002,0.002,0.003,0.0009999,0.002,0.0009999
F9,45.38603,-18.92003,14/Oct,8:49,287.36737,0.206,0.03,0.041,0.019,0.023,0.047,0.0009999,0.008,0.001,0.009,0.003,0.058,0.106,0.097,0.003,0.017,0.013,0.021,0.02,0.0009999,0.0009999,0.001,0.003,0.0009999,0.0009999,0.0009999
