Sample ID,lat,lon,Date,Time (GMT),yearday,POC,POC stdev,PON
F1,49.53025,-9.25313,11/Oct,18:25,284.76737,96.64,2.56,22.28559167
F2,49.29405,-12.4685,12/Oct,9:28,285.39446,80.51,10.39,15.929485
F3,49.22002,-13.49963,12/Oct,15:21,285.63959,69.69,6.13,16.8936475
F4,49.11407,-14.94767,12/Oct,21:20,285.8889,87.09,12.33,18.56895833
F5,48.65042,-16.73993,13/Oct,7:42,286.32084,79.05,6.16,17.3476
F6,47.88177,-17.26663,13/Oct,13:22,286.55696,47.28,1,11.9871785
F7,47.15168,-17.75642,13/Oct,18:40,286.77779,89.17,3.59,15.8653875
F8,46.10377,-18.45417,14/Oct,1:32,287.0639,49.94,2.65,9.7756385
F9,45.38603,-18.92003,14/Oct,8:49,287.36737,17.36,0.5,3.176617875
F10,44.7635,-19.32517,14/Oct,13:29,287.56182,57.51,6.08,
F11,44.12927,-19.72033,14/Oct,18:30,287.77084,55.79,2.16,9.208817
F12,43.0924,-20.37747,15/Oct,1:17,288.05348,51.78,2.51,9.967945
F13,41.97113,-21.07033,15/Oct,10:46,288.44862,29.79,0.73,5.416668
F14,41.65425,-21.26492,15/Oct,13:26,288.55973,27.98,0.06,6.71974825
F15,41.46393,-21.38398,15/Oct,15:15,288.63543,27.14,1.75,5.3205105
F16,40.91557,-21.7058,15/Oct,18:46,288.78196,35.14,2.96,6.87418625
F17,39.93308,-22.30593,16/Oct,1:18,289.05418,27.9,1.32,5.64102325
F18,39.32877,-22.65005,16/Oct,7:47,289.32432,22.87,0.6,4.6794865
F19,38.51313,-23.1234,16/Oct,14:22,289.59862,25.25,0.92,4.615384
F20,37.86258,-23.49732,16/Oct,18:34,289.77362,26.4,0.96,4.522293
F21,36.87067,-24.16535,17/Oct,1:18,290.05418,24.34,1.33,4.04458925
F22,36.40883,-24.78563,17/Oct,7:38,290.31807,18.92,1.19,3.917194
F23,36.07112,-25.28423,17/Oct,10:46,290.44862,21.52,2.36,4.42674825
F24,35.84703,-25.59428,17/Oct,13:31,290.56321,24.82,1.16,4.6237245
F25,35.31713,-26.32057,17/Oct,18:36,290.77501,32.16,5.08,4.93630825
F26,34.49565,-27.41062,18/Oct,1:44,291.07223,27.31,1.46,3.86565525
F27,34.10395,-27.9256,18/Oct,7:51,291.32709,19.17,1.37,3.696498
F28,33.64945,-28.55952,18/Oct,11:59,291.49932,27.38,3.53,4.7770725
F29,33.4029,-28.90732,18/Oct,15:25,291.64237,24.78,0.98,4.1401295
F30,32.87948,-29.57427,18/Oct,19:48,291.82501,14.7,0.46,3.359872
F31,32.235,-30.4279,19/Oct,1:30,292.06251,19.59,0.01,4.431383125
F32,31.56823,-31.30277,19/Oct,9:47,292.40765,21.1,0.47,3.17768975
F33,31.10605,-31.90737,19/Oct,14:22,292.59862,21.5,1.61,2.4481185
F34,30.72387,-32.399,19/Oct,19:40,292.81946,17.57,0.47,3.680286375
F35,29.8829,-33.4767,20/Oct,2:46,293.11529,17.46,0.02,3.168790375
F36,29.671,-33.725,20/Oct,7:17,293.30348,17.58,1.98,3.1452675
F37,28.93698,-34.66622,20/Oct,15:20,293.6389,17.59,0.37,2.795427875
F38,28.39972,-35.36605,20/Oct,20:33,293.85626,22.6,0.83,3.033671375
