Region,Station number,Latitude,Longitude,Date,,,UTC time,Solar time,Sampled depths
,,ºN,ºE,Day,Month,Year,h,h,m
NSO,3,-60.002,-46.088,10,January,2015,14.88,11.68,4
NSO,4,-60.008,-46.04,10,January,2015,17.52,14.32,4
NSO,4,-60.008,-46.04,10,January,2015,17.52,14.32,8
NSO,4,-60.008,-46.04,10,January,2015,17.52,14.32,22
NSO,4,-60.008,-46.04,10,January,2015,17.52,14.32,37
NSO,4,-60.008,-46.04,10,January,2015,17.52,14.32,68
NSO,4,-60.008,-46.04,10,January,2015,17.52,14.32,120
NSO,6,-59.587,-46.01,11,January,2015,11.37,8.17,6
NSO,6,-59.587,-46.01,11,January,2015,11.37,8.17,19
NSO,6,-59.587,-46.01,11,January,2015,11.37,8.17,45
NSO,6,-59.587,-46.01,11,January,2015,11.37,8.17,58
NSO,6,-59.587,-46.01,11,January,2015,11.37,8.17,120
NSO,7,-59.585,-46.027,11,January,2015,15.5,12.3,4
NSO,7,-59.585,-46.027,11,January,2015,15.5,12.3,8
NSO,7,-59.585,-46.027,11,January,2015,15.5,12.3,38
NSO,7,-59.585,-46.027,11,January,2015,15.5,12.3,23
NSO,7,-59.585,-46.027,11,January,2015,15.5,12.3,69
NSO,7,-59.585,-46.027,11,January,2015,15.5,12.3,120
NSO,8,-59.594,-46.009,11,January,2015,19.55,16.35,4
NSO,8,-59.594,-46.009,11,January,2015,19.55,16.35,8
NSO,8,-59.594,-46.009,11,January,2015,19.55,16.35,23
NSO,8,-59.594,-46.009,11,January,2015,19.55,16.35,38
NSO,8,-59.594,-46.009,11,January,2015,19.55,16.35,69
NSO,8,-59.594,-46.009,11,January,2015,19.55,16.35,120
NSO,10,-59.593,-45.593,11,January,2015,23.45,20.25,4
NSO,10,-59.593,-45.593,11,January,2015,23.45,20.25,8
NSO,10,-59.593,-45.593,11,January,2015,23.45,20.25,23
NSO,10,-59.593,-45.593,11,January,2015,23.45,20.25,38
NSO,10,-59.593,-45.593,11,January,2015,23.45,20.25,69
NSO,10,-59.593,-45.593,11,January,2015,23.45,20.25,120
NSO,11,-59.594,-45.582,12,January,2015,3.65,0.45,4
NSO,11,-59.594,-45.582,12,January,2015,3.65,0.45,8
NSO,11,-59.594,-45.582,12,January,2015,3.65,0.45,35
NSO,11,-59.594,-45.582,12,January,2015,3.65,0.45,23
NSO,11,-59.594,-45.582,12,January,2015,3.65,0.45,69
NSO,11,-59.594,-45.582,12,January,2015,3.65,0.45,120
NSO,12,-59.596,-45.55,12,January,2015,7.55,4.35,4
NSO,12,-59.596,-45.55,12,January,2015,7.55,4.35,7
NSO,12,-59.596,-45.55,12,January,2015,7.55,4.35,22
NSO,12,-59.596,-45.55,12,January,2015,7.55,4.35,36
NSO,12,-59.596,-45.55,12,January,2015,7.55,4.35,66
NSO,12,-59.596,-45.55,12,January,2015,7.55,4.35,120
NSO,14,-59.594,-45.55,12,January,2015,11.53,8.33,4
NSO,14,-59.594,-45.55,12,January,2015,11.53,8.33,7
NSO,14,-59.594,-45.55,12,January,2015,11.53,8.33,21
NSO,14,-59.594,-45.55,12,January,2015,11.53,8.33,38
NSO,14,-59.594,-45.55,12,January,2015,11.53,8.33,64
NSO,14,-59.594,-45.55,12,January,2015,11.53,8.33,120
NSO,15,-59.595,-45.55,12,January,2015,15.97,12.77,4
NSO,15,-59.595,-45.55,12,January,2015,15.97,12.77,8
NSO,15,-59.595,-45.55,12,January,2015,15.97,12.77,39
NSO,15,-59.595,-45.55,12,January,2015,15.97,12.77,23
NSO,15,-59.595,-45.55,12,January,2015,15.97,12.77,71
NSO,15,-59.595,-45.55,12,January,2015,15.97,12.77,120
NSO,17,-60.006,-45.527,12,January,2015,20.08,16.88,4
NSO,17,-60.006,-45.527,12,January,2015,20.08,16.88,6
NSO,17,-60.006,-45.527,12,January,2015,20.08,16.88,19
NSO,17,-60.006,-45.527,12,January,2015,20.08,16.88,40
NSO,17,-60.006,-45.527,12,January,2015,20.08,16.88,57
NSO,17,-60.006,-45.527,12,January,2015,20.08,16.88,120
NSO,18,-60.041,-45.461,13,January,2015,11.48,8.28,4
NSO,18,-60.041,-45.461,13,January,2015,11.48,8.28,8
NSO,18,-60.041,-45.461,13,January,2015,11.48,8.28,23
NSO,18,-60.041,-45.461,13,January,2015,11.48,8.28,38
NSO,18,-60.041,-45.461,13,January,2015,11.48,8.28,69
NSO,18,-60.041,-45.461,13,January,2015,11.48,8.28,120
NSO,19,-60.611,-45.453,13,January,2015,18.53,15.33,4
NSO,20,-60.034,-45.397,14,January,2015,11.38,8.18,4
NSO,20,-60.034,-45.397,14,January,2015,11.38,8.18,8
NSO,20,-60.034,-45.397,14,January,2015,11.38,8.18,20
NSO,20,-60.034,-45.397,14,January,2015,11.38,8.18,38
NSO,20,-60.034,-45.397,14,January,2015,11.38,8.18,60
NSO,20,-60.034,-45.397,14,January,2015,11.38,8.18,120
NSO,21,-60.037,-45.405,14,January,2015,17.42,14.22,4
NSO,22,-60.04,-45.404,15,January,2015,11.38,8.18,4
NSO,22,-60.04,-45.404,15,January,2015,11.38,8.18,7
NSO,22,-60.04,-45.404,15,January,2015,11.38,8.18,21
NSO,22,-60.04,-45.404,15,January,2015,11.38,8.18,35
NSO,22,-60.04,-45.404,15,January,2015,11.38,8.18,64
NSO,22,-60.04,-45.404,15,January,2015,11.38,8.18,120
SSO,24,-61.114,-43.013,16,January,2015,11.47,8.36,4
SSO,24,-61.114,-43.013,16,January,2015,11.47,8.36,9
SSO,24,-61.114,-43.013,16,January,2015,11.47,8.36,28
SSO,24,-61.114,-43.013,16,January,2015,11.47,8.36,46
SSO,24,-61.114,-43.013,16,January,2015,11.47,8.36,85
SSO,24,-61.114,-43.013,16,January,2015,11.47,8.36,120
SSO,25,-61.224,-43.468,17,January,2015,11.42,8.31,4
SSO,25,-61.224,-43.468,17,January,2015,11.42,8.31,11
SSO,25,-61.224,-43.468,17,January,2015,11.42,8.31,32
SSO,25,-61.224,-43.468,17,January,2015,11.42,8.31,54
SSO,25,-61.224,-43.468,17,January,2015,11.42,8.31,98
