station,sampno,btlnbr,ctd_type,date,time,latitude,longitude,pressure,depth,temperature,salinity,CTDSAL2_UP,oxygen,CTDOXY2_UP,CTDFLUOR_UP,CTDTRANS_UP,par,CTDSPAR_UP,diss_iron,diss_iron_stdev,chl_a,chlorophyll_a_fluor_stdev,phaeopigments,Salinity_Measured,Oxygen_Measured,fvfm,fvfm_stdev,tot_phosp,tot_phosp_stdev,Grazing,FLASH,nitrate,nitrite,phosphate,silicate,d18O,d2H,fsim,fmet,fCDW,diss_inorg_carbon,diss_inorg_carbon_stdev,sDIC,sDIC STDEV,sDIC_Friis,sDIC_Friis STDEV,total_alkalinity,total_alkalinity_stdev,sTA *salinity adj. total alkilinity,sTA STDEV,sTA_Friis,sTA_Friis STDEV,sDIC_Brown
001_02,,24,Conv,20141030,1236,-61.0792,-68.6093,50.648,50.16,1.2925,33.9466,,7.56883,7.59985,0.5408,97.0171,2.48E+01,6.70E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_02,,23,Conv,20141030,1236,-61.0792,-68.6093,50.109,49.626,1.2934,33.9464,,7.5728,7.60573,0.4743,97.0135,2.59E+01,6.76E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_02,1,22,Conv,20141030,1236,-61.0792,-68.6093,49.977,49.496,1.2935,33.9465,,7.57636,7.60433,0.4776,97.0584,2.60E+01,6.81E+02,,,0.23,0,0.07,,,,,,,,,35.7,0.008,2.318,,,,,,,,,,,,,,,,,,,
001_02,,21,Conv,20141030,1236,-61.0792,-68.6093,51.025,50.534,1.2923,33.9465,,7.57276,7.60263,0.5051,96.99,2.48E+01,6.89E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_02,,20,Conv,20141030,1236,-61.0792,-68.6093,50.965,50.474,1.2922,33.9464,,7.56985,7.60352,0.4811,97.0636,2.53E+01,6.99E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_02,,19,Conv,20141030,1236,-61.0792,-68.6093,50.068,49.586,1.2937,33.9465,,7.57247,7.60004,0.5437,96.2186,2.60E+01,7.03E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_02,,17,Conv,20141030,1236,-61.0792,-68.6093,50.513,50.026,1.2942,33.9466,,7.57319,7.60387,0.5045,97.0579,2.55E+01,6.98E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_02,,16,Conv,20141030,1236,-61.0792,-68.6093,50.651,50.163,1.2939,33.9465,,7.57375,7.60478,0.5051,96.9644,2.60E+01,7.04E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_02,,15,Conv,20141030,1236,-61.0792,-68.6093,50.4,49.915,1.2939,33.9465,,7.57681,7.60373,0.509,97.025,2.60E+01,7.07E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001_02,,14,Conv,20141030,1236,-61.0792,-68.6093,50.454,49.967,1.2946,33.9466,,7.57653,7.59903,0.5035,97.0291,2.61E+01,7.09E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
