station,depth,chla_ugL,chlorophytes,mixed_flagellates,cryptophytes,haptophytes,diatoms
002_02,3.5,0.246388438,0.04839615,0.023012999,0.034700266,0.423519922,0.470370663
002_02,9.8,0.236540621,0.00149006,1.71E-06,0.032421091,0.478822397,0.487264739
002_02,24.7,0.226501992,0.001382647,0.000829531,0.028900595,0.350909533,0.617977693
002_02,50.1,0.229394528,0.024303361,0.018647063,0.032194529,0.468861654,0.455993392
002_02,76.3,0.219468547,0.103945199,0.046908466,0.021845562,0.397118574,0.4301822
002_02,100.1,0.235736625,0.039701826,0.015725861,0.028563222,0.357956219,0.558052873
003_01,3.4,0.33314003,0.039488571,0.021126562,0.013688013,0.364054767,0.561642088
003_01,9.8,0.314569136,0.030860601,0.021459496,0.02937859,0.414689803,0.503611509
003_01,50.7,0.301765461,0.023449637,0.000281149,0.027340434,0.429241917,0.519686863
003_01,76.8,0.329426434,0.020407298,0.018225111,0.018556466,0.370353456,0.572457669
004_02,1.7,0.378977426,0.057930147,0.016357764,0.022028769,0.396585197,0.507098122
004_02,9.3,0.355224161,0.044667786,0.018663079,0.020235669,0.427141226,0.48929224
004_02,24.9,0.331359428,0.040103427,0.014408615,0.017976056,0.436845038,0.490666863
004_02,49.9,0.330731518,0.029326648,0.016255029,0.030922645,0.452276563,0.471219115
004_02,74.3,0.291393501,0.036502053,0.013207023,0.017126963,0.40822377,0.524940191
004_02,100.5,0.308722368,0.023976027,0.014611584,0.025298884,0.339363548,0.596749957
006_02,2,0.809873781,0.012254113,0.009691268,0.005100649,0.699863548,0.27309042
006_02,10.2,0.800720103,0.010902976,0.009261052,0.010189008,0.739247746,0.230399219
006_02,25.3,0.853756713,0.011973647,0.008277799,0.007527575,0.724051652,0.248169327
006_02,74.9,0.259021127,0.041273659,0,0,0.694683452,0.264042889
006_02,99.4,0.144164214,0.000136637,9.85E-05,0.000429047,0.812537855,0.186797963
008_03,1.8,1.009654887,0.014784583,0.0081676,0.011631051,0.699241327,0.266175439
008_03,10.1,0.882252152,0.01993685,0.009403328,0.008241142,0.729527687,0.232890993
008_03,25.6,0.981618277,0.011367449,0.010580153,0.010587017,0.707721147,0.259744233
008_03,51.2,1.036571851,0.00939776,0.005266871,0.015459079,0.786580202,0.183296088
008_03,75.8,0.820152181,0.013234496,0,0,0.81259969,0.174165813
008_03,101.6,0.08919371,0,0,0,0.894790289,0.105209711
010_01,2,1.507715424,0.022556458,0.003985402,0.008917168,0.8379271,0.126613872
010_01,9.5,1.492071441,0.021358853,0.002866136,0.007567477,0.857834434,0.110373099
010_01,25.1,1.553048163,0.015844471,0.003552814,0.009949176,0.836535954,0.134117585
010_01,41.1,0.751021138,0.02205534,0.000480396,0.00760506,0.769762004,0.2000972
010_01,79.7,0.436134204,0.000391213,0.000409257,0.001798802,0.890982587,0.10641814
010_01,111.1,0.147162334,0.000628923,0.000452038,0.00195482,0.885646685,0.111317533
016_02,2.1,0.289536433,0.245335711,0.03991899,0.10947428,0.352519966,0.252751053
016_02,9.9,0.318705213,0.241585741,0.04170439,0.095831444,0.362773098,0.258105327
016_02,25.3,0.326332822,0.221757525,0.046650287,0.109919954,0.290686073,0.330986161
016_02,60.2,0.161874196,0.148894615,0.00016602,0.090234505,0.58692739,0.173777469
016_02,101.5,0.111008851,0.193083415,0.000138998,0.056318731,0.435264826,0.31519403
018_02,1.9,0.308163421,0.15934079,0.023384295,0.098656913,0.421501449,0.297116552
018_02,9.7,0.314654821,0.151679018,0.021675047,0.105627535,0.455237305,0.265781095
018_02,24.8,0.306426545,0.143979164,0.021425533,0.104760775,0.452504272,0.277330256
018_02,49.9,0.225408977,0.115245983,0.00810638,0.060821292,0.448975921,0.366850424
018_02,80.5,0.110124066,0.151095538,0,0,0.461405663,0.387498799
