AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
248106,https://www.marinespecies.org/aphia.php?p=taxdetails&id=248106,Carteria marina,"Wulff, 1919",accepted,,220.0,Species,248106.0,Carteria marina,"Wulff, 1919",367250.0,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Carteria,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Carteria marina Wulff, 1919. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=248106 on 2022-05-29",urn:lsid:marinespecies.org:taxname:248106,1.0,,,,,exact,2019-07-08T08:56:31.220Z
620590,https://www.marinespecies.org/aphia.php?p=taxdetails&id=620590,Coccopterum labyrinthus,"(Ostenfeld) P.C.Silva, 1970",accepted,,220.0,Species,620590.0,Coccopterum labyrinthus,"(Ostenfeld) P.C.Silva, 1970",603003.0,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Coccopterum,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Coccopterum labyrinthus (Ostenfeld) P.C.Silva, 1970. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=620590 on 2022-05-29",urn:lsid:marinespecies.org:taxname:620590,1.0,,,,,exact,2015-06-26T12:00:51.270Z
178590,https://www.marinespecies.org/aphia.php?p=taxdetails&id=178590,Dunaliella tertiolecta,"Butcher, 1959",accepted,,220.0,Species,178590.0,Dunaliella tertiolecta,"Butcher, 1959",178589.0,Plantae,Chlorophyta,Chlorophyceae,Volvocales,Dunaliellaceae,Dunaliella,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Dunaliella tertiolecta Butcher, 1959. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=178590 on 2022-05-29",urn:lsid:marinespecies.org:taxname:178590,1.0,,,,,exact,2015-06-26T12:00:51.270Z
376694,https://www.marinespecies.org/aphia.php?p=taxdetails&id=376694,Halosphaera minor,Ostenfeld,accepted,,220.0,Species,376694.0,Halosphaera minor,Ostenfeld,134528.0,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Halosphaera,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Halosphaera minor Ostenfeld. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=376694 on 2022-05-29",urn:lsid:marinespecies.org:taxname:376694,1.0,,,,,exact,2015-06-26T12:00:51.270Z
134546,https://www.marinespecies.org/aphia.php?p=taxdetails&id=134546,Halosphaera viridis,"F.Schmitz, 1878",accepted,,220.0,Species,134546.0,Halosphaera viridis,"F.Schmitz, 1878",134528.0,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Halosphaera,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Halosphaera viridis F.Schmitz, 1878. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=134546 on 2022-05-29",urn:lsid:marinespecies.org:taxname:134546,1.0,,,,,exact,2015-06-26T12:00:51.270Z
375869,https://www.marinespecies.org/aphia.php?p=taxdetails&id=375869,Pachysphaera pelagica,"Ostenfeld, 1899",accepted,,220.0,Species,375869.0,Pachysphaera pelagica,"Ostenfeld, 1899",160594.0,Plantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Halosphaeraceae,Pachysphaera,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pachysphaera pelagica Ostenfeld, 1899. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=375869 on 2022-05-29",urn:lsid:marinespecies.org:taxname:375869,1.0,,,,,exact,2015-06-26T12:00:51.270Z
172818,https://www.marinespecies.org/aphia.php?p=taxdetails&id=172818,Polyasterias problematica,"(Cleve) Meunier, 1910",accepted,,220.0,Species,172818.0,Polyasterias problematica,"(Cleve) Meunier, 1910",172816.0,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Polyasterias,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Polyasterias problematica (Cleve) Meunier, 1910. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=172818 on 2022-05-29",urn:lsid:marinespecies.org:taxname:172818,1.0,,,,,exact,2015-06-26T12:00:51.270Z
840364,https://www.marinespecies.org/aphia.php?p=taxdetails&id=840364,Poropila dubia,"J.Schiller, 1925",accepted,,220.0,Species,840364.0,Poropila dubia,"J.Schiller, 1925",836605.0,Plantae,Chlorophyta,Chlorophyta incertae sedis,,,Poropila,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Poropila dubia J.Schiller, 1925. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=840364 on 2022-05-29",urn:lsid:marinespecies.org:taxname:840364,1.0,,,,,exact,2015-06-26T12:00:51.270Z
376081,https://www.marinespecies.org/aphia.php?p=taxdetails&id=376081,Pterosperma cristatum,"Schiller, 1925",accepted,,220.0,Species,376081.0,Pterosperma cristatum,"Schiller, 1925",160595.0,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pterosperma cristatum Schiller, 1925. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=376081 on 2022-05-29",urn:lsid:marinespecies.org:taxname:376081,1.0,,,,,exact,2015-06-26T12:00:51.270Z
376690,https://www.marinespecies.org/aphia.php?p=taxdetails&id=376690,Pterosperma cuboides,"Gaarder, 1954",accepted,,220.0,Species,376690.0,Pterosperma cuboides,"Gaarder, 1954",160595.0,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pterosperma cuboides Gaarder, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=376690 on 2022-05-29",urn:lsid:marinespecies.org:taxname:376690,1.0,,,,,exact,2015-06-26T12:00:51.270Z
