Region,Units,NSO (North of the South Orkeny Islands),,SSO (Southeast of the South Orkney Islands),,NSG (Northwest of South Georgia),,WA (West of Anvers,
,,Mean,SD,Mean,SD,Mean,SD,Mean,SD
Temperature,°C,0.58,0.17,−0.75,0.1,4.73,0.44,1.45,0.08
Salinity,,33.84,0.07,33.16,0.06,33.74,0.02,33.41,0.03
Oxygen,μM kg^-1,320.3,1.004,312.4,0.82,295.6,7.52,309.3,1.87
Turbidity,NTU,0.56,0.01,0.49,0.003,0.69,0.06,0.55,0.01
Transmission,%,84.31,1.09,92.23,0.3,83.45,2.98,77.54,1.84
Nitrate,μM,27.31,1.9,27.55,3.25,17.17,1.63,18.71,0.89
Nitrite,μM,0.23,0.06,0.16,0.02,0.29,0.04,0.19,0.03
Ammonium,μM,2.86,3.51,1.62,1.06,1.71,1.9,3.08,1.87
Silicate,μM,47.89,4.07,47.34,4.65,2,0.39,49.68,3.66
Phosphate,μM,1.99,0.21,2.14,0.25,1.29,0.15,1.79,0.16
Fl_Chl a,μg L^−1,1.87,0.22,0.32,0.02,5.05,0.6,4.05,0.48
MLD,m,29.75,11.84,15.79,5.35,49.83,11.42,22.89,5.6
Z1%,m,50,8,89.6,10,26,6.7,35,3.1
Z1%/MLD,,2.2,1.5,5.6,1.6,0.6,0.2,1.5,0.3
DMSP,nM,302.8,51.91,89.67,18.35,83.28,27.31,115.7,14.61
DMS,nM,8.19,1.64,7.88,1.52,5.97,1.11,2.13,0.55
DMS/DMSP,,0.03,0.01,0.09,0.03,0.08,0.04,0.02,0.004
DMSP/Fl_Chl a,nmol/μg,162.5,35.85,291.6,64.61,18.78,9.71,28.68,3.11
DMS/Fl_Chl a,nmol/μg,4.33,0.72,24.4,3.88,1.52,0.72,0.53,0.12
Phaeo/T_Chl a,,0.15,0.04,0.2,0.14,0.22,0.08,0.1,0.04
Ddx/LHC,,0.35,0.06,0.56,0.1,0.19,0.03,0.23,0.04
