class,longitude,latitude
Prasinophyceae,324.413,-42.6097
Prasinophyceae,324.413,-42.6097
Prasinophyceae,324.413,-42.6097
Prasinophyceae,324.413,-42.6097
Prasinophyceae,324.413,-42.6097
Prasinophyceae,324.413,-42.6097
Prasinophyceae,324.413,-42.6097
Prasinophyceae,324.413,-42.6097
Pyramimonadophyceae,240,-64.05
Pyramimonadophyceae,245,-63
Pyramimonadophyceae,245,-64
Pyramimonadophyceae,245,-66.5
Pyramimonadophyceae,250,-67
Pyramimonadophyceae,255,-65
Pyramimonadophyceae,255,-67
Pyramimonadophyceae,255,-68
Pyramimonadophyceae,255,-69
Pyramimonadophyceae,255,-69
Prasinophyceae,259.9986,-65.9511
Prasinophyceae,259.9993,-65.0066
Prasinophyceae,259.9996,-63.001
Prasinophyceae,308.171,-57.7401
Prasinophyceae,312.6192,-56.4457
Prasinophyceae,326.8261,-57.5456
Prasinophyceae,326.9852,-49.6123
Prasinophyceae,327.2793,-46.7053
Pyramimonadophyceae,209.9985,-68.9223
Pyramimonadophyceae,229.9976,-66.0271
Pyramimonadophyceae,239.9993,-64.3331
Cryptophyceae,220.007,-68.1971
Telonemea,209.9985,-68.9223
Cyanophyceae,101.88,-33.35
Cyanophyceae,101.88,-33.35
Cyanophyceae,101.88,-33.35
Cyanophyceae,101.88,-33.35
Cyanophyceae,101.88,-33.35
Cyanophyceae,101.9,-33.36
Cyanophyceae,101.9,-33.36
Cyanophyceae,101.9,-33.36
Cyanophyceae,101.9,-33.36
Cyanophyceae,101.9,-33.36
Cyanophyceae,101.9,-33.36
Cyanophyceae,101.9,-33.36
Cyanophyceae,101.9,-33.36
Cyanophyceae,101.9,-33.36
Cyanophyceae,98.82,-33.04
Cyanophyceae,98.82,-33.04
Cyanophyceae,98.82,-33.04
Cyanophyceae,98.82,-33.04
Cyanophyceae,98.82,-33.04
Cyanophyceae,98.82,-33.04
Cyanophyceae,98.82,-33.04
Cyanophyceae,98.82,-33.04
Cyanophyceae,98.82,-33.04
Cyanophyceae,98.8,-33.02
Cyanophyceae,98.8,-33.02
Cyanophyceae,98.8,-33.02
Cyanophyceae,95.93,-32.68
Cyanophyceae,95.93,-32.68
Cyanophyceae,95.93,-32.68
Cyanophyceae,95.93,-32.68
Cyanophyceae,95.93,-32.7
Cyanophyceae,95.93,-32.7
Cyanophyceae,95.93,-32.7
Cyanophyceae,95.93,-32.7
Cyanophyceae,95.93,-32.7
