class,longitude,latitude
Prasinophyceae,16075981.623929016,-5223815.676463514
Prasinophyceae,16075981.623929016,-5223815.676463514
Prasinophyceae,16075981.623929016,-5223815.676463514
Prasinophyceae,16075981.623929016,-5223815.676463514
Prasinophyceae,16075981.623929016,-5223815.676463514
Prasinophyceae,16075981.623929016,-5223815.676463514
Prasinophyceae,16075981.623929016,-5223815.676463514
Prasinophyceae,16075981.623929016,-5223815.676463514
Pyramimonadophyceae,6679169.447596414,-9324010.267158128
Pyramimonadophyceae,7235766.901562782,-9062139.39009366
Pyramimonadophyceae,7235766.901562782,-9311318.355852628
Pyramimonadophyceae,7235766.901562782,-9975821.181070354
Pyramimonadophyceae,7792364.355529149,-10116680.739456367
Pyramimonadophyceae,8348961.809495518,-9569603.113292381
Pyramimonadophyceae,8348961.809495518,-10116680.739456367
Pyramimonadophyceae,8348961.809495518,-10407332.515149962
Pyramimonadophyceae,8348961.809495518,-10710847.024360336
Pyramimonadophyceae,8348961.809495518,-10710847.024360336
Prasinophyceae,8905403.416174775,-9824411.064281609
Prasinophyceae,8905481.33981833,-9571339.70695443
Prasinophyceae,8905514.73566557,-9062384.256418297
Prasinophyceae,14267930.454464667,-7876753.233906937
Prasinophyceae,14763101.813411307,-7612020.492677835
Prasinophyceae,16344606.687162265,-7836375.466779595
Prasinophyceae,16362317.618147474,-6346837.748001759
Prasinophyceae,16395056.680389777,-5862989.768908791
Pyramimonadophyceae,3339417.7445620173,-10686774.583764702
Pyramimonadophyceae,5565707.372885775,-9845179.413433485
Pyramimonadophyceae,6679091.5239528585,-9396305.306241471
Cryptophyceae,4453558.868166496,-10466099.269042827
Telonemea,3339417.7445620173,-10686774.583764702
Cyanophyceae,-8696278.62077053,-3918364.310994796
Cyanophyceae,-8696278.62077053,-3918364.310994796
Cyanophyceae,-8696278.62077053,-3918364.310994796
Cyanophyceae,-8696278.62077053,-3918364.310994796
Cyanophyceae,-8696278.62077053,-3918364.310994796
Cyanophyceae,-8694052.230954666,-3919690.7944741827
Cyanophyceae,-8694052.230954666,-3919690.7944741827
Cyanophyceae,-8694052.230954666,-3919690.7944741827
Cyanophyceae,-8694052.230954666,-3919690.7944741827
Cyanophyceae,-8694052.230954666,-3919690.7944741827
Cyanophyceae,-8694052.230954666,-3919690.7944741827
Cyanophyceae,-8694052.230954666,-3919690.7944741827
Cyanophyceae,-8694052.230954666,-3919690.7944741827
Cyanophyceae,-8694052.230954666,-3919690.7944741827
Cyanophyceae,-9036916.26259795,-3877319.2245177915
Cyanophyceae,-9036916.26259795,-3877319.2245177915
Cyanophyceae,-9036916.26259795,-3877319.2245177915
Cyanophyceae,-9036916.26259795,-3877319.2245177915
Cyanophyceae,-9036916.26259795,-3877319.2245177915
Cyanophyceae,-9036916.26259795,-3877319.2245177915
Cyanophyceae,-9036916.26259795,-3877319.2245177915
Cyanophyceae,-9036916.26259795,-3877319.2245177915
Cyanophyceae,-9036916.26259795,-3877319.2245177915
Cyanophyceae,-9039142.652413813,-3874676.1761144553
Cyanophyceae,-9039142.652413813,-3874676.1761144553
Cyanophyceae,-9039142.652413813,-3874676.1761144553
Cyanophyceae,-9358629.590990508,-3829836.460358995
Cyanophyceae,-9358629.590990508,-3829836.460358995
Cyanophyceae,-9358629.590990508,-3829836.460358995
Cyanophyceae,-9358629.590990508,-3829836.460358995
Cyanophyceae,-9358629.590990508,-3832469.301567255
Cyanophyceae,-9358629.590990508,-3832469.301567255
Cyanophyceae,-9358629.590990508,-3832469.301567255
Cyanophyceae,-9358629.590990508,-3832469.301567255
Cyanophyceae,-9358629.590990508,-3832469.301567255
Cyanophyceae,-9358629.590990508,-3832469.301567255
Cyanophyceae,-9358629.590990508,-3832469.301567255
Cyanophyceae,-9660305.41104028,-3793038.9010129385
Cyanophyceae,-9660305.41104028,-3793038.9010129385
Cyanophyceae,-9660305.41104028,-3793038.9010129385
Cyanophyceae,-9660305.41104028,-3793038.9010129385
Cyanophyceae,-9661418.605948213,-3793038.9010129385
Cyanophyceae,-9661418.605948213,-3793038.9010129385
Cyanophyceae,-9661418.605948213,-3793038.9010129385
Cyanophyceae,-9661418.605948213,-3793038.9010129385
Cyanophyceae,-9661418.605948213,-3793038.9010129385
Cyanophyceae,-9661418.605948213,-3793038.9010129385
Cyanophyceae,-9661418.605948213,-3793038.9010129385
Cyanophyceae,-18776369.831592247,-9865159.058249503
Cyanophyceae,-18776369.831592247,-9865159.058249503
Cyanophyceae,-18776369.831592247,-9865159.058249503
Cyanophyceae,-18776369.831592247,-9865159.058249503
Cyanophyceae,-18776369.831592247,-9865159.058249503
Cyanophyceae,-18776369.831592247,-9865159.058249503
Cyanophyceae,-18776369.831592247,-9865159.058249503
Cyanophyceae,-18776369.831592247,-9865159.058249503
Cyanophyceae,-18776369.831592247,-9865159.058249503
Cyanophyceae,-18776369.831592247,-9865159.058249503
Cyanophyceae,-18776369.831592247,-9865159.058249503
Cyanophyceae,-18776369.831592247,-9865159.058249503
Cyanophyceae,-18776481.15108304,-9865159.058249503
Cyanophyceae,-18776481.15108304,-9865159.058249503
Cyanophyceae,-18776481.15108304,-9865159.058249503
Cyanophyceae,-18776481.15108304,-9865159.058249503
Cyanophyceae,-18776481.15108304,-9865159.058249503
Cyanophyceae,-18776481.15108304,-9865159.058249503
Cyanophyceae,-18776592.47057383,-9865159.058249503
Cyanophyceae,-18776592.47057383,-9865159.058249503
Cyanophyceae,-18776592.47057383,-9865159.058249503
Cyanophyceae,-18776592.47057383,-9865159.058249503
Cyanophyceae,-18776592.47057383,-9865159.058249503
Cyanophyceae,-18776592.47057383,-9865159.058249503
Cyanophyceae,-18776592.47057383,-9865159.058249503
Cyanophyceae,-18776592.47057383,-9865159.058249503
Cyanophyceae,-18794403.58910076,-8742963.118139261
Cyanophyceae,-18794403.58910076,-8742963.118139261
Cyanophyceae,-18794403.58910076,-8742963.118139261
Cyanophyceae,-18794403.58910076,-8742963.118139261
Cyanophyceae,-18794403.58910076,-8742963.118139261
Cyanophyceae,-18794403.58910076,-8742963.118139261
Cyanophyceae,-18794403.58910076,-8742963.118139261
Cyanophyceae,-18794403.58910076,-8742963.118139261
Cyanophyceae,-18833922.008332368,-9350227.688455759
Cyanophyceae,-18833922.008332368,-9350227.688455759
Cyanophyceae,-18833922.008332368,-9350227.688455759
Cyanophyceae,-18833922.008332368,-9350227.688455759
Cyanophyceae,-18833922.008332368,-9350227.688455759
Cyanophyceae,-18833922.008332368,-9350227.688455759
Cyanophyceae,-18833922.008332368,-9350227.688455759
Cyanophyceae,-18833922.008332368,-9350227.688455759
Cyanophyceae,-18841046.455743138,-8569183.38351269
Cyanophyceae,-18841046.455743138,-8569183.38351269
Cyanophyceae,-18841046.455743138,-8569183.38351269
Cyanophyceae,-18841046.455743138,-8569183.38351269
Cyanophyceae,-18841046.455743138,-8569183.38351269
Cyanophyceae,-18841046.455743138,-8569183.38351269
Cyanophyceae,-18841046.455743138,-8569183.38351269
Cyanophyceae,-18841046.455743138,-8569183.38351269
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18867985.77251511,-9502052.686313516
Cyanophyceae,-18867985.77251511,-9502052.686313516
Cyanophyceae,-18867985.77251511,-9502052.686313516
Cyanophyceae,-18867985.77251511,-9502052.686313516
Cyanophyceae,-18867985.77251511,-9502052.686313516
Cyanophyceae,-18867985.77251511,-9502052.686313516
Cyanophyceae,-18867985.77251511,-9502052.686313516
Cyanophyceae,-18867985.77251511,-9502052.686313516
Cyanophyceae,-18906168.3578572,-8916233.18878795
Cyanophyceae,-18906168.3578572,-8916233.18878795
Cyanophyceae,-18906168.3578572,-8916233.18878795
Cyanophyceae,-18906168.3578572,-8916233.18878795
Cyanophyceae,-18906168.3578572,-8916233.18878795
Cyanophyceae,-18906168.3578572,-8916233.18878795
Cyanophyceae,-18911177.734942902,-9083965.506175935
Cyanophyceae,-18911177.734942902,-9083965.506175935
Cyanophyceae,-18911177.734942902,-9083965.506175935
Cyanophyceae,-18911177.734942902,-9083965.506175935
Cyanophyceae,-18911177.734942902,-9083965.506175935
Cyanophyceae,-18911177.734942902,-9083965.506175935
Cyanophyceae,-18911177.734942902,-9083965.506175935
Cyanophyceae,-18911177.734942902,-9083965.506175935
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18911289.054433696,-9082491.97901999
Cyanophyceae,-18931660.521248866,-8414670.181402551
Cyanophyceae,-18931660.521248866,-8414670.181402551
Cyanophyceae,-18931660.521248866,-8414670.181402551
Cyanophyceae,-18931660.521248866,-8414670.181402551
Cyanophyceae,-18931660.521248866,-8414670.181402551
Cyanophyceae,-18931660.521248866,-8414670.181402551
Cyanophyceae,-18931771.840739656,-8414222.498529516
Cyanophyceae,-18931771.840739656,-8414222.498529516
Cyanophyceae,-18931771.840739656,-8414222.498529516
Cyanophyceae,-18931771.840739656,-8414222.498529516
Cyanophyceae,-18931771.840739656,-8414222.498529516
Cyanophyceae,-18931771.840739656,-8414222.498529516
Cyanophyceae,-18931771.840739656,-8414222.498529516
Cyanophyceae,-18931771.840739656,-8414222.498529516
Cyanophyceae,-18931771.840739656,-8414670.181402551
Cyanophyceae,-18931771.840739656,-8414670.181402551
Cyanophyceae,-18931771.840739656,-8414670.181402551
Cyanophyceae,-18931771.840739656,-8414670.181402551
Cyanophyceae,-18931771.840739656,-8414670.181402551
Cyanophyceae,-18931771.840739656,-8414670.181402551
Cyanophyceae,-18931771.840739656,-8414670.181402551
Cyanophyceae,-18931771.840739656,-8414670.181402551
Cyanophyceae,-18931771.840739656,-8414670.181402551
Cyanophyceae,-18931771.840739656,-8414670.181402551
Cyanophyceae,-18931771.840739656,-8414670.181402551
Cyanophyceae,-18931771.840739656,-8414670.181402551
Cyanophyceae,-18931771.840739656,-8414670.181402551
Cyanophyceae,-18931771.840739656,-8414670.181402551
Cyanophyceae,-18931771.840739656,-8414670.181402551
Cyanophyceae,-18935222.744954247,-9525804.481995223
Cyanophyceae,-18935222.744954247,-9525804.481995223
Cyanophyceae,-18935222.744954247,-9525804.481995223
Cyanophyceae,-18935222.744954247,-9525804.481995223
Cyanophyceae,-18935222.744954247,-9525804.481995223
Cyanophyceae,-18935222.744954247,-9525804.481995223
Cyanophyceae,-18935222.744954247,-9525804.481995223
Cyanophyceae,-18935222.744954247,-9525804.481995223
Cyanophyceae,-18935222.744954247,-9525804.481995223
Cyanophyceae,-18936781.217825353,-10266287.1602315
Cyanophyceae,-18936781.217825353,-10266287.1602315
Cyanophyceae,-18936781.217825353,-10266287.1602315
Cyanophyceae,-18936781.217825353,-10266287.1602315
Cyanophyceae,-18936781.217825353,-10266287.1602315
Cyanophyceae,-18936781.217825353,-10266287.1602315
Cyanophyceae,-18936781.217825353,-10266287.1602315
Cyanophyceae,-18936781.217825353,-10266287.1602315
Cyanophyceae,-18936781.217825353,-10266287.1602315
Cyanophyceae,-18942458.51185581,-7692498.34621992
Cyanophyceae,-18942458.51185581,-7692498.34621992
