class,longitude,latitude
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10170148.678873474,-3727614.0567163555
Cyanophyceae,-10171261.873781407,-3727614.0567163555
Cyanophyceae,-10171261.873781407,-3727614.0567163555
Cyanophyceae,-10171261.873781407,-3727614.0567163555
Cyanophyceae,-10171261.873781407,-3727614.0567163555
Cyanophyceae,-10171261.873781407,-3727614.0567163555
Cyanophyceae,-10171261.873781407,-3727614.0567163555
Cyanophyceae,-10171261.873781407,-3727614.0567163555
Cyanophyceae,-10171261.873781407,-3727614.0567163555
Cyanophyceae,-10171261.873781407,-3727614.0567163555
Cyanophyceae,-10172375.068689339,-3727614.0567163555
Cyanophyceae,-10172375.068689339,-3727614.0567163555
Cyanophyceae,-10172375.068689339,-3727614.0567163555
Cyanophyceae,-10172375.068689339,-3727614.0567163555
Cyanophyceae,-10172375.068689339,-3727614.0567163555
Cyanophyceae,-10172375.068689339,-3727614.0567163555
Cyanophyceae,-10172375.068689339,-3727614.0567163555
Cyanophyceae,-10172375.068689339,-3727614.0567163555
Cyanophyceae,-10172375.068689339,-3727614.0567163555
Cyanophyceae,-10173488.263597272,-3725004.5651804046
Cyanophyceae,-10173488.263597272,-3725004.5651804046
Cyanophyceae,-10173488.263597272,-3725004.5651804046
Cyanophyceae,-10173488.263597272,-3725004.5651804046
Cyanophyceae,-10173488.263597272,-3725004.5651804046
Cyanophyceae,-10173488.263597272,-3725004.5651804046
Cyanophyceae,-10173488.263597272,-3725004.5651804046
Cyanophyceae,-10173488.263597272,-3726309.239418924
Cyanophyceae,-10173488.263597272,-3726309.239418924
Cyanophyceae,-10173488.263597272,-3726309.239418924
Cyanophyceae,-10173488.263597272,-3726309.239418924
Cyanophyceae,-10173488.263597272,-3726309.239418924
Cyanophyceae,-10173488.263597272,-3726309.239418924
Cyanophyceae,-10173488.263597272,-3726309.239418924
Cyanophyceae,-10175714.653413137,-3722395.64559599
Cyanophyceae,-10175714.653413137,-3722395.64559599
Cyanophyceae,-10175714.653413137,-3722395.64559599
Cyanophyceae,-10175714.653413137,-3722395.64559599
Cyanophyceae,-10175714.653413137,-3722395.64559599
Cyanophyceae,-10175714.653413137,-3722395.64559599
Cyanophyceae,-10175714.653413137,-3722395.64559599
Cyanophyceae,-10175714.653413137,-3722395.64559599
Cyanophyceae,-10175714.653413137,-3722395.64559599
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3723700.033929762
Cyanophyceae,-10175714.653413137,-3725004.5651804046
Cyanophyceae,-10175714.653413137,-3725004.5651804046
Cyanophyceae,-10175714.653413137,-3725004.5651804046
Cyanophyceae,-10175714.653413137,-3725004.5651804046
Cyanophyceae,-10175714.653413137,-3725004.5651804046
Cyanophyceae,-10175714.653413137,-3725004.5651804046
Cyanophyceae,-10175714.653413137,-3725004.5651804046
Cyanophyceae,-10175714.653413137,-3727614.0567163555
Cyanophyceae,-10175714.653413137,-3727614.0567163555
Cyanophyceae,-10175714.653413137,-3727614.0567163555
Cyanophyceae,-10175714.653413137,-3727614.0567163555
Cyanophyceae,-10175714.653413137,-3727614.0567163555
Cyanophyceae,-10175714.653413137,-3727614.0567163555
Cyanophyceae,-10175714.653413137,-3727614.0567163555
Cyanophyceae,-10176827.848321069,-3721091.4001081106
Cyanophyceae,-10176827.848321069,-3721091.4001081106
Cyanophyceae,-10176827.848321069,-3721091.4001081106
Cyanophyceae,-10176827.848321069,-3721091.4001081106
Cyanophyceae,-10176827.848321069,-3721091.4001081106
Cyanophyceae,-10176827.848321069,-3721091.4001081106
Cyanophyceae,-10176827.848321069,-3721091.4001081106
Cyanophyceae,-10176827.848321069,-3722395.64559599
Cyanophyceae,-10176827.848321069,-3722395.64559599
Cyanophyceae,-10176827.848321069,-3722395.64559599
Cyanophyceae,-10176827.848321069,-3722395.64559599
Cyanophyceae,-10176827.848321069,-3722395.64559599
Cyanophyceae,-10176827.848321069,-3722395.64559599
Cyanophyceae,-10176827.848321069,-3722395.64559599
Cyanophyceae,-10176827.848321069,-3723700.033929762
Cyanophyceae,-10176827.848321069,-3723700.033929762
Cyanophyceae,-10176827.848321069,-3723700.033929762
Cyanophyceae,-10176827.848321069,-3723700.033929762
Cyanophyceae,-10176827.848321069,-3723700.033929762
Cyanophyceae,-10176827.848321069,-3723700.033929762
Cyanophyceae,-10176827.848321069,-3723700.033929762
Cyanophyceae,-10176827.848321069,-3723700.033929762
Cyanophyceae,-10176827.848321069,-3723700.033929762
Cyanophyceae,-10176827.848321069,-3723700.033929762
Cyanophyceae,-10176827.848321069,-3723700.033929762
Cyanophyceae,-10177941.043229004,-3723700.033929762
Cyanophyceae,-10177941.043229004,-3723700.033929762
Cyanophyceae,-10177941.043229004,-3723700.033929762
Cyanophyceae,-10177941.043229004,-3723700.033929762
Cyanophyceae,-10177941.043229004,-3723700.033929762
Cyanophyceae,-10177941.043229004,-3723700.033929762
Cyanophyceae,-10177941.043229004,-3723700.033929762
Cyanophyceae,-10177941.043229004,-3723700.033929762
Cyanophyceae,-10177941.043229004,-3723700.033929762
Cyanophyceae,-10179054.238136934,-3717179.5200105603
Cyanophyceae,-10179054.238136934,-3717179.5200105603
Cyanophyceae,-10179054.238136934,-3717179.5200105603
Cyanophyceae,-10179054.238136934,-3717179.5200105603
Cyanophyceae,-10179054.238136934,-3717179.5200105603
Cyanophyceae,-10179054.238136934,-3717179.5200105603
Cyanophyceae,-10179054.238136934,-3717179.5200105603
Cyanophyceae,-10179054.238136934,-3717179.5200105603
Cyanophyceae,-10179054.238136934,-3717179.5200105603
Cyanophyceae,-10179054.238136934,-3717179.5200105603
Cyanophyceae,-10179054.238136934,-3717179.5200105603
Cyanophyceae,-10179054.238136934,-3721091.4001081106
Cyanophyceae,-10179054.238136934,-3721091.4001081106
Cyanophyceae,-10179054.238136934,-3721091.4001081106
Cyanophyceae,-10179054.238136934,-3721091.4001081106
Cyanophyceae,-10179054.238136934,-3721091.4001081106
Cyanophyceae,-10179054.238136934,-3721091.4001081106
Cyanophyceae,-10179054.238136934,-3721091.4001081106
Cyanophyceae,-10180167.433044868,-3719787.297395181
Cyanophyceae,-10180167.433044868,-3719787.297395181
Cyanophyceae,-10180167.433044868,-3719787.297395181
Cyanophyceae,-10180167.433044868,-3719787.297395181
Cyanophyceae,-10180167.433044868,-3719787.297395181
Cyanophyceae,-10180167.433044868,-3719787.297395181
Cyanophyceae,-10180167.433044868,-3719787.297395181
Cyanophyceae,-10180167.433044868,-3719787.297395181
Cyanophyceae,-10180167.433044868,-3719787.297395181
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3717179.5200105603
Cyanophyceae,-10181280.627952801,-3718483.33738629
Cyanophyceae,-10181280.627952801,-3718483.33738629
Cyanophyceae,-10181280.627952801,-3718483.33738629
Cyanophyceae,-10181280.627952801,-3718483.33738629
Cyanophyceae,-10181280.627952801,-3718483.33738629
Cyanophyceae,-10181280.627952801,-3718483.33738629
Cyanophyceae,-10181280.627952801,-3718483.33738629
Cyanophyceae,-10181280.627952801,-3719787.297395181
Cyanophyceae,-10181280.627952801,-3719787.297395181
Cyanophyceae,-10181280.627952801,-3719787.297395181
Cyanophyceae,-10181280.627952801,-3719787.297395181
Cyanophyceae,-10181280.627952801,-3719787.297395181
Cyanophyceae,-10181280.627952801,-3719787.297395181
Cyanophyceae,-10181280.627952801,-3719787.297395181
Cyanophyceae,-10181280.627952801,-3719787.297395181
Cyanophyceae,-10181280.627952801,-3719787.297395181
Cyanophyceae,-10182393.822860733,-3717179.5200105603
Cyanophyceae,-10182393.822860733,-3717179.5200105603
Cyanophyceae,-10182393.822860733,-3717179.5200105603
Cyanophyceae,-10182393.822860733,-3717179.5200105603
Cyanophyceae,-10182393.822860733,-3717179.5200105603
Cyanophyceae,-10182393.822860733,-3717179.5200105603
Cyanophyceae,-10182393.822860733,-3717179.5200105603
Cyanophyceae,-10174601.458505204,-3722395.64559599
Cyanophyceae,-10174601.458505204,-3722395.64559599
Cyanophyceae,-10174601.458505204,-3722395.64559599
Cyanophyceae,-10174601.458505204,-3722395.64559599
Cyanophyceae,-10174601.458505204,-3722395.64559599
Cyanophyceae,-10174601.458505204,-3722395.64559599
Cyanophyceae,-10174601.458505204,-3722395.64559599
Cyanophyceae,-10174601.458505204,-3722395.64559599
Cyanophyceae,-10174601.458505204,-3727614.0567163555
Cyanophyceae,-10174601.458505204,-3727614.0567163555
Cyanophyceae,-10174601.458505204,-3727614.0567163555
Cyanophyceae,-10174601.458505204,-3727614.0567163555
Cyanophyceae,-10174601.458505204,-3727614.0567163555
Cyanophyceae,-10174601.458505204,-3727614.0567163555
Cyanophyceae,-10174601.458505204,-3727614.0567163555
Cyanophyceae,-10174601.458505204,-3727614.0567163555
Cyanophyceae,-10623219.006402098,-3583637.1409722543
Cyanophyceae,-10623219.006402098,-3583637.1409722543
Cyanophyceae,-10623219.006402098,-3583637.1409722543
Cyanophyceae,-10623219.006402098,-3583637.1409722543
Cyanophyceae,-10623219.006402098,-3583637.1409722543
Cyanophyceae,-10623219.006402098,-3583637.1409722543
Cyanophyceae,-10623219.006402098,-3583637.1409722543
Cyanophyceae,-10623219.006402098,-3583637.1409722543
Cyanophyceae,-10624332.20131003,-3581058.5472330092
