class,longitude,latitude
Coccolithophyceae,18673844.58057164,-4804760.349044968
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Coccolithophyceae,349320.5621092924,-3497891.525060826
Prymnesiophyceae,12136050.886282684,-4007422.1316520474
Prymnesiophyceae,12134937.691374753,-4393700.1550341
Prymnesiophyceae,-4498420.622956185,-7062216.90059932
Prymnesiophyceae,11372955.776894795,-4140279.203926463
Prymnesiophyceae,11822686.519699618,-4554283.924498123
Prymnesiophyceae,12119019.004191315,-4615075.655288862
Prymnesiophyceae,12134158.4549392,-3805510.8136683544
Prymnesiophyceae,12134937.691374753,-4393700.1550341
Prymnesiophyceae,12136050.886282684,-4007422.1316520474
Prymnesiophyceae,10765719.086566567,-3613368.8186626146
Prymnesiophyceae,8676241.112427741,-10240160.247699115
Prymnesiophyceae,8676241.112427741,-10240160.247699115
Prymnesiophyceae,11372955.776894795,-4140279.203926463
Prymnesiophyceae,11822686.519699618,-4554283.924498123
Prymnesiophyceae,12119019.004191315,-4615075.655288862
Prymnesiophyceae,12134158.4549392,-3805510.8136683544
Prymnesiophyceae,12134937.691374753,-4393700.1550341
Prymnesiophyceae,12136050.886282684,-4007422.1316520474
Prymnesiophyceae,18673844.58057164,-4804760.455789432
Prymnesiophyceae,18673844.58057164,-4804760.349044968
Dinophyceae,18870880.07927574,-5235170.511946753
Dinophyceae,18947876.0641184,-5095887.423894414
Dinophyceae,18947879.81558524,-5137605.342747367
Dinophyceae,18947879.77105744,-5137605.3651457345
Dinophyceae,18947879.77105744,-5137605.3651457345
Dinophyceae,18870880.557949547,-5235170.718661423
Dinophyceae,18870880.07927574,-5235170.511946753
Dinophyceae,18870880.07927574,-5235170.511946753
Dinophyceae,18906135.00653776,-5097627.067155028
Dinophyceae,18906134.962009966,-5097626.957123161
Dinophyceae,18947876.0641184,-5095887.423894414
Dinophyceae,18947876.0641184,-5095887.423894414
Dinophyceae,18947876.0641184,-5095887.423894414
Dinophyceae,18947876.0641184,-5095887.423894414
Dinophyceae,18947876.0641184,-5095887.423894414
Dinophyceae,18972180.815897614,-5014963.047889823
Dinophyceae,18972180.815897614,-5014963.047889823
Dinophyceae,18859377.06893775,-5193017.704705825
Dinophyceae,18859380.77587679,-5193017.704705825
Dinophyceae,18859377.06893775,-5193017.704705825
Dinophyceae,18859381.03191162,-5193017.5214539245
Dinophyceae,18859380.77587679,-5193017.704705825
Dinophyceae,18994812.15743148,-5182254.323128603
Dinophyceae,18994815.77531493,-5182259.092706577
Dinophyceae,18994812.068375885,-5182254.092076446
Dinophyceae,18699816.1858782,-3604285.536522694
Dinophyceae,18699815.417773716,-3604285.4383604997
Dinophyceae,-19751785.02878421,-5270196.636413156
Dinophyceae,-19751784.60577015,-5270196.869656663
Dinophyceae,-19924330.584604207,-4671024.109997367
Dinophyceae,-19924329.81649972,-4671023.8908194825
Dinophyceae,-20033801.993739128,-5219838.20461133
Dinophyceae,-20033801.403745826,-5219837.972628098
Dinophyceae,18321328.893041752,-5872931.290769255
Dinophyceae,18321329.149076585,-5872931.170885631
Dinophyceae,19023576.256692383,-5201027.370442188
Dinophyceae,19023577.024796866,-5201027.138925975
Dinophyceae,-1558472.87110583,-6416691.337625119
Dinophyceae,-1966421.7354727436,-7747236.090359537
Dinophyceae,-2132695.874007969,-8402443.294642711
Dinophyceae,-2346985.893785021,-8151642.888265117
Dinophyceae,-2549587.3670287784,-8249115.688284817
Dinophyceae,-2764248.525988135,-8329434.451941805
Dinophyceae,-2931784.3596320115,-8378644.920277349
Dinophyceae,2131768.2486911886,-8405423.70872238
Dinophyceae,2131768.2486911886,-8405423.70872238
Dinophyceae,-2029725.345024191,-8054371.452167135
Dinophyceae,-2230657.02590605,-7789468.532982348
Dinophyceae,-2346985.893785021,-8151642.888265117
Dinophyceae,-2549587.3670287784,-8249115.688284817
Dinophyceae,-2931784.3596320115,-8378644.920277349
Dinophyceae,1625264.5655817944,-3494985.02677275
Dinophyceae,1673131.9466229018,-3617208.3537547197
Dinophyceae,1842337.5726286776,-3555302.2855375586
Dinophyceae,1884638.9791301214,-3552729.6150837066
Dinophyceae,-1778328.865422545,-7375727.428529674
Dinophyceae,-1966421.7354727436,-7747236.090359537
Dinophyceae,18859377.06893775,-5193017.704705825
Dinophyceae,18859381.03191162,-5193017.5214539245
Dinophyceae,18859380.77587679,-5193017.704705825
Dinophyceae,18870880.557949547,-5235170.718661423
Dinophyceae,18870880.07927574,-5235170.511946753
Dinophyceae,18870880.07927574,-5235170.511946753
Dinophyceae,18870880.07927574,-5235170.511946753
Dinophyceae,18870880.07927574,-5235170.511946753
Dinophyceae,18870880.07927574,-5235170.511946753
Dinophyceae,18906135.00653776,-5097627.067155028
Dinophyceae,18906134.962009966,-5097626.957123161
Dinophyceae,18908914.242340755,-5250523.317275295
Dinophyceae,18908917.314758703,-5250528.536002386
Dinophyceae,18908917.9492798,-5250528.354639103
Dinophyceae,18927464.34417536,-5275999.760262882
Dinophyceae,18927463.776445955,-5275999.48292321
Dinophyceae,18947876.0641184,-5095887.423894414
Dinophyceae,18947876.0641184,-5095887.423894414
Dinophyceae,18947876.0641184,-5095887.423894414
Dinophyceae,18947879.81558524,-5137605.342747367
Dinophyceae,18947879.77105744,-5137605.3651457345
Dinophyceae,18947879.77105744,-5137605.3651457345
Dinophyceae,18947879.77105744,-5137605.3651457345
Dinophyceae,18947879.77105744,-5137605.3651457345
