Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.76592E-11,0.000000002,0.000000103,1,0,0
1.93521E-11,0.000000004,0.000000113,0.999906873,0,0
3.5097E-11,0.000000013,0.000000205,0.999627491,0,0
3.86211E-11,0.000000028,0.000000225,0.999254982,0,0
2.73531E-10,0.00000011,0.000001596,0.998789346,0,0
4.79787E-10,0.000000268,0.0000028,0.998416837,0,0
1.11048E-9,0.000001068,0.000006481,0.997485565,0,0
3.76011E-9,0.000002595,0.000021943,0.996833675,0,0
9.32853E-9,0.000010416,0.000054438,0.995716148,0,0
2.30831E-8,0.000025412,0.000134701,0.994878003,0,0
5.3398E-8,0.000054707,0.000311574,0.994226113,0,0
8.55653E-8,0.000103025,0.000499221,0.99366735,0,0
2.0247E-7,0.000269665,0.001180887,0.992456696,0,0
2.77575E-7,0.000516107,0.001618574,0.991525424,0,0
3.92646E-7,0.001004401,0.0022888,0.990221643,0,0
7.44871E-7,0.002537509,0.004337524,0.987707208,0,0
1.01247E-6,0.005025745,0.005891184,0.985099646,0,0
1.50566E-6,0.01012463,0.008748322,0.98128143,0,0
2.26294E-6,0.025194154,0.013119351,0.973924381,0,0
2.85249E-6,0.050225603,0.016508931,0.964984168,0,0
3.74762E-6,0.100074392,0.021633125,0.950828832,0,0
6.0937E-6,0.200417275,0.034937007,0.931737754,0.001347709,0
7.86374E-6,0.300542983,0.044854487,0.918420562,0.001347709,0
9.1426E-6,0.400912778,0.051956433,0.907431551,0.002695418,0
1.04416E-5,0.500070619,0.059115949,0.898025703,0.002695418,0.005405405
1.14462E-5,0.600831544,0.064616062,0.889458,0.005390836,0.005405405
1.24495E-5,0.700586989,0.070076735,0.881728441,0.006738544,0.005405405
1.29467E-5,0.750036592,0.07277109,0.87809648,0.009433962,0.005405405
1.33113E-5,0.801276849,0.074742172,0.874464519,0.010781671,0.005405405
1.41777E-5,0.900353577,0.079408331,0.867759359,0.010781671,0.010810811
1.4961E-5,1.000995698,0.083606937,0.861333582,0.010781671,0.010810811
1.56849E-5,1.10064674,0.087470566,0.855280313,0.010781671,0.010810811
1.64757E-5,1.200534928,0.091672151,0.849506426,0.01212938,0.010810811
1.71447E-5,1.301323703,0.095211237,0.843918793,0.013477089,0.016216216
1.77962E-5,1.401025027,0.098644871,0.838610542,0.013477089,0.016216216
1.83058E-5,1.500219177,0.101321664,0.833488545,0.014824798,0.016216216
1.98123E-5,1.751893793,0.109187879,0.821195753,0.014824798,0.027027027
2.13186E-5,2.002080953,0.116984214,0.809834234,0.016172507,0.032432432
2.24901E-5,2.25170606,0.123000627,0.799217731,0.018867925,0.032432432
2.38502E-5,2.501422646,0.129933976,0.789159993,0.021563342,0.032432432
2.47196E-5,2.7515642,0.13433701,0.77956789,0.021563342,0.032432432
2.5827E-5,3.002077214,0.139913505,0.770348296,0.025606469,0.037837838
2.68943E-5,3.252675103,0.145254089,0.761501211,0.028301887,0.043243243
2.78367E-5,3.501956995,0.149942054,0.753026634,0.030997305,0.043243243
2.87561E-5,3.75083218,0.154490842,0.74483144,0.030997305,0.048648649
2.98518E-5,4.000124365,0.159879983,0.736915627,0.032345013,0.054054054
3.07458E-5,4.251237735,0.164251841,0.729186068,0.033692722,0.059459459
3.1557E-5,4.500968092,0.168198977,0.721735891,0.033692722,0.059459459
3.24559E-5,4.750873713,0.172550916,0.714471969,0.035040431,0.064864865
3.30573E-5,5.002865882,0.175449827,0.707301173,0.037735849,0.07027027
3.40022E-5,5.250790172,0.179984254,0.70040976,0.041778976,0.07027027
3.47101E-5,5.501479113,0.183364989,0.693611473,0.043126685,0.075675676
3.52282E-5,5.753369751,0.185830336,0.686906314,0.044474394,0.075675676
3.58433E-5,6.002028973,0.188747868,0.680387409,0.044474394,0.075675676
3.63141E-5,6.251030682,0.190973399,0.673961632,0.045822102,0.075675676
3.68145E-5,6.503286414,0.193332838,0.667535854,0.04851752,0.075675676
3.73101E-5,6.751690328,0.195662405,0.661296331,0.049865229,0.081081081
3.80147E-5,7.000037743,0.198962822,0.655149935,0.051212938,0.081081081
3.85292E-5,7.252431941,0.201364682,0.649003539,0.052560647,0.081081081
3.90738E-5,7.500683388,0.203898695,0.643043397,0.059299191,0.086486486
3.95615E-5,7.752340086,0.206161445,0.637083256,0.064690027,0.091891892
4.00392E-5,8.003107785,0.208371211,0.631216241,0.064690027,0.091891892
4.05387E-5,8.252887194,0.210675659,0.625442354,0.064690027,0.097297297
4.10095E-5,8.501513307,0.21284109,0.619761594,0.066037736,0.108108108
4.15285E-5,8.753431461,0.215221661,0.614080834,0.070080863,0.108108108
4.20367E-5,9.003991352,0.21754593,0.608493202,0.07277628,0.108108108
4.25175E-5,9.253452513,0.219737985,0.602998696,0.07277628,0.118918919
4.29143E-5,9.501265564,0.221542925,0.597597318,0.075471698,0.124324324
4.33374E-5,9.751492256,0.223462797,0.59219594,0.076819407,0.124324324
4.36917E-5,10.003857344,0.225066448,0.586794561,0.079514825,0.12972973
4.40789E-5,10.254169307,0.226815662,0.58148631,0.083557951,0.12972973
4.44449E-5,10.50206991,0.228465331,0.576271186,0.08490566,0.12972973
4.49418E-5,10.752277815,0.230699299,0.571056063,0.08490566,0.12972973
4.54191E-5,11.000892831,0.232839198,0.565934066,0.08490566,0.135135135
4.58811E-5,11.252059933,0.234905172,0.560812069,0.086253369,0.140540541
4.63988E-5,11.501184558,0.237213194,0.5557832,0.088948787,0.140540541
4.68471E-5,11.752993941,0.239205852,0.55075433,0.094339623,0.140540541
4.73198E-5,12.002552834,0.241301686,0.545818588,0.094339623,0.140540541
4.77117E-5,12.254393989,0.243035214,0.540882846,0.095687332,0.140540541
4.82302E-5,12.503741266,0.24532211,0.536040231,0.098382749,0.145945946
4.8758E-5,12.751094201,0.24764319,0.531290743,0.098382749,0.145945946
4.91798E-5,13.000743895,0.249492613,0.526541255,0.099730458,0.145945946
4.95375E-5,13.252504452,0.251057762,0.521791768,0.102425876,0.145945946
4.99854E-5,13.501394809,0.253012736,0.517135407,0.102425876,0.151351351
5.04079E-5,13.752459075,0.254852316,0.512479046,0.103773585,0.151351351
5.09509E-5,14.000830368,0.257209753,0.507915813,0.103773585,0.151351351
5.12788E-5,14.251305426,0.258629796,0.50335258,0.105121294,0.151351351
5.18229E-5,14.503888425,0.260980245,0.498789346,0.107816712,0.162162162
5.22179E-5,14.753495123,0.262681936,0.49431924,0.10916442,0.162162162
5.26712E-5,15.000165711,0.264629709,0.489942261,0.10916442,0.162162162
5.31545E-5,15.254300831,0.266701139,0.485472155,0.113207547,0.162162162
5.36551E-5,15.500004789,0.268840085,0.481188303,0.115902965,0.167567568
5.40189E-5,15.753028385,0.270390874,0.476811324,0.117250674,0.167567568
5.44368E-5,16.00240461,0.272167977,0.472527473,0.117250674,0.167567568
5.47754E-5,16.253565716,0.273604952,0.468243621,0.119946092,0.167567568
5.52868E-5,16.501223747,0.275769275,0.464052896,0.123989218,0.172972973
5.57165E-5,16.751039546,0.277583381,0.459862172,0.123989218,0.172972973
5.61582E-5,17.002782776,0.279443034,0.455671447,0.125336927,0.172972973
5.6496E-5,17.250651024,0.280862144,0.45157385,0.128032345,0.178378378
5.68514E-5,17.500092482,0.282352223,0.447476253,0.129380054,0.178378378
5.72187E-5,17.751048492,0.283888776,0.443378655,0.129380054,0.178378378
5.76098E-5,18.003631675,0.285521395,0.439281058,0.130727763,0.178378378
5.79203E-5,18.25217497,0.286814647,0.435276588,0.130727763,0.178378378
5.84419E-5,18.502292517,0.288982631,0.431272118,0.132075472,0.178378378
5.89684E-5,18.754803985,0.291163859,0.427267648,0.134770889,0.178378378
5.93231E-5,19.003234278,0.292629496,0.423356305,0.134770889,0.178378378
5.975E-5,19.25326315,0.294389772,0.419444962,0.137466307,0.178378378
6.02849E-5,19.505177276,0.296588754,0.415533619,0.138814016,0.178378378
6.06262E-5,19.753098523,0.29798834,0.411715403,0.142857143,0.178378378
6.10771E-5,20.002672868,0.299833183,0.407897188,0.145552561,0.178378378
6.16698E-5,20.254335164,0.302250779,0.404078972,0.150943396,0.178378378
6.20539E-5,20.501841857,0.303813403,0.400353883,0.154986523,0.178378378
6.24749E-5,20.750913348,0.30552165,0.396628795,0.156334232,0.178378378
6.28643E-5,21.00144751,0.307098082,0.392903706,0.15902965,0.178378378
6.32453E-5,21.253702757,0.308636879,0.389178618,0.161725067,0.183783784
6.36745E-5,21.50108399,0.310366311,0.385546657,0.163072776,0.183783784
