Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.77831E-7,0.000057783,0.002929875,1,0,0
8.23974E-7,0.00014018,0.004175328,0.999900833,0,0
1.1247E-6,0.00025265,0.005694851,0.999801666,0,0
1.27174E-6,0.000502629,0.006436964,0.999603332,0,0
2.08666E-6,0.001159311,0.010539944,0.999206664,0,0
2.749E-6,0.002676668,0.013862228,0.998611662,0,0
3.01308E-6,0.005003917,0.015183736,0.997818326,0,0
3.67879E-6,0.010154844,0.01850717,0.996330821,0,0
4.32064E-6,0.025180072,0.021700906,0.992661642,0,0
5.07803E-6,0.050331309,0.02545617,0.987405791,0,0
6.12877E-6,0.10047247,0.030642066,0.978579929,0,0
7.66017E-6,0.200371356,0.038150882,0.964299881,0,0
8.73661E-6,0.300702208,0.043394099,0.952201507,0,0
9.40088E-6,0.400586357,0.046615391,0.941293138,0,0
9.87045E-6,0.500849561,0.048885971,0.93097977,0,0
1.0259E-5,0.600643077,0.050760644,0.921162237,0,0
1.06302E-5,0.70093084,0.05254811,0.911642205,0,0
1.08006E-5,0.750293666,0.053367579,0.907080524,0,0
1.09997E-5,0.800404153,0.054324038,0.902518842,0,0
1.13171E-5,0.900878854,0.05584716,0.893593812,0.011764706,0
1.16653E-5,1.000859107,0.057515056,0.884966283,0.011764706,0
1.20016E-5,1.100191582,0.05912313,0.876636255,0.011764706,0
1.23456E-5,1.201118713,0.060765255,0.868405395,0.011764706,0
1.26568E-5,1.301103251,0.062248543,0.860472035,0.011764706,0
1.29731E-5,1.401130483,0.063753125,0.852737009,0.011764706,0
1.32933E-5,1.50088788,0.065274313,0.845200317,0.011764706,0
1.39478E-5,1.750332374,0.068375612,0.827052757,0.023529412,0
1.44592E-5,2.000452752,0.070791945,0.809599365,0.023529412,0
1.49618E-5,2.250399038,0.073160545,0.792740976,0.023529412,0
1.54273E-5,2.501026134,0.075348602,0.776378421,0.023529412,0
1.59568E-5,2.750406971,0.077831543,0.760610869,0.023529412,0
1.63956E-5,3.001131104,0.079883948,0.745239984,0.023529412,0
1.68326E-5,3.250368866,0.08192328,0.730364935,0.023529412,0
1.72614E-5,3.50089067,0.083920371,0.715787386,0.023529412,0
1.78067E-5,3.750111743,0.086453498,0.701705672,0.023529412,0
1.83724E-5,4.001399497,0.0890741,0.68792146,0.023529412,0
1.9053E-5,4.250272679,0.092216562,0.674732249,0.023529412,0
1.97766E-5,4.500300044,0.095545884,0.661939706,0.035294118,0
2.05785E-5,4.750279942,0.099221534,0.649642999,0.035294118,0
2.15307E-5,5.00090277,0.103566209,0.637842126,0.035294118,0
2.28146E-5,5.25053325,0.109391863,0.626636255,0.035294118,0
2.45242E-5,5.501009611,0.117089816,0.616124554,0.047058824,0
2.64171E-5,5.752306014,0.125535624,0.606307021,0.047058824,0
2.83865E-5,6.00147133,0.134237042,0.597282824,0.047058824,0
3.03943E-5,6.251611238,0.143018968,0.58885363,0.047058824,0
3.23244E-5,6.503228139,0.151377137,0.58092027,0.047058824,0
3.38212E-5,6.751621194,0.157802696,0.573482745,0.047058824,0
3.49251E-5,7.002623604,0.162510668,0.566243554,0.047058824,0
3.61099E-5,7.251276092,0.1675343,0.559301864,0.047058824,0
3.70198E-5,7.503588676,0.171371343,0.552459342,0.070588235,0
3.79532E-5,7.751304477,0.175289929,0.54591432,0.070588235,0
3.88896E-5,8.001171331,0.179201974,0.539468465,0.070588235,0
3.97361E-5,8.252679604,0.182722396,0.533121777,0.070588235,0
4.04739E-5,8.50131292,0.185778682,0.526973423,0.070588235,0
4.12765E-5,8.750780332,0.189090244,0.520924236,0.070588235,0
4.21496E-5,9.001385775,0.192677474,0.514974217,0.070588235,0
4.28261E-5,9.252040876,0.195446236,0.509123364,0.070588235,0
4.34597E-5,9.502531187,0.198030525,0.503371678,0.070588235,0
4.41147E-5,9.752099218,0.200693615,0.497719159,0.082352941,0
4.48596E-5,10.001240709,0.203711234,0.492165807,0.082352941,0
4.56776E-5,10.250015293,0.207011934,0.486711622,0.082352941,0
4.64384E-5,10.502933205,0.210069363,0.481257438,0.094117647,0
4.7183E-5,10.751006072,0.213050541,0.476001587,0.094117647,0
4.82099E-5,11.003634333,0.217143604,0.470745736,0.094117647,0
4.90682E-5,11.251737887,0.220547847,0.465688219,0.094117647,0
