Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.20414E-7,0.000032041,0.002023745,1,0,0
4.57275E-7,0.000077769,0.002886917,0.999900448,0,0
5.85942E-7,0.000136363,0.003697728,0.999800896,0,0
6.97013E-7,0.00026588,0.004397126,0.999601792,0,0
9.83855E-7,0.000596429,0.00620106,0.999203584,0,0
1.14036E-6,0.001032651,0.007183941,0.998805376,0,0
2.25266E-6,0.002653168,0.014141339,0.997909408,0,0
2.52903E-6,0.00506899,0.015862499,0.996913888,0,0
3.17964E-6,0.010008998,0.019902333,0.995221503,0,0
3.74272E-6,0.025011335,0.023385345,0.990940767,0,0
4.732E-6,0.050033123,0.029474668,0.985067198,0,0
6.49044E-6,0.100168668,0.040204878,0.97630662,0,0
8.89233E-6,0.200609063,0.054670034,0.96346441,0,0
1.07469E-5,0.300463271,0.065689807,0.953409657,0,0
1.23616E-5,0.400679817,0.075179486,0.944748631,0,0
1.36181E-5,0.500866726,0.082496909,0.937083126,0,0
1.44594E-5,0.600597929,0.087364502,0.930014933,0,0
1.54464E-5,0.700455768,0.093041823,0.923344948,0,0
1.61308E-5,0.751018237,0.096957993,0.920159283,0,0
1.66636E-5,0.800036343,0.099994527,0.917172723,0,0
1.74852E-5,0.900888077,0.104657529,0.911299154,0,0
1.84635E-5,1.001226944,0.110178379,0.905724241,0,0
1.94327E-5,1.100026995,0.115614157,0.900547536,0,0
2.04271E-5,1.201723319,0.121157045,0.895470383,0,0
2.1339E-5,1.301965639,0.126209556,0.890691887,0,0
2.20952E-5,1.401845157,0.130376943,0.886112494,0,0
2.27627E-5,1.500583272,0.134039393,0.881732205,0,0
2.452E-5,1.752003056,0.143607455,0.871179691,0,0
2.60275E-5,2.002358082,0.1517306,0.861324042,0,0
2.71256E-5,2.252380341,0.157599536,0.851966152,0,0
2.8215E-5,2.501887098,0.163381952,0.843006471,0,0
2.92519E-5,2.751847879,0.168848753,0.834345445,0,0
3.05697E-5,3.000590851,0.175744912,0.826082628,0,0
3.16323E-5,3.252719689,0.181263974,0.818018915,0,0
3.24714E-5,3.502752304,0.185595703,0.810253858,0,0
3.35319E-5,3.750654128,0.191038122,0.802787456,0,0
3.44791E-5,4.00212271,0.195868319,0.795420607,0,0
3.5364E-5,4.253110102,0.200354312,0.788252862,0,0
3.61209E-5,4.503365163,0.204171822,0.781284221,0,0
3.69686E-5,4.751897081,0.208425606,0.774514684,0,0
3.76844E-5,5.002322278,0.212000037,0.767844699,0,0
3.85021E-5,5.253790363,0.216063534,0.761274266,0,0
3.90496E-5,5.501644805,0.218772345,0.754902937,0,0
3.96231E-5,5.753116725,0.221599699,0.748531608,0,0
4.02563E-5,6.000672349,0.224709999,0.742359383,0,0
4.06756E-5,6.251672114,0.226762337,0.736187158,0,0
4.11229E-5,6.501244214,0.228945939,0.730114485,0,0
4.17498E-5,6.753931101,0.231995973,0.724041812,0,0
4.22336E-5,7.001811901,0.23434168,0.718168243,0,0
4.27736E-5,7.252612855,0.236951531,0.712294674,0,0
4.32774E-5,7.502032932,0.239378065,0.706520657,0,0
4.3751E-5,7.750006795,0.241652024,0.700846192,0.022222222,0
4.42317E-5,8.00066704,0.243953448,0.695171727,0.022222222,0
4.46628E-5,8.253987292,0.246011419,0.689497262,0.022222222,0
4.51817E-5,8.501339974,0.248480717,0.684021901,0.044444444,0
