Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.87766E-9,0.000000988,0.000061833,1,0,0
1.5054E-8,0.000002493,0.000094235,0.999903605,0,0
1.62282E-8,0.000004116,0.000101585,0.99980721,0,0
2.99656E-8,0.000011925,0.00018757,0.999518026,0,0
1.42024E-7,0.000034557,0.000888691,0.999325236,0,0
2.06029E-7,0.000070387,0.001288932,0.999132447,0,0
3.54921E-7,0.000105879,0.002219371,0.999036052,0,0
4.97094E-7,0.00028842,0.003107021,0.998650472,0,0
5.37946E-7,0.000500144,0.00336193,0.998264893,0,0
6.71386E-7,0.001052273,0.004194121,0.99739734,0,0
8.88825E-7,0.002553717,0.005548679,0.995565838,0,0
1.12554E-6,0.005000269,0.007021207,0.993252362,0,0
1.38906E-6,0.01011926,0.00865795,0.989300174,0,0
2.08086E-6,0.025006158,0.012941898,0.981010218,0,0
3.03053E-6,0.050007366,0.018792599,0.971659919,0.00265252,0
4.43915E-6,0.100293352,0.027406956,0.958646617,0.00265252,0.010638298
6.56067E-6,0.200251263,0.040238512,0.941006362,0.00265252,0.010638298
8.03081E-6,0.300759045,0.049030845,0.92780027,0.00530504,0.010638298
9.39455E-6,0.400007791,0.057114894,0.916811259,0.00530504,0.010638298
1.04142E-5,0.500620899,0.063114089,0.906978986,0.00530504,0.010638298
1.13497E-5,0.600632236,0.068584769,0.898110661,0.00530504,0.010638298
1.22022E-5,0.700890246,0.073542472,0.8899171,0.00530504,0.010638298
1.26814E-5,0.750660122,0.076317429,0.886061307,0.00530504,0.010638298
1.30358E-5,0.800856738,0.078364398,0.882301909,0.00530504,0.010638298
1.37627E-5,0.900003158,0.082549043,0.875168691,0.00530504,0.010638298
1.4467E-5,1.000197674,0.086584851,0.868324658,0.00795756,0.010638298
1.51429E-5,1.101054368,0.090441687,0.861769809,0.00795756,0.010638298
1.5763E-5,1.200171433,0.093965545,0.85560054,0.00795756,0.010638298
1.63345E-5,1.301319578,0.097201176,0.849527665,0.00795756,0.010638298
1.68628E-5,1.401033281,0.100182128,0.843743975,0.00795756,0.010638298
1.7466E-5,1.500812292,0.103573458,0.838153075,0.013262599,0.010638298
1.88911E-5,1.75155169,0.111535358,0.824850588,0.013262599,0.010638298
2.02331E-5,2.001340662,0.118968083,0.812512049,0.013262599,0.021276596
2.15368E-5,2.250570348,0.126129214,0.801041064,0.018567639,0.021276596
2.25214E-5,2.502095027,0.13149856,0.790052053,0.021220159,0.021276596
2.3475E-5,2.750517991,0.136667886,0.779641411,0.021220159,0.021276596
2.44119E-5,3.00190605,0.141716719,0.769519954,0.023872679,0.021276596
2.53212E-5,3.250647182,0.146588368,0.75988047,0.029177719,0.021276596
2.62241E-5,3.500709153,0.151398524,0.750530172,0.029177719,0.021276596
2.70985E-5,3.751898497,0.156030877,0.741469057,0.034482759,0.042553191
2.78731E-5,4.001761838,0.160113532,0.732697127,0.034482759,0.042553191
2.87054E-5,4.250612875,0.164477829,0.724214382,0.039787798,0.053191489
2.9434E-5,4.500540566,0.168280074,0.715924426,0.042440318,0.053191489
3.02636E-5,4.751416817,0.172588418,0.70782726,0.045092838,0.053191489
3.11225E-5,5.000144226,0.17702562,0.700019279,0.045092838,0.053191489
3.18065E-5,5.25215569,0.180541849,0.692307692,0.045092838,0.053191489
3.26166E-5,5.500295728,0.184686944,0.68488529,0.047745358,0.053191489
3.33002E-5,5.750810311,0.188168822,0.677559283,0.050397878,0.063829787
3.40234E-5,6.000103322,0.19183543,0.670426065,0.050397878,0.063829787
