Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.42887E-7,0.000044289,0.002608368,1,0,0
4.70874E-7,0.000091376,0.002772966,0.999901662,0,0
4.78941E-7,0.00013927,0.00282041,0.999803324,0,0
8.19887E-7,0.000290558,0.004823336,0.999606648,0,0
9.55989E-7,0.000551431,0.005621759,0.999311633,0,0
1.15538E-6,0.001069549,0.006790274,0.998819943,0,0
1.36241E-6,0.00259691,0.008002186,0.997639886,0,0
1.60506E-6,0.005121749,0.009420631,0.995968138,0,0
2.64112E-6,0.010001669,0.01545443,0.993706362,0,0
4.06447E-6,0.025272058,0.023683842,0.989281149,0,0
5.61873E-6,0.050132649,0.032591622,0.984265906,0,0
7.30172E-6,0.100529851,0.042145522,0.976693874,0,0
9.14145E-6,0.200644811,0.052481286,0.964598289,0,0
1.0432E-5,0.300002058,0.059664861,0.954666142,0,0
1.13862E-5,0.400438192,0.064941565,0.945619038,0,0
1.24317E-5,0.50070745,0.070688838,0.937358639,0.005882353,0
1.31388E-5,0.600592738,0.074555877,0.929688268,0.005882353,0
1.39157E-5,0.700563044,0.078785947,0.92241125,0.005882353,0
1.44036E-5,0.750162654,0.081432717,0.918969417,0.005882353,0
1.4799E-5,0.801321051,0.083572285,0.915527584,0.005882353,0
1.54849E-5,0.901325502,0.087271569,0.90903727,0.005882353,0
1.62019E-5,1.00112023,0.091122669,0.902841971,0.011764706,0
1.68539E-5,1.100252387,0.094610554,0.896941686,0.011764706,0
1.75293E-5,1.200007424,0.098209408,0.891238077,0.011764706,0
1.82207E-5,1.301761598,0.101879021,0.885632806,0.011764706,0
1.88934E-5,1.400021891,0.105434773,0.880420887,0.011764706,0
1.96531E-5,1.501840032,0.109433585,0.875208968,0.011764706,0
2.10099E-5,1.7502179,0.116530858,0.863211722,0.011764706,0
2.25013E-5,2.000349779,0.124266851,0.851902842,0.023529412,0
2.3994E-5,2.251971123,0.131941817,0.841282329,0.023529412,0
2.53749E-5,2.502125133,0.138982231,0.831350182,0.023529412,0
2.67149E-5,2.752439425,0.145759292,0.821909726,0.023529412,0
2.81609E-5,3.00208689,0.153012426,0.81296096,0.029411765,0
2.9439E-5,3.252301373,0.159372558,0.804405546,0.035294118,0
3.04106E-5,3.500959061,0.164175305,0.796243485,0.035294118,0
3.15293E-5,3.752109609,0.169670994,0.7882781,0.041176471,0.023809524
3.26777E-5,4.002077833,0.175275528,0.780607729,0.041176471,0.023809524
3.37927E-5,4.251768783,0.180680576,0.773232373,0.041176471,0.023809524
3.46944E-5,4.50198704,0.185025404,0.766053693,0.041176471,0.023809524
3.58897E-5,4.752785169,0.190749839,0.759071688,0.041176471,0.023809524
3.70343E-5,5.0006388,0.196193948,0.752384699,0.041176471,0.047619048
3.81138E-5,5.252464597,0.201294457,0.745796047,0.047058824,0.047619048
3.89185E-5,5.502858102,0.205075733,0.739404071,0.047058824,0.047619048
3.97919E-5,5.750899218,0.209159721,0.733208772,0.058823529,0.047619048
4.05407E-5,6.000069788,0.212644274,0.72711181,0.058823529,0.047619048
4.13589E-5,6.25398727,0.216434115,0.721014849,0.058823529,0.047619048
4.22225E-5,6.500515177,0.220414571,0.715212902,0.064705882,0.047619048
4.33289E-5,6.753153281,0.225484515,0.709410955,0.064705882,0.047619048
4.41448E-5,7.002480661,0.229202166,0.703805684,0.064705882,0.047619048
4.4993E-5,7.252285905,0.233047759,0.698298751,0.064705882,0.047619048
4.59753E-5,7.502487605,0.237478026,0.692890156,0.070588235,0.047619048
4.69757E-5,7.753324125,0.241963147,0.6875799,0.070588235,0.047619048
4.78049E-5,8.000259737,0.245660794,0.682466319,0.076470588,0.047619048
4.85485E-5,8.250793454,0.248961447,0.677352739,0.088235294,0.071428571
4.94729E-5,8.500973657,0.253044401,0.672337496,0.094117647,0.071428571
5.01809E-5,8.750189906,0.25615684,0.667420592,0.094117647,0.071428571
5.09008E-5,9.002778157,0.259307947,0.662503688,0.1,0.095238095
5.17613E-5,9.254140734,0.263057139,0.657685121,0.105882353,0.095238095
5.24061E-5,9.504248226,0.265854013,0.652964893,0.105882353,0.095238095
5.31829E-5,9.752522339,0.269209407,0.648343003,0.111764706,0.095238095
5.40517E-5,10.004820685,0.272943702,0.643721113,0.111764706,0.095238095
5.48484E-5,10.255476548,0.276351738,0.639197561,0.111764706,0.095238095
5.53599E-5,10.503482369,0.278531249,0.634772347,0.111764706,0.095238095
5.61386E-5,10.754566747,0.28183694,0.630347133,0.129411765,0.095238095
5.68058E-5,11.002914773,0.28465698,0.626020258,0.135294118,0.095238095
5.75001E-5,11.254449107,0.287579677,0.621693382,0.135294118,0.095238095
5.83504E-5,11.503890257,0.291143042,0.617464844,0.141176471,0.095238095
5.89479E-5,11.750353089,0.293636421,0.613334645,0.147058824,0.095238095
5.94922E-5,12.004906479,0.295900175,0.609106107,0.147058824,0.095238095
6.01143E-5,12.250105045,0.298478354,0.605074245,0.152941176,0.095238095
6.07518E-5,12.50401207,0.301110693,0.600944046,0.158823529,0.095238095
6.13271E-5,12.754126828,0.303477804,0.596912184,0.158823529,0.095238095
6.18789E-5,13.000558496,0.305740665,0.592978661,0.164705882,0.095238095
6.23908E-5,13.255211145,0.307833275,0.588946799,0.164705882,0.095238095
6.2859E-5,13.505739228,0.309741884,0.585013276,0.170588235,0.095238095
6.3377E-5,13.751821404,0.311847281,0.58117809,0.170588235,0.119047619
6.40035E-5,14.000245589,0.314385134,0.577342905,0.170588235,0.119047619
6.44833E-5,14.250862218,0.316322165,0.57350772,0.176470588,0.119047619
6.48752E-5,14.503065253,0.317900293,0.569672534,0.176470588,0.119047619
6.54912E-5,14.7509413,0.320373798,0.565935687,0.176470588,0.119047619
6.60434E-5,15.001080066,0.322583241,0.56219884,0.176470588,0.119047619
6.64944E-5,15.252725267,0.32438239,0.558461992,0.182352941,0.119047619
6.70096E-5,15.506365333,0.326432073,0.554725145,0.182352941,0.119047619
6.76066E-5,15.755653267,0.32879932,0.551086636,0.182352941,0.119047619
6.80618E-5,16.006731815,0.330598749,0.547448127,0.182352941,0.119047619
6.84862E-5,16.252669244,0.332271891,0.543907956,0.182352941,0.119047619
6.90517E-5,16.500279838,0.334494984,0.540367784,0.182352941,0.119047619
6.95783E-5,16.756707617,0.336558379,0.536729275,0.188235294,0.142857143
7.01266E-5,17.001168788,0.338700087,0.533287442,0.188235294,0.166666667
7.04231E-5,17.254141969,0.339855306,0.529747271,0.194117647,0.166666667
7.09235E-5,17.501441331,0.341800607,0.526305438,0.2,0.166666667
7.13395E-5,17.750503646,0.343413294,0.522863605,0.2,0.19047619
7.17508E-5,18.000879827,0.345004103,0.519421772,0.2,0.19047619
7.21626E-5,18.252909376,0.346592635,0.515979939,0.2,0.19047619
7.26265E-5,18.506326391,0.348377702,0.512538106,0.205882353,0.19047619
7.30003E-5,18.753974753,0.349812584,0.509194611,0.211764706,0.19047619
7.36355E-5,19.003132112,0.352243334,0.505851116,0.211764706,0.19047619
7.40853E-5,19.254303262,0.353959417,0.502507621,0.211764706,0.214285714
7.44356E-5,19.506788945,0.355292744,0.499164126,0.211764706,0.214285714
7.47899E-5,19.753083591,0.35663813,0.495918969,0.217647059,0.214285714
7.51933E-5,20.000520112,0.358167086,0.492673813,0.217647059,0.214285714
7.57633E-5,20.2570331,0.360320706,0.489330318,0.217647059,0.214285714
7.61534E-5,20.500079212,0.361790696,0.486183499,0.223529412,0.214285714
7.64993E-5,20.752051343,0.363091155,0.482938342,0.223529412,0.214285714
7.68491E-5,21.00510313,0.364403654,0.479693185,0.223529412,0.214285714
7.72623E-5,21.251728341,0.365950505,0.476546366,0.229411765,0.238095238
7.77112E-5,21.50751591,0.367626626,0.47330121,0.229411765,0.238095238
7.81188E-5,21.756822146,0.369144994,0.470154391,0.229411765,0.238095238
7.84279E-5,22.007293354,0.37029394,0.467007572,0.229411765,0.238095238
7.87956E-5,22.251069062,0.371657753,0.463959091,0.229411765,0.261904762
7.91351E-5,22.503643249,0.372914498,0.460812273,0.229411765,0.261904762
7.94641E-5,22.757456225,0.374130161,0.457665454,0.229411765,0.261904762
7.9823E-5,23.004405191,0.375453297,0.454616973,0.229411765,0.261904762
8.0104E-5,23.252249994,0.376487224,0.451568492,0.229411765,0.261904762
8.04211E-5,23.501077002,0.377652125,0.448520012,0.235294118,0.261904762
8.07966E-5,23.751008382,0.379028806,0.445471531,0.235294118,0.261904762
8.11568E-5,24.002005549,0.380346502,0.44242305,0.241176471,0.261904762
8.15176E-5,24.254142956,0.381663391,0.43937457,0.241176471,0.261904762
8.1875E-5,24.507406183,0.382965194,0.436326089,0.247058824,0.261904762
8.2298E-5,24.753651052,0.384502769,0.433375947,0.247058824,0.285714286
8.25903E-5,25.000965358,0.385562488,0.430425804,0.247058824,0.285714286
8.29925E-5,25.25765282,0.387018433,0.427377323,0.247058824,0.285714286
8.34388E-5,25.507428158,0.388629531,0.424427181,0.247058824,0.285714286
8.37611E-5,25.758240965,0.389790518,0.421477038,0.247058824,0.285714286
