X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-1603368.0217427572,-4390971.468773477,train,1.696099506925824E-4,63.02310855510497,0.6322004554579395
-378300.36514750536,-3851575.251748004,train,1.268583546464273E-4,53.66430186013564,0.5267370643125121
-8239497.643919865,-4658938.420339374,train,8.9364515733365E-5,29.878113254455933,0.40962476152220695
-8301298.513816467,-4667186.638002485,train,1.0133108572078204E-4,39.126129595238005,0.4498507852341572
-8321169.042923066,-4289213.127610478,train,8.422197955167266E-5,26.232394987256352,0.39144658102413976
-8322987.262014819,-4654437.935213546,train,1.0276198347993178E-4,40.218327762132354,0.4544735420004178
-8340575.7415601555,-4814376.8516836595,train,1.0232767523107625E-4,39.90838192374219,0.4530745566631277
1.6695474590193585E7,-5834669.037763182,train,1.2763637678628778E-4,53.9544635664134,0.5289034786681129
371621.195699909,-3877980.08124909,train,2.446935112504592E-4,72.15550747571012,0.7637812646450284
919869.6878567812,-4222209.630521135,train,3.2440263718279215E-4,76.87239357819489,0.8523712519908282
-333958.4723798207,-4838471.398061137,train,1.0531658646572796E-4,41.760108039314396,0.46263025217488307
1304107.8346431998,-3623894.8769222354,train,3.937169926275378E-4,79.30147588642446,0.9019043776122828
-8293840.107933316,-4815676.4494802365,train,9.055977745341595E-5,30.83859306865541,0.4137714789467781
0.0,-4139372.7622473035,train,2.029119101562724E-4,67.7023767060991,0.697781261884475
1.6695140631721204E7,-6482896.336468956,train,1.0053102430233681E-4,38.47170253053107,0.44724899822216124
1.6705715983346565E7,-6621123.724546006,train,1.0522715084402659E-4,41.69198689082969,0.4623467598741273
1.6743230651743898E7,-7311747.720775864,train,4.817867041022E-5,8.126190466124571,0.2473217109775223
-1629160.7477595585,-5280804.919761216,train,8.028910372797203E-5,23.39750009428674,0.37716757684986324
-2275515.1071525426,-5376462.746412143,train,8.699578286943932E-5,28.305335550004195,0.40132005997337894
-2313664.296647398,-5132425.30025392,train,5.3178436605688125E-5,9.751095787424626,0.2691900272736475
-2397343.1578767016,-4613221.698404452,train,1.826448697600642E-4,64.88127400444125,0.6594135257034002
-2433911.6106022918,-4521372.279439185,train,2.0538010780463232E-4,68.06845123486934,0.7021483051291868
-2465537.477936661,-4435383.55207249,train,1.9607506840345085E-4,66.87871136239531,0.6853474510345108
-2530659.3800507262,-4235481.449327371,train,1.665180976175834E-4,62.54040933787848,0.6254327987117447
-2533241.9922371297,-4801342.234133373,train,1.2164061192204775E-4,51.43763217046536,0.5119484707894988
-4787662.055884347,-7080958.259783196,train,4.760361443894715E-5,7.940316932844972,0.2447648972072235
-5434428.297393267,-3677962.0389441047,train,0.0018521681607327441,94.77411926200648,0.9999819530533326
-6003270.895346895,-4684083.425871969,train,5.024619843432891E-4,81.38090400713115,0.9483414352062328
2424983.787440671,-4407146.178717437,train,5.5667225728571754E-5,10.602576615053469,0.2798376445306394
345079.2895100687,-9443667.981558712,train,5.797964271280748E-5,11.39512614540623,0.2895916221256224
4030511.407304818,-5924374.459667663,train,1.3134481031185717E-4,55.11589098084288,0.5390941595093193
4549438.345586742,-6989548.724987384,train,5.084163749366134E-5,8.982020060040895,0.2590494035834098
641011.0238349072,-6450739.2352509415,train,8.858261303877742E-5,29.405476463386364,0.40689625190636003
7482784.851633055,-9408251.143828172,train,4.499960171530468E-5,7.253967428355539,0.233077787955845
8348961.809495518,-9569603.113292381,train,3.9587312522205684E-5,5.692797424650186,0.2082050006421532
8348961.809495518,-1.0260472604369104E7,train,7.468133483556894E-5,19.677613597374595,0.35622620427680196
8348961.809495518,-1.0116680739456367E7,train,6.6132080503347E-5,15.050561270189657,0.32293739303142943
8348961.809495518,-1.0407332515149962E7,train,5.8445935295776795E-5,11.543297620268797,0.2915424214637249
8971794.360483883,-8722382.793909911,train,2.8124252321691912E-5,2.995759780741529,0.1528294501532661
9215895.739895374,-8991237.980927994,train,6.135264173170242E-5,12.765533662989194,0.3035828277801106
