scientificname,longitude,latitude,depth,taxonRank,occurrenceStatus,phylum,class,date_time,AphiaID
Coccopterum labyrinthus,144.413,-42.6097,126.0,SPECIES,PRESENT,Chlorophyta,Prasinophyceae,2000-02-29,620590.0
Coccopterum labyrinthus,144.413,-42.6097,17.0,SPECIES,PRESENT,Chlorophyta,Prasinophyceae,2000-02-29,620590.0
Coccopterum labyrinthus,144.413,-42.6097,319.0,SPECIES,PRESENT,Chlorophyta,Prasinophyceae,2000-02-29,620590.0
Coccopterum labyrinthus,144.413,-42.6097,36.0,SPECIES,PRESENT,Chlorophyta,Prasinophyceae,2000-02-29,620590.0
Coccopterum labyrinthus,144.413,-42.6097,473.0,SPECIES,PRESENT,Chlorophyta,Prasinophyceae,2000-02-29,620590.0
Coccopterum labyrinthus,144.413,-42.6097,55.0,SPECIES,PRESENT,Chlorophyta,Prasinophyceae,2000-02-29,620590.0
Coccopterum labyrinthus,144.413,-42.6097,7.0,SPECIES,PRESENT,Chlorophyta,Prasinophyceae,2000-02-29,620590.0
Coccopterum labyrinthus,144.413,-42.6097,93.0,SPECIES,PRESENT,Chlorophyta,Prasinophyceae,2000-02-29,620590.0
Halosphaera viridis,60.0,-64.05,0.0,SPECIES,PRESENT,Chlorophyta,Pyramimonadophyceae,1989-02-18,134546.0
Halosphaera viridis,65.0,-63.0,50.0,SPECIES,PRESENT,Chlorophyta,Pyramimonadophyceae,1989-02-22,134546.0
Halosphaera viridis,65.0,-64.0,0.0,SPECIES,PRESENT,Chlorophyta,Pyramimonadophyceae,1989-02-23,134546.0
Halosphaera viridis,65.0,-66.5,0.0,SPECIES,PRESENT,Chlorophyta,Pyramimonadophyceae,1989-02-24,134546.0
Halosphaera viridis,70.0,-67.0,100.0,SPECIES,PRESENT,Chlorophyta,Pyramimonadophyceae,1988-02-03,134546.0
Halosphaera viridis,75.0,-65.0,25.0,SPECIES,PRESENT,Chlorophyta,Pyramimonadophyceae,1988-02-11,134546.0
Halosphaera viridis,75.0,-67.0,50.0,SPECIES,PRESENT,Chlorophyta,Pyramimonadophyceae,1988-02-11,134546.0
Halosphaera viridis,75.0,-68.0,100.0,SPECIES,PRESENT,Chlorophyta,Pyramimonadophyceae,1988-01-25,134546.0
Halosphaera viridis,75.0,-69.0,25.0,SPECIES,PRESENT,Chlorophyta,Pyramimonadophyceae,1988-02-13,134546.0
Halosphaera viridis,75.0,-69.0,50.0,SPECIES,PRESENT,Chlorophyta,Pyramimonadophyceae,1988-02-13,134546.0
Pterosperma parallelum,79.9986,-65.9511,90.76,SPECIES,PRESENT,Chlorophyta,Prasinophyceae,2006-02-27,341609.0
Pterosperma parallelum,79.9993,-65.0066,46.03,SPECIES,PRESENT,Chlorophyta,Prasinophyceae,2006-02-26,341609.0
Pterosperma parallelum,79.9996,-63.001,10.0,SPECIES,PRESENT,Chlorophyta,Prasinophyceae,2006-02-25,341609.0
Pterosperma polygonum,128.171,-57.7401,5.0,SPECIES,PRESENT,Chlorophyta,Prasinophyceae,2009-12-12,341610.0
Pterosperma polygonum,132.6192,-56.4457,5.0,SPECIES,PRESENT,Chlorophyta,Prasinophyceae,2009-12-11,341610.0
Pterosperma polygonum,146.8261,-57.5456,5.0,SPECIES,PRESENT,Chlorophyta,Prasinophyceae,2011-02-02,341610.0
Pterosperma polygonum,146.9852,-49.6123,5.0,SPECIES,PRESENT,Chlorophyta,Prasinophyceae,2011-02-04,341610.0
Pterosperma polygonum,147.2793,-46.7053,5.0,SPECIES,PRESENT,Chlorophyta,Prasinophyceae,2011-02-04,341610.0
Pyramimonas gelidicola,29.9985,-68.9223,34.93,SPECIES,PRESENT,Chlorophyta,Pyramimonadophyceae,2006-01-23,341612.0
Pyramimonas gelidicola,49.9976,-66.0271,51.0,SPECIES,PRESENT,Chlorophyta,Pyramimonadophyceae,2006-02-05,341612.0
Pyramimonas gelidicola,59.9993,-64.3331,90.23,SPECIES,PRESENT,Chlorophyta,Pyramimonadophyceae,2006-02-09,341612.0
Geminigera cryophila,40.007,-68.1971,30.18,SPECIES,PRESENT,Cryptophyta,Cryptophyceae,2006-01-30,341616.0
Telonema subtile,29.9985,-68.9223,34.93,SPECIES,PRESENT,Cryptophyta,Telonemea,2006-01-23,118075.0
Prochlorococcus,-78.12,-33.35,14.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-04,345515.0
Prochlorococcus,-78.12,-33.35,20.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-04,345515.0
Prochlorococcus,-78.12,-33.35,30.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-04,345515.0
Prochlorococcus,-78.12,-33.35,41.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-04,345515.0
Prochlorococcus,-78.12,-33.35,51.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,2004-12-04,345515.0
