class,longitude,latitude
Prasinophyceae,144.413,-42.6097
Prasinophyceae,144.413,-42.6097
Prasinophyceae,144.413,-42.6097
Prasinophyceae,144.413,-42.6097
Prasinophyceae,144.413,-42.6097
Prasinophyceae,144.413,-42.6097
Prasinophyceae,144.413,-42.6097
Prasinophyceae,144.413,-42.6097
Pyramimonadophyceae,60,-64.05
Pyramimonadophyceae,65,-63
Pyramimonadophyceae,65,-64
Pyramimonadophyceae,65,-66.5
Pyramimonadophyceae,70,-67
Pyramimonadophyceae,75,-65
Pyramimonadophyceae,75,-67
Pyramimonadophyceae,75,-68
Pyramimonadophyceae,75,-69
Pyramimonadophyceae,75,-69
Prasinophyceae,79.9986,-65.9511
Prasinophyceae,79.9993,-65.0066
Prasinophyceae,79.9996,-63.001
Prasinophyceae,128.171,-57.7401
Prasinophyceae,132.6192,-56.4457
Prasinophyceae,146.8261,-57.5456
Prasinophyceae,146.9852,-49.6123
Prasinophyceae,147.2793,-46.7053
Pyramimonadophyceae,29.9985,-68.9223
Pyramimonadophyceae,49.9976,-66.0271
Pyramimonadophyceae,59.9993,-64.3331
Cryptophyceae,40.007,-68.1971
Telonemea,29.9985,-68.9223
Cyanophyceae,-78.12,-33.35
Cyanophyceae,-78.12,-33.35
Cyanophyceae,-78.12,-33.35
Cyanophyceae,-78.12,-33.35
Cyanophyceae,-78.12,-33.35
Cyanophyceae,-78.1,-33.36
Cyanophyceae,-78.1,-33.36
Cyanophyceae,-78.1,-33.36
Cyanophyceae,-78.1,-33.36
Cyanophyceae,-78.1,-33.36
Cyanophyceae,-78.1,-33.36
Cyanophyceae,-78.1,-33.36
Cyanophyceae,-78.1,-33.36
Cyanophyceae,-78.1,-33.36
Cyanophyceae,-81.18,-33.04
Cyanophyceae,-81.18,-33.04
Cyanophyceae,-81.18,-33.04
Cyanophyceae,-81.18,-33.04
Cyanophyceae,-81.18,-33.04
Cyanophyceae,-81.18,-33.04
Cyanophyceae,-81.18,-33.04
Cyanophyceae,-81.18,-33.04
Cyanophyceae,-81.18,-33.04
Cyanophyceae,-81.2,-33.02
Cyanophyceae,-81.2,-33.02
Cyanophyceae,-81.2,-33.02
Cyanophyceae,-84.07,-32.68
