class,longitude,latitude
Cyanophyceae,-18469350.675984398,-11160200.105548225
Cyanophyceae,-18469350.675984398,-11160200.105548225
Cyanophyceae,-18469350.675984398,-11160200.105548225
Cyanophyceae,-18469350.675984398,-11160200.105548225
Cyanophyceae,-18469350.675984398,-11160200.105548225
Cyanophyceae,-18469461.99547519,-11160200.105548225
Cyanophyceae,-18469461.99547519,-11160200.105548225
Cyanophyceae,-18469461.99547519,-11160200.105548225
Cyanophyceae,-18469461.99547519,-11160200.105548225
Cyanophyceae,-18469461.99547519,-11160200.105548225
Cyanophyceae,-18469461.99547519,-11160200.105548225
Cyanophyceae,-18469573.314965982,-11159868.499222396
Cyanophyceae,-18469573.314965982,-11159868.499222396
Cyanophyceae,-18469573.314965982,-11159868.499222396
Cyanophyceae,-18469573.314965982,-11159868.499222396
Cyanophyceae,-18469573.314965982,-11159868.499222396
Cyanophyceae,-18469573.314965982,-11159868.499222396
Cyanophyceae,-18469573.314965982,-11159868.499222396
Cyanophyceae,-18469573.314965982,-11159868.499222396
Cyanophyceae,-18469573.314965982,-11159868.499222396
Cyanophyceae,-18469573.314965982,-11159868.499222396
Cyanophyceae,-18469573.314965982,-11159868.499222396
Cyanophyceae,-18469573.314965982,-11159868.499222396
Cyanophyceae,-18469573.314965982,-11159868.499222396
Cyanophyceae,-18469573.314965982,-11159868.499222396
Cyanophyceae,-18470686.50987392,-11162521.805748994
Cyanophyceae,-18470686.50987392,-11162521.805748994
Cyanophyceae,-18470686.50987392,-11162521.805748994
Cyanophyceae,-18470686.50987392,-11162521.805748994
Cyanophyceae,-18470686.50987392,-11162521.805748994
Cyanophyceae,-18470686.50987392,-11162521.805748994
Cyanophyceae,-18474248.7335793,-11467541.956439923
Cyanophyceae,-18474248.7335793,-11467541.956439923
Cyanophyceae,-18474248.7335793,-11467541.956439923
Cyanophyceae,-18474248.7335793,-11467541.956439923
Cyanophyceae,-18474248.7335793,-11467541.956439923
Cyanophyceae,-18474248.7335793,-11467541.956439923
Cyanophyceae,-18474248.7335793,-11467541.956439923
Cyanophyceae,-18474360.0530701,-11467541.956439923
Cyanophyceae,-18474360.0530701,-11467541.956439923
Cyanophyceae,-18474360.0530701,-11467541.956439923
Cyanophyceae,-18474360.0530701,-11467541.956439923
Cyanophyceae,-18474360.0530701,-11467541.956439923
Cyanophyceae,-18474360.0530701,-11467541.956439923
Cyanophyceae,-18479926.027609758,-11470666.523291524
Cyanophyceae,-18479926.027609758,-11470666.523291524
Cyanophyceae,-18479926.027609758,-11470666.523291524
Cyanophyceae,-18479926.027609758,-11470666.523291524
Cyanophyceae,-18479926.027609758,-11470666.523291524
Cyanophyceae,-18479926.027609758,-11470666.523291524
Cyanophyceae,-18479926.027609758,-11470666.523291524
Cyanophyceae,-18742528.706391092,-10804597.525114706
Cyanophyceae,-18742528.706391092,-10804597.525114706
Cyanophyceae,-18742528.706391092,-10804597.525114706
Cyanophyceae,-18742528.706391092,-10804597.525114706
Cyanophyceae,-18742528.706391092,-10804597.525114706
Cyanophyceae,-18742528.706391092,-10804597.525114706
Cyanophyceae,-18742528.706391092,-10804597.525114706
Cyanophyceae,-18742528.706391092,-10804597.525114706
Cyanophyceae,-18742528.706391092,-10804597.525114706
Cyanophyceae,-18742528.706391092,-10804597.525114706
Cyanophyceae,-18742528.706391092,-10804597.525114706
Cyanophyceae,-18742528.706391092,-10804597.525114706
Cyanophyceae,-18742528.706391092,-10804597.525114706
Cyanophyceae,-18742528.706391092,-10804597.525114706
Cyanophyceae,-18753438.01648883,-10735409.720605751
Cyanophyceae,-18753438.01648883,-10735409.720605751
Cyanophyceae,-18753438.01648883,-10735409.720605751
Cyanophyceae,-18753438.01648883,-10735409.720605751
Cyanophyceae,-18753438.01648883,-10735409.720605751
Cyanophyceae,-18753438.01648883,-10735409.720605751
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18850063.334497392,-9491117.343584212
Cyanophyceae,-18935334.06444504,-8542708.817033472
Cyanophyceae,-18935334.06444504,-8542708.817033472
Cyanophyceae,-18935334.06444504,-8542708.817033472
Cyanophyceae,-18935334.06444504,-8542708.817033472
Cyanophyceae,-18935334.06444504,-8542708.817033472
Cyanophyceae,-18935334.06444504,-8542708.817033472
Cyanophyceae,-18935334.06444504,-8742963.118139261
Cyanophyceae,-18935334.06444504,-8742963.118139261
Cyanophyceae,-18935334.06444504,-8742963.118139261
Cyanophyceae,-18935334.06444504,-8742963.118139261
Cyanophyceae,-18935334.06444504,-8742963.118139261
Cyanophyceae,-18935334.06444504,-8742963.118139261
Cyanophyceae,-18942903.789818984,-7693717.21963593
Cyanophyceae,-18942903.789818984,-7693717.21963593
Cyanophyceae,-18942903.789818984,-7693717.21963593
Cyanophyceae,-18942903.789818984,-7693717.21963593
Cyanophyceae,-18942903.789818984,-7693717.21963593
Cyanophyceae,-18942903.789818984,-7693717.21963593
Cyanophyceae,-18942903.789818984,-7693717.21963593
Cyanophyceae,-18942903.789818984,-7693717.21963593
Cyanophyceae,-18942903.789818984,-7693717.21963593
Cyanophyceae,-18942903.789818984,-7693717.21963593
Cyanophyceae,-18942903.789818984,-7693717.21963593
Cyanophyceae,-18942903.789818984,-7693717.21963593
Cyanophyceae,-18935445.383935835,-8414670.181402551
Cyanophyceae,-18935445.383935835,-8414670.181402551
Cyanophyceae,-18935445.383935835,-8414670.181402551
Cyanophyceae,-18935445.383935835,-8414670.181402551
Cyanophyceae,-18935445.383935835,-8414670.181402551
Cyanophyceae,-18935445.383935835,-8414670.181402551
Cyanophyceae,-18935445.383935835,-8512472.491118766
Cyanophyceae,-18935445.383935835,-8512472.491118766
Cyanophyceae,-18935445.383935835,-8512472.491118766
Cyanophyceae,-18935445.383935835,-8512472.491118766
Cyanophyceae,-18935445.383935835,-8512472.491118766
Cyanophyceae,-18935445.383935835,-8512472.491118766
Cyanophyceae,-18935445.383935835,-8569412.032408351
Cyanophyceae,-18935445.383935835,-8569412.032408351
Cyanophyceae,-18935445.383935835,-8569412.032408351
Cyanophyceae,-18935445.383935835,-8569412.032408351
Cyanophyceae,-18935445.383935835,-8569412.032408351
Cyanophyceae,-18935445.383935835,-8569412.032408351
Cyanophyceae,-18935445.383935835,-8598049.99685877
