Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.10038E-11,0.000000004,0.00000017,1,0,0
6.07907E-10,0.000000069,0.000002525,0.999807526,0,0
1.19567E-9,0.000000189,0.000004966,0.999711289,0,0
1.89973E-9,0.000000379,0.00000789,0.999615051,0,0
3.76474E-9,0.000001328,0.000015637,0.99932634,0,0
4.74638E-9,0.000002664,0.000019714,0.999037629,0,0
6.36084E-9,0.000010226,0.000026419,0.997786546,0,0
9.92298E-9,0.000025183,0.000041214,0.996054278,0,0
1.4634E-8,0.000050324,0.00006078,0.994033298,0,0
1.95756E-8,0.000101917,0.000081303,0.991146184,0,0
3.57633E-8,0.000252684,0.00014853,0.985756905,0,0
5.00004E-8,0.000500718,0.000207653,0.980175152,0,0
8.20657E-8,0.001001692,0.000340798,0.972764893,0,0
1.86045E-7,0.002507735,0.000772431,0.961408912,0,0
3.05032E-7,0.00501114,0.00126613,0.951881436,0,0
4.69882E-7,0.010019455,0.001949728,0.939081898,0,0
9.17312E-7,0.025010478,0.003802761,0.917813492,0,0
1.66622E-6,0.050164506,0.006896675,0.898662304,0,0
2.59679E-6,0.100071021,0.010727658,0.876720239,0,0
4.16467E-6,0.200027032,0.017149011,0.848426523,0,0
5.10201E-6,0.300258856,0.020967998,0.82773554,0,0
5.91428E-6,0.400434987,0.024265407,0.81031662,0,0
6.61332E-6,0.500348396,0.027094251,0.795014917,0,0.010204082
7.35702E-6,0.600306975,0.03009487,0.781253007,0,0.010204082
7.97683E-6,0.700213759,0.032588522,0.768742181,0.002525253,0.020408163
8.32122E-6,0.750747888,0.033971336,0.762775479,0.002525253,0.020408163
8.6101E-6,0.800726631,0.03512973,0.757097488,0.002525253,0.020408163
9.21625E-6,0.900800777,0.037555839,0.74631893,0.005050505,0.020408163
9.67428E-6,1.000155245,0.039385058,0.736214031,0.005050505,0.020408163
1.02882E-5,1.100999066,0.041831365,0.726494081,0.005050505,0.020408163
1.08548E-5,1.200384426,0.044083452,0.717447791,0.005050505,0.030612245
1.14657E-5,1.300792474,0.046505986,0.70878645,0.007575758,0.030612245
1.20086E-5,1.400559462,0.048653646,0.700606294,0.007575758,0.030612245
1.25316E-5,1.501079563,0.050718063,0.692714849,0.007575758,0.030612245
1.38441E-5,1.75056786,0.05587881,0.674526032,0.012626263,0.030612245
1.51613E-5,2.000632203,0.061029768,0.657877009,0.015151515,0.030612245
1.66165E-5,2.251191396,0.06668793,0.642671543,0.02020202,0.030612245
1.81013E-5,2.500602807,0.072425975,0.628813396,0.025252525,0.030612245
1.94171E-5,2.750836132,0.077481603,0.616013858,0.03030303,0.030612245
2.09488E-5,3.00144057,0.083331721,0.604080454,0.032828283,0.030612245
2.21821E-5,3.25145348,0.088015525,0.592916947,0.035353535,0.030612245
2.3688E-5,3.501226376,0.093701782,0.5824271,0.04040404,0.030612245
2.51242E-5,3.750620576,0.099092032,0.572610913,0.042929293,0.030612245
2.65082E-5,4.001357925,0.104255653,0.563275912,0.047979798,0.030612245
2.76867E-5,4.250072444,0.108629539,0.554422096,0.047979798,0.030612245
2.91652E-5,4.500467778,0.114086691,0.545953229,0.050505051,0.030612245
3.032E-5,4.750615345,0.118325819,0.53786931,0.053030303,0.030612245
3.15176E-5,5.001130621,0.122700548,0.530074103,0.055555556,0.030612245
3.28132E-5,5.252437793,0.127408655,0.522567607,0.055555556,0.030612245
3.41227E-5,5.503259647,0.132141822,0.515349822,0.055555556,0.040816327
3.54376E-5,5.750190062,0.136868383,0.508516986,0.055555556,0.040816327
3.66554E-5,6.002534839,0.141223399,0.501780387,0.055555556,0.051020408
3.77707E-5,6.252042541,0.145192173,0.495332499,0.058080808,0.051020408
3.89157E-5,6.501641853,0.149247599,0.489077086,0.068181818,0.051020408
4.00576E-5,6.750652667,0.153273136,0.483014147,0.070707071,0.071428571
4.12931E-5,7.002656485,0.157607232,0.477047445,0.073232323,0.071428571
4.2367E-5,7.25378999,0.161356183,0.471273217,0.075757576,0.081632653
4.35728E-5,7.503286086,0.165545672,0.465691464,0.080808081,0.081632653
4.46947E-5,7.750518188,0.169424915,0.460302185,0.083333333,0.091836735
4.60062E-5,8.004326645,0.173936998,0.454912905,0.083333333,0.102040816
4.72466E-5,8.251168475,0.178181925,0.449812338,0.083333333,0.102040816
4.81982E-5,8.50435994,0.181423587,0.44471177,0.090909091,0.102040816
4.92898E-5,8.753046282,0.185126736,0.439803676,0.090909091,0.12244898
5.03688E-5,9.002244407,0.188770585,0.43499182,0.093434343,0.12244898
5.13174E-5,9.251433188,0.191960208,0.430276201,0.093434343,0.12244898
5.21684E-5,9.504820957,0.194811384,0.425560581,0.098484848,0.132653061
5.34477E-5,9.753296665,0.199078395,0.421037436,0.103535354,0.142857143
5.44889E-5,10.001777635,0.202534442,0.416610528,0.103535354,0.142857143
5.57191E-5,10.255044446,0.206598745,0.41218362,0.103535354,0.142857143
5.67801E-5,10.502709265,0.210087649,0.407949187,0.106060606,0.142857143
5.78206E-5,10.75539774,0.21349409,0.403714753,0.108585859,0.142857143
5.88467E-5,11.000535671,0.216838911,0.399672794,0.111111111,0.142857143
6.02143E-5,11.250794212,0.221274836,0.395630834,0.113636364,0.142857143
6.12109E-5,11.500023272,0.224491613,0.391685112,0.116161616,0.142857143
6.23233E-5,11.753559698,0.228066418,0.38773939,0.116161616,0.153061224
6.31167E-5,12.004519627,0.230605995,0.383889905,0.116161616,0.163265306
6.40509E-5,12.252553828,0.233585363,0.380136657,0.121212121,0.163265306
6.48832E-5,12.504066829,0.236230303,0.376383409,0.123737374,0.163265306
6.5846E-5,12.752445724,0.239278492,0.372726398,0.133838384,0.163265306
6.66553E-5,13.004407353,0.241831214,0.369069387,0.136363636,0.163265306
6.74054E-5,13.252635053,0.244189562,0.365508613,0.138888889,0.173469388
6.86997E-5,13.50462039,0.248241745,0.361947839,0.143939394,0.193877551
6.94709E-5,13.753541129,0.250645884,0.358483303,0.148989899,0.193877551
7.07059E-5,14.005769235,0.254480123,0.355018766,0.148989899,0.193877551
7.18922E-5,14.255422415,0.258144283,0.351650467,0.151515152,0.193877551
7.26538E-5,14.501425712,0.26048737,0.348378404,0.151515152,0.204081633
7.35483E-5,14.750106565,0.263229786,0.345106342,0.154040404,0.214285714
7.45565E-5,15.001725092,0.26630833,0.34183428,0.156565657,0.214285714
7.55513E-5,15.256753431,0.269333801,0.338562217,0.156565657,0.214285714
7.6438E-5,15.500007757,0.272019728,0.335482629,0.159090909,0.214285714
7.75479E-5,15.753888299,0.275368014,0.332306804,0.161616162,0.214285714
7.88019E-5,16.003948423,0.279132363,0.329227216,0.161616162,0.214285714
7.96159E-5,16.257525186,0.281565407,0.326147628,0.164141414,0.214285714
8.05998E-5,16.505673879,0.284495372,0.323164277,0.164141414,0.214285714
8.14847E-5,16.756912747,0.287120214,0.320180926,0.166666667,0.214285714
8.26877E-5,17.003338651,0.290673446,0.317293812,0.166666667,0.214285714
8.35264E-5,17.252563507,0.293140058,0.314406698,0.166666667,0.214285714
8.45283E-5,17.50468621,0.296075352,0.311519584,0.176767677,0.214285714
8.56218E-5,17.75139309,0.299265181,0.308728708,0.176767677,0.214285714
8.63829E-5,18.000956923,0.301476725,0.305937831,0.176767677,0.214285714
8.72288E-5,18.252842777,0.303926577,0.303146954,0.179292929,0.214285714
8.80813E-5,18.507247389,0.30638702,0.300356077,0.181818182,0.214285714
8.88271E-5,18.754929065,0.308532287,0.297661438,0.184343434,0.214285714
8.9642E-5,19.004975547,0.310868741,0.294966798,0.186868687,0.214285714
9.03318E-5,19.25693771,0.31284014,0.292272159,0.189393939,0.224489796
9.1235E-5,19.502127519,0.315413268,0.289673756,0.194444444,0.224489796
9.19781E-5,19.758652224,0.317522845,0.286979117,0.196969697,0.224489796
9.26114E-5,20.00784222,0.319315577,0.284380714,0.199494949,0.224489796
9.34168E-5,20.258890398,0.321588845,0.281782312,0.202020202,0.234693878
9.43267E-5,20.503332633,0.324147851,0.279280146,0.204545455,0.234693878
9.49184E-5,20.758832415,0.32580685,0.276681744,0.204545455,0.234693878
9.58527E-5,21.006781551,0.32841804,0.274179578,0.207070707,0.234693878
9.64099E-5,21.256650589,0.329970592,0.271677413,0.20959596,0.234693878
9.71431E-5,21.508330755,0.332007772,0.269175248,0.20959596,0.234693878
9.79027E-5,21.752106169,0.334112071,0.26676932,0.20959596,0.234693878
9.8687E-5,22.00762431,0.336277499,0.264267154,0.214646465,0.234693878
9.96038E-5,22.255669794,0.338800329,0.261861226,0.214646465,0.234693878
1.00599E-4,22.505973689,0.341527541,0.259455298,0.214646465,0.234693878
1.01507E-4,22.758676926,0.34400698,0.25704937,0.214646465,0.244897959
1.02295E-4,23.003204032,0.346149889,0.254739679,0.217171717,0.244897959
1.03324E-4,23.250256868,0.348938312,0.252429987,0.21969697,0.244897959
1.04344E-4,23.509818699,0.351689699,0.250024059,0.21969697,0.255102041
1.04992E-4,23.750674233,0.353432344,0.247810605,0.224747475,0.265306122
1.06171E-4,24.004102463,0.356590768,0.245500914,0.224747475,0.285714286
1.07148E-4,24.26022125,0.359198413,0.243191223,0.22979798,0.285714286
1.08156E-4,24.507980402,0.361875275,0.240977769,0.232323232,0.295918367
1.09419E-4,24.758275679,0.365213466,0.238764315,0.232323232,0.295918367
1.10215E-4,25.010777682,0.367307261,0.236550861,0.234848485,0.295918367
1.11115E-4,25.254370841,0.369670075,0.234433645,0.234848485,0.295918367
1.11996E-4,25.510761112,0.371970385,0.232220191,0.237373737,0.295918367
1.13034E-4,25.758390867,0.374672409,0.230102974,0.23989899,0.295918367
1.13685E-4,26.007769118,0.376362097,0.227985757,0.23989899,0.295918367
1.15275E-4,26.259607932,0.380467306,0.22586854,0.242424242,0.295918367
1.16287E-4,26.502778702,0.383064515,0.22384756,0.244949495,0.295918367
1.17236E-4,26.759786849,0.385493048,0.221730344,0.247474747,0.295918367
1.18731E-4,27.007713916,0.38929586,0.219709364,0.247474747,0.295918367
1.19644E-4,27.257866087,0.391607195,0.217688384,0.25,0.306122449
1.20436E-4,27.510020398,0.393604565,0.215667404,0.252525253,0.306122449
1.21653E-4,27.752225402,0.396663168,0.213742662,0.255050505,0.316326531
1.23284E-4,28.009492974,0.400737449,0.211721682,0.26010101,0.326530612
1.24092E-4,28.256914536,0.40274487,0.20979694,0.262626263,0.326530612
1.2526E-4,28.506451453,0.405633525,0.207872197,0.265151515,0.326530612
1.26482E-4,28.758184226,0.408643457,0.205947455,0.267676768,0.326530612
1.27695E-4,29.012351623,0.411614617,0.204022712,0.267676768,0.326530612
1.28969E-4,29.256235704,0.414719572,0.202194207,0.267676768,0.326530612
1.30085E-4,29.502351683,0.417427092,0.200365701,0.267676768,0.326530612
1.31239E-4,29.750734241,0.420212755,0.198537196,0.272727273,0.326530612
1.32393E-4,30.001221119,0.422986017,0.19670869,0.28030303,0.326530612
1.33291E-4,30.253602143,0.425133602,0.194880185,0.282828283,0.326530612
1.34922E-4,30.508446304,0.429015689,0.193051679,0.287878788,0.326530612
1.37077E-4,30.75326279,0.434101454,0.191319411,0.29040404,0.326530612
