X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-4786738.104110763,-8252399.237008119,train,4.961419018986588E-4,72.68172231027229,0.8726351772903373
-5009377.085697311,-8143727.653997743,train,7.608907333788484E-4,82.41351542148452,0.9575878435535635
-8677365.439284755,-1.0578985308573594E7,train,4.732716189646036E-5,8.272603515550626,0.17845693093244674
-2027313.4969366638,-8055082.19153341,train,1.1152601615200388E-4,25.373985531803235,0.3707442652424414
-2227688.5803645565,-7787754.1803748375,train,1.3022481750795228E-4,29.532445470069646,0.41776552493055563
-2549958.5062110834,-8249115.688284817,train,3.1969626699172355E-4,58.595781853406244,0.7349513501821459
-2933268.5824027588,-8377531.260612224,train,1.0758608411083639E-4,24.367899174410216,0.3603622175140908
-5507064.265135878,-8363632.118842314,train,6.426890199402151E-5,12.318431919722137,0.23427911496412646
-5577574.030604337,-7871010.292587667,train,1.7521841394756304E-4,37.345290593460255,0.5170106168053177
-5983422.630138455,-7539528.982512034,train,6.898301456891296E-5,13.5960660226028,0.2491259701926658
-6659220.99484626,-8039287.365702221,train,4.3318168899690926E-5,7.450599516546278,0.16466277281586528
-3368806.0901314416,-3645790.840119446,train,1.8673002555372186E-5,2.6093268010277995,0.07462604631023018
-5544979.683700067,-4283563.223721695,train,1.1595055439432382E-4,26.42193508836819,0.3822025473587962
-5934397.526393098,-4752650.950985279,train,1.506192923816751E-4,33.24399031748246,0.46505397727159203
-6122571.993630046,-7724253.0281235725,train,1.3640231735439945E-4,30.67661618468162,0.4325144314933006
1.3992859992714487E7,-7643096.163106542,train,2.5089396712885923E-4,48.55325296347666,0.6472780102903957
1.4204367025221707E7,-7503123.68915993,train,2.2121814469180348E-4,44.06514523391313,0.601009673014584
1.5929819132517448E7,-4867463.235471904,train,1.0685415894824822E-4,24.183191348520502,0.35841475151793944
1.8367715980890136E7,-3753740.5547177964,train,1.6829220682669873E-4,36.393110428579405,0.5029143650546526
6122571.993630046,-8821377.203064466,train,7.559621094389481E-5,15.26907414983067,0.26946997488586744
7792364.355529149,-8362698.548500747,train,1.2202737749092833E-4,27.811278245717098,0.397600475446508
7792364.355529149,-8821377.203064466,train,2.0490628954024172E-4,41.75348969887424,0.5730411583870011
8348961.809495518,-8362698.548500747,train,2.9836196593204965E-4,55.544635303182375,0.7103931516780377
8348961.809495518,-8588415.031895077,train,2.905399631721315E-4,54.56966180881981,0.7008298153026518
-1.986162354733587E7,-1.056636351811331E7,train,1.3623871017987184E-5,1.7087053429162506,0.05501482798120727
-1.9909788151417393E7,-1.028930280867626E7,train,1.4582566874655137E-5,1.8907623891815217,0.05877017671234108
-1.9961736504990987E7,-1.0440416667693933E7,train,1.604991198922483E-5,2.1536351599202157,0.06448909653538781
-5488974.847881971,-8150030.314750628,train,3.2717284058029957E-4,59.874653193013145,0.7430555709288105
-5786754.485753978,-8812503.995455544,train,8.760681081704083E-5,18.365649457634692,0.3050187074364462
-6424993.6542681325,-8446525.96921997,train,9.557965206253415E-5,20.934318744426907,0.32765597944123015
-6430559.628807796,-7398177.717522802,train,2.2462292451345377E-5,3.2979270041449458,0.08907614411371234
-6530279.628660411,-8249662.844751419,train,8.425607312221304E-5,17.43618179213704,0.2952789551225937
-6778433.037536776,-8843121.391202569,train,0.0019126539356824261,97.74073375476674,0.9996452541896098
1.1151953191822909E7,-8281687.527732117,train,4.306247421767085E-4,69.75745028516711,0.8328021707784231
1.1279002126665272E7,-8210000.956286344,train,3.69995631286169E-4,65.25867481540257,0.7849226804876615
1.1310282903578183E7,-8191129.06675282,train,3.6196473725627615E-4,64.42236248576967,0.7776275916527342
1.1371241456736578E7,-8154523.157707304,train,3.563989217659769E-4,63.7939042891062,0.7724270564840319
1.1690372172942735E7,-7959724.730110607,train,3.271464046999584E-4,59.87078506184976,0.7430273568662353
1.2228590778979132E7,-7654426.163786717,train,4.02798000296602E-4,67.75675254114336,0.8123169476241305
1.272162480370254E7,-7374759.520451237,train,3.147418795119065E-4,57.63972935421586,0.7294407305165544
1.3762506570415968E7,-6796843.28877736,train,2.0759566275634924E-4,42.26906468844031,0.5777838247217781
8677365.439284755,-1.0578985308573594E7,train,1.2087210147896993E-4,27.596812477259096,0.39470298811074433
1.0027303508287545E7,-8929152.206785101,train,4.037978241915434E-4,67.85162179367411,0.8130947261166195
1.0161243119610012E7,-8843406.375412798,train,8.133756658162507E-4,83.53600743586898,0.9658950825215052
1.019390425820876E7,-8820927.36384994,train,9.401779539571286E-4,85.83071559539385,0.9798586514132036
1.0416999649707558E7,-8697670.500952756,train,0.0010449670362158512,88.09042344415444,0.9869662933613105
1.0432973996636393E7,-8686902.825193698,train,9.666294957586313E-4,86.64211590512157,0.9819542583567575
1.0515829093633827E7,-8637456.920505477,train,8.232607528181989E-4,83.81421782840613,0.9672669790087225
1.0549247204769967E7,-8619084.871071862,train,7.084348982232054E-4,81.02007911312634,0.9472635100928494
