Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.22764E-10,0.000000012,0.000000285,1,0,0
1.28186E-10,0.000000025,0.000000298,0.999901137,0,0
1.39655E-10,0.000000106,0.000000325,0.999307958,0,0
1.60995E-10,0.00000026,0.000000374,0.998319328,0,0
2.3553E-10,0.000001015,0.000000547,0.994463668,0,0
3.34365E-10,0.000002519,0.000000777,0.989223925,0,0
7.41829E-10,0.000010043,0.000001724,0.975481957,0,0
1.64533E-9,0.000025116,0.000003823,0.962333169,0,0
3.46983E-9,0.000050044,0.000008063,0.952150272,0,0
7.7484E-9,0.000100371,0.000018005,0.942857143,0,0
1.09745E-8,0.000250782,0.000025502,0.92733564,0,0
1.48821E-8,0.000501014,0.000034582,0.908255067,0,0
2.04776E-8,0.001000231,0.000047584,0.880474543,0,0
3.70134E-8,0.002503304,0.000086007,0.826890756,0,0
6.63979E-8,0.005004845,0.000154281,0.777656945,0,0
1.28746E-7,0.01000378,0.00029913,0.723776569,0,0
3.3549E-7,0.025012311,0.000779296,0.653583786,0,0
7.67005E-7,0.050007556,0.001780749,0.605635195,0,0
1.45371E-6,0.100069017,0.003372371,0.561047949,0,0.034482759
2.95866E-6,0.200285188,0.00685164,0.513099357,0.00862069,0.034482759
4.78512E-6,0.30027326,0.011057877,0.487098369,0.00862069,0.034482759
6.45608E-6,0.400176378,0.014890406,0.469500741,0.00862069,0.034482759
8.00358E-6,0.500319532,0.018426525,0.455758774,0.00862069,0.034482759
9.39734E-6,0.600691411,0.021600477,0.444389521,0.00862069,0.034482759
1.09389E-5,0.701087226,0.025098974,0.434602076,0.00862069,0.034482759
1.16296E-5,0.750789794,0.02666255,0.430252101,0.017241379,0.034482759
1.21749E-5,0.800834518,0.027895017,0.426099852,0.017241379,0.034482759
1.37697E-5,0.900833768,0.031490993,0.418487395,0.017241379,0.034482759
1.52247E-5,1.000565594,0.034760035,0.411665843,0.017241379,0.034482759
1.65523E-5,1.100939886,0.037733312,0.405437469,0.017241379,0.034482759
1.83178E-5,1.201831,0.041672943,0.399703411,0.017241379,0.034482759
1.99786E-5,1.301678102,0.045364387,0.394562531,0.017241379,0.034482759
2.10833E-5,1.400216545,0.04781186,0.389817103,0.017241379,0.034482759
2.25996E-5,1.500912729,0.051160958,0.385269402,0.017241379,0.034482759
2.62482E-5,1.750541131,0.059171602,0.375185368,0.017241379,0.068965517
3.03135E-5,2.001151864,0.068017684,0.366386555,0.017241379,0.068965517
3.33623E-5,2.253001218,0.07459712,0.358576372,0.017241379,0.068965517
3.67581E-5,2.502121747,0.081870711,0.351557093,0.017241379,0.068965517
3.97983E-5,2.751096184,0.088334041,0.345130994,0.017241379,0.103448276
4.32231E-5,3.003323595,0.095560873,0.339100346,0.017241379,0.103448276
4.70982E-5,3.251681179,0.103668445,0.333662877,0.017241379,0.103448276
5.16131E-5,3.504249448,0.113023176,0.32862086,0.017241379,0.103448276
5.53405E-5,3.750965163,0.120672671,0.324073159,0.017241379,0.103448276
5.87714E-5,4.002684764,0.12765535,0.319723183,0.017241379,0.103448276
6.18015E-5,4.255624908,0.133776226,0.315570934,0.017241379,0.103448276
6.56093E-5,4.504425426,0.141407086,0.311715274,0.025862069,0.103448276
6.89691E-5,4.754002578,0.148084291,0.308057341,0.025862069,0.103448276
7.20084E-5,5.001669746,0.154079865,0.304597133,0.025862069,0.103448276
7.53683E-5,5.252130168,0.160658714,0.301235788,0.025862069,0.103448276
7.79087E-5,5.505236918,0.165598943,0.297973307,0.025862069,0.103448276
8.05501E-5,5.751400313,0.170704942,0.294908552,0.025862069,0.103448276
8.37311E-5,6.005983009,0.17681233,0.291843796,0.025862069,0.103448276
8.64317E-5,6.253180889,0.181962197,0.288976767,0.025862069,0.103448276
9.01297E-5,6.508728335,0.188961549,0.286109738,0.034482759,0.103448276
9.37907E-5,6.756951633,0.195832037,0.283440435,0.034482759,0.103448276
9.68649E-5,7.004178247,0.201556288,0.280869995,0.034482759,0.103448276
9.94928E-5,7.259119877,0.20641727,0.278299555,0.034482759,0.103448276
1.0135E-4,7.500338589,0.209835582,0.275926841,0.034482759,0.103448276
1.04175E-4,7.757648248,0.215004766,0.273455264,0.034482759,0.103448276
1.05721E-4,8.009566754,0.217820085,0.271082551,0.034482759,0.103448276
1.0871E-4,8.25559157,0.223233728,0.2688087,0.034482759,0.103448276
1.10726E-4,8.507763698,0.226864721,0.266534849,0.034482759,0.103448276
1.13237E-4,8.754588256,0.231361621,0.264359862,0.034482759,0.103448276
1.15522E-4,9.005672766,0.235433715,0.262184874,0.043103448,0.103448276
1.16882E-4,9.261387484,0.237845398,0.260009886,0.043103448,0.103448276
1.18542E-4,9.508333979,0.2407799,0.257933762,0.043103448,0.103448276
1.20958E-4,9.760141356,0.245029603,0.255857637,0.043103448,0.103448276
1.22429E-4,10.003234782,0.247606309,0.253880376,0.043103448,0.103448276
1.23757E-4,10.261841913,0.249924889,0.251804251,0.043103448,0.103448276
1.25601E-4,10.511218479,0.253131165,0.24982699,0.043103448,0.103448276
1.27064E-4,10.751366904,0.255665997,0.247948591,0.043103448,0.103448276
1.28245E-4,11.00656506,0.257707222,0.24597133,0.043103448,0.103448276
1.29575E-4,11.251587568,0.259997317,0.244092931,0.043103448,0.103448276
1.31183E-4,11.512386933,0.262756987,0.24211567,0.068965517,0.103448276
1.32021E-4,11.762493821,0.264192016,0.240237271,0.068965517,0.103448276
1.33342E-4,12.001308423,0.266445887,0.238457736,0.068965517,0.103448276
1.34975E-4,12.256050236,0.269225798,0.236579338,0.068965517,0.103448276
1.35925E-4,12.500065035,0.270837208,0.234799802,0.068965517,0.103448276
1.379E-4,12.760697717,0.274175693,0.232921404,0.068965517,0.103448276
