Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.69032E-12,0.000000001,0.00000004,0.998902086,0,0
1.9343E-11,0.000000004,0.000000136,0.998702465,0,0
3.24333E-11,0.000000013,0.000000228,0.998403034,0,0
6.11721E-11,0.000000026,0.00000043,0.998103603,0,0
1.98592E-10,0.000000102,0.000001398,0.997504741,0,0
5.31549E-10,0.000000285,0.000003741,0.997005689,0,0
2.19766E-9,0.000001209,0.000015466,0.996207206,0,0
2.93491E-9,0.000002525,0.000020654,0.995708155,0,0
6.53102E-9,0.000010052,0.000045961,0.994210999,0,0
1.4055E-8,0.000025029,0.000098907,0.992713844,0,0
2.0392E-8,0.000050213,0.000143499,0.991316499,0,0
4.32125E-8,0.000102984,0.000304062,0.989519912,0,0
7.70353E-8,0.00025283,0.000541991,0.986924843,0,0
1.2277E-7,0.000502076,0.00086362,0.984329773,0,0
2.16826E-7,0.001006035,0.00152475,0.981135842,0,0
4.72689E-7,0.002515755,0.003321032,0.976843996,0,0
8.97819E-7,0.005082632,0.006298497,0.973250823,0,0
1.50593E-6,0.010053651,0.010542015,0.969058788,0,0
2.93441E-6,0.025079634,0.020439171,0.962271684,0,0
4.63537E-6,0.050371416,0.03209518,0.9556842,0,0
6.34184E-6,0.1003383,0.043649534,0.946601457,0,0
8.5887E-6,0.200833053,0.058652703,0.933226869,0,0
1.04613E-5,0.300495608,0.070976815,0.922846591,0,0
1.20712E-5,0.400526335,0.081443148,0.913963469,0,0
1.31212E-5,0.500095868,0.088205327,0.906078451,0,0
1.43912E-5,0.601046479,0.096318437,0.898792295,0,0
1.53374E-5,0.70066859,0.102315883,0.892105,0,0
1.57634E-5,0.75043722,0.105002981,0.888911069,0,0
1.61977E-5,0.801561533,0.107734371,0.885717137,0,0
1.71698E-5,0.901561104,0.113817691,0.879728516,0,0
1.79975E-5,1.000502894,0.118964593,0.874139136,0,0
1.8782E-5,1.101816374,0.123815644,0.868649566,0,0
1.94233E-5,1.201186379,0.127760902,0.863459427,0,0
2.01762E-5,1.300520789,0.132370168,0.858468909,0,0
2.08456E-5,1.401092078,0.136447869,0.853578201,0,0
2.15034E-5,1.50069448,0.140436421,0.848887114,0,0
2.31822E-5,1.751332137,0.150532286,0.837708354,0,0
2.46575E-5,2.000513148,0.159306048,0.827328077,0,0
2.60367E-5,2.251688214,0.167426307,0.817446851,0,0
2.76387E-5,2.501388331,0.176760098,0.808164487,0,0
2.87328E-5,2.752382353,0.183074853,0.799281365,0,0
2.98131E-5,3.000964085,0.189262156,0.790797485,0,0
3.0915E-5,3.250132751,0.19552457,0.782613035,0,0
3.21518E-5,3.502617165,0.202496554,0.774628206,0,0
3.31726E-5,3.750635306,0.208204932,0.767042619,0,0
