Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.40146E-9,0.00000014,0.000005903,1,0,0
1.64181E-9,0.000000304,0.000006916,0.999902752,0,0
2.23891E-8,0.000002543,0.000094302,0.999805504,0,0
4.32879E-8,0.000010304,0.000182319,0.999611008,0,0
4.92042E-8,0.000029342,0.000207234,0.999222017,0,0
5.2149E-8,0.000054614,0.000219635,0.998735777,0,0
5.72557E-8,0.000104812,0.00024114,0.997860547,0,0
6.92383E-8,0.000254127,0.0002916,0.995623845,0,0
9.3805E-8,0.000500512,0.000395043,0.992706409,0,0
1.27195E-7,0.001000185,0.000535621,0.988330254,0,0
2.23465E-7,0.002501034,0.000940826,0.97977244,0,0
3.66247E-7,0.005032822,0.001541499,0.971603618,0,0
5.99397E-7,0.010046142,0.002521565,0.961295342,0,0
1.26771E-6,0.025038214,0.005325547,0.945054945,0,0
2.07907E-6,0.050190581,0.008719129,0.930176019,0,0
3.20003E-6,0.100180899,0.013388582,0.911990664,0,0
4.49405E-6,0.200398412,0.01875158,0.887095206,0,0
5.53134E-6,0.300288912,0.023029523,0.867742877,0,0
6.57864E-6,0.400108534,0.027329825,0.851696976,0,0
7.4239E-6,0.500082149,0.030786735,0.837790528,0.006993007,0
8.29047E-6,0.600625202,0.034318024,0.825342799,0.006993007,0.014084507
9.15203E-6,0.70011519,0.037816173,0.81425654,0.006993007,0.014084507
9.60737E-6,0.750793248,0.039659811,0.809005154,0.006993007,0.014084507
1.00176E-5,0.800905353,0.041317954,0.804045512,0.01048951,0.014084507
1.09695E-5,0.900573282,0.0451539,0.794806963,0.017482517,0.014084507
1.17143E-5,1.00029469,0.048144939,0.786249149,0.020979021,0.014084507
1.24727E-5,1.100628202,0.051180546,0.778177575,0.020979021,0.014084507
1.313E-5,1.200175232,0.053803843,0.77059224,0.020979021,0.014084507
1.38168E-5,1.300192848,0.056537158,0.763395896,0.024475524,0.014084507
1.45339E-5,1.401219091,0.059382875,0.756491296,0.027972028,0.014084507
1.50569E-5,1.500068441,0.06145276,0.749975688,0.031468531,0.014084507
1.63434E-5,1.750640611,0.066524648,0.734416026,0.038461538,0.014084507
1.76825E-5,2.000545821,0.071775212,0.720120587,0.045454545,0.014084507
1.90304E-5,2.251774661,0.077030551,0.706797627,0.048951049,0.014084507
2.00915E-5,2.500553999,0.081146262,0.694447146,0.055944056,0.028169014
2.11087E-5,2.751780181,0.08507479,0.682582904,0.062937063,0.028169014
2.2264E-5,3.000974134,0.089516552,0.671399397,0.06993007,0.028169014
2.33951E-5,3.251729643,0.093843984,0.66070213,0.073426573,0.028169014
2.45341E-5,3.500798416,0.098180934,0.65058835,0.08041958,0.042253521
2.5581E-5,3.751318038,0.102148927,0.640863561,0.08041958,0.042253521
2.68042E-5,4.002266321,0.106763148,0.631527764,0.08041958,0.042253521
2.79021E-5,4.251316714,0.110884119,0.622678207,0.083916084,0.042253521
2.87854E-5,4.500893798,0.114185997,0.614120393,0.083916084,0.042253521
2.97299E-5,4.752365491,0.117703153,0.605757075,0.087412587,0.042253521
3.06986E-5,5.000209038,0.121295961,0.597782748,0.094405594,0.042253521
3.16581E-5,5.252905286,0.124840035,0.58990567,0.101398601,0.056338028
3.24282E-5,5.502742529,0.127674551,0.582320335,0.104895105,0.056338028
3.32428E-5,5.752312206,0.130662278,0.574929495,0.108391608,0.070422535
3.40833E-5,6.001720253,0.133734844,0.567733152,0.108391608,0.070422535
3.49534E-5,6.250427889,0.13690381,0.560731304,0.108391608,0.084507042
3.55415E-5,6.500745252,0.139039161,0.553826704,0.108391608,0.084507042
3.64861E-5,6.752806024,0.142457822,0.547019352,0.108391608,0.084507042
3.73474E-5,7.0001236,0.145563541,0.540503744,0.108391608,0.084507042
3.83174E-5,7.250055297,0.149047343,0.534085384,0.108391608,0.084507042
3.91696E-5,7.501777759,0.152096243,0.527764271,0.108391608,0.084507042
4.00085E-5,7.751390985,0.155087169,0.521637654,0.108391608,0.084507042
4.08321E-5,8.002197174,0.158013423,0.515608286,0.111888112,0.084507042
4.159E-5,8.253734313,0.160697006,0.509676165,0.111888112,0.084507042
4.25581E-5,8.501820894,0.164112616,0.503938539,0.111888112,0.084507042
4.33669E-5,8.7514272,0.166955148,0.498298162,0.111888112,0.084507042
4.40784E-5,9.00041301,0.169448241,0.492755033,0.118881119,0.098591549
4.4766E-5,9.253654154,0.171850137,0.487211903,0.118881119,0.098591549
4.56197E-5,9.50231463,0.174822659,0.481863269,0.118881119,0.098591549
4.65892E-5,9.751430797,0.178185835,0.476611884,0.118881119,0.098591549
4.74388E-5,10.000674214,0.181121393,0.471457746,0.122377622,0.098591549
4.8284E-5,10.25401544,0.184031453,0.466303608,0.122377622,0.098591549
4.89332E-5,10.50198512,0.186259656,0.461343966,0.125874126,0.098591549
4.96758E-5,10.753561314,0.188801042,0.456384324,0.125874126,0.098591549
5.063E-5,11.004443173,0.192055001,0.451521929,0.125874126,0.098591549
5.12974E-5,11.254427906,0.194323039,0.446756783,0.125874126,0.112676056
5.19085E-5,11.502094181,0.196394237,0.442088885,0.125874126,0.112676056
5.26354E-5,11.752938914,0.198850997,0.437420986,0.125874126,0.112676056
5.33559E-5,12.001938378,0.201278519,0.432850336,0.125874126,0.126760563
5.40513E-5,12.254382738,0.203614972,0.428279685,0.125874126,0.126760563
5.47699E-5,12.504796977,0.206021756,0.423806282,0.125874126,0.126760563
5.54846E-5,12.753050952,0.208408209,0.419430127,0.125874126,0.126760563
5.60918E-5,13.004307796,0.210430293,0.415053973,0.125874126,0.126760563
5.67191E-5,13.252539181,0.212513993,0.410775066,0.125874126,0.126760563
5.76293E-5,13.504172514,0.215527183,0.406496159,0.125874126,0.126760563
5.84955E-5,13.753986521,0.218384144,0.4023145,0.125874126,0.126760563
5.90777E-5,14.001081287,0.22029863,0.398230088,0.125874126,0.126760563
