Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.62971E-8,0.00000163,0.000050935,1,0,0
6.56874E-8,0.000008198,0.000205282,0.999901575,0,0
6.98062E-8,0.000015179,0.000218153,0.99980315,0,0
1.22247E-7,0.000036391,0.000382004,0.999606299,0,0
1.46004E-7,0.000050991,0.000456227,0.999507874,0,0
2.28662E-7,0.000108311,0.00071442,0.999212598,0,0
3.85319E-7,0.000254843,0.001203576,0.998720472,0,0
6.605E-7,0.000519105,0.002062237,0.998228346,0,0
9.24199E-7,0.001018821,0.00288438,0.997637795,0,0
1.04584E-6,0.002580548,0.003263397,0.996062992,0,0.025
1.19691E-6,0.005069034,0.00373392,0.993897638,0,0.025
1.43871E-6,0.010099178,0.004486526,0.99015748,0,0.025
1.86496E-6,0.025087489,0.005811898,0.981200787,0,0.025
2.4156E-6,0.050143036,0.007521442,0.96988189,0,0.025
3.01882E-6,0.10027315,0.009390852,0.951870079,0,0.025
4.06209E-6,0.200097387,0.012615668,0.924015748,0,0.025
5.1899E-6,0.300144099,0.016090001,0.90265748,0.00625,0.025
6.28945E-6,0.400103541,0.019465509,0.885433071,0.0125,0.025
7.21727E-6,0.500565098,0.022304803,0.870767717,0.01875,0.025
8.05944E-6,0.600197001,0.024874886,0.857972441,0.025,0.025
8.92045E-6,0.700528454,0.027495446,0.846358268,0.025,0.025
9.37078E-6,0.750728723,0.028863274,0.840944882,0.025,0.025
9.71538E-6,0.80033746,0.029908658,0.835826772,0.025,0.025
1.05753E-5,0.900744997,0.0325124,0.826082677,0.03125,0.025
1.12953E-5,1.000035497,0.034687283,0.817125984,0.03125,0.025
1.20717E-5,1.100430541,0.037026629,0.808661417,0.03125,0.025
1.27611E-5,1.201273541,0.039099579,0.800688976,0.03125,0.025
1.34764E-5,1.301033744,0.041245202,0.793208661,0.03125,0.025
1.39691E-5,1.401386914,0.042720656,0.786023622,0.03125,0.025
1.45506E-5,1.501174296,0.044458646,0.779133858,0.03125,0.025
1.59601E-5,1.751271626,0.048658983,0.762992126,0.0375,0.025
1.7145E-5,2.001104301,0.052175753,0.748129921,0.0375,0.025
1.84373E-5,2.250388465,0.055996075,0.734350394,0.05,0.025
1.96088E-5,2.501479919,0.059446365,0.721358268,0.05,0.025
2.07091E-5,2.750056043,0.062675208,0.709251969,0.0625,0.025
2.15117E-5,3.001266578,0.065023542,0.69753937,0.075,0.025
2.22761E-5,3.250852605,0.067254623,0.686318898,0.075,0.025
2.33181E-5,3.501729745,0.070287377,0.675492126,0.075,0.025
2.41173E-5,3.750801304,0.072606873,0.66515748,0.075,0.025
2.49442E-5,4.00060864,0.075000692,0.65511811,0.075,0.025
2.57505E-5,4.25187075,0.077328572,0.645374016,0.08125,0.025
2.65896E-5,4.500564013,0.079745309,0.636023622,0.08125,0.025
2.7305E-5,4.751382281,0.081800531,0.626870079,0.08125,0.025
2.80568E-5,5.000209181,0.083955698,0.618011811,0.08125,0.075
2.87648E-5,5.250063354,0.085980578,0.609350394,0.08125,0.075
2.94741E-5,5.500422361,0.088004422,0.600885827,0.08125,0.075
3.01717E-5,5.750793995,0.08999065,0.59261811,0.08125,0.075
3.08892E-5,6.001197162,0.092029098,0.584547244,0.08125,0.075
3.15753E-5,6.251269146,0.093974052,0.576673228,0.08125,0.075
3.21617E-5,6.503058068,0.095633227,0.568897638,0.08125,0.075
3.27335E-5,6.752925621,0.097247851,0.561318898,0.0875,0.075
3.35115E-5,7.00137991,0.099440453,0.553937008,0.0875,0.075
3.4217E-5,7.251951216,0.101424013,0.546653543,0.0875,0.075
3.48914E-5,7.500681558,0.103315984,0.539566929,0.0875,0.075
3.56288E-5,7.750967595,0.105380241,0.53257874,0.0875,0.075
3.62864E-5,8.002751264,0.107216964,0.525688976,0.09375,0.075
3.69519E-5,8.251578786,0.109072185,0.518996063,0.09375,0.075
3.75394E-5,8.501149514,0.110706519,0.512401575,0.09375,0.075
3.81669E-5,8.75115874,0.112449003,0.505905512,0.09375,0.075
3.88731E-5,9.001644989,0.114405893,0.499507874,0.09375,0.075
3.93142E-5,9.251841762,0.115625994,0.493208661,0.09375,0.075
4.00129E-5,9.501776026,0.117554966,0.487007874,0.09375,0.075
4.07178E-5,9.751981907,0.119497042,0.480905512,0.1,0.075
4.12733E-5,10.002102251,0.121024304,0.474901575,0.1,0.1
4.20067E-5,10.252307275,0.123036863,0.468996063,0.1,0.1
4.26312E-5,10.501940557,0.124746906,0.463188976,0.1,0.1
4.33749E-5,10.751089614,0.126778992,0.457480315,0.1,0.1
4.40888E-5,11.000359542,0.1287253,0.451870079,0.1,0.1
4.48179E-5,11.253789436,0.130708536,0.446259843,0.10625,0.1
4.55288E-5,11.502297769,0.132637871,0.440846457,0.10625,0.1
4.61433E-5,11.754421215,0.134301892,0.435433071,0.10625,0.1
4.6672E-5,12.00038924,0.135731445,0.430216535,0.10625,0.1
4.74411E-5,12.254459539,0.13780638,0.424901575,0.10625,0.1
4.80017E-5,12.502600843,0.139315663,0.419783465,0.10625,0.1
4.867E-5,12.754051882,0.141111588,0.414665354,0.10625,0.1
4.93462E-5,13.004070943,0.142924792,0.409645669,0.10625,0.1
5.00403E-5,13.252567762,0.144782168,0.404724409,0.10625,0.1
5.06153E-5,13.504180312,0.146317676,0.39980315,0.10625,0.1
5.15319E-5,13.754711983,0.14876001,0.394980315,0.10625,0.1
5.22323E-5,14.003739631,0.150621242,0.390255906,0.10625,0.1
5.2992E-5,14.250956618,0.152635612,0.385629921,0.10625,0.125
5.37713E-5,14.501816999,0.154696927,0.381003937,0.1125,0.125
5.44251E-5,14.750603445,0.156422475,0.376476378,0.1125,0.125
5.51186E-5,15.002471773,0.158248955,0.371948819,0.11875,0.125
5.57012E-5,15.251599032,0.159780417,0.367519685,0.125,0.125
5.62597E-5,15.503592689,0.161245934,0.363090551,0.125,0.125
5.71413E-5,15.753139844,0.163553658,0.358759843,0.125,0.125
5.7842E-5,16.000375225,0.165383638,0.354527559,0.125,0.125
5.87897E-5,16.251472531,0.167852099,0.350295276,0.125,0.125
5.95211E-5,16.505901863,0.169752123,0.346062992,0.125,0.125
6.01893E-5,16.751256352,0.17148424,0.342027559,0.125,0.125
6.08426E-5,17.005451937,0.17317414,0.337893701,0.13125,0.125
6.17051E-5,17.250502776,0.175400141,0.333956693,0.14375,0.125
6.24401E-5,17.504903524,0.177292127,0.32992126,0.14375,0.125
6.3266E-5,17.750357455,0.179413156,0.326082677,0.14375,0.125
6.39481E-5,18.004701828,0.181160626,0.322145669,0.14375,0.125
6.46493E-5,18.255726815,0.182953228,0.318307087,0.14375,0.125
6.53297E-5,18.502679133,0.184688994,0.314566929,0.14375,0.125
6.59402E-5,18.752080812,0.186243001,0.310826772,0.14375,0.125
6.67291E-5,19.004017695,0.188247072,0.307086614,0.14375,0.15
6.76106E-5,19.252279254,0.190480372,0.303444882,0.14375,0.15
6.83739E-5,19.50371636,0.192409362,0.29980315,0.14375,0.15
6.92078E-5,19.751286949,0.194511463,0.296259843,0.14375,0.15
7.00007E-5,20.002061694,0.196505315,0.292716535,0.15,0.15
7.08852E-5,20.255650029,0.198723384,0.289173228,0.15,0.15
7.15088E-5,20.504693719,0.200283697,0.285728346,0.15,0.15
7.22845E-5,20.756157043,0.202220006,0.282283465,0.15,0.175
7.30077E-5,21.003090681,0.204021278,0.278937008,0.15,0.2
7.3747E-5,21.252631659,0.205858448,0.275590551,0.15,0.2
7.45103E-5,21.504533186,0.207750615,0.272244094,0.15,0.2
7.52433E-5,21.75170062,0.209563643,0.268996063,0.15,0.2
7.57286E-5,22.000890164,0.210761698,0.265748031,0.15,0.2
7.67123E-5,22.252574442,0.213184429,0.2625,0.1625,0.2
7.74293E-5,22.506978814,0.214945617,0.259251969,0.1625,0.2
7.83438E-5,22.756475952,0.217186324,0.256102362,0.1625,0.2
7.90097E-5,23.000506338,0.218813995,0.253051181,0.1625,0.2
7.99064E-5,23.254906091,0.221000302,0.249901575,0.16875,0.2
8.07972E-5,23.50399472,0.223165939,0.246850394,0.16875,0.2
8.16891E-5,23.755684561,0.22532864,0.243799213,0.16875,0.2
8.28315E-5,24.002844109,0.228089536,0.240846457,0.16875,0.225
8.36166E-5,24.252561422,0.229981275,0.237893701,0.175,0.225
8.42799E-5,24.504366926,0.231576171,0.234940945,0.175,0.225
8.47823E-5,24.757886241,0.232781596,0.231988189,0.175,0.225
8.53498E-5,25.004451937,0.234141364,0.229133858,0.175,0.225
8.63312E-5,25.253400304,0.236486785,0.226279528,0.175,0.225
8.72289E-5,25.504856276,0.238626149,0.223425197,0.175,0.225
8.79994E-5,25.750131315,0.240457408,0.220669291,0.175,0.225
8.90655E-5,26.006802152,0.242984115,0.217814961,0.175,0.225
9.00319E-5,26.25728219,0.245267007,0.215059055,0.18125,0.225
9.0802E-5,26.50141432,0.24708157,0.212401575,0.1875,0.225
9.20904E-5,26.757696052,0.250107178,0.209645669,0.1875,0.225
9.29114E-5,27.007448159,0.252029132,0.206988189,0.19375,0.225
9.33652E-5,27.258998213,0.253089205,0.204330709,0.19375,0.225
9.39852E-5,27.502511231,0.25453506,0.201771654,0.19375,0.225
9.51015E-5,27.757685804,0.257131537,0.199114173,0.19375,0.225
9.59074E-5,28.005918068,0.259000308,0.196555118,0.19375,0.225
9.71048E-5,28.256967692,0.261768166,0.193996063,0.19375,0.225
9.80249E-5,28.500664693,0.263888169,0.191535433,0.2,0.225
9.90145E-5,28.756690311,0.26616136,0.188976378,0.2,0.225
9.99618E-5,29.005397317,0.268330763,0.186515748,0.2,0.225
1.00809E-4,29.256581584,0.270264763,0.184055118,0.2,0.25
1.01862E-4,29.509943595,0.272663935,0.181594488,0.2,0.25
1.02783E-4,29.755633793,0.274754874,0.179232283,0.2,0.25
1.04012E-4,30.003794853,0.277535156,0.176870079,0.2,0.25
1.0501E-4,30.254661081,0.279785353,0.174507874,0.2,0.25
1.05985E-4,30.507849288,0.281976456,0.172145669,0.20625,0.25
1.07209E-4,30.752915264,0.284717713,0.16988189,0.20625,0.25
1.08751E-4,31.001599044,0.288156627,0.16761811,0.20625,0.25
1.09804E-4,31.252968522,0.290494486,0.165354331,0.2125,0.275
1.10775E-4,31.506564913,0.292645595,0.163090551,0.21875,0.275
1.11783E-4,31.751771672,0.294869339,0.160925197,0.21875,0.275
1.13357E-4,32.010746568,0.298330149,0.158661417,0.225,0.275
1.14444E-4,32.261426087,0.300709749,0.156496063,0.225,0.275
1.15719E-4,32.50344556,0.303491833,0.154429134,0.225,0.275
1.17017E-4,32.759455169,0.306312042,0.15226378,0.23125,0.275
1.18464E-4,33.006684019,0.309441286,0.15019685,0.23125,0.275
1.19753E-4,33.256734892,0.312217548,0.148129921,0.23125,0.275
1.21119E-4,33.50986408,0.315148892,0.146062992,0.23125,0.275
1.22421E-4,33.75346922,0.317930443,0.144094488,0.23125,0.275
1.23582E-4,34.011779109,0.320400279,0.142027559,0.23125,0.275
1.25145E-4,34.26074995,0.323711602,0.140059055,0.23125,0.275
1.26704E-4,34.512600486,0.32699885,0.138090551,0.23125,0.275
1.28013E-4,34.754591714,0.329746262,0.136220472,0.23125,0.275
1.30442E-4,35.000078823,0.334816634,0.134350394,0.23125,0.275
1.31918E-4,35.26231839,0.337876541,0.13238189,0.23125,0.275
1.33496E-4,35.501105918,0.341136037,0.130610236,0.23125,0.275
1.35212E-4,35.756624702,0.344658682,0.128740157,0.23125,0.275
1.36671E-4,36.001463622,0.34764184,0.126968504,0.2375,0.275
1.39144E-4,36.263421241,0.352664748,0.125098425,0.2375,0.275
1.40487E-4,36.501002301,0.355375993,0.123425197,0.2375,0.275
1.42688E-4,36.755747588,0.359793569,0.121653543,0.2375,0.3
1.44456E-4,37.013863483,0.363321874,0.11988189,0.2375,0.3
1.45734E-4,37.260563182,0.365860467,0.118208661,0.2375,0.3
