X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-4693229.731844413,-3538589.4808898037,train,4.286360865621609E-4,56.53627818758459,0.7380721339279801
-4814567.976809082,-3505231.19626094,train,4.907499811185776E-4,58.74226952772658,0.7842900933732142
-5134054.915385777,-3789103.1563209356,train,7.17126214963841E-4,65.54181068857999,0.8936852549235278
-5509201.599359109,-4279615.548270251,train,1.7759854439067878E-4,41.223372405497514,0.42597230790431506
-5721821.826774262,-4147492.820769516,train,0.0010003020793591104,71.80832638541457,0.9561248384378794
-5921083.715294221,-4729074.62233498,train,6.313800665487811E-4,62.98268574603171,0.8610102231211295
-3370542.674187816,-6682645.660917268,train,0.0011214147710942373,74.85592027792062,0.969951427543173
-5142348.217449876,-3820363.155154571,train,7.185366425401577E-4,65.62165812302678,0.8941528842491471
-5189002.216041337,-3924281.61494471,train,7.664510085437968E-4,66.80435877743349,0.908874180692156
-5934397.526393098,-4752650.950985279,train,5.112133595381345E-4,59.50388675600266,0.7976544352051104
-3414948.0190652534,-6684252.198260564,train,0.0010729124363695762,73.465930942661,0.9650329078106866
-3927930.496538817,-3517576.1762502803,train,6.0358491527013604E-5,16.817087882975457,0.17192224214107066
-3932917.609726355,-7213417.754768069,train,0.0012468440054227885,77.74360091997013,0.9796965514444318
-3990803.744938858,-7179141.802042761,train,0.001518956035703001,81.0558212288121,0.9913261328503649
-4118821.159351122,-7009977.197408411,train,0.0021067125584197195,85.89147801563334,0.9986183152393097
-4118821.159351122,-7103507.062189541,train,0.002889179145965325,90.03770038665999,0.999880240126848
-7985225.373328497,-3503565.62256352,train,0.004581922561803425,93.36209275125562,0.9999993965655474
-8000476.143567175,-3499236.1688134293,train,0.003154425679130894,90.95180463469097,0.9999477274950549
-8009682.26545578,-3777238.3069768073,train,0.002662719989302014,88.33964684156892,0.9997569472870328
-8013133.1696703695,-3507832.4976731203,train,0.00288554034777844,89.74887786323676,0.9998788703318735
-8045593.933185689,-3978182.8044582885,train,0.0033766823768832765,91.28948831976015,0.9999739031275151
-8179277.509679331,-4245859.297705339,train,0.008171943824158076,100.0,0.9999999999919158
-8185322.158029406,-3909083.2283346076,train,8.891835428314819E-4,69.03587792782572,0.9379062578166274
-8198680.4969246,-3817996.0307000903,train,6.94037415094784E-4,64.62980993597361,0.8857296454148343
-8202020.081648397,-4298819.336239853,train,0.008131324806707944,99.18290231949504,0.9999999999908215
-8244989.405094601,-4811946.583580853,train,0.002184283278433026,86.43285920068402,0.998915781774671
-8251000.6575974375,-4839918.953139391,train,0.0019110904264110957,85.26312580797699,0.9974535167552717
-8255920.9790905,-4693536.200131103,train,0.0012793331644057207,78.1196101036832,0.9816570171724813
