Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.56192E-9,0.000000756,0.000035623,1,0,0
7.83852E-9,0.00000154,0.000036926,0.999903307,0,0
8.20074E-9,0.000003173,0.000038632,0.999709921,0,0
8.93598E-9,0.000010039,0.000042095,0.998936376,0,0.011494253
1.09109E-8,0.000025215,0.000051398,0.99748598,0,0.011494253
1.43057E-8,0.00005062,0.00006739,0.995552118,0,0.022988506
1.65639E-8,0.000100287,0.000078027,0.992457939,0,0.022988506
2.51792E-8,0.000250738,0.000118609,0.985109263,0,0.022988506
4.11422E-8,0.000503396,0.000193797,0.977857281,0,0.022988506
6.45629E-8,0.001006243,0.000304101,0.968574744,0,0.022988506
1.25468E-7,0.002501427,0.000590887,0.953200541,0,0.022988506
2.13479E-7,0.00500222,0.001005163,0.938599884,0,0.022988506
3.29349E-7,0.010029069,0.001550316,0.920518275,0,0.022988506
6.59542E-7,0.02506577,0.00310219,0.890350029,0,0.022988506
1.02218E-6,0.050018774,0.004803786,0.861535486,0,0.022988506
1.66424E-6,0.100074478,0.007809353,0.824598724,0,0.022988506
3.00619E-6,0.200099077,0.01406194,0.781570296,0,0.022988506
4.55444E-6,0.300026335,0.021226839,0.755753239,0.002857143,0.022988506
6.36035E-6,0.400457697,0.029518337,0.73796171,0.005714286,0.045977011
8.00721E-6,0.500245726,0.037018323,0.724521369,0.005714286,0.045977011
9.61518E-6,0.600149424,0.044285255,0.713595049,0.005714286,0.045977011
1.10849E-5,0.701006341,0.050879369,0.704119126,0.008571429,0.057471264
1.18295E-5,0.750347373,0.054202731,0.699961323,0.011428571,0.057471264
1.23454E-5,0.801146443,0.056498891,0.695900213,0.011428571,0.057471264
1.34973E-5,0.900063391,0.061604872,0.688454844,0.011428571,0.057471264
1.46314E-5,1.000456835,0.066604733,0.681589635,0.011428571,0.068965517
1.56497E-5,1.100251121,0.0710716,0.67520789,0.014285714,0.068965517
1.64674E-5,1.201514107,0.074642938,0.669116225,0.014285714,0.068965517
1.73138E-5,1.301503542,0.078325527,0.663411332,0.014285714,0.068965517
1.80255E-5,1.400658899,0.081410076,0.657996519,0.017142857,0.068965517
1.88433E-5,1.500167446,0.084942256,0.652775092,0.017142857,0.08045977
2.08674E-5,1.75179528,0.09362625,0.640495069,0.025714286,0.08045977
2.26376E-5,2.002108351,0.101153299,0.629375363,0.025714286,0.08045977
2.42666E-5,2.2519662,0.108024703,0.619029201,0.025714286,0.08045977
2.57691E-5,2.50234417,0.114315879,0.609359892,0.028571429,0.091954023
2.7288E-5,2.751336522,0.120630468,0.600270741,0.031428571,0.091954023
2.8679E-5,3.001037904,0.12637394,0.591665055,0.031428571,0.091954023
3.0183E-5,3.250549852,0.132541823,0.583446142,0.031428571,0.091954023
3.18229E-5,3.501465704,0.139217501,0.575614001,0.031428571,0.091954023
3.32252E-5,3.751877795,0.144885136,0.568168633,0.037142857,0.091954023
3.46639E-5,4.002839783,0.150660967,0.561013344,0.042857143,0.103448276
3.59564E-5,4.253322604,0.15581662,0.554148134,0.042857143,0.103448276
3.72323E-5,4.502567835,0.160875581,0.547573003,0.042857143,0.103448276
3.88749E-5,4.750309582,0.167343878,0.541287952,0.045714286,0.103448276
4.02108E-5,5.003562849,0.17256746,0.535099594,0.045714286,0.103448276
4.15693E-5,5.25327903,0.17784575,0.529201315,0.051428571,0.126436782
