X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-4812341.586993216,-3503949.9660289944,train,0.0036756528339062333,70.25140814784605,0.9878736806102
-4830102.611749283,-3519350.088375941,train,0.0037089785748109115,70.62225860942668,0.988349222585764
-5155205.618636499,-3886574.66841768,train,0.007120062713194196,88.26764054632217,0.9998059048898679
-5166937.579771202,-3895852.1207515937,train,0.007052148543981252,86.13384089560239,0.9997894180801075
-5401221.693289634,-4180033.4658509837,train,0.004560440845837928,75.18897947834982,0.9958077020524361
-5498069.650279782,-4201781.335184776,train,0.007098927246658137,86.84370146067086,0.9998009173588329
-5523884.640194742,-4236668.9334767265,train,0.006252733960701587,82.02464545557231,0.9994502196454564
-5737406.555485319,-4623698.889817215,train,6.404017570386439E-4,48.08147668227934,0.5364123298575784
-5741859.33511705,-4592582.172221218,train,9.696390309745897E-4,53.94691610549514,0.6877612745293248
-5778995.517245687,-4671393.938212813,train,9.115782058444838E-4,53.15084603140218,0.6652224758379323
-5800858.665237486,-4572830.114664526,train,0.004352334780725093,74.29175058902598,0.9946179651624404
-5809664.036959234,-4526857.244602404,train,0.004412135781096768,74.73289777748889,0.9949907840931126
-6151501.702897403,-4977161.157151221,train,3.8267876990883234E-4,32.557650483499174,0.3683251150428466
-6219653.72155086,-6075715.396125666,train,3.736073924014321E-5,6.0794568412204475,0.04385823327338512
-6122571.993630046,-5369478.8077616375,train,1.856593195377176E-4,21.016957334040196,0.19978247233413937
-6265466.144791924,-5750871.09903071,train,5.326209588946121E-5,8.466321819254548,0.06193647426887283
1.2520548407482652E7,-3977516.1235402855,train,4.953406545252334E-4,41.5028076262922,0.44822975790431996
1.6289918760920255E7,-5436161.649627165,train,2.3779507211354401E-4,23.11376578084685,0.24832947747610923
4382559.296938546,-3933269.571839187,train,3.0018452249923116E-4,26.534879772421668,0.3025689172646272
5508734.057497777,-4344801.998663597,train,3.3217139346988176E-4,29.02836088057708,0.3288413218153803
9784460.039122019,-3606765.577078946,train,6.246840423793072E-4,47.301866234885395,0.5275822831924877
1.0433831156715501E7,-3627711.851336753,train,4.713371379464823E-4,39.944257917456646,0.4320994255002226
-6108078.195928762,-5254126.089845615,train,2.5401551118372313E-4,23.757711078520963,0.26282410035756376
-5133732.088862477,-3844456.2591169984,train,0.0073344898475112795,90.43802016062934,0.999849953871791
-5439215.035497378,-4205128.936050841,train,0.005260130460812951,78.71264342482309,0.9981900157901796
-5165224.372807894,-3799601.4109596764,train,0.00694544481401073,85.42866747837422,0.999760640768427
-5741859.33511705,-4474637.21571093,test,0.0034311453313667075,68.3931827792826,0.9837369890976858
-5575993.293835073,-4841366.7219741065,test,4.5450575846724296E-4,38.55810736864451,0.42050831658572974
1.6213683834040295E7,-5702842.933111126,test,1.300138295161903E-4,17.351451754227153,0.14450323303157808
-6317403.366416434,-5836749.9666692875,test,3.674913585862228E-5,5.994949951818429,0.043155986529127
-6145949.086696634,-4906739.30106527,test,4.482801273578405E-4,37.66572927721165,0.4161612872382451
-3958498.82871065,-3482726.252610084,test,5.264783555175393E-4,42.89770384599459,0.468473534693682
