Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.70488E-12,0.000000001,0.000000009,0.998205026,0,0
9.06618E-12,0.000000003,0.000000022,0.997905864,0,0
2.30777E-11,0.00000001,0.000000055,0.99750698,0,0
9.60228E-11,0.000000025,0.000000229,0.997307539,0,0
4.09078E-10,0.000000118,0.000000976,0.996908656,0,0
5.81343E-10,0.000000279,0.000001386,0.996609493,0,0
8.83873E-10,0.000001055,0.000002108,0.995512565,0,0
1.13271E-9,0.00000259,0.000002701,0.994016753,0,0
2.40265E-9,0.000010132,0.00000573,0.989928201,0,0
3.56687E-9,0.000025356,0.000008506,0.984942162,0,0
4.51814E-9,0.000050406,0.000010775,0.978759473,0,0
5.58686E-9,0.000100433,0.000013324,0.968887116,0,0
7.92725E-9,0.000250217,0.000018905,0.947048265,0,0
1.10074E-8,0.000500947,0.000026251,0.920721978,0,0
1.4471E-8,0.001000812,0.000034511,0.882130036,0,0
2.3408E-8,0.002500608,0.000055823,0.801555644,0,0
3.7567E-8,0.005001943,0.000089587,0.7168927,0,0
9.72451E-8,0.010003944,0.000231887,0.626047068,0,0
1.0381E-6,0.02500338,0.002472641,0.585161548,0,0
2.60829E-6,0.050220766,0.006201048,0.570602314,0,0
5.08317E-6,0.100237306,0.012049387,0.55743917,0,0
8.8275E-6,0.20070277,0.020832146,0.543179099,0,0
1.14833E-5,0.30014998,0.027014185,0.533306741,0,0
1.37552E-5,0.400553803,0.032271874,0.525428799,0,0
1.57228E-5,0.500386377,0.036802,0.518647786,0,0
1.7328E-5,0.600010094,0.040482367,0.512664539,0,0
1.88395E-5,0.700782427,0.043934795,0.507080176,0,0
1.9435E-5,0.750517894,0.045291584,0.504487435,0,0
2.01404E-5,0.80198886,0.046896361,0.501894695,0,0
2.10719E-5,0.900894898,0.049011397,0.497108097,0,0
2.22678E-5,1.00077327,0.051719738,0.492520941,0,0
2.33114E-5,1.101121581,0.054076892,0.488133227,0,0
2.41899E-5,1.200852594,0.056056587,0.483944954,0,0
2.51232E-5,1.302173771,0.058155301,0.479856402,0,0
2.58534E-5,1.401518445,0.059793892,0.475967292,0,0
2.66707E-5,1.501410585,0.061624773,0.472177902,0,0
2.81038E-5,1.750463434,0.064826429,0.463103311,0,0
2.99498E-5,2.000141896,0.068934462,0.454527323,0,0
3.1549E-5,2.252411225,0.072478648,0.446350219,0,0
3.32055E-5,2.502047184,0.076135555,0.438671719,0,0
3.46763E-5,2.753453563,0.07937034,0.431292381,0,0
3.59507E-5,3.0035349,0.082164113,0.424212206,0,0
3.70716E-5,3.252131716,0.08461446,0.417431193,0,0
3.80908E-5,3.503628043,0.086836747,0.4107499,0,0
3.9214E-5,3.750933992,0.089279562,0.40436777,0,0
4.03204E-5,4.001766621,0.09167932,0.398085361,0,0
4.13833E-5,4.250911282,0.093978892,0.392002393,0,0
4.26603E-5,4.503103766,0.096733941,0.386019146,0,0
4.39763E-5,4.750044419,0.099564203,0.380335062,0,0
4.52563E-5,5.004282075,0.102308806,0.374650977,0,0
