Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.32909E-9,0.000000333,0.000010578,1,0,0
3.78705E-9,0.000001045,0.000012034,0.999801921,0,0
4.57854E-9,0.000002774,0.000014549,0.999405764,0,0
6.37154E-9,0.000010372,0.000020246,0.998019214,0,0
1.00814E-8,0.000025923,0.000032034,0.996137467,0,0
1.20378E-8,0.000050278,0.00003825,0.993958602,0,0
1.48453E-8,0.000100568,0.000047171,0.990195107,0,0
2.607E-8,0.000250899,0.000082836,0.982767159,0,0
4.93303E-8,0.000502758,0.000156738,0.975636328,0,0
7.66107E-8,0.00100067,0.000243406,0.967812221,0,0
1.27021E-7,0.002508922,0.000403536,0.953649599,0,0
1.78575E-7,0.005002364,0.000567273,0.937308111,0,0
2.68148E-7,0.010026021,0.000851696,0.914628107,0,0
5.84145E-7,0.02501096,0.001854437,0.876894127,0,0
1.01224E-6,0.050097519,0.003211283,0.845201545,0,0
1.73138E-6,0.100170105,0.005486473,0.808953154,0,0
3.34769E-6,0.200015169,0.010581131,0.768545112,0,0
4.94685E-6,0.300221391,0.015596039,0.744379519,0,0
6.47911E-6,0.40028033,0.020377313,0.726948599,0,0
7.85221E-6,0.500571752,0.024642206,0.713083094,0,0
9.38034E-6,0.600894383,0.029366827,0.701495494,0,0
1.06449E-5,0.700800129,0.033259328,0.691591562,0,0
1.13542E-5,0.750089113,0.035435536,0.687134793,0,0
1.19455E-5,0.800216791,0.03724626,0.682876102,0,0
1.33566E-5,0.900282244,0.041553508,0.675051996,0,0
1.4659E-5,1.001410494,0.045511796,0.667921165,0,0
1.62268E-5,1.100819142,0.050254957,0.661582648,0,0
1.73065E-5,1.201589944,0.053507924,0.655640289,0,0
1.8565E-5,1.300393359,0.057285277,0.650193127,0,0
1.95018E-5,1.401168777,0.060087339,0.644944043,0.01010101,0
2.0726E-5,1.501790876,0.06373638,0.639992077,0.01010101,0
2.33535E-5,1.751342579,0.0715208,0.628800634,0.01010101,0
2.58162E-5,2.002108692,0.078758154,0.618698623,0.01010101,0
2.77755E-5,2.251762154,0.084475748,0.609487967,0.01010101,0
2.99246E-5,2.500182329,0.090706435,0.600970585,0.03030303,0
3.25505E-5,2.752777882,0.098262157,0.592948401,0.03030303,0
3.45104E-5,3.000289897,0.103860524,0.585619491,0.03030303,0
3.62563E-5,3.251578109,0.108818042,0.578587699,0.03030303,0
3.77894E-5,3.5027392,0.113148985,0.571853026,0.03030303,0
3.95275E-5,3.750354501,0.11803352,0.565514509,0.03030303,0
4.07036E-5,4.00345714,0.121323543,0.559275032,0.03030303,0
4.17679E-5,4.250858521,0.1242899,0.553332673,0.03030303,0
4.26375E-5,4.500057014,0.126706501,0.547489353,0.03030303,0
4.36557E-5,4.750606715,0.129527198,0.541745073,0.04040404,0
4.45099E-5,5.002212365,0.131886937,0.536099832,0.04040404,0
4.53555E-5,5.253529249,0.134216189,0.53055363,0.04040404,0
4.60252E-5,5.500428799,0.136056728,0.525205507,0.050505051,0
4.67495E-5,5.750836955,0.138042866,0.519857383,0.050505051,0
4.75803E-5,6.00100216,0.140315261,0.514608299,0.050505051,0
4.85179E-5,6.250903554,0.142872801,0.509458255,0.050505051,0
4.91483E-5,6.504905713,0.144588033,0.50430821,0.050505051,0
4.97169E-5,6.752168945,0.146132223,0.499356244,0.050505051,0
5.0373E-5,7.00228651,0.147910269,0.494404278,0.050505051,0
5.09227E-5,7.250563431,0.149397298,0.489551352,0.050505051,0
5.14508E-5,7.501389515,0.150823525,0.484698425,0.060606061,0
5.22096E-5,7.750335255,0.152868716,0.479944538,0.060606061,0
5.29152E-5,8.002334622,0.154765934,0.475190651,0.060606061,0
5.34993E-5,8.252513714,0.156333027,0.470535803,0.060606061,0
5.41453E-5,8.505360731,0.15806325,0.465880955,0.060606061,0
5.47478E-5,8.750568304,0.159673387,0.461424185,0.060606061,0
5.54739E-5,9.004245828,0.161609994,0.456868377,0.060606061,0
5.62008E-5,9.255489142,0.163544242,0.452411607,0.060606061,0
5.68418E-5,9.504367271,0.165246431,0.448053877,0.060606061,0
5.73812E-5,9.755574504,0.16667578,0.443696147,0.060606061,0
5.78641E-5,10.00327757,0.167953627,0.439437457,0.060606061,0
5.84253E-5,10.253418558,0.169436027,0.435178766,0.060606061,0
5.88566E-5,10.505543687,0.170573384,0.430920075,0.060606061,0
5.93823E-5,10.753877943,0.171957933,0.426760424,0.070707071,0
5.97564E-5,11.004080466,0.172941689,0.422600773,0.080808081,0
6.00635E-5,11.255707875,0.173748229,0.418441121,0.080808081,0
6.05754E-5,11.502940457,0.175091155,0.414380509,0.080808081,0
6.10914E-5,11.752305188,0.176442495,0.410319897,0.080808081,0
6.16076E-5,12.003837412,0.177792393,0.406259285,0.080808081,0
6.21607E-5,12.251539076,0.179236084,0.402297712,0.080808081,0
6.26006E-5,12.501046145,0.180382511,0.398336139,0.080808081,0
6.30601E-5,12.752437577,0.181578516,0.394374567,0.080808081,0
6.33471E-5,13.00527534,0.182324331,0.390412994,0.090909091,0
6.37905E-5,13.253200335,0.183475663,0.386550461,0.090909091,0
6.43181E-5,13.503055035,0.184843478,0.382687927,0.090909091,0
6.48126E-5,13.75472818,0.186123313,0.378825394,0.090909091,0
6.52499E-5,14.001851035,0.187253528,0.3750619,0.101010101,0
6.56979E-5,14.250643246,0.188409687,0.371298405,0.101010101,0
6.60772E-5,14.501151014,0.189387263,0.367534911,0.101010101,0
6.66142E-5,14.753204121,0.190769218,0.363771417,0.101010101,0
6.70374E-5,15.000578462,0.191856644,0.360106962,0.101010101,0
6.75758E-5,15.25637451,0.193237982,0.356343468,0.101010101,0
6.79091E-5,15.500282782,0.194092032,0.352778053,0.101010101,0
6.84675E-5,15.752417556,0.195520647,0.349113598,0.101010101,0
6.88637E-5,16.006319261,0.196532884,0.345449143,0.101010101,0
6.92579E-5,16.254819427,0.197538678,0.341883728,0.101010101,0
6.97588E-5,16.505183044,0.198814898,0.338318312,0.101010101,0
7.02107E-5,16.750137769,0.199964472,0.334851936,0.101010101,0
7.06681E-5,17.003720001,0.201126339,0.331286521,0.101010101,0
7.11258E-5,17.251892024,0.202287542,0.327820145,0.101010101,0
7.14584E-5,17.501353963,0.203130033,0.324353768,0.101010101,0
7.19991E-5,17.752492097,0.204498079,0.320887392,0.101010101,0
7.24405E-5,18.005360864,0.20561293,0.317421016,0.101010101,0
7.29564E-5,18.252446252,0.206914191,0.314053679,0.111111111,0
7.3286E-5,18.501153309,0.207744366,0.310686342,0.111111111,0
7.37587E-5,18.75128555,0.208933579,0.307319006,0.111111111,0
7.41599E-5,19.00269381,0.209941398,0.303951669,0.111111111,0
7.464E-5,19.255717214,0.211145676,0.300584332,0.121212121,0
7.50138E-5,19.502576288,0.212082123,0.297316034,0.121212121,0
7.54881E-5,19.750819815,0.213268714,0.294047737,0.121212121,0
7.58624E-5,20.000545671,0.214203911,0.290779439,0.121212121,0
7.61955E-5,20.251489223,0.215035067,0.287511142,0.121212121,0
7.6707E-5,20.503995807,0.216309811,0.284242844,0.121212121,0
7.70991E-5,20.750126842,0.217285588,0.281073586,0.121212121,0
7.75458E-5,21.005342725,0.218396031,0.277805289,0.121212121,0
7.79954E-5,21.25423888,0.219511808,0.274636031,0.121212121,0
7.86332E-5,21.504972743,0.221091965,0.271466772,0.121212121,0
7.93312E-5,21.757785195,0.222817677,0.268297514,0.121212121,0.041666667
8.00029E-5,22.004643952,0.224474726,0.265227295,0.131313131,0.083333333
8.04503E-5,22.253413497,0.225576445,0.262157076,0.151515152,0.083333333
8.11153E-5,22.503766683,0.227210931,0.259086857,0.161616162,0.083333333
8.1852E-5,22.756263405,0.22901786,0.256016639,0.161616162,0.083333333
8.2413E-5,23.002603945,0.230391188,0.253045459,0.171717172,0.083333333
8.31733E-5,23.25088776,0.232248096,0.250074279,0.181818182,0.083333333
8.40048E-5,23.501637002,0.234273895,0.2471031,0.181818182,0.083333333
8.48911E-5,23.755153486,0.23642756,0.24413192,0.181818182,0.083333333
8.57175E-5,24.002488996,0.238429832,0.24125978,0.181818182,0.083333333
8.66402E-5,24.252559245,0.240659432,0.23838764,0.181818182,0.083333333
8.77093E-5,24.505041981,0.243234738,0.2355155,0.181818182,0.083333333
8.86201E-5,24.751989453,0.245421789,0.232742399,0.181818182,0.083333333
8.92859E-5,25.000973355,0.247016528,0.229969298,0.191919192,0.083333333
9.02764E-5,25.252564535,0.249382643,0.227196197,0.191919192,0.083333333
9.14007E-5,25.506891815,0.25205938,0.224423096,0.191919192,0.083333333
9.22178E-5,25.75474109,0.253999007,0.221749034,0.191919192,0.083333333
9.27649E-5,26.00449458,0.255294741,0.219074973,0.202020202,0.083333333
9.36168E-5,26.256292285,0.257307937,0.216400911,0.202020202,0.083333333
9.43504E-5,26.500624061,0.259037149,0.213825889,0.202020202,0.083333333
9.54734E-5,26.756818491,0.261676308,0.211151827,0.202020202,0.083333333
9.64773E-5,27.006411791,0.264027937,0.208576805,0.202020202,0.083333333
9.75347E-5,27.258825033,0.266496687,0.206001783,0.202020202,0.083333333
9.87312E-5,27.504144422,0.269279924,0.2035258,0.202020202,0.083333333
9.95533E-5,27.751913751,0.271186459,0.201049817,0.202020202,0.125
1.00702E-4,28.002201615,0.273842482,0.198573834,0.202020202,0.125
1.01936E-4,28.255544145,0.276683898,0.196097851,0.212121212,0.125
1.02913E-4,28.501355505,0.278926579,0.193720907,0.212121212,0.125
1.03989E-4,28.759826661,0.281387063,0.191244924,0.212121212,0.125
1.04867E-4,29.000204839,0.283388867,0.18896702,0.212121212,0.166666667
1.06284E-4,29.253699221,0.286607512,0.186590076,0.212121212,0.166666667
1.07372E-4,29.510287615,0.289069703,0.184213133,0.222222222,0.166666667
1.08855E-4,29.759369748,0.292411917,0.181935228,0.222222222,0.166666667
1.10558E-4,30.000688756,0.296230663,0.179756363,0.222222222,0.166666667
1.1169E-4,30.256178864,0.298758841,0.177478459,0.232323232,0.166666667
1.13613E-4,30.504281199,0.30302934,0.175299594,0.232323232,0.166666667
1.15003E-4,30.75574243,0.306102165,0.173120729,0.232323232,0.166666667
1.16237E-4,31.010180905,0.308816586,0.170941864,0.242424242,0.166666667
1.17155E-4,31.25527188,0.310830402,0.168862038,0.242424242,0.166666667
1.1811E-4,31.502200529,0.312919366,0.166782213,0.242424242,0.166666667
1.19842E-4,31.752202928,0.316690592,0.164702387,0.242424242,0.166666667
1.21522E-4,32.005366835,0.320327216,0.162622561,0.252525253,0.166666667
1.23148E-4,32.250142049,0.323830905,0.160641775,0.252525253,0.166666667
1.24429E-4,32.510098398,0.326577568,0.158561949,0.252525253,0.166666667
1.25767E-4,32.760241702,0.329433378,0.156581163,0.252525253,0.166666667
1.26907E-4,33.000134292,0.331859263,0.154699416,0.252525253,0.166666667
1.29199E-4,33.256725586,0.336707817,0.152718629,0.252525253,0.166666667
1.30885E-4,33.504087929,0.340250503,0.150836882,0.252525253,0.166666667
1.32283E-4,33.754215526,0.343175789,0.148955135,0.252525253,0.166666667
1.343E-4,34.008047112,0.347372066,0.147073388,0.252525253,0.166666667
1.36133E-4,34.251299176,0.35116195,0.14529068,0.252525253,0.166666667
1.37961E-4,34.51154375,0.354919271,0.143408933,0.252525253,0.166666667
1.39523E-4,34.761252255,0.358113284,0.141626226,0.252525253,0.166666667
1.40983E-4,35.013316015,0.361084875,0.139843518,0.252525253,0.166666667
1.429E-4,35.254686425,0.364965425,0.138159849,0.262626263,0.166666667
1.44241E-4,35.513124224,0.367664593,0.136377142,0.262626263,0.166666667
1.46377E-4,35.760522544,0.3719423,0.134693473,0.262626263,0.166666667
1.47995E-4,36.010892332,0.375162641,0.133009805,0.262626263,0.166666667
1.49765E-4,36.263654046,0.378667208,0.131326136,0.272727273,0.166666667
1.51777E-4,36.505188308,0.382627595,0.129741507,0.272727273,0.166666667
1.53332E-4,36.764737002,0.38566956,0.128057839,0.272727273,0.166666667
1.54487E-4,37.011080901,0.387920878,0.12647321,0.272727273,0.166666667
1.55789E-4,37.25928897,0.390446835,0.124888581,0.272727273,0.208333333
1.576E-4,37.510070942,0.393945175,0.123303952,0.272727273,0.208333333
1.60047E-4,37.764315264,0.398639586,0.121719323,0.272727273,0.208333333
1.62914E-4,38.006683604,0.404091847,0.120233733,0.272727273,0.208333333
1.65611E-4,38.253226625,0.409177748,0.118748143,0.272727273,0.208333333
1.6906E-4,38.504226189,0.415617932,0.117262553,0.272727273,0.208333333
1.72004E-4,38.759791792,0.421059479,0.115776963,0.272727273,0.208333333
1.75061E-4,39.002866646,0.426654391,0.114390413,0.272727273,0.208333333
1.7844E-4,39.267629834,0.432777521,0.112904823,0.272727273,0.208333333
1.80744E-4,39.5014582,0.436915283,0.111617312,0.272727273,0.208333333
1.83483E-4,39.756250056,0.441794671,0.110230762,0.272727273,0.208333333
1.85693E-4,40.014441679,0.445701398,0.108844211,0.282828283,0.208333333
1.89254E-4,40.257674465,0.451939003,0.1075567,0.282828283,0.208333333
1.91692E-4,40.505451939,0.456167902,0.106269189,0.292929293,0.208333333
1.94459E-4,40.756882934,0.460927773,0.104981678,0.303030303,0.208333333
1.97348E-4,41.011645487,0.465853625,0.103694167,0.303030303,0.208333333
1.99688E-4,41.250608796,0.469811302,0.102505695,0.303030303,0.208333333
2.02172E-4,41.511671476,0.473979917,0.101218184,0.303030303,0.208333333
2.04929E-4,41.756100198,0.478567287,0.100029712,0.303030303,0.208333333
2.08046E-4,42.004130272,0.483707177,0.09884124,0.303030303,0.208333333
2.11206E-4,42.256042312,0.488864576,0.097652768,0.303030303,0.208333333
2.13291E-4,42.510577982,0.492240135,0.096464296,0.303030303,0.208333333
2.14925E-4,42.767594094,0.494868794,0.095275825,0.303030303,0.208333333
2.17952E-4,43.006104906,0.499705245,0.094186392,0.303030303,0.208333333
2.23024E-4,43.270384368,0.507703894,0.09299792,0.303030303,0.208333333
2.24524E-4,43.516564844,0.510043569,0.091908488,0.303030303,0.208333333
2.27347E-4,43.765120469,0.514420157,0.090819055,0.303030303,0.208333333
2.3039E-4,44.016743691,0.519091495,0.089729623,0.303030303,0.208333333
2.33109E-4,44.271897943,0.523228522,0.08864019,0.303030303,0.208333333
2.35757E-4,44.506758729,0.527223818,0.087649797,0.303030303,0.208333333
2.38743E-4,44.768057408,0.531689022,0.086560364,0.303030303,0.208333333
2.4233E-4,45.008822381,0.536996164,0.085569971,0.303030303,0.208333333
2.46025E-4,45.25261882,0.542399829,0.084579578,0.303030303,0.25
2.48525E-4,45.5245487,0.546021233,0.083490146,0.303030303,0.25
2.50806E-4,45.774136536,0.549299216,0.082499752,0.303030303,0.25
2.52596E-4,46.000684218,0.551855891,0.081608399,0.303030303,0.25
2.55373E-4,46.254763371,0.555792518,0.080618005,0.303030303,0.25
2.58495E-4,46.511388641,0.560177813,0.079627612,0.303030303,0.25
2.62467E-4,46.771702587,0.565693899,0.078637219,0.303030303,0.25
2.63985E-4,47.008618198,0.567784469,0.077745865,0.303030303,0.25
2.65667E-4,47.273518782,0.570087802,0.076755472,0.303030303,0.25
2.68717E-4,47.514107754,0.574234298,0.075864118,0.303030303,0.25
2.72077E-4,47.757961646,0.578755917,0.074972764,0.303030303,0.25
2.76244E-4,48.004682175,0.584296905,0.07408141,0.303030303,0.25
2.78944E-4,48.254572413,0.587847883,0.073190056,0.303030303,0.25
2.8221E-4,48.507697295,0.592103386,0.072298703,0.303030303,0.25
2.87827E-4,48.764413864,0.599319305,0.071407349,0.303030303,0.25
2.92198E-4,49.025753864,0.604845564,0.070515995,0.303030303,0.25
2.94346E-4,49.260536891,0.607533581,0.06972368,0.303030303,0.25
2.98739E-4,49.527790993,0.612974265,0.068832326,0.303030303,0.25
3.03369E-4,49.768518458,0.618625799,0.068040012,0.303030303,0.25
3.05307E-4,50.011995042,0.620967243,0.067247697,0.313131313,0.25
3.07933E-4,50.257185313,0.624116537,0.066455383,0.333333333,0.25
3.11001E-4,50.505077932,0.627764114,0.065663068,0.333333333,0.25
3.12603E-4,50.754771216,0.629653246,0.064870754,0.333333333,0.25
3.15934E-4,51.00585733,0.633552451,0.064078439,0.333333333,0.25
3.18224E-4,51.259590149,0.636209922,0.063286125,0.333333333,0.25
3.22241E-4,51.515492374,0.640823418,0.06249381,0.343434343,0.25
3.25297E-4,51.774971505,0.644295079,0.061701495,0.343434343,0.291666667
3.27619E-4,52.003852778,0.646910088,0.06100822,0.343434343,0.291666667
3.30549E-4,52.267206549,0.650182125,0.060215906,0.353535354,0.291666667
3.34203E-4,52.500398577,0.654220061,0.05952263,0.363636364,0.291666667
3.40279E-4,52.769986994,0.660831736,0.058730316,0.363636364,0.291666667
3.42633E-4,53.009146975,0.663359569,0.058037041,0.363636364,0.291666667
3.44081E-4,53.283766265,0.664904743,0.057244726,0.363636364,0.291666667
3.4649E-4,53.525725992,0.667460509,0.056551451,0.363636364,0.291666667
3.4876E-4,53.76903614,0.66985001,0.055858176,0.363636364,0.291666667
3.51983E-4,54.014394091,0.673213982,0.0551649,0.363636364,0.291666667
3.54217E-4,54.261676912,0.67552498,0.054471625,0.363636364,0.291666667
3.56922E-4,54.510787743,0.678302709,0.05377835,0.363636364,0.291666667
3.60779E-4,54.76182607,0.68222139,0.053085075,0.363636364,0.291666667
3.639E-4,55.015570496,0.685357211,0.0523918,0.363636364,0.291666667
3.68007E-4,55.272070661,0.689436867,0.051698524,0.363636364,0.291666667
3.70336E-4,55.531047465,0.691726534,0.051005249,0.363636364,0.291666667
3.71575E-4,55.753658095,0.692937385,0.050411013,0.363636364,0.291666667
3.73562E-4,56.014466228,0.694870604,0.049717738,0.363636364,0.333333333
3.74743E-4,56.276490115,0.696012782,0.049024463,0.363636364,0.333333333
3.77466E-4,56.502286547,0.69863189,0.048430227,0.363636364,0.333333333
3.79731E-4,56.767137513,0.700792992,0.047736952,0.363636364,0.333333333
3.82878E-4,57.034307762,0.703770159,0.047043676,0.373737374,0.333333333
3.85454E-4,57.264938808,0.706185425,0.04644944,0.383838384,0.333333333
3.87989E-4,57.53563266,0.708542115,0.045756165,0.383838384,0.333333333
3.88829E-4,57.768744745,0.709319148,0.045161929,0.393939394,0.333333333
3.91751E-4,58.003329555,0.712006045,0.044567693,0.393939394,0.333333333
3.94845E-4,58.278835624,0.714823741,0.043874418,0.393939394,0.333333333
3.95571E-4,58.515959578,0.71548069,0.043280182,0.393939394,0.333333333
3.99586E-4,58.754801221,0.719087455,0.042685946,0.393939394,0.333333333
4.03286E-4,59.035778272,0.722370245,0.041992671,0.393939394,0.333333333
4.04418E-4,59.278153907,0.723367239,0.041398435,0.393939394,0.333333333
4.07362E-4,59.521868009,0.725943056,0.040804199,0.404040404,0.333333333
4.09599E-4,59.76715865,0.727883982,0.040209963,0.414141414,0.375
4.12663E-4,60.014137195,0.730520586,0.039615727,0.414141414,0.375
4.14275E-4,60.26233269,0.731897449,0.039021492,0.414141414,0.375
4.16606E-4,60.511703707,0.733876178,0.038427256,0.424242424,0.375
4.17941E-4,60.762105071,0.735002608,0.03783302,0.424242424,0.375
4.20305E-4,61.013708962,0.736985509,0.037238784,0.444444444,0.375
4.2173E-4,61.266234747,0.738174268,0.036644548,0.454545455,0.375
4.23863E-4,61.519934222,0.73994256,0.036050312,0.464646465,0.375
4.28248E-4,61.775811117,0.743541204,0.035456076,0.464646465,0.375
4.32044E-4,62.034516913,0.746616213,0.03486184,0.474747475,0.375
4.33764E-4,62.251126683,0.747997017,0.034366644,0.494949495,0.375
4.37401E-4,62.513091414,0.750892184,0.033772408,0.494949495,0.416666667
4.42464E-4,62.777553694,0.754867854,0.033178172,0.505050505,0.5
4.46688E-4,63.044107776,0.758135952,0.032583936,0.505050505,0.5
4.52429E-4,63.268836067,0.762508282,0.032088739,0.515151515,0.5
4.58755E-4,63.541947303,0.767234876,0.031494503,0.525252525,0.541666667
4.62105E-4,63.772677039,0.769699143,0.030999307,0.525252525,0.541666667
4.65821E-4,64.004598163,0.772402659,0.03050411,0.535353535,0.541666667
4.6817E-4,64.285133007,0.774095338,0.029909874,0.535353535,0.541666667
4.74583E-4,64.520954138,0.778652056,0.029414678,0.535353535,0.541666667
4.80169E-4,64.759767564,0.78254644,0.028919481,0.535353535,0.541666667
4.85816E-4,65.001001355,0.786413683,0.028424284,0.535353535,0.541666667
4.9998E-4,65.296227701,0.79581344,0.027830049,0.535353535,0.541666667
5.05959E-4,65.548369156,0.799655921,0.027334852,0.545454545,0.583333333
5.08042E-4,65.751280094,0.80097757,0.026938695,0.545454545,0.583333333
5.1706E-4,66.00776364,0.806599625,0.026443498,0.545454545,0.625
5.25359E-4,66.26753336,0.811633241,0.025948301,0.545454545,0.625
5.32456E-4,66.531546482,0.815833419,0.025453105,0.545454545,0.625
5.38339E-4,66.799700442,0.819243988,0.024957908,0.545454545,0.625
5.48924E-4,67.017274029,0.825222511,0.024561751,0.545454545,0.625
