Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.62644E-10,0.000000066,0.000001508,1,0,0
4.02879E-9,0.000000469,0.000009168,0.999900567,0,0
4.71253E-9,0.000001391,0.000010724,0.9997017,0,0
6.20181E-9,0.000002562,0.000014113,0.999502834,0,0
1.83304E-8,0.000011198,0.000041713,0.998906234,0,0
2.75315E-8,0.000025044,0.00006265,0.998309635,0,0
3.76781E-8,0.000053497,0.000085739,0.997514169,0,0
4.53227E-8,0.000100088,0.000103133,0.996420404,0,0
6.3855E-8,0.00025156,0.000145301,0.993735706,0,0
9.35002E-8,0.000502699,0.000212752,0.990553843,0,0
1.30458E-7,0.001009933,0.000296834,0.986079348,0,0
2.25319E-7,0.002516989,0.000512618,0.977627523,0,0
3.37522E-7,0.005001548,0.000767788,0.968777966,0,0
4.91062E-7,0.01004161,0.001116864,0.956746545,0,0
8.50025E-7,0.025080229,0.001932494,0.933976335,0,0
1.36071E-6,0.050016527,0.003091715,0.911106692,0,0
1.9842E-6,0.100127707,0.004505167,0.881972755,0,0
2.8192E-6,0.200180502,0.006394997,0.839912499,0.034482759,0
3.61643E-6,0.300174006,0.008195979,0.808988764,0.034482759,0
4.38783E-6,0.400175354,0.009935501,0.784031023,0.034482759,0
5.22436E-6,0.500159129,0.011818442,0.763249478,0.034482759,0
5.96772E-6,0.600590599,0.013488671,0.74545093,0.034482759,0
6.76535E-6,0.700198087,0.015277691,0.729839912,0.034482759,0
7.09051E-6,0.750136594,0.016006066,0.72268072,0.034482759,0
7.50975E-6,0.800436912,0.016944398,0.715819827,0.034482759,0
8.26379E-6,0.900498654,0.018629808,0.703191807,0.034482759,0
8.90213E-6,1.000046407,0.020054348,0.691657552,0.034482759,0
9.7573E-6,1.100960632,0.021959549,0.680918763,0.034482759,0
1.03832E-5,1.200857978,0.023351604,0.671074873,0.034482759,0
1.11637E-5,1.300182726,0.025084749,0.661927016,0.034482759,0
1.18612E-5,1.400129044,0.026630889,0.653276325,0.034482759,0
1.24675E-5,1.500133624,0.027972961,0.6451228,0.034482759,0
1.44089E-5,1.751021786,0.032257885,0.626429353,0.034482759,0
1.62185E-5,2.001030914,0.036235008,0.610221736,0.034482759,0
1.7413E-5,2.251441676,0.038851082,0.595406185,0.034482759,0
1.87472E-5,2.501105332,0.041765022,0.581684399,0.034482759,0
2.00062E-5,2.751843042,0.044506492,0.568857512,0.034482759,0
2.11537E-5,3.000412262,0.046998222,0.556826091,0.034482759,0
2.23465E-5,3.250472078,0.049581488,0.54539127,0.034482759,0.071428571
2.35667E-5,3.500498616,0.052216981,0.534553048,0.034482759,0.071428571
2.48563E-5,3.750310259,0.054994264,0.524311425,0.034482759,0.071428571
2.58202E-5,4.000818254,0.057064994,0.514467535,0.034482759,0.071428571
2.67569E-5,4.250814485,0.059072752,0.505021378,0.034482759,0.071428571
2.7844E-5,4.502181904,0.061397604,0.495873521,0.034482759,0.071428571
2.91324E-5,4.752804724,0.064145422,0.487123397,0.034482759,0.071428571
3.0137E-5,5.002154231,0.066282601,0.478771005,0.051724138,0.071428571
3.15085E-5,5.251535173,0.069192185,0.470716914,0.068965517,0.071428571
