Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.00609E-8,0.000002006,0.000166111,1,0,0
5.28855E-8,0.000007295,0.000437849,0.999908809,0,0
1.09858E-7,0.00001828,0.000909317,0.999817618,0,0
1.4411E-7,0.000032691,0.001192662,0.999726427,0,0
1.46964E-7,0.00006192,0.00121627,0.999544045,0,0
1.51705E-7,0.000107248,0.001255481,0.999270472,0,0
1.57792E-7,0.000262734,0.001305822,0.998358563,0,0
1.64043E-7,0.000504466,0.00135752,0.996990699,0,0
1.8182E-7,0.001005599,0.001504518,0.994346161,0,0
2.42724E-7,0.00251279,0.00200798,0.987871603,0.001020408,0
3.6982E-7,0.005029525,0.003057796,0.980302754,0.001020408,0
5.80956E-7,0.010002099,0.004799341,0.970545322,0.001020408,0
1.40573E-6,0.025105397,0.011573324,0.956228342,0.002040816,0
2.35132E-6,0.050031443,0.01928297,0.944008754,0.002040816,0
3.95849E-6,0.100070299,0.03224881,0.929509393,0.002040816,0
6.26897E-6,0.200388141,0.050588875,0.911453584,0.003061224,0
8.24682E-6,0.300190323,0.066012207,0.898960423,0.003061224,0
9.69443E-6,0.400394319,0.077141714,0.888747036,0.003061224,0
1.19688E-5,0.501032165,0.094359958,0.880175087,0.003061224,0
1.40731E-5,0.601007498,0.110005032,0.873153383,0.003061224,0
1.59907E-5,0.700545063,0.124026069,0.86713478,0.003061224,0
1.67794E-5,0.751307792,0.129728889,0.864307861,0.005102041,0
1.76509E-5,0.801161311,0.135986359,0.861663323,0.006122449,0
1.89324E-5,0.901675087,0.145107006,0.856647821,0.006122449,0
2.0134E-5,1.00128173,0.153571653,0.851997082,0.006122449,0
2.16638E-5,1.10033828,0.16422643,0.847711107,0.006122449,0
2.29988E-5,1.200678388,0.173415691,0.843607514,0.007142857,0
2.42025E-5,1.300009981,0.181614124,0.839777494,0.007142857,0
2.52142E-5,1.401270069,0.18844118,0.836038665,0.007142857,0
2.59541E-5,1.501098581,0.193398746,0.832482218,0.008163265,0
2.85364E-5,1.752617126,0.210463781,0.82409265,0.009183673,0.004098361
3.04698E-5,2.001658164,0.223004195,0.81643261,0.010204082,0.004098361
3.21077E-5,2.252249264,0.233471638,0.809137334,0.01122449,0.004098361
3.36688E-5,2.502353591,0.243317243,0.802206821,0.012244898,0.008196721
3.52928E-5,2.750842087,0.253425502,0.795641072,0.012244898,0.012295082
3.68163E-5,3.003004158,0.262785038,0.789257706,0.013265306,0.012295082
3.80976E-5,3.250151194,0.270565828,0.783239103,0.014285714,0.012295082
3.90896E-5,3.501195265,0.276533391,0.777311691,0.016326531,0.012295082
4.05613E-5,3.752788859,0.285296781,0.771566661,0.016326531,0.012295082
4.16142E-5,4.003295902,0.291501463,0.766004012,0.020408163,0.012295082
4.23704E-5,4.251265659,0.295924479,0.760623746,0.02244898,0.012295082
4.33485E-5,4.500172915,0.301603703,0.755334671,0.023469388,0.016393443
4.46066E-5,4.750905048,0.308842338,0.750136786,0.023469388,0.016393443
4.53742E-5,5.002829346,0.313221865,0.745030093,0.024489796,0.016393443
4.63221E-5,5.250531344,0.318591414,0.740105782,0.025510204,0.016393443
4.71423E-5,5.503157723,0.32320402,0.73518147,0.02755102,0.020491803
4.79028E-5,5.750273118,0.327453112,0.73043954,0.029591837,0.020491803
4.86152E-5,6.001232202,0.331409015,0.725697611,0.031632653,0.024590164
4.91878E-5,6.25054269,0.334571843,0.721046872,0.034693878,0.028688525
4.98743E-5,6.503242305,0.338343536,0.716396134,0.034693878,0.028688525
5.04604E-5,6.754259785,0.341547303,0.711836586,0.035714286,0.032786885
5.09337E-5,7.002852182,0.344123171,0.707368229,0.037755102,0.032786885
5.15059E-5,7.253733236,0.347223259,0.702899872,0.03877551,0.036885246
5.22415E-5,7.502841096,0.351188006,0.698522707,0.041836735,0.040983607
5.3038E-5,7.750124042,0.35545337,0.694236732,0.041836735,0.045081967
5.35734E-5,8.00061736,0.358304431,0.689950757,0.041836735,0.045081967
5.40423E-5,8.253542255,0.360791402,0.685664782,0.043877551,0.045081967
