Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.59617E-8,0.000001596,0.000059083,1,0,0
3.21465E-8,0.000004811,0.000118988,0.999900843,0,0
2.41569E-7,0.000028968,0.000893807,0.999801686,0,0
2.66287E-7,0.000055596,0.000985218,0.999702529,0,0
2.76887E-7,0.000110287,0.001024417,0.999504214,0,0
5.21809E-7,0.000268279,0.001929696,0.999107586,0,0
6.99096E-7,0.000532933,0.00258447,0.998710957,0,0
7.98217E-7,0.001070932,0.002950368,0.998016857,0,0
9.67735E-7,0.00259143,0.003575818,0.996331185,0,0
1.09577E-6,0.005103425,0.00404794,0.993951413,0,0
1.29106E-6,0.010082761,0.004767669,0.989786812,0,0
1.65249E-6,0.025070589,0.006098305,0.979672781,0,0
2.22234E-6,0.05000289,0.008192608,0.967079822,0,0
2.95357E-6,0.100139463,0.010873553,0.947645017,0,0
3.72977E-6,0.200234078,0.013711483,0.918492811,0,0
4.30623E-6,0.300232023,0.015813825,0.89370352,0,0
4.76078E-6,0.40009925,0.017468408,0.871888944,0,0
5.23605E-6,0.500153825,0.019195447,0.852057511,0,0
5.66586E-6,0.600428374,0.020754707,0.833812593,0,0.047619048
6.03973E-6,0.700052142,0.022108956,0.816955875,0,0.047619048
6.25842E-6,0.750503419,0.02290027,0.808824988,0,0.047619048
6.48073E-6,0.800234326,0.023704014,0.801090729,0,0.047619048
6.92174E-6,0.900456647,0.025296467,0.786316311,0,0.095238095
7.27202E-6,1.000592701,0.02655947,0.772335151,0,0.095238095
7.56402E-6,1.100563345,0.027611091,0.758948934,0.011494253,0.095238095
7.84011E-6,1.200713287,0.028604366,0.746058503,0.011494253,0.142857143
8.06495E-6,1.300175602,0.029412489,0.733663857,0.011494253,0.142857143
8.32194E-6,1.400104072,0.03033537,0.721566683,0.011494253,0.142857143
8.58398E-6,1.500662335,0.03127546,0.709766981,0.011494253,0.142857143
9.3111E-6,1.750930711,0.033879341,0.682002975,0.011494253,0.142857143
1.01301E-5,2.000411189,0.036803883,0.656519584,0.011494253,0.142857143
1.12662E-5,2.250307158,0.040845888,0.633316807,0.011494253,0.142857143
1.26681E-5,2.501087751,0.045810442,0.612493803,0.011494253,0.142857143
1.43947E-5,2.750364867,0.051889668,0.594248884,0.011494253,0.19047619
1.61119E-5,3.000154458,0.05789703,0.57798711,0.022988506,0.19047619
1.75311E-5,3.251172608,0.062833233,0.563212692,0.022988506,0.19047619
1.91231E-5,3.500149784,0.068339751,0.549727318,0.022988506,0.19047619
2.12956E-5,3.750761165,0.075802163,0.537431829,0.022988506,0.19047619
2.3428E-5,4.001852399,0.083068435,0.526326227,0.034482759,0.19047619
2.54186E-5,4.252370078,0.089800254,0.516113039,0.045977011,0.19047619
2.76873E-5,4.500015237,0.097411782,0.506891423,0.045977011,0.238095238
2.97602E-5,4.750537864,0.104311087,0.49826475,0.045977011,0.238095238
3.19785E-5,5.000339566,0.111635758,0.490233019,0.045977011,0.238095238
3.41166E-5,5.25112586,0.118639278,0.482697075,0.045977011,0.285714286
3.5855E-5,5.500281893,0.124292364,0.475656916,0.057471264,0.285714286
3.81215E-5,5.752593154,0.131608627,0.468914229,0.057471264,0.285714286
4.01661E-5,6.002803515,0.138156189,0.462568171,0.057471264,0.333333333
4.19956E-5,6.253198236,0.143973107,0.456519584,0.057471264,0.333333333
4.37095E-5,6.50198825,0.149386753,0.450768468,0.057471264,0.333333333
4.54321E-5,6.752072828,0.154793457,0.445215667,0.057471264,0.333333333
4.67978E-5,7.000193507,0.159055567,0.43986118,0.057471264,0.333333333
4.8283E-5,7.252336301,0.163666195,0.43460585,0.057471264,0.333333333
4.93917E-5,7.501758131,0.167091411,0.429548835,0.057471264,0.333333333
5.03429E-5,7.751285161,0.1700188,0.424590977,0.068965517,0.333333333
5.14284E-5,8.000657466,0.173347295,0.419732276,0.068965517,0.333333333
5.25132E-5,8.250309495,0.176659987,0.414972732,0.068965517,0.333333333
5.34594E-5,8.504604338,0.17953874,0.410213188,0.08045977,0.333333333
5.47284E-5,8.753609659,0.183383839,0.405651958,0.091954023,0.333333333
5.59502E-5,9.003303206,0.187068605,0.401189886,0.091954023,0.333333333
5.70578E-5,9.251693686,0.190394924,0.396826971,0.091954023,0.333333333
5.78118E-5,9.504487054,0.192651297,0.392464056,0.091954023,0.333333333
5.88118E-5,9.755290509,0.195634525,0.388200297,0.091954023,0.333333333
5.98675E-5,10.004490727,0.198771677,0.384035697,0.103448276,0.333333333
6.05331E-5,10.2516189,0.200743372,0.379970253,0.103448276,0.333333333
6.12509E-5,10.501259585,0.20286422,0.375904809,0.103448276,0.333333333
6.21784E-5,10.754197122,0.205596116,0.371839365,0.103448276,0.333333333
6.30386E-5,11.004798284,0.208121636,0.367873079,0.114942529,0.333333333
6.38278E-5,11.252285128,0.210431611,0.364005949,0.126436782,0.333333333
6.48859E-5,11.50366304,0.213518294,0.36013882,0.126436782,0.333333333
6.60708E-5,11.752590548,0.216960101,0.356370848,0.149425287,0.333333333
6.70769E-5,12.005530829,0.219871001,0.352602876,0.149425287,0.333333333
6.82119E-5,12.255891579,0.223141817,0.34893406,0.149425287,0.333333333
6.96132E-5,12.504081201,0.227161114,0.345364403,0.149425287,0.333333333
7.10846E-5,12.750319852,0.231358848,0.341893902,0.149425287,0.333333333
7.23184E-5,13.001174839,0.234861374,0.338423401,0.149425287,0.333333333
7.32494E-5,13.256043131,0.237493742,0.3349529,0.149425287,0.333333333
7.42286E-5,13.507167648,0.240252417,0.331581557,0.149425287,0.333333333
7.53668E-5,13.754028302,0.243446666,0.32830937,0.149425287,0.333333333
7.66688E-5,14.004603124,0.247084245,0.325037184,0.149425287,0.333333333
7.80528E-5,14.251972257,0.250931558,0.321864155,0.149425287,0.333333333
7.93389E-5,14.5038124,0.254489385,0.318691125,0.149425287,0.333333333
8.01434E-5,14.751074414,0.256706216,0.315617253,0.149425287,0.333333333
8.10931E-5,15.001263711,0.259314564,0.312543381,0.149425287,0.333333333
8.19535E-5,15.25386296,0.261669799,0.309469509,0.16091954,0.333333333
8.33278E-5,15.50195421,0.265416349,0.306494794,0.16091954,0.333333333
8.42452E-5,15.753250762,0.26790653,0.303520079,0.16091954,0.333333333
8.50687E-5,16.007280454,0.270134932,0.300545364,0.16091954,0.333333333
8.57946E-5,16.254921279,0.272093325,0.297669807,0.16091954,0.333333333
8.64114E-5,16.504668578,0.273753584,0.294794249,0.16091954,0.333333333
8.75822E-5,16.756823534,0.276894208,0.291918691,0.16091954,0.333333333
8.89719E-5,17.004359848,0.280604412,0.289142291,0.16091954,0.333333333
8.97766E-5,17.254671868,0.282744221,0.28636589,0.16091954,0.333333333
9.05216E-5,17.507207418,0.284719407,0.283589489,0.16091954,0.333333333
9.13366E-5,17.752711335,0.286874114,0.280912246,0.16091954,0.333333333
9.22544E-5,18.000553708,0.289292753,0.278235002,0.16091954,0.333333333
9.31598E-5,18.251106593,0.2916706,0.275557759,0.16091954,0.333333333
9.4055E-5,18.503628045,0.29401404,0.272880516,0.16091954,0.333333333
9.50291E-5,18.75895158,0.296555052,0.270203272,0.16091954,0.333333333
9.60673E-5,19.007428684,0.299253156,0.267625186,0.16091954,0.333333333
9.70971E-5,19.258720795,0.301919429,0.2650471,0.16091954,0.333333333
9.80076E-5,19.502963924,0.304268293,0.262568171,0.172413793,0.333333333
9.90343E-5,19.759172152,0.306907246,0.259990084,0.172413793,0.333333333
9.96632E-5,20.007668631,0.308518832,0.257511155,0.172413793,0.333333333
1.00522E-4,20.25796289,0.310714035,0.255032226,0.172413793,0.333333333
1.01511E-4,20.500361269,0.313231881,0.252652454,0.172413793,0.333333333
1.02126E-4,20.754847561,0.314793048,0.250173525,0.172413793,0.333333333
1.03578E-4,21.001738607,0.318465876,0.247793753,0.172413793,0.333333333
1.05059E-4,21.252123302,0.322192513,0.245413981,0.172413793,0.333333333
1.06331E-4,21.505686347,0.325376063,0.243034209,0.172413793,0.333333333
1.07395E-4,21.751442686,0.328029592,0.240753594,0.172413793,0.333333333
1.08481E-4,22.010614287,0.330725248,0.238373823,0.172413793,0.333333333
1.09206E-4,22.250143163,0.33251878,0.236192365,0.172413793,0.333333333
1.10388E-4,22.502572568,0.335433567,0.23391175,0.172413793,0.380952381
1.11564E-4,22.757889826,0.338320246,0.231631135,0.183908046,0.380952381
1.1248E-4,23.004544327,0.340560258,0.229449678,0.183908046,0.380952381
1.1379E-4,23.253293258,0.343750098,0.22726822,0.183908046,0.380952381
1.15817E-4,23.505761846,0.348654753,0.225086763,0.183908046,0.380952381
1.16964E-4,23.750025436,0.351414603,0.223004462,0.183908046,0.380952381
1.17769E-4,24.008379514,0.353343788,0.220823004,0.183908046,0.380952381
1.19429E-4,24.257227991,0.357306387,0.218740704,0.183908046,0.380952381
1.21376E-4,24.510312488,0.361919879,0.216658404,0.183908046,0.380952381
1.22688E-4,24.754505188,0.365011302,0.21467526,0.195402299,0.380952381
1.23913E-4,25.00110029,0.367884504,0.212692117,0.195402299,0.380952381
1.25195E-4,25.250413346,0.370878601,0.210708974,0.195402299,0.380952381
1.2677E-4,25.502416757,0.374535774,0.20872583,0.195402299,0.428571429
1.28163E-4,25.757230541,0.377750828,0.206742687,0.195402299,0.428571429
1.30197E-4,26.002625124,0.38241841,0.204858701,0.195402299,0.428571429
1.31639E-4,26.251281247,0.385706475,0.202974715,0.195402299,0.428571429
1.33181E-4,26.503115067,0.389204304,0.201090729,0.195402299,0.428571429
1.34587E-4,26.757940327,0.392373468,0.199206743,0.195402299,0.428571429
1.35884E-4,27.001575454,0.395283449,0.197421914,0.195402299,0.428571429
1.37319E-4,27.261101495,0.398487588,0.195537928,0.206896552,0.428571429
1.39262E-4,27.510309805,0.402799463,0.193753099,0.206896552,0.428571429
1.40804E-4,27.762591648,0.406197469,0.19196827,0.206896552,0.428571429
1.41961E-4,28.002999772,0.408734818,0.190282598,0.206896552,0.428571429
