Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.58397E-8,0.000002584,0.000152023,1,0,0
3.90538E-8,0.0000125,0.000229756,0.999701344,0,0
6.34967E-8,0.000027557,0.000373528,0.999402688,0,0
1.06096E-7,0.000060409,0.000624048,0.99900448,0,0
1.40746E-7,0.000109253,0.00082777,0.998606272,0,0
1.60711E-7,0.000261702,0.000945137,0.997610752,0,0
1.91633E-7,0.000508033,0.001126881,0.996217023,0,0
2.50588E-7,0.001017718,0.001473308,0.993927327,0,0
3.90133E-7,0.002530464,0.002292811,0.989248382,0,0
5.81834E-7,0.005045792,0.003417508,0.984071677,0,0
1.17042E-6,0.010093729,0.006862769,0.977899452,0,0
2.27484E-6,0.025066024,0.013295363,0.969238427,0,0
3.51502E-6,0.050094334,0.020469047,0.960676954,0,0
5.38076E-6,0.100443815,0.031163065,0.949427576,0,0
7.90827E-6,0.200194417,0.04546428,0.934693878,0,0
9.20468E-6,0.300631461,0.052717513,0.923046292,0,0
1.06176E-5,0.400275223,0.060560147,0.91309109,0,0
1.18243E-5,0.501009701,0.067206199,0.904131409,0,0
1.29009E-5,0.600971108,0.07309645,0.896067695,0,0
1.40659E-5,0.700623052,0.079427799,0.888700846,0,0
1.46811E-5,0.750916166,0.082754179,0.885216526,0,0
1.51096E-5,0.800097515,0.085063728,0.881931309,0,0
1.59177E-5,0.901038152,0.089403417,0.875460428,0,0
1.67159E-5,1.000556534,0.093670125,0.869387755,0,0
1.76117E-5,1.101696951,0.098434817,0.863514186,0,0
1.835E-5,1.200668146,0.102342528,0.858038825,0,0
1.91809E-5,1.30032717,0.106720048,0.852762568,0,0
1.99917E-5,1.400162025,0.110971683,0.847685416,0,0
2.08427E-5,1.500080518,0.115411813,0.842807367,0,0
2.26323E-5,1.750657591,0.124677351,0.831358885,0,0
2.43792E-5,2.001989784,0.13362817,0.820706819,0,0
2.60297E-5,2.251652527,0.142000849,0.81085117,0,0
