Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.94427E-9,0.000000394,0.000028198,1,0,0
8.45421E-9,0.00000124,0.000060438,0.999904671,0,0
3.08118E-8,0.000004321,0.000220253,0.999809342,0,0
4.08944E-8,0.000012305,0.000292315,0.999618684,0,0
7.65608E-8,0.000028888,0.000547191,0.999332698,0,0
1.44514E-7,0.000051556,0.001032614,0.99914204,0,0
2.11469E-7,0.000119144,0.001510673,0.998760724,0,0
3.2677E-7,0.000257461,0.002333384,0.99828408,0,0
4.90442E-7,0.000544119,0.003500084,0.997616778,0,0
5.82992E-7,0.001033658,0.004159199,0.996758818,0,0
7.48116E-7,0.002544779,0.005334081,0.994566254,0,0
1.00476E-6,0.005024224,0.007157401,0.991897045,0,0
1.42213E-6,0.010009801,0.010115444,0.987988561,0,0
2.13816E-6,0.025213021,0.015169661,0.979885605,0,0
3.50979E-6,0.050232854,0.024779654,0.971306006,0.002012072,0
5.39512E-6,0.10004086,0.037835905,0.9607245,0.002012072,0
7.94713E-6,0.200464224,0.05523102,0.946234509,0.002012072,0
9.86704E-6,0.300207324,0.068109998,0.935557674,0.002012072,0
1.12316E-5,0.400897786,0.077156492,0.92650143,0.002012072,0
1.23231E-5,0.501073392,0.084329741,0.918398475,0.002012072,0
1.34909E-5,0.600272541,0.091943044,0.911058151,0.004024145,0
1.44007E-5,0.70109925,0.09782973,0.904194471,0.004024145,0
1.47693E-5,0.750722709,0.100203871,0.900953289,0.004024145,0
1.5256E-5,0.800283548,0.103329659,0.897807436,0.006036217,0
1.62043E-5,0.901058737,0.109387831,0.891706387,0.00804829,0
1.68954E-5,1.000290868,0.113777528,0.885986654,0.00804829,0.008064516
1.7654E-5,1.100494869,0.11857069,0.880457579,0.00804829,0.008064516
1.82578E-5,1.201222836,0.122366909,0.875119161,0.00804829,0.008064516
1.89925E-5,1.300080439,0.126964862,0.87006673,0.00804829,0.008064516
1.98367E-5,1.401212121,0.132217737,0.865109628,0.010060362,0.008064516
2.03968E-5,1.501568406,0.135685698,0.860343184,0.010060362,0.008064516
2.21692E-5,1.751154439,0.146568214,0.849189704,0.012072435,0.008064516
2.33948E-5,2.002189647,0.154013772,0.838703527,0.016096579,0.008064516
2.46825E-5,2.251620383,0.161765521,0.828789323,0.018108652,0.008064516
2.59574E-5,2.500173918,0.169371102,0.819447092,0.020120724,0.024193548
2.69377E-5,2.751359233,0.175172076,0.810390848,0.020120724,0.024193548
2.80587E-5,3.0015678,0.181756035,0.80171592,0.022132797,0.024193548
2.9131E-5,3.250596132,0.188004504,0.793422307,0.022132797,0.024193548
3.02384E-5,3.500001574,0.194407473,0.785414681,0.022132797,0.032258065
3.11919E-5,3.751972766,0.199880304,0.777597712,0.022132797,0.032258065
3.20743E-5,4.001841632,0.204911929,0.77006673,0.024144869,0.032258065
3.30402E-5,4.252689982,0.210383234,0.762726406,0.024144869,0.032258065
3.40804E-5,4.501285019,0.216233403,0.755672069,0.024144869,0.032258065
3.50415E-5,4.750532704,0.221600249,0.748808389,0.028169014,0.040322581
3.58085E-5,5.002283212,0.225857103,0.742040038,0.030181087,0.048387097
3.65093E-5,5.25191291,0.229725827,0.735462345,0.034205231,0.048387097
3.7318E-5,5.502834423,0.234166425,0.728979981,0.036217304,0.048387097
3.80582E-5,5.751704755,0.238208436,0.722688275,0.038229376,0.048387097
3.87536E-5,6.001188415,0.241986075,0.716491897,0.044265594,0.048387097
3.94657E-5,6.25160282,0.245834948,0.710390848,0.044265594,0.056451613
4.01477E-5,6.502302762,0.249503145,0.704385129,0.046277666,0.056451613
4.08095E-5,6.753092622,0.253045855,0.698474738,0.050301811,0.056451613
4.15273E-5,7.004047328,0.256869042,0.692659676,0.052313883,0.056451613
4.21705E-5,7.251141513,0.260278145,0.687035272,0.054325956,0.056451613
4.27262E-5,7.501561951,0.263211487,0.681410867,0.060362173,0.056451613
4.34542E-5,7.751353955,0.267035918,0.675881792,0.06639839,0.064516129
4.40201E-5,8.000795365,0.269995383,0.670448046,0.068410463,0.072580645
4.48199E-5,8.254005187,0.274157198,0.665014299,0.072434608,0.080645161
4.54042E-5,8.502049174,0.277183021,0.659771211,0.072434608,0.080645161
