Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.22796E-9,0.000000823,0.000042905,1,0,0
1.62351E-8,0.000002446,0.000084657,0.99990171,0,0
4.95092E-8,0.000007397,0.000258141,0.99980342,0,0
7.70289E-8,0.0000151,0.000401599,0.999705131,0,0
8.01132E-8,0.00003104,0.000417676,0.999508551,0,0
1.28825E-7,0.000052514,0.000671553,0.999311972,0,0
3.02714E-7,0.000101939,0.00157731,0.999115392,0,0
4.01941E-7,0.000251123,0.002093793,0.998722233,0,0
7.55576E-7,0.000543767,0.003932326,0.998230784,0,0
9.41027E-7,0.001063764,0.004895122,0.997641046,0,0
1.22812E-6,0.00252857,0.006383782,0.996363279,0,0
1.35799E-6,0.005123126,0.007056454,0.994397484,0,0
1.65127E-6,0.010099116,0.008573882,0.991153922,0,0
2.1103E-6,0.025019103,0.010944207,0.983389031,0,0
3.31053E-6,0.050056789,0.017115141,0.974051504,0,0
5.55121E-6,0.100259153,0.028532746,0.963043051,0,0
7.99571E-6,0.200798838,0.040837668,0.948496167,0,0
9.57178E-6,0.300325012,0.048688445,0.937389424,0,0
1.06337E-5,0.401060296,0.053941745,0.927560448,0,0
1.14903E-5,0.500731099,0.058158406,0.91871437,0,0
1.22849E-5,0.600432728,0.062052964,0.91045803,0,0
1.2992E-5,0.70041768,0.065505196,0.902693139,0,0
1.33079E-5,0.750395365,0.067043254,0.898958129,0,0.023255814
1.37174E-5,0.800460287,0.069033246,0.895321408,0,0.023255814
1.43602E-5,0.900167573,0.072148551,0.888342835,0,0.023255814
1.50879E-5,1.000393845,0.075662627,0.881659131,0,0.023255814
1.58601E-5,1.10066241,0.079377345,0.875270297,0.005681818,0.023255814
1.64639E-5,1.201001858,0.082271718,0.869176332,0.005681818,0.023255814
1.71032E-5,1.300019991,0.085326167,0.863377236,0.005681818,0.023255814
1.76918E-5,1.400921807,0.088128912,0.85767643,0.005681818,0.046511628
1.81357E-5,1.501222494,0.090237587,0.852172204,0.005681818,0.046511628
1.94922E-5,1.751457722,0.096650298,0.839099666,0.005681818,0.046511628
2.04952E-5,2.001091334,0.101362621,0.826813446,0.011363636,0.046511628
2.15555E-5,2.251679529,0.10631753,0.815116965,0.011363636,0.046511628
2.26002E-5,2.501748176,0.111172676,0.804010222,0.017045455,0.046511628
2.36301E-5,2.750973677,0.115933765,0.793394928,0.017045455,0.046511628
2.47671E-5,3.000899383,0.121159676,0.783271083,0.022727273,0.069767442
2.57921E-5,3.251483031,0.125844741,0.773540397,0.022727273,0.069767442
2.65472E-5,3.500269431,0.12927992,0.76420287,0.028409091,0.093023256
2.75632E-5,3.752405774,0.133881135,0.755061923,0.034090909,0.093023256
2.86086E-5,4.002449518,0.138589685,0.746314134,0.034090909,0.093023256
2.96044E-5,4.250129347,0.143051027,0.737959505,0.039772727,0.093023256
3.04153E-5,4.502067025,0.146667231,0.729703165,0.045454545,0.093023256
3.11648E-5,4.751242099,0.149995963,0.721741695,0.045454545,0.093023256
3.20752E-5,5.001386791,0.154021575,0.713976804,0.051136364,0.093023256
3.30048E-5,5.25217274,0.158112583,0.706408492,0.068181818,0.093023256
3.37913E-5,5.502967511,0.161558637,0.69903676,0.068181818,0.093023256
3.43423E-5,5.751830224,0.163963994,0.691861608,0.079545455,0.093023256
3.50029E-5,6.001386933,0.166838986,0.684784745,0.079545455,0.093023256
3.5623E-5,6.25201885,0.169528875,0.677806173,0.090909091,0.093023256
3.62554E-5,6.503511232,0.172263182,0.67092589,0.090909091,0.11627907
3.67871E-5,6.751962459,0.174555068,0.664242186,0.096590909,0.11627907
3.74502E-5,7.000512479,0.177404137,0.657656772,0.107954545,0.139534884
3.8206E-5,7.25003765,0.180639819,0.651169648,0.107954545,0.162790698
3.90391E-5,7.50118932,0.18419167,0.644780814,0.107954545,0.162790698
3.97457E-5,7.75332553,0.187192163,0.638490269,0.125,0.162790698
4.05232E-5,8.001915282,0.190481007,0.632396304,0.125,0.186046512
4.11342E-5,8.251232326,0.193055979,0.626400629,0.130681818,0.186046512
4.21383E-5,8.501222202,0.197270115,0.620503244,0.130681818,0.186046512
4.31998E-5,8.75265996,0.201701324,0.614704148,0.130681818,0.186046512
4.39062E-5,9.000959853,0.20463657,0.609101632,0.130681818,0.186046512
4.45318E-5,9.253029054,0.207227,0.603499115,0.130681818,0.209302326
4.53367E-5,9.500403027,0.210547844,0.598093179,0.130681818,0.209302326
4.60519E-5,9.752011136,0.213486458,0.592687242,0.130681818,0.209302326
4.69028E-5,10.002945539,0.2169685,0.587379595,0.136363636,0.209302326
4.7463E-5,10.25319803,0.219252902,0.582170238,0.142045455,0.23255814
4.82175E-5,10.502328359,0.222318488,0.57705917,0.147727273,0.255813953
4.8966E-5,10.750372435,0.225347833,0.572046393,0.147727273,0.255813953
4.95968E-5,11.001622323,0.227891999,0.567033615,0.147727273,0.255813953
5.03436E-5,11.251373766,0.230892839,0.562119127,0.147727273,0.279069767
5.09915E-5,11.504736451,0.233487224,0.557204639,0.159090909,0.279069767
5.14686E-5,11.750706083,0.235391627,0.552486731,0.159090909,0.279069767
5.21619E-5,12.004891084,0.238151203,0.547670533,0.159090909,0.279069767
5.27852E-5,12.251520175,0.240623284,0.543050914,0.159090909,0.279069767
5.33535E-5,12.500839431,0.242870229,0.538431295,0.164772727,0.279069767
5.4111E-5,12.753384986,0.245855389,0.533811677,0.164772727,0.279069767
5.47104E-5,13.003607662,0.248208711,0.529290348,0.170454545,0.279069767
5.54058E-5,13.251267909,0.250929903,0.524867309,0.170454545,0.302325581
5.60793E-5,13.501929032,0.253556121,0.52044427,0.176136364,0.302325581
5.66853E-5,13.755506599,0.255911466,0.516021231,0.181818182,0.302325581
5.71838E-5,14.000196964,0.25784297,0.511794771,0.1875,0.302325581
5.77465E-5,14.253066733,0.260017694,0.507470022,0.193181818,0.325581395
5.83509E-5,14.502726846,0.262346066,0.503243562,0.193181818,0.325581395
5.89188E-5,14.755014889,0.264527383,0.499017102,0.193181818,0.348837209
5.95488E-5,15.003766775,0.266939595,0.494888933,0.198863636,0.348837209
6.01492E-5,15.255002544,0.26923104,0.490760763,0.198863636,0.348837209
6.06807E-5,15.502749767,0.271253814,0.486730883,0.204545455,0.348837209
6.12387E-5,15.752681222,0.273371095,0.482701003,0.204545455,0.348837209
6.19599E-5,16.005273449,0.276098868,0.478671122,0.204545455,0.348837209
6.25343E-5,16.254122146,0.278263925,0.474739532,0.204545455,0.348837209
6.31683E-5,16.505829183,0.280646111,0.470807942,0.204545455,0.348837209
6.37579E-5,16.753359797,0.282854417,0.466974641,0.204545455,0.348837209
6.46106E-5,17.003438346,0.286036192,0.463141341,0.210227273,0.348837209
6.52095E-5,17.250015426,0.28826241,0.45940633,0.210227273,0.348837209
6.56965E-5,17.50526077,0.290067613,0.455573029,0.215909091,0.348837209
6.62231E-5,17.755823148,0.292014393,0.451838018,0.215909091,0.348837209
6.66423E-5,18.00154779,0.293560344,0.448201297,0.215909091,0.348837209
6.71675E-5,18.255740253,0.295492519,0.444466287,0.215909091,0.348837209
6.77752E-5,18.505492421,0.297721451,0.440829566,0.215909091,0.348837209
6.83024E-5,18.750503612,0.299649544,0.437291134,0.215909091,0.348837209
6.88643E-5,19.004293474,0.301698667,0.433654413,0.232954545,0.348837209
6.94431E-5,19.25312093,0.303803196,0.430115982,0.238636364,0.348837209
7.01216E-5,19.504370537,0.306261867,0.426577551,0.238636364,0.372093023
7.0646E-5,19.750790695,0.308156331,0.423137409,0.244318182,0.395348837
7.13314E-5,20.006449666,0.310624802,0.419598978,0.244318182,0.395348837
7.20306E-5,20.250178068,0.313133645,0.416257126,0.244318182,0.395348837
7.26104E-5,20.503371594,0.315207304,0.412816984,0.244318182,0.395348837
7.31799E-5,20.751244143,0.317237787,0.409475133,0.244318182,0.395348837
7.36612E-5,21.000859014,0.318949242,0.406133281,0.244318182,0.395348837
7.41505E-5,21.252178876,0.320685093,0.402791429,0.244318182,0.418604651
7.47742E-5,21.505477185,0.322890586,0.399449577,0.244318182,0.418604651
7.53418E-5,21.753098131,0.324892006,0.396206015,0.244318182,0.441860465
7.58945E-5,22.002575407,0.32683502,0.392962453,0.244318182,0.441860465
7.63003E-5,22.253766405,0.328257997,0.389718891,0.25,0.441860465
7.66217E-5,22.506068707,0.329382883,0.386475329,0.25,0.441860465
7.70416E-5,22.751867009,0.330849577,0.383330057,0.255681818,0.441860465
7.74324E-5,23.006747123,0.33221175,0.380086495,0.261363636,0.441860465
7.79622E-5,23.255342397,0.334054125,0.376941223,0.261363636,0.441860465
7.8559E-5,23.50581556,0.336123632,0.37379595,0.267045455,0.441860465
7.89907E-5,23.757737048,0.33761629,0.370650678,0.272727273,0.441860465
7.95196E-5,24.003334362,0.339440761,0.367603696,0.272727273,0.441860465
8.02454E-5,24.250937626,0.341936002,0.364556713,0.272727273,0.441860465
8.08394E-5,24.500459389,0.343971199,0.361509731,0.272727273,0.441860465
8.13164E-5,24.751651464,0.345600905,0.358462748,0.272727273,0.441860465
8.17373E-5,25.004406586,0.347035731,0.355415766,0.278409091,0.441860465
8.22049E-5,25.250376678,0.348626031,0.352467073,0.278409091,0.441860465
8.2709E-5,25.50603403,0.350336004,0.34942009,0.278409091,0.441860465
8.35927E-5,25.755707261,0.353322824,0.346471398,0.278409091,0.441860465
8.41915E-5,26.007439275,0.355338938,0.343522705,0.278409091,0.441860465
8.46682E-5,26.252204743,0.356939398,0.340672302,0.278409091,0.441860465
8.52048E-5,26.507015936,0.358736377,0.337723609,0.278409091,0.441860465
8.57056E-5,26.754895212,0.360408875,0.334873206,0.284090909,0.441860465
8.64056E-5,27.004446281,0.36273947,0.332022803,0.284090909,0.441860465
8.69957E-5,27.255862531,0.364697367,0.3291724,0.289772727,0.441860465
8.77851E-5,27.500624888,0.367307054,0.326420287,0.295454545,0.441860465
8.85232E-5,27.756075115,0.369737653,0.323569884,0.295454545,0.441860465
8.92368E-5,28.00514423,0.372078755,0.320817771,0.295454545,0.441860465
8.97056E-5,28.255809221,0.373611866,0.318065658,0.295454545,0.441860465
9.03284E-5,28.507774587,0.375642756,0.315313544,0.295454545,0.441860465
9.09053E-5,28.752452516,0.377518083,0.312659721,0.295454545,0.441860465
9.15176E-5,29.007856791,0.379502496,0.309907608,0.301136364,0.465116279
9.21173E-5,29.255852346,0.381440136,0.307253784,0.306818182,0.465116279
9.28728E-5,29.505695764,0.383872136,0.304599961,0.306818182,0.465116279
9.35365E-5,29.757442602,0.386000817,0.301946137,0.306818182,0.465116279
9.42044E-5,30.001542071,0.388135779,0.299390603,0.306818182,0.465116279
9.48937E-5,30.25686665,0.390331136,0.29673678,0.306818182,0.465116279
9.56586E-5,30.504628351,0.392758122,0.294181246,0.3125,0.488372093
9.64576E-5,30.7543609,0.395282631,0.291625713,0.3125,0.488372093
9.69161E-5,31.005740753,0.396726878,0.289070179,0.323863636,0.488372093
9.75949E-5,31.258635586,0.398858401,0.286514645,0.323863636,0.488372093
9.84542E-5,31.503846808,0.401546261,0.284057401,0.323863636,0.488372093
9.89893E-5,31.750695474,0.403213904,0.281600157,0.323863636,0.488372093
9.95324E-5,32.008802116,0.404901631,0.279044624,0.323863636,0.488372093
1.00187E-4,32.258422869,0.406929146,0.27658738,0.323863636,0.488372093
1.00941E-4,32.509908026,0.409255646,0.274130136,0.323863636,0.488372093
1.01365E-4,32.752718781,0.410560273,0.271771181,0.323863636,0.488372093
1.01911E-4,33.006865786,0.41223785,0.269313937,0.323863636,0.488372093
1.02657E-4,33.252469643,0.41451922,0.266954983,0.323863636,0.488372093
1.03396E-4,33.509810947,0.416772555,0.264497739,0.323863636,0.488372093
1.0395E-4,33.758647848,0.41845374,0.262138785,0.323863636,0.488372093
1.04501E-4,34.008775965,0.420121409,0.259779831,0.323863636,0.488372093
1.05067E-4,34.260193913,0.421831033,0.257420877,0.329545455,0.488372093
1.0557E-4,34.502407118,0.423346425,0.255160212,0.329545455,0.488372093
1.06325E-4,34.756625292,0.425612953,0.252801258,0.329545455,0.511627907
1.07045E-4,35.002069085,0.427765492,0.250540594,0.329545455,0.511627907
1.0769E-4,35.259799128,0.429686734,0.248181639,0.329545455,0.534883721
1.08329E-4,35.508283561,0.431582522,0.245920975,0.329545455,0.534883721
1.08858E-4,35.758118039,0.433149897,0.243660311,0.335227273,0.534883721
1.09538E-4,36.009133303,0.435155538,0.241399646,0.335227273,0.534883721
1.10136E-4,36.250822022,0.436914179,0.239237271,0.340909091,0.534883721
1.10835E-4,36.505112516,0.438962555,0.236976607,0.340909091,0.534883721
1.1153E-4,36.760894056,0.440991406,0.234715943,0.340909091,0.534883721
1.12062E-4,37.006805132,0.442540263,0.232553568,0.340909091,0.534883721
1.12711E-4,37.254205748,0.444424318,0.230391193,0.340909091,0.534883721
1.13263E-4,37.502758325,0.44602194,0.228228819,0.340909091,0.558139535
1.14003E-4,37.752872631,0.448153705,0.226066444,0.340909091,0.558139535
1.14399E-4,38.004173045,0.449292554,0.223904069,0.352272727,0.558139535
1.15017E-4,38.256475631,0.451066527,0.221741695,0.352272727,0.558139535
1.15642E-4,38.510282558,0.452850653,0.21957932,0.352272727,0.558139535
1.16495E-4,38.754090561,0.455280116,0.217515235,0.352272727,0.558139535
1.17504E-4,39.011624144,0.458138691,0.21535286,0.352272727,0.558139535
1.18178E-4,39.259070018,0.460038831,0.213288775,0.352272727,0.558139535
1.18961E-4,39.507919123,0.462238236,0.21122469,0.352272727,0.558139535
1.19716E-4,39.758623448,0.464353276,0.209160605,0.352272727,0.558139535
1.2064E-4,40.011030228,0.466926466,0.207096521,0.352272727,0.558139535
1.21111E-4,40.252753876,0.468234454,0.205130725,0.352272727,0.558139535
1.21816E-4,40.507749771,0.470187224,0.20306664,0.357954545,0.558139535
