X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-1603368.0217427572,-4390971.468773477,train,1.7206226028595846E-4,54.34904373946518,0.5923097319521207
-378300.36514750536,-3851575.251748004,train,1.1400884201065067E-4,37.75657995346239,0.4481716520781934
-8239497.643919865,-4658938.420339374,train,4.515587160542188E-4,76.00756765386046,0.9050807478913645
-8301298.513816467,-4667186.638002485,train,1.045810848211925E-4,34.04434974841019,0.42036438478438765
-8321169.042923066,-4289213.127610478,train,6.157907258571052E-4,80.75136559662725,0.9596895327641614
-8322987.262014819,-4654437.935213546,train,7.694019325208705E-5,22.692506193452623,0.3304956077796789
-8340575.7415601555,-4814376.8516836595,train,3.912160976096082E-5,7.530631293417305,0.18454268574131039
1.6695474590193585E7,-5834669.037763182,train,2.096908351500117E-4,59.860885874046154,0.664947505702559
371621.195699909,-3877980.08124909,train,1.5280236181457375E-4,50.26212143016583,0.549236995332526
919869.6878567812,-4222209.630521135,train,2.764280113492653E-4,66.18932949006533,0.7634226985169612
-333958.4723798207,-4838471.398061137,train,1.2815418743429045E-4,42.41511116517279,0.48741130689254064
1304107.8346431998,-3623894.8769222354,train,5.540928374181556E-4,79.15024962877722,0.9443909941185662
-8293840.107933316,-4815676.4494802365,train,7.012157423813163E-5,19.504360997340008,0.3062618672094014
0.0,-4139372.7622473035,train,1.4037495312313074E-4,46.78576102011916,0.5190580765176792
1.9475122275301624E7,-5673814.72711586,train,1.0849643990230322E-4,35.587361558331374,0.43207896841744176
5004646.0073385965,-3740670.113582095,train,3.0269020393304774E-4,68.46597158690393,0.793701035864085
1.6695140631721204E7,-6482896.336468956,train,6.887508868646874E-5,19.008931555215614,0.30173787663077956
1.6705715983346565E7,-6621123.724546006,train,5.579380204006678E-5,13.395673294433452,0.2524440646893441
9381283.10736694,-8296298.427546375,train,2.6176045195200316E-5,3.3779832864776638,0.12759314038515301
-2275515.1071525426,-5376462.746412143,train,1.424160583433998E-4,47.44016745989705,0.524149925152819
-2326577.3575794175,-5515800.591478463,train,1.0993826024124857E-4,36.170903177538456,0.4363329355367189
-2397343.1578767016,-4613221.698404452,train,2.4453972615355536E-4,63.05557977807654,0.7206230830720217
-2433911.6106022918,-4521372.279439185,train,2.4379043384853449E-4,63.005241218582874,0.7195293352948402
-2530659.3800507262,-4235481.449327371,train,1.8710719206070208E-4,56.88304211525699,0.6230722905725247
-2533241.9922371297,-4801342.234133373,train,2.1658269295078792E-4,60.618690982311485,0.676775066459302
-2612089.587566006,-5058912.4098368855,train,1.3660412286526884E-4,45.48789708486516,0.5095074212153794
-4787662.055884347,-7080958.259783196,train,2.923040823834892E-5,4.157108443632709,0.14137831783088983
-6003270.895346895,-4684083.425871969,train,0.0010330992142340086,89.46627456008899,0.995425552148679
134128.85445681534,-9612088.729847642,train,5.950547324483059E-5,14.986659454265634,0.26677398282888043
1702820.854817468,-3668609.399506063,train,0.0011873194302230953,90.44351092615767,0.9979531975427813
1976477.5590345722,-4111903.8405550504,train,7.482131039202286E-4,84.0892925989802,0.9797921236164797
2015072.0264926003,-4251106.64807969,train,8.144672225651315E-4,85.99396899079024,0.9856954277369128
2424983.787440671,-4407146.178717437,train,8.189716156202257E-4,86.07774691425192,0.9860275111926412
345079.2895100687,-9443667.981558712,train,6.390921848858764E-5,16.797738251395298,0.28341997418638865
363090.78312042035,-3516768.187186372,train,1.7155671331323046E-4,54.2196098299843,0.5912335366461581
3516950.06847913,-5311180.86327809,train,6.866517237757282E-5,18.91435474501587,0.3009731098079198
4030511.407304818,-5924374.459667663,train,3.121943163066716E-5,4.766252877148831,0.15023799850600839
4549438.345586742,-6989548.724987384,train,9.186225134160415E-5,29.150381387869462,0.3806167971619574
641011.0238349072,-6450739.2352509415,train,4.611911349301775E-5,9.771832710502238,0.21376209889011955
7482784.851633055,-9408251.143828172,train,5.736115623839038E-5,14.079898458637434,0.25852911134120915
8348961.809495518,-9569603.113292381,train,9.683115319778757E-5,30.95916732954748,0.3964596031641301
8348961.809495518,-1.0260472604369104E7,train,1.695432180827175E-4,53.816727863710575,0.5869189967125117
8348961.809495518,-1.0116680739456367E7,train,1.7862111660304282E-4,55.75888102716695,0.606017897994362
990743.4680601348,-5269727.365393769,train,4.6999994972880096E-5,10.04636446808947,0.21736540387265113
8971794.360483883,-8722382.793909911,train,2.2370686293400894E-5,2.446809741925918,0.11010846900907334
5008047.4367187,-4411693.698112656,train,9.562912942197318E-5,30.495082422719992,0.39266463726194767
-1469049.9241515934,-3578480.4946718304,train,2.8183483449832343E-4,66.81765002668503,0.7699997895888475
-1817847.2846541572,-3617635.0434375796,train,2.8710799944586595E-4,67.31414426300228,0.7762381268856949
-3239207.9389499123,-3677260.338766816,train,2.2743046890368572E-4,61.43925601201626,0.6945515816945318
-5182556.817524407,-3508691.1741855633,train,4.997281590128002E-4,77.33033833260384,0.9261645546205487
-5359899.898307171,-3709059.945690586,train,4.955528471345225E-4,77.1772151019878,0.9245393166199444
-5653004.117565859,-4146436.8729263023,train,7.626218989905983E-4,84.5310670692039,0.9812548440870182
1725452.1072957402,-3712617.281409044,train,0.0011022138204746879,89.82482501893914,0.9968098233644412
-1454912.3488208475,-5435626.516809772,train,8.662878493315633E-5,27.099535789474267,0.3634805738214878
-1716913.9023518963,-6012288.746426601,train,4.1017437394850737E-5,8.203587632766688,0.19256466918069493
-1964421.6581816608,-5475005.169899478,train,7.616084036135383E-5,22.1674406144326,0.32776916094559294
-2021929.307125466,-4831887.718454657,train,1.465918237463516E-4,48.63399935813723,0.5343996695513556
-2380756.553748504,-6311109.572744328,train,2.6651976737736464E-5,3.5262714226184473,0.1297556169171611
-2706922.6617727955,-6544081.074803381,train,3.929351522162014E-5,7.5919723510580415,0.1852733584978029
-3743863.7185121393,-7211509.576469945,train,2.00362428159812E-5,1.8868628797627496,0.09920930520599625
-451033.1808471066,-5309401.115643754,train,9.686397012217095E-5,30.977159725681407,0.3965628778097078
-4612155.746699672,-3806167.598118513,train,1.8677646895764658E-4,56.80553222183289,0.6224216759791688
-4872086.757701966,-7072837.766548255,train,3.233872835668476E-5,5.072481034781839,0.15518340930621466
-5353543.555382875,-7129575.203246148,train,3.2185471331250895E-5,5.031135608185078,0.15450797513118986
-5376174.807861147,-7373454.098986396,train,3.291770329384576E-5,5.228675934806728,0.15773020093144796
-5824235.7583040735,-4619209.3604996735,train,7.509190590795093E-4,84.29189798045103,0.9800752676648788
-5959678.182752249,-4488146.255696743,train,0.0010038576271326517,89.01121548274071,0.9946720253899672
-6253372.395312143,-6069000.062713835,train,5.656040051229659E-5,13.703243054096736,0.2554264965263253
-6578425.308428502,-6988936.685974683,train,3.541474655418262E-4,71.88723806771434,0.8422527812878431
-670332.5777098555,-5266411.222315617,train,1.1409145398826223E-4,37.809005267035985,0.4484093252355792
-6855054.243049786,-6974724.742934108,train,1.7487738732455374E-4,54.9360257965976,0.5982508910653498
-947885.4641047246,-3503091.6152265742,train,2.1288617107195388E-4,60.176917540587446,0.6704841014240908
142856.30253500797,-6826170.600369948,train,3.0397309366961133E-5,4.496477533923958,0.1465871683240989
1951798.0279257037,-4155849.229442185,train,7.620757731630834E-4,84.51916051332658,0.9812013843302994
2634564.992757167,-4622749.83280954,train,4.408543277211754E-4,75.77793753218747,0.8996317038255008
2848476.526265522,-4922786.255126997,train,1.6855151943206148E-4,53.66538911118234,0.5847772651709877
3177804.107828343,-5111510.0724307485,train,8.552595482538249E-5,26.665976849737458,0.35980947294787424
4998430.669473703,-3851135.6816570535,train,2.86232630717336E-4,67.25328076745748,0.7752143734534563
5098803.742930176,-3525891.390342663,train,2.778233542634143E-4,66.32828392865646,0.7651378465830774
-2199673.138075086,-3690482.5797451627,train,2.6376080428954993E-4,64.75131218724272,0.7472678358349969
-5332058.893659772,-4435341.827233829,train,4.5952169584356534E-4,76.23591489875423,0.9089414908565432
-8216862.680049769,-4291728.203659709,train,0.0011700569086319128,90.31760114437142,0.9977604003659154
-8255212.244628051,-4601176.876258995,train,5.223901830327575E-4,78.07792278053002,0.9343942084718511
-8258588.936590911,-4366399.049073197,train,0.0010008743629956148,88.96156297090894,0.9945884914459092
-8284507.824326213,-4441138.544289383,train,6.272626413121213E-4,81.1463037163837,0.9620302823063386
5565.974539663679,-4845711.31208596,train,1.2505544597308285E-4,41.31184516287864,0.4790611505920862
5565.974539663679,-4860207.217369193,train,1.2361326268771648E-4,40.91835361326796,0.47512865777872726
0.0,-4483017.169908079,train,1.681444626053856E-4,53.60632787193998,0.5838949498261965
0.0,-4838471.398061137,train,1.269623643588806E-4,41.97229992039658,0.48421566780164105
1.6692914241905339E7,-4957157.731642087,train,5.498672161214812E-4,78.9828186502209,0.9431520377050312
1.6694584034267237E7,-6854384.054106876,train,6.864929755806442E-5,18.907184664481413,0.3009152406307539
1.6697033063064689E7,-4580867.40145149,train,8.027692036570479E-4,85.53322833371305,0.9847956661618483
1.6699036813898966E7,-5200982.038474304,train,3.18744337985172E-4,69.42574709110043,0.8102685935145048
