Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.56664E-7,0.000015666,0.000224352,1,0,0
2.24522E-7,0.000038119,0.000321513,0.99990101,0,0
2.26681E-7,0.000060787,0.000324604,0.999802019,0,0
2.31966E-7,0.000106999,0.00033217,0.999604039,0,0
2.74536E-7,0.000260575,0.000393118,0.999010097,0,0
3.18771E-7,0.000505441,0.000456446,0.998218175,0,0
4.11694E-7,0.001007257,0.000589461,0.996931301,0,0
4.64599E-7,0.002501898,0.000665185,0.993565631,0,0
5.07779E-7,0.005037339,0.000726986,0.988418135,0,0
5.56976E-7,0.010044087,0.000797392,0.979113047,0,0
6.8118E-7,0.025068081,0.000975122,0.955157395,0,0
8.72296E-7,0.050034683,0.001248538,0.923084538,0,0
1.18078E-6,0.100114399,0.001689707,0.874777272,0,0
1.83602E-6,0.200135615,0.002626124,0.807265888,0,0.08
2.79465E-6,0.300158213,0.003994542,0.764205108,0,0.08
3.7763E-6,0.400301954,0.005393882,0.734211047,0,0.08
4.66659E-6,0.500071834,0.006661291,0.710750346,0,0.08
5.4162E-6,0.600404364,0.007727175,0.691150267,0,0.08
5.92957E-6,0.700130014,0.008456481,0.673727975,0,0.08
6.10754E-6,0.750139075,0.008709184,0.66551178,0,0.08
6.2968E-6,0.800431191,0.008977851,0.657493566,0,0.08
6.62538E-6,0.900212422,0.009444104,0.64224906,0,0.08
6.93284E-6,1.000415821,0.009880197,0.627598495,0,0.08
7.23763E-6,1.100476744,0.010312322,0.613640863,0,0.08
7.5078E-6,1.200062268,0.010695197,0.600277173,0,0.08
7.81315E-6,1.300514489,0.011127754,0.587309444,0,0.08
8.05316E-6,1.400461452,0.011467616,0.574836666,0.009615385,0.08
8.25441E-6,1.500825391,0.011752509,0.562660859,0.009615385,0.08
8.84797E-6,1.750849315,0.012592264,0.533755692,0.009615385,0.08
9.44981E-6,2.000589565,0.013443004,0.50663235,0.009615385,0.08
1.01414E-5,2.250392334,0.014419686,0.481389824,0.009615385,0.08
1.09154E-5,2.500095964,0.015511609,0.457830133,0.009615385,0.08
1.18607E-5,2.750202406,0.016843661,0.435953277,0.009615385,0.08
1.29373E-5,3.000710131,0.018358408,0.415957236,0.009615385,0.08
1.38745E-5,3.251194716,0.019675124,0.39744605,0.009615385,0.08
1.51263E-5,3.501108791,0.021431154,0.380320729,0.009615385,0.08
1.64416E-5,3.750626287,0.023272831,0.364680261,0.009615385,0.08
1.79801E-5,4.000568788,0.025422634,0.350326668,0.009615385,0.08
1.95437E-5,4.251342764,0.027602746,0.337061968,0.009615385,0.08
2.1159E-5,4.501055411,0.029849742,0.324886161,0.009615385,0.08
2.30223E-5,4.75000094,0.032435212,0.313700257,0.009615385,0.08
2.47467E-5,5.002238358,0.034821941,0.303207286,0.009615385,0.08
2.69524E-5,5.250328225,0.0378661,0.293704217,0.009615385,0.08
2.90724E-5,5.500064445,0.040783093,0.28489408,0.009615385,0.08
3.10645E-5,5.752925435,0.043515882,0.276578895,0.009615385,0.08
3.326E-5,6.001199786,0.046518782,0.268956642,0.009615385,0.08
3.52281E-5,6.251942787,0.049202649,0.26173035,0.038461538,0.08
3.68574E-5,6.500842258,0.051418788,0.25490002,0.048076923,0.08
3.92561E-5,6.752315277,0.054672012,0.24836666,0.057692308,0.12
4.12461E-5,7.001426987,0.057362425,0.242229262,0.057692308,0.12
4.30791E-5,7.254255643,0.059833843,0.236289844,0.067307692,0.12
4.50257E-5,7.50075451,0.062451353,0.230746387,0.067307692,0.12
4.68701E-5,7.753347685,0.064924729,0.22530192,0.067307692,0.12
4.85159E-5,8.001606464,0.067126164,0.220154425,0.067307692,0.12
5.01795E-5,8.253083963,0.069346293,0.21510592,0.076923077,0.12
5.21984E-5,8.503654129,0.072033351,0.210255395,0.086538462,0.12
5.47938E-5,8.750573469,0.075476348,0.205701841,0.086538462,0.12
5.68422E-5,9.001618851,0.078184714,0.201247278,0.086538462,0.12
5.89432E-5,9.250553115,0.080954424,0.196990695,0.086538462,0.12
6.16937E-5,9.505371783,0.084567709,0.192833102,0.086538462,0.12
6.40124E-5,9.750909684,0.087602715,0.188972481,0.086538462,0.2
6.63149E-5,10.005583976,0.090606532,0.185111859,0.086538462,0.2
6.85977E-5,10.255836912,0.093574819,0.181449218,0.086538462,0.2
7.07538E-5,10.500111928,0.096369561,0.177984558,0.096153846,0.2
7.24764E-5,10.751623834,0.098596265,0.174519897,0.096153846,0.2
7.42157E-5,11.001333634,0.100838912,0.171154227,0.105769231,0.2
7.58386E-5,11.256403753,0.102926356,0.167788557,0.105769231,0.2
7.78111E-5,11.502301816,0.105457088,0.164620867,0.105769231,0.2
7.96438E-5,11.754420313,0.107802007,0.161453178,0.125,0.2
8.13059E-5,12.004169594,0.109923407,0.158384478,0.125,0.2
8.3446E-5,12.251590284,0.112647419,0.155414769,0.125,0.2
8.61856E-5,12.506190133,0.116122282,0.15244506,0.125,0.2
8.89033E-5,12.751918946,0.119555983,0.149673332,0.125,0.2
9.14423E-5,13.003906612,0.122751716,0.146901604,0.125,0.2
9.45826E-5,13.255114309,0.126688475,0.144228866,0.125,0.2
9.71757E-5,13.504376536,0.129925822,0.141655118,0.125,0.2
9.99475E-5,13.751435958,0.133372999,0.13918036,0.125,0.2
1.0374E-4,14.006084298,0.138068064,0.136705603,0.125,0.2
1.08122E-4,14.260343364,0.143459868,0.134329836,0.125,0.2
1.1198E-4,14.502772626,0.148180252,0.132152049,0.134615385,0.2
1.14898E-4,14.753459096,0.151731993,0.129974263,0.134615385,0.2
1.18594E-4,15.010860732,0.156210523,0.127796476,0.134615385,0.2
1.21004E-4,15.250139978,0.159117613,0.12581667,0.134615385,0.2
1.24192E-4,15.507928841,0.162948407,0.123737874,0.134615385,0.2
1.27289E-4,15.759738514,0.16665359,0.121758068,0.134615385,0.2
1.31503E-4,16.006515483,0.171668056,0.119877252,0.134615385,0.2
1.34975E-4,16.259771817,0.175776912,0.117996436,0.134615385,0.2
1.3853E-4,16.505716862,0.179962456,0.116214611,0.134615385,0.2
1.41699E-4,16.758513606,0.183676039,0.114432786,0.134615385,0.2
1.44085E-4,17.001458191,0.186460918,0.112749951,0.134615385,0.2
1.47399E-4,17.263683207,0.190312956,0.110968125,0.134615385,0.2
1.49967E-4,17.501456706,0.193285449,0.10938428,0.134615385,0.2
1.54234E-4,17.759923973,0.198200819,0.107701445,0.134615385,0.2
1.58763E-4,18.010529177,0.203384217,0.1061176,0.134615385,0.2
1.63162E-4,18.251138936,0.208387603,0.104632746,0.134615385,0.2
1.68319E-4,18.516017451,0.214212954,0.103048901,0.134615385,0.2
1.7424E-4,18.756743305,0.220848475,0.101663037,0.134615385,0.24
1.81299E-4,19.007043785,0.228686067,0.100277173,0.134615385,0.28
1.85911E-4,19.265080842,0.233764195,0.098891309,0.144230769,0.28
1.89507E-4,19.508920715,0.237700135,0.097604435,0.144230769,0.28
1.93164E-4,19.757558206,0.241682179,0.096317561,0.144230769,0.28
1.9809E-4,20.011882019,0.247013923,0.095030687,0.144230769,0.28
2.03587E-4,20.252709677,0.252918097,0.093842803,0.144230769,0.28
2.08647E-4,20.520182147,0.258313049,0.09255593,0.144230769,0.28
2.1277E-4,20.751841832,0.262679673,0.091467036,0.144230769,0.28
2.17517E-4,21.010004992,0.267675664,0.090279153,0.144230769,0.28
2.20691E-4,21.251843481,0.270996699,0.089190259,0.144230769,0.28
2.26026E-4,21.520146699,0.276546527,0.088002376,0.144230769,0.28
2.3114E-4,21.771590585,0.281826085,0.086913482,0.144230769,0.28
2.35398E-4,22.005531205,0.286192204,0.085923579,0.144230769,0.28
2.42448E-4,22.268912941,0.293363201,0.084834686,0.144230769,0.28
2.49719E-4,22.515337261,0.300683593,0.083844783,0.153846154,0.32
2.53696E-4,22.7672876,0.304655571,0.08285488,0.153846154,0.32
2.57078E-4,23.022792294,0.308015898,0.081864977,0.163461538,0.32
2.61016E-4,23.256428625,0.311906927,0.080974065,0.173076923,0.32
2.64903E-4,23.51956316,0.315727556,0.079984162,0.173076923,0.32
2.69131E-4,23.759755787,0.319858626,0.079093249,0.173076923,0.32
2.72018E-4,24.003712936,0.322664868,0.078202336,0.173076923,0.32
2.7923E-4,24.252868453,0.329625352,0.077311423,0.173076923,0.32
2.83172E-4,24.505585344,0.333399371,0.076420511,0.182692308,0.32
2.86129E-4,24.761729182,0.336216694,0.075529598,0.182692308,0.32
2.91017E-4,25.021630947,0.340847462,0.074638685,0.182692308,0.32
2.96001E-4,25.256785012,0.345535139,0.073846763,0.182692308,0.32
3.01192E-4,25.526711283,0.350383324,0.07295585,0.201923077,0.32
3.04365E-4,25.769279638,0.353328843,0.072163928,0.201923077,0.32
3.0845E-4,26.013813149,0.357100654,0.071372006,0.211538462,0.32
3.13351E-4,26.262917357,0.361597802,0.070580083,0.211538462,0.32
3.18591E-4,26.51619622,0.366371369,0.069788161,0.211538462,0.32
3.22473E-4,26.772724148,0.369883683,0.068996238,0.211538462,0.32
3.27745E-4,27.000257598,0.374624364,0.068303306,0.211538462,0.32
3.3448E-4,27.265568694,0.380627719,0.067511384,0.211538462,0.32
3.3776E-4,27.501014034,0.383530072,0.066818452,0.211538462,0.32
3.42167E-4,27.77268097,0.387409306,0.066026529,0.211538462,0.32
3.49858E-4,28.015840305,0.394119357,0.065333597,0.211538462,0.32
3.54647E-4,28.262985114,0.39826118,0.064640665,0.211538462,0.32
3.59642E-4,28.513115823,0.402550348,0.063947733,0.211538462,0.32
3.65754E-4,28.767905034,0.407757803,0.063254801,0.221153846,0.32
3.7277E-4,29.026612428,0.413679109,0.062561869,0.221153846,0.32
3.77336E-4,29.251996971,0.417500452,0.061967927,0.221153846,0.32
3.82954E-4,29.518071059,0.422168616,0.061274995,0.221153846,0.32
3.87313E-4,29.788144718,0.425765219,0.060582063,0.221153846,0.32
3.89926E-4,30.021730516,0.427909612,0.059988121,0.221153846,0.36
3.91317E-4,30.256220998,0.429048792,0.059394179,0.221153846,0.36
3.96109E-4,30.532266348,0.43295412,0.058701247,0.221153846,0.36
4.01016E-4,30.771691095,0.436925276,0.058107305,0.221153846,0.36
4.03491E-4,31.01331442,0.438917296,0.057513364,0.221153846,0.36
4.07745E-4,31.256904192,0.442325688,0.056919422,0.221153846,0.4
4.14259E-4,31.504156186,0.447504149,0.05632548,0.230769231,0.4
4.19227E-4,31.754917219,0.451421211,0.055731538,0.230769231,0.4
4.23947E-4,32.008001014,0.455117466,0.055137597,0.230769231,0.4
4.26769E-4,32.263429728,0.457315241,0.054543655,0.230769231,0.4
4.29907E-4,32.520248904,0.459748506,0.053949713,0.230769231,0.4
4.317E-4,32.778745984,0.461133916,0.053355771,0.240384615,0.4
4.34911E-4,33.038682216,0.463606346,0.052761829,0.240384615,0.4
4.40419E-4,33.257647669,0.467821173,0.052266878,0.25,0.4
4.45551E-4,33.523631599,0.4717184,0.051672936,0.259615385,0.44
4.50362E-4,33.792639045,0.475345866,0.051078994,0.259615385,0.48
4.51578E-4,34.018239283,0.47625873,0.050584043,0.259615385,0.48
4.61688E-4,34.292572361,0.483788312,0.049990101,0.269230769,0.48
4.68651E-4,34.524851386,0.488910224,0.049495149,0.269230769,0.48
4.73449E-4,34.760927756,0.492410345,0.049000198,0.269230769,0.48
4.80199E-4,35.047908466,0.497294118,0.048406256,0.278846154,0.48
4.83789E-4,35.28921609,0.499872045,0.047911305,0.278846154,0.48
4.90087E-4,35.533125766,0.504362815,0.047416353,0.278846154,0.48
4.90789E-4,35.778392022,0.504860702,0.046921402,0.278846154,0.48
4.94023E-4,36.024728628,0.507148998,0.04642645,0.278846154,0.48
4.95652E-4,36.272341354,0.508297604,0.045931499,0.298076923,0.48
4.98604E-4,36.520991429,0.510372254,0.045436547,0.298076923,0.48
5.03997E-4,36.772307473,0.514139074,0.044941596,0.307692308,0.48
5.05965E-4,37.024769068,0.515506572,0.044446644,0.307692308,0.48
5.13365E-4,37.280623076,0.520614894,0.043951693,0.307692308,0.48
5.2179E-4,37.539665693,0.526364322,0.043456741,0.307692308,0.48
5.26151E-4,37.802337794,0.529313574,0.04296179,0.317307692,0.48
5.28989E-4,38.013489249,0.531222877,0.042565829,0.317307692,0.48
5.30066E-4,38.278373869,0.53194493,0.042070877,0.317307692,0.48
5.34946E-4,38.544683036,0.535205057,0.041575926,0.317307692,0.48
5.38005E-4,38.759393016,0.537236914,0.041179964,0.317307692,0.48
5.42767E-4,39.030019573,0.540382238,0.040685013,0.317307692,0.48
5.47943E-4,39.302465664,0.543777316,0.040190061,0.326923077,0.48
5.49447E-4,39.522060569,0.544758554,0.0397941,0.326923077,0.48
5.53199E-4,39.797544598,0.547198686,0.039299149,0.326923077,0.48
5.57092E-4,40.019816052,0.549715844,0.038903187,0.326923077,0.48
5.62707E-4,40.299637003,0.553322816,0.038408236,0.326923077,0.48
5.64876E-4,40.525170816,0.554707975,0.038012275,0.336538462,0.48
5.6687E-4,40.751668641,0.555978192,0.037616314,0.336538462,0.48
5.75632E-4,41.036866438,0.561515093,0.037121362,0.336538462,0.48
5.79548E-4,41.267843044,0.563967925,0.036725401,0.336538462,0.48
5.89867E-4,41.501377781,0.570364639,0.03632944,0.336538462,0.48
5.99547E-4,41.799823908,0.576279609,0.035834488,0.336538462,0.48
6.05824E-4,42.040774341,0.580072164,0.035438527,0.336538462,0.48
6.11221E-4,42.284262602,0.583305369,0.035042566,0.336538462,0.48
6.13795E-4,42.529178394,0.584838632,0.034646605,0.336538462,0.48
6.1654E-4,42.77533174,0.586467776,0.034250643,0.336538462,0.48
6.24689E-4,43.02352356,0.591265868,0.033854682,0.336538462,0.48
6.26416E-4,43.27380441,0.592275744,0.033458721,0.336538462,0.48
