Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.0881E-5,0.001088102,0.074246786,1,0,0
1.10286E-5,0.003287509,0.075215115,0.99980016,0,0
1.1347E-5,0.005544962,0.077300139,0.99960032,0,0
1.32307E-5,0.010642524,0.089541876,0.999200639,0,0
1.53666E-5,0.025319538,0.103225253,0.998201439,0,0
1.87664E-5,0.050894179,0.124583639,0.996702638,0,0
2.31519E-5,0.101829068,0.15138461,0.994304556,0,0
2.7365E-5,0.201448859,0.176359224,0.990407674,0,0
2.97362E-5,0.300701618,0.190090416,0.986910472,0,0
3.32566E-5,0.402078656,0.210055453,0.98371303,0,0
3.45397E-5,0.500900164,0.21720929,0.980815348,0,0
3.53369E-5,0.602415443,0.221621454,0.977917666,0,0
3.60106E-5,0.702235974,0.225330518,0.975119904,0,0
3.62333E-5,0.752856259,0.226552601,0.973721023,0,0
3.64705E-5,0.800100396,0.227852218,0.972422062,0,0
3.69991E-5,0.903129911,0.230740805,0.969624301,0,0
3.74858E-5,1.00002546,0.233390691,0.967026379,0.125,0
3.7913E-5,1.10193909,0.235709382,0.964328537,0.125,0
3.81915E-5,1.200893536,0.237217199,0.961730616,0.125,0
3.8397E-5,1.300477962,0.238327661,0.959132694,0.125,0
3.85117E-5,1.400473005,0.238946689,0.956534772,0.125,0
3.87254E-5,1.500937809,0.24009893,0.953936851,0.125,0
3.93767E-5,1.750917385,0.2435998,0.947541966,0.125,0
3.98796E-5,2.000712008,0.246292265,0.941247002,0.125,0
4.046E-5,2.253992069,0.249387657,0.934952038,0.125,0
4.08298E-5,2.502038221,0.251352684,0.928856914,0.125,0
4.12204E-5,2.752288697,0.253423345,0.922761791,0.125,0
4.16125E-5,3.0007523,0.255496118,0.916766587,0.125,0
4.20782E-5,3.251926441,0.25795023,0.910771383,0.125,0
4.23718E-5,3.501032806,0.259493197,0.904876099,0.125,0
4.2668E-5,3.751852583,0.26104663,0.898980815,0.125,0
4.29894E-5,4.000253721,0.26272879,0.893185452,0.125,0
4.33142E-5,4.250491862,0.264424422,0.887390088,0.125,0
4.37075E-5,4.502987913,0.266472885,0.881594724,0.125,0
