AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified,original
620590.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=620590,Coccopterum labyrinthus,"(Ostenfeld) P.C.Silva, 1970",accepted,,220.0,Species,620590.0,Coccopterum labyrinthus,"(Ostenfeld) P.C.Silva, 1970",603003.0,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Coccopterum,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Coccopterum labyrinthus (Ostenfeld) P.C.Silva, 1970. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=620590 on 2022-11-23",urn:lsid:marinespecies.org:taxname:620590,1.0,,,,,exact,2015-06-26T12:00:51.270Z,Coccopterum labyrinthus
134546.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=134546,Halosphaera viridis,"F.Schmitz, 1878",accepted,,220.0,Species,134546.0,Halosphaera viridis,"F.Schmitz, 1878",134528.0,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Halosphaera,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Halosphaera viridis F.Schmitz, 1878. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=134546 on 2022-11-23",urn:lsid:marinespecies.org:taxname:134546,1.0,,,,,exact,2015-06-26T12:00:51.270Z,Halosphaera viridis
341609.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=341609,Pterosperma parallelum,"Gaardner, 1938",accepted,,220.0,Species,341609.0,Pterosperma parallelum,"Gaardner, 1938",160595.0,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pterosperma parallelum Gaardner, 1938. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=341609 on 2022-11-23",urn:lsid:marinespecies.org:taxname:341609,1.0,,,,,exact,2015-06-26T12:00:51.270Z,Pterosperma parallelum
341610.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=341610,Pterosperma polygonum,"Ostenfeld, 1902",accepted,,220.0,Species,341610.0,Pterosperma polygonum,"Ostenfeld, 1902",160595.0,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pterosperma polygonum Ostenfeld, 1902. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=341610 on 2022-11-23",urn:lsid:marinespecies.org:taxname:341610,1.0,,,,,exact,2015-06-26T12:00:51.270Z,Pterosperma polygonum
341612.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=341612,Pyramimonas gelidicola,"McFadden, Moestrup & Wetherbee, 1982",accepted,,220.0,Species,341612.0,Pyramimonas gelidicola,"McFadden, Moestrup & Wetherbee, 1982",134529.0,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pyramimonas gelidicola McFadden, Moestrup & Wetherbee, 1982. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=341612 on 2022-11-23",urn:lsid:marinespecies.org:taxname:341612,1.0,,,,,exact,2015-06-26T12:00:51.270Z,Pyramimonas gelidicola
495352.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=495352,Pyramimonas grossii,"Parke, 1949",alternate representation,,220.0,Species,134550.0,Pyramimonas subg. Trichocystis grossii,"Parke, 1949",134529.0,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pyramimonas grossii Parke, 1949. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=495352 on 2022-11-23",urn:lsid:marinespecies.org:taxname:495352,1.0,,,,,exact,2015-06-26T12:00:51.270Z,Pyramimonas grossii
640807.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=640807,Pyramimonas janetae,"R.E.Norris, 1964",accepted,,220.0,Species,640807.0,Pyramimonas janetae,"R.E.Norris, 1964",134529.0,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pyramimonas janetae R.E.Norris, 1964. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=640807 on 2022-11-23",urn:lsid:marinespecies.org:taxname:640807,1.0,,,,,phonetic,2015-06-26T12:14:04.327Z,Pyramimonas janetiae
573813.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=573813,Chroomonas collegionis,"Butcher ex D.R.A.Hill, 1991",accepted,,220.0,Species,573813.0,Chroomonas collegionis,"Butcher ex D.R.A.Hill, 1991",106281.0,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Hemiselmidaceae,Chroomonas,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Chroomonas collegionis Butcher ex D.R.A.Hill, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=573813 on 2022-11-23",urn:lsid:marinespecies.org:taxname:573813,,1.0,,,,exact,2015-06-26T12:00:51.270Z,Chroomonas collegionis
573817.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=573817,Chroomonas extensa,"Butcher, 1967",accepted,,220.0,Species,573817.0,Chroomonas extensa,"Butcher, 1967",106281.0,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Hemiselmidaceae,Chroomonas,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Chroomonas extensa Butcher, 1967. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=573817 on 2022-11-23",urn:lsid:marinespecies.org:taxname:573817,1.0,,,,,exact,2015-06-26T12:00:51.270Z,Chroomonas extensa
648132.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=648132,Cryptomonas profunda,"R.W.Butcher, 1967",accepted,,220.0,Species,648132.0,Cryptomonas profunda,"R.W.Butcher, 1967",106282.0,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Cryptomonas profunda R.W.Butcher, 1967. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=648132 on 2022-11-23",urn:lsid:marinespecies.org:taxname:648132,1.0,,,,,exact,2015-06-26T12:00:51.270Z,Cryptomonas profunda
